Judul,Tanggal,Link,Isi Berita
KPU: 2.249 TPS Tak Bisa Lakukan Pemungutan Suara Pemilu 2019,"Rabu, 17 Apr 2019 23:57 WIB",https://www.cnnindonesia.com/nasional/20190417234033-32-387468/kpu-2249-tps-tak-bisa-lakukan-pemungutan-suara-pemilu-2019,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Prabowo Menang Telak di Wilayah Kediaman Ustaz Abdul Somad,"Rabu, 17 Apr 2019 23:02 WIB",https://www.cnnindonesia.com/nasional/20190417215954-32-387448/prabowo-menang-telak-di-wilayah-kediaman-ustaz-abdul-somad,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Jokowi Raih 82 Persen di Belgia-Luksemburg,"Rabu, 17 Apr 2019 22:47 WIB",https://www.cnnindonesia.com/internasional/20190417223704-134-387455/jokowi-raih-82-persen-di-belgia-luksemburg,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Hasil Quick Count 4 Lembaga di Atas 95 Persen: Jokowi Unggul,"Rabu, 17 Apr 2019 22:29 WIB",https://www.cnnindonesia.com/nasional/20190417221247-32-387450/hasil-quick-count-4-lembaga-di-atas-95-persen-jokowi-unggul,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Simpang Siur Quick Count, AHY Minta Publik Tunggu Hasil KPU","Rabu, 17 Apr 2019 22:29 WIB",https://www.cnnindonesia.com/nasional/20190417220047-32-387447/simpang-siur-quick-count-ahy-minta-publik-tunggu-hasil-kpu,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
TKN soal Tudingan Pemilu Curang: Kami Tak Pernah Ancam KPU,"Rabu, 17 Apr 2019 22:16 WIB",https://www.cnnindonesia.com/nasional/20190417201034-32-387403/tkn-soal-tudingan-pemilu-curang-kami-tak-pernah-ancam-kpu,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Kertanegara Bergemuruh, Pendukung Teriak 'Prabowo Presiden'","Rabu, 17 Apr 2019 22:03 WIB",https://www.cnnindonesia.com/nasional/20190417215031-32-387443/kertanegara-bergemuruh-pendukung-teriak-prabowo-presiden,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Buru Pelaku Hoaks Server, Polisi Gerebek Dua Rumah di Bekasi","Rabu, 17 Apr 2019 21:56 WIB",https://www.cnnindonesia.com/nasional/20190417195743-12-387396/buru-pelaku-hoaks-server-polisi-gerebek-dua-rumah-di-bekasi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
TKN Yakin Tak Ada Mobilisasi Massa Prabowo Usai Quick Count,"Rabu, 17 Apr 2019 21:51 WIB",https://www.cnnindonesia.com/nasional/20190417194445-32-387401/tkn-yakin-tak-ada-mobilisasi-massa-prabowo-usai-quick-count,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Real Count KPU 0,008 Persen: Prabowo 58, Jokowi 41 Persen","Rabu, 17 Apr 2019 21:47 WIB",https://www.cnnindonesia.com/nasional/20190417212324-32-387438/real-count-kpu-0008-persen-prabowo-58-jokowi-41-persen,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
