Judul,Tanggal,Link,Isi Berita
"Pewaris Kekerasan, Sosok Hun Sen di Mata Oposisi","Minggu, 29 Jul 2018 16:35 WIB",https://www.cnnindonesia.com/internasional/20180727202121-106-317617/pewaris-kekerasan-sosok-hun-sen-di-mata-oposisi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"TPS Tutup, Partai Hun Sen Klaim Bakal Menang Telak","Minggu, 29 Jul 2018 16:00 WIB",https://www.cnnindonesia.com/internasional/20180729155555-106-317878/tps-tutup-partai-hun-sen-klaim-bakal-menang-telak,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
SBY dan Prabowo Matangkan Arah Koalisi Malam Ini,"Minggu, 29 Jul 2018 15:08 WIB",https://www.cnnindonesia.com/nasional/20180729145701-32-317872/sby-dan-prabowo-matangkan-arah-koalisi-malam-ini,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Fakta-fakta soal Pemilu Kamboja 2018,"Minggu, 29 Jul 2018 15:01 WIB",https://www.cnnindonesia.com/internasional/20180729030218-106-317798/fakta-fakta-soal-pemilu-kamboja-2018,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Hun Sen, si Mantan Anggota Khmer Merah Pemimpin Kamboja","Minggu, 29 Jul 2018 13:00 WIB",https://www.cnnindonesia.com/internasional/20180728151213-106-317734/hun-sen-si-mantan-anggota-khmer-merah-pemimpin-kamboja,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
INFOGRAFIS: Fakta-Fakta Pemilu Kamboja 2018,"Minggu, 29 Jul 2018 11:46 WIB",https://www.cnnindonesia.com/internasional/20180729035817-109-317799/infografis-fakta-fakta-pemilu-kamboja-2018,
Pemilu Kamboja 2018 Dikecam 'Palsu',"Minggu, 29 Jul 2018 10:10 WIB",https://www.cnnindonesia.com/internasional/20180729075614-106-317805/pemilu-kamboja-2018-dikecam-palsu,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Kamboja Gelar Pemilihan Umum,"Minggu, 29 Jul 2018 08:37 WIB",https://www.cnnindonesia.com/internasional/20180729081549-106-317816/kamboja-gelar-pemilihan-umum,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Bandingkan dengan Jokowi, Nusron Sindir SBY Kerap Mengeluh","Minggu, 29 Jul 2018 02:55 WIB",https://www.cnnindonesia.com/nasional/20180729025537-32-317795/bandingkan-dengan-jokowi-nusron-sindir-sby-kerap-mengeluh,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Respons PDIP atas Forum Ijtima Ulama soal Ganti Presiden,"Minggu, 29 Jul 2018 02:50 WIB",https://www.cnnindonesia.com/nasional/20180729024213-20-317794/respons-pdip-atas-forum-ijtima-ulama-soal-ganti-presiden,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Golkar Optimis JK Tetap Bantu Jokowi Meski Tak Jadi Cawapres,"Minggu, 29 Jul 2018 01:58 WIB",https://www.cnnindonesia.com/nasional/20180729014236-32-317792/golkar-optimis-jk-tetap-bantu-jokowi-meski-tak-jadi-cawapres,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"TGB Merapat ke Jokowi, GNPF Tak Rugi Karena Punya Aher","Minggu, 29 Jul 2018 00:53 WIB",https://www.cnnindonesia.com/nasional/20180728181425-32-317759/tgb-merapat-ke-jokowi-gnpf-tak-rugi-karena-punya-aher,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Dubes RI: Suasana Kamboja Jelang Pemilu Kondusif,"Minggu, 29 Jul 2018 00:12 WIB",https://www.cnnindonesia.com/internasional/20180728142702-106-317730/dubes-ri-suasana-kamboja-jelang-pemilu-kondusif,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Yusuf Supendi Ingin Koordinasikan 1000 Ulama Bertemu Jokowi,"Sabtu, 28 Jul 2018 23:24 WIB",https://www.cnnindonesia.com/nasional/20180728214354-32-317787/yusuf-supendi-ingin-koordinasikan-1000-ulama-bertemu-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Alumni UGM Bentuk Relawan Dukung Jokowi,"Sabtu, 28 Jul 2018 21:14 WIB",https://www.cnnindonesia.com/nasional/20180728204212-32-317784/alumni-ugm-bentuk-relawan-dukung-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Biksu Kamboja Terbagi Dua Kubu Terkait Pemilu,"Sabtu, 28 Jul 2018 21:01 WIB",https://www.cnnindonesia.com/internasional/20180728134952-106-317718/biksu-kamboja-terbagi-dua-kubu-terkait-pemilu,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Ngabalin: Ulama Representasi Nabi, Jangan Dibawa ke Politik","Sabtu, 28 Jul 2018 20:27 WIB",https://www.cnnindonesia.com/nasional/20180728191335-32-317775/ngabalin-ulama-representasi-nabi-jangan-dibawa-ke-politik,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Soal AHY, GNPF Minta SBY Contoh Megawati atau Tiru Sandiaga","Sabtu, 28 Jul 2018 19:15 WIB",https://www.cnnindonesia.com/nasional/20180728185820-32-317770/soal-ahy-gnpf-minta-sby-contoh-megawati-atau-tiru-sandiaga,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Isu Ekonomi, Peluru dari Oposisi untuk Jokowi Jelang Pilpres","Sabtu, 28 Jul 2018 18:25 WIB",https://www.cnnindonesia.com/nasional/20180728153520-32-317738/isu-ekonomi-peluru-dari-oposisi-untuk-jokowi-jelang-pilpres,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Kriteria Capres Ijtima Ulama, Islam dan Berpihak pada Pribumi","Sabtu, 28 Jul 2018 17:17 WIB",https://www.cnnindonesia.com/nasional/20180728160527-32-317741/kriteria-capres-ijtima-ulama-islam-dan-berpihak-pada-pribumi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Kamboja Bersiap Adakan Pemilu Tanpa Oposisi Kuat,"Sabtu, 28 Jul 2018 15:40 WIB",https://www.cnnindonesia.com/internasional/20180728132317-106-317716/kamboja-bersiap-adakan-pemilu-tanpa-oposisi-kuat,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
GNPF Ulama Enggan Dukung JK Maju Cawapres 2019,"Sabtu, 28 Jul 2018 14:50 WIB",https://www.cnnindonesia.com/nasional/20180728143801-32-317729/gnpf-ulama-enggan-dukung-jk-maju-cawapres-2019,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Jokowi Santap Siang Bersama Ketum Perindo, PSI, PKPI","Sabtu, 28 Jul 2018 14:08 WIB",https://www.cnnindonesia.com/nasional/20180728135424-32-317720/jokowi-santap-siang-bersama-ketum-perindo-psi-pkpi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Belum 'Sowan' ke Rizieq, SBY Tak Diundang ke Ijtima Ulama","Sabtu, 28 Jul 2018 13:44 WIB",https://www.cnnindonesia.com/nasional/20180728132950-32-317717/belum-sowan-ke-rizieq-sby-tak-diundang-ke-ijtima-ulama,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Panggung 'Drama' SBY dan Upaya 'Menjual' AHY di Pilpres 2019,"Sabtu, 28 Jul 2018 12:14 WIB",https://www.cnnindonesia.com/nasional/20180727205846-32-317625/panggung-drama-sby-dan-upaya-menjual-ahy-di-pilpres-2019,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
OTT Adik Zulhas Dinilai Dorong Pesimisme Publik pada Parpol,"Sabtu, 28 Jul 2018 10:39 WIB",https://www.cnnindonesia.com/nasional/20180727204619-32-317618/ott-adik-zulhas-dinilai-dorong-pesimisme-publik-pada-parpol,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
KPU: Penetapan Pasangan Capres-Cawapres pada 20 September,"Sabtu, 28 Jul 2018 05:57 WIB",https://www.cnnindonesia.com/nasional/20180727215205-32-317631/kpu-penetapan-pasangan-capres-cawapres-pada-20-september,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
KPU Tunggu Putusan MK Terkait Masa Jabatan Wapres,"Sabtu, 28 Jul 2018 05:35 WIB",https://www.cnnindonesia.com/nasional/20180728050716-32-317650/kpu-tunggu-putusan-mk-terkait-masa-jabatan-wapres,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
