Tanggal,Judul,URL,Isi Berita
"Rabu, 17 Apr 2019 23:51 WIB",Peta Jokowi vs Prabowo di 34 Provinsi Versi QC Sementara Indo Barometer,https://news.detik.com/berita/d-4514971/peta-jokowi-vs-prabowo-di-34-provinsi-versi-qc-sementara-indo-barometer,"[Gambas:Video 20detik]
SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 23:46 WIB",Ikhtiar Ibunda untuk Mengantarkan Jokowi Menang 2 Periode,https://news.detik.com/berita-jawa-tengah/d-4515475/ikhtiar-ibunda-untuk-mengantarkan-jokowi-menang-2-periode,SCROLL TO CONTINUE WITH CONTENT
"Rabu, 17 Apr 2019 23:36 WIB","Hasil Quick Count, Partai Apa yang ke Senayan dan Apa yang Terbuang?",https://20.detik.com/pemilu-2019/20190417-190417163/hasil-quick-count-partai-apa-yang-aman-dan-apa-yang-terbuang,
"Rabu, 17 Apr 2019 23:20 WIB",Kejutan 'Tampang Boyolali': Puluhan TPS Nol Persen untuk Prabowo,https://news.detik.com/berita-jawa-tengah/d-4515469/kejutan-tampang-boyolali-puluhan-tps-nol-persen-untuk-prabowo,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 23:11 WIB",Analisis Charta Politika soal Hanura yang Terpental dan PPP Bisa Bertahan,https://news.detik.com/berita/d-4515470/analisis-charta-politika-soal-hanura-yang-terpental-dan-ppp-bisa-bertahan,SCROLL TO CONTINUE WITH CONTENT
"Rabu, 17 Apr 2019 23:02 WIB","Jokowi Unggul di Quick Count, Ini Respons Pengusaha Ritel",https://finance.detik.com/berita-ekonomi-bisnis/d-4515455/jokowi-unggul-di-quick-count-ini-respons-pengusaha-ritel,SCROLL TO CONTINUE WITH CONTENT
"Rabu, 17 Apr 2019 23:01 WIB",Charta Politika: Suara Gerindra Lari ke PKS-PAN-Berkarya,https://news.detik.com/berita/d-4515456/charta-politika-suara-gerindra-lari-ke-pks-pan-berkarya,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:58 WIB","Hasil Situng Ramai Dibagikan, KPU: Itu 1 Persen Saja Belum",https://news.detik.com/berita/d-4515453/hasil-situng-ramai-dibagikan-kpu-itu-1-persen-saja-belum,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:56 WIB",Jokowi-Ma'ruf Amin Menang Total di Apartemen Kalibata City,https://news.detik.com/berita/d-4515458/jokowi-maruf-amin-menang-total-di-apartemen-kalibata-city,SCROLL TO CONTINUE WITH CONTENT
"Rabu, 17 Apr 2019 22:50 WIB",Hasil Quick Count Nyaris 100% 6 Lembaga Survei: Jokowi Unggul!,https://news.detik.com/berita/d-4515451/hasil-quick-count-nyaris-100-6-lembaga-survei-jokowi-unggul,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]"
