Tanggal,Judul,URL,Isi Berita
"Rabu, 17 Apr 2019 23:51 WIB",Peta Jokowi vs Prabowo di 34 Provinsi Versi QC Sementara Indo Barometer,https://news.detik.com/berita/d-4514971/peta-jokowi-vs-prabowo-di-34-provinsi-versi-qc-sementara-indo-barometer,"[Gambas:Video 20detik]
SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 23:46 WIB",Ikhtiar Ibunda untuk Mengantarkan Jokowi Menang 2 Periode,https://news.detik.com/berita-jawa-tengah/d-4515475/ikhtiar-ibunda-untuk-mengantarkan-jokowi-menang-2-periode,SCROLL TO CONTINUE WITH CONTENT
"Rabu, 17 Apr 2019 23:20 WIB",Kejutan 'Tampang Boyolali': Puluhan TPS Nol Persen untuk Prabowo,https://news.detik.com/berita-jawa-tengah/d-4515469/kejutan-tampang-boyolali-puluhan-tps-nol-persen-untuk-prabowo,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 23:10 WIB","Jenggala Center: Jokowi-Ma'ruf 54,81%, Prabowo-Sandi 45,19%",https://20.detik.com/pemilu-2019/20190417-190417159/jenggala-center-jokowi-maruf-5481-prabowo-sandi-4519,"Penghitungan cepat Jenggala Center dari relawan Joko Widodo -Ma'ruf Amin mencatat paslon Jokowi-Ma'ruf menang dengan hasil 54,81% sedangkan Prabowo-Sandi 45,19%. Namun, kubu 01 diharapkan untuk menunggu hasil yang dikeluarkan oleh KPU."
"Rabu, 17 Apr 2019 23:06 WIB","Usai Prabowo, Sandiaga Juga Tinggalkan Kertanegara",https://news.detik.com/berita/d-4515460/usai-prabowo-sandiaga-juga-tinggalkan-kertanegara,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 23:02 WIB","Jokowi Unggul di Quick Count, Ini Respons Pengusaha Ritel",https://finance.detik.com/berita-ekonomi-bisnis/d-4515455/jokowi-unggul-di-quick-count-ini-respons-pengusaha-ritel,SCROLL TO CONTINUE WITH CONTENT
"Rabu, 17 Apr 2019 23:01 WIB",Charta Politika: Suara Gerindra Lari ke PKS-PAN-Berkarya,https://news.detik.com/berita/d-4515456/charta-politika-suara-gerindra-lari-ke-pks-pan-berkarya,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:58 WIB","Suara Jokowi di Ponpes Dalwa Pasuruan Nol, Prabowo 501",https://news.detik.com/berita-jawa-timur/d-4515454/suara-jokowi-di-ponpes-dalwa-pasuruan-nol-prabowo-501,"[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:58 WIB","Hasil Situng Ramai Dibagikan, KPU: Itu 1 Persen Saja Belum",https://news.detik.com/berita/d-4515453/hasil-situng-ramai-dibagikan-kpu-itu-1-persen-saja-belum,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:56 WIB",Jokowi-Ma'ruf Amin Menang Total di Apartemen Kalibata City,https://news.detik.com/berita/d-4515458/jokowi-maruf-amin-menang-total-di-apartemen-kalibata-city,SCROLL TO CONTINUE WITH CONTENT
