url,tanggal,judul,isi
https://www.inews.id/news/nasional/anies-janjikan-bansos-plus-agar-masyarakat-sejahtera,"Minggu, 04 Februari 2024 - 20:28:00 WIB",Anies Janjikan Bansos Plus agar Masyarakat Sejahtera,"Scan this QR or download app from:
JAKARTA, iNews.id -Calon Presiden Anies Baswedan berjanji akan memberikan bantuan sosial (Bansos) Plus untuk kepentingan warga yang mendapatkan bansos. Bansos, menurut Anies, untuk keperluan masyarakat agar sejahter.
Hal itu ia sampaikan diDebatTerakhir Pilpres 2024 di Jakarta Convention Center (JCC), Senayan, Jakarta, Minggu (4/2/2024). Mulanya, Anies mengatakan keluarga sejahtera harus diberi upah yang layak.


“Keluarga sejahtera karena upahnya layak, dan bila membutuhkan diberi kan bansos sesuai kebutuhannya.Bansos plus,” kata Anies.
Anies menegaskan bahwa pemberian bansos ini diberikan untuk penerima bukan kepentingan pemberi dari bansos tersebut.

“Bukan memberi bansos untuk kepentingan yang memberi, tapi untuk kepentingan yang diberi,” ujarnya."
https://www.inews.id/finance/bisnis/ramai-isu-bumn-jadi-koperasi-erick-thohir-minta-anies-dan-cak-imin-tegur-jubir-timnya,"Selasa, 06 Februari 2024 - 15:13:00 WIB","Ramai Isu BUMN jadi Koperasi, Erick Thohir Minta Anies dan Cak Imin Tegur Jubir Timnya","Scan this QR or download app from:
JAKARTA, iNews.id- Menteri Badan Usaha Milik Negara (BUMN)Erick Thohirmengatakan tudingan kepada dirinya terkait pengubahan status BUMN menjadikoperasisalah alamat. Sebab, ia hanya merespons pertanyaan wartawan.
Erick menjelaskan, pertanyaan yang diajukan kepada dirinya mengenai gagasan dari tim sukses (timses) Capres-Cawapres 1 untuk mengubah BUMN menjadi koperasi.


""Kalau saya, kan hanya menjawab dan merespons wartawan. Yang nanya bahwa pendapat itu dari tim AMIN, itu ya wartawan. Saya hanya merespons dan menjawab,"" kata Erick di Jakarta, Selasa (6/2/2024).
Untuk itu, Erick menyebut Anies Baswedan dan Muhaimin Iskandar seharusnya melakukan klarifikasi dan menegur timses yang membuat ide tersebut. Sebab, hal itu telah membuat resah seluruh karyawan BUMN dan juga mitra BUMN, baik swasta maupun UMKM.

Hal ini juga memiliki dampak negatif dalam upaya transformasi BUMN yang terus menunjukkan tren positif dalam beberapa tahun terakhir.
"
https://www.inews.id/multimedia/infografis/infografis-7-komentar-sby-respons-duet-anies-cak-imin,,Infografis 7 Komentar SBY Respons Duet Anies-Cak Imin,"JAKARTA, iNews.id- Ketua Majelis Tinggi Partai Demokrat, Susilo Bambang Yudhoyono (SBY), memimpin sebuah pertemuan penting untuk membahas arah koalisi dalamPemilu 2024pada tanggal 1 September 2023. Dalam pertemuan tersebut, SBY secara terbuka mengungkapkan rasa kecewanya setelah terjadi keputusan unilateral untuk menjadikan Anies Baswedan sebagai calon presiden (Bacapres) dalam Koalisi Perubahan, berduet dengan Ketua Umum PKB, Muhaimin Iskandar atau Cak Imin.
Setelah pertemuan tersebut, Partai Demokrat mengambil langkah tegas dengan mencabut dukungan mereka terhadap Anies Baswedan. Keputusan ini tidak hanya berarti bahwa Partai Demokrat tidak lagi mendukung Anies Baswedan, tetapi juga menandakan keputusan untuk meninggalkan Koalisi Perubahan dan beralih menuju aliansi politik yang berbeda, yaitu Persatuan.
Berikut komentar SBY sebagai respons kekecewaan atas duet Anies-Cak Imin:
1. Demokrat merasa ditelikung dan ditinggalkanSBY merasa ditelikung dan ditinggalkan dalam keputusan duet Anies-Cak Imin. Di sisi lain SBY merasa bersyukur karena kejadian ini berlangsung sebelum pendaftaran capres dan cawapres.
2. Kecewa duet Anies-AHY gagalSBY mengatakan ada informasi agar pasangan capres-cawapres Anies Baswedan dan Ketua Umum Partai Demokrat, Agus Harimurti Yudhoyono (AHY) digagalkan. Informasi yang dia dengar agar Pilpres 2024 hanya dua paslon.
3. SBY ungkap Demokrat di-prank musang berbulu dombaSBY mengungkap pesan yang diterima dari para kader dan nonkader terkait keputusan Partai NasDem menduetkan Anies Baswedan dan Muhaimin Iskandar atau Cak Imin.
4. SBY bersyukur Demokrat tak diizinkan mendukung orang tidak jujurKetua Majelis Tinggi Partai Demokrat, Susilo Bambang Yudhoyono (SBY), bersyukur atas keputusan duet Anies Baswedan dan Ketua Umum PKB Muhaimin Iskandar atau Cak Imin. Sebab, kata dia, Partai Demokrat tidak diizinkan Allah SWT untuk mendukung orang yang tak jujur.
5. SBY pernah diingatkan kader sebelum dukung AniesSBY mengaku pernah diingatkan terkait sosok yang mengajak Demokrat membentuk koalisi di Pilpres 2024. Keraguan itu datang dari kolega SBY baik kader Demokrat mau pun kalangan luar partai.
6. Puji cara Puan Maharani dan Prabowo Subianto dalam berdemokrasiSBY menjelaskan Puan dan Prabowo mempunyai cara yang baik dalam mengajak Demokrat menjalin kerja sama politik untuk menghadapi Pemilu 2024. Dia menjelaskan PDIP sempat membujuk Demokrat agar bergabung dalam barisan pendukung Ganjar Pranowo.
7. Demokrat belum ambil keputusan gabung koalisi manaSBY menegaskan belum mengambil sikap bergabung koalisi ke mana setelah Anies Baswedan berduet dengan Muhaimin Iskandar (Cak Imin). Partai Demokrat juga belum menentukan capres yang akan diusung di Pilpres 2024.
Editor: made prisni"
https://surabaya.inews.id/view/352251/anies-baswedan-ziarah-ke-makam-sayyid-ali-asghor-basyaiban-di-ponpes-ndresmo,,Anies Baswedan Ziarah ke Makam Sayyid Ali Asghor Basyaiban di Ponpes Ndresmo,"

BACAPRESAnies Rasyid Baswedan ziarah ke makamSayyid Ali Asghor Basyaiban, ketika menghadiri Haul ke-78 Mbah Sayyid Sulaiman di Pondok Pesantren An-Najiyah, di Sidosermo Surabaya, Jawa Timur, Minggu (01/10/2023). Sayyid Ali Asghor Basyaiban merupakan waliyullah yang menjadi rujukan ulama dan kiai-kiai di Indonesia. Banyak muridnya yang telah menjadi ulama dan kiai besar di Indonesia.
Dalam kesempatan iniAnies Baswedanjuga meresmikanPosko AswajaJawa Timur yang berada di komplekPonpes Ndresmo.
Posko Aswaja ini mempunyai arti lain selain Ahlus Sunnah Wal Jamaah, yakni Anies Wajib Jadi (Aswaja). Ketua Posko AswajaKH Mas Faqih Hudinmenyebut, Posko Aswaja sudah terbentuk di 36 Kabupaten/Kota di Jawa Timur.
Kepada warga dan santri Ndresmo, Anies mengajak untuk bersama-sama membangun bangsa dan meneruskan perjuangan para pahlawan dalam memperjuangkan kemerdekaan Indonesia. Ndresmo, kata Anies, dulunya merupakan basis pejuang kemerdekaan dalam melawan penjajah.
Follow Berita iNews Surabaya diGoogle News"
https://lombok.inews.id/read/349075/motivator-muda-syafii-efendi-siap-menangkan-anies-muhaimin-di-pemilih-milenial-kota-mataram,"Jum'at, 22 September 2023 | 22:36 WIB",Motivator Muda Syafii Efendi Siap Menangkan Anies-Muhaimin di Pemilih Milenial Kota Mataram,"Scan this QR or download app from:
MATARAM, iNewsLombok.id -Motivator MudaIndonesia Syafii Efendi menyatakan kesiapkan untuk memenangkan Anis Baswedan-Muhaimin Iskandar (AMIN) pada Pilpres 2024 diKota Mataram.
""Sebagai warga negara Indonesia saya siap memilih dan memenangkan Capres dan Cawapres AMIN. Bismillah,"" ucap Syafii Efendi.
Ia menilai pasangan AMIN memiliki rekam jejak yang sangat mumpuni. Keduanya memiliki latar belakang aktivis. Anis di Himpunan Mahasiswa Islam (HMI) dan Gus Muhaimin di Pergerakan Mahasiswa Islam Indonesia (PMII).
""Pasangan AMIN saling melengkapi dan ideal untuk memimpin Indonesia ke depannya,"" tutur Syafii.
Presiden Pemuda OKI 2019-2024 akan menggarap pemilih milenial, khususnya di Kota Mataram NTB. Syafii Efendi memang dikenal sebagai motivator dengan jumlah follower yang lumayan banyak dikalangan millenial dan Gen Z.
""Dengan modal itu, maka dukungan ke Capres Anies Baswedan dan Gus Imin untuk Pilpres 2024 nanti akan berpengaruh terutama untuk suara anak muda,"" terangnya.
Editor : Purnawarman"
https://www.inews.id/news/nasional/anies-bertemu-imam-masjid-nabawi-beliau-apresiasi-jemaah-haji-indonesia/all,"Kamis, 06 Juli 2023 - 23:36:00 WIB",Anies Bertemu Imam Masjid Nabawi: Beliau Apresiasi Jemaah Haji Indonesia,"Scan this QR or download app from:
JAKARTA, iNews.id -Kandidat calon presiden 2024Anies Baswedanbertemu ImamMasjid NabawiSheikh Dr. Abdul Muhsin bin Muhammad Al-Qasim. Foto-foto pertemuan diunggah Anies di Instagram pribadinya @aniesbaswedan.
""Alhamdulillah, semalam selepas Maghrib, kami bisa kembali bersilaturahmi dengan Imam, Khatib, dan Penanggung Jawab, Halaqah Al-Quran Masjid Nabawi, Sheikh Dr. Abdul Muhsin bin Muhammad Al-Qasim,"" tulis Anies dalam unggahannya, Kamis (6/7/2023).


Anies menjelaskan, pertemuan membahas banyak hal. Di antaranya soal pelayanan ibadahhajidan umrah yang diselenggarakan Kerajaan Arab Saudi, lalu soal kegiatan halaqah atau kajian Alquran yang diselenggarakan Masjid Nabawi secara offline maupun online.
Menurut Anies, Syekh Abdul Muhsin juga mengapresiasi jemaah haji Indonesia. Jemaah Indonesia disebut amat khusyuk, sabar dan kompak dalam menjalankan rangkaian ibadah di Tanah Suci.

Orang-orang Indonesia juga dianggap istimewa karena setiap harinya sang imam mendengar dan melihat orang Indonesia melantunkan ayat suci Alquran.
""Beliau juga mengapresiasi jemaah haji Indonesia yang amat khusyuk, sabar, dan senantiasa kompak dalam menjalankan seluruh rangkaian ibadah haji,"" kata Anies.
""Dan orang-orang dari Indonesia ini mendapatkan tempat istimewa di hati beliau, karena setiap harinya beliau menatap dan mendengarkan lantunan Alquran yang dilantunkan orang Indonesia baik secara langsung di Masjid Nabawi maupun mereka yang mengikuti program jarak jauh (online),"" tambahnya.
Anies pun mendoakan agar Imam Masjid Nabawi senantiasa diberi kesehatan, kekuatan dan dilindungi oleh Allah SWT.
""Subhanallah, sebuah perbincangan yang insya Allah membawa keberkahan bagi kita semua, dan kami mendoakan agar beliau senantiasa diberikan kesehatan dan kekuatan, serta senantiasa dalam lindungan-Nya dalam menjalankan setiap tugas sebagai imam di Masjid Nabawi,"" katanya.
Editor: Reza Fajri"
https://www.inews.id/news/nasional/ganjar-pranowo-ke-anies-baswedan-jaga-kesehatan-ya,"Minggu, 30 Juli 2023 - 04:04:00 WIB",Ganjar Pranowo ke Anies Baswedan: Jaga Kesehatan Ya!,"Scan this QR or download app from:
JAKARTA, iNews.id -Bakal calon presiden(Bacapres) 2024 yang diusungPartai Perindo,Ganjar Pranowomembeberkan perbincangannya dengan Bacapres dariKoalisi Perubahanuntuk Persatuan,Anies Baswedan. Keduanya bertemu pada acaratalkshow: Hari Menjadi Manusia di Kuningan City Ballroom, Jakarta Selatan, Sabtu (29/7/2023).
Ganjar mengungkapkan tak banyak hal yang dia bahas dengan Anies. ""Enggak. Kita ketemu kan sebagai teman ya, jaga kesehatan ya. Kita sama-sama harus jaga kesehatan. Itu aja,"" ucapnya.


Ganjar mengungkapkan tidak ada obrolan terkait politik. Lantaran tidak sempat. ""Enggak dong (bicara politik dengan Anies), nggak sempet. Kecuali kalian buka acara obrolan politik. Tadi obrolannya mental health gitu ya,"" ujarnya.
Diketahui, pada acara tersebut keduanya bertemu dan saling berfoto bersama hingga menunjukkan love sign. Anies mengatakan bahwa mereka adalah teman lama. “Kita teman lama ya dari zaman kuliah,” ujar Anies.

Sehingga, momen foto tersebut menunjukan bahwa meskipun keduanya sedang berkontestasi dalam pemilu 2024, kedua tokoh bacapres damai menghadapi dinamika politik saat ini.
“Saya sering sampaikan yang namanya lawan debat itu teman berfikir, lawan volly itu teman olahraga, lawan dalam kompetesi pokitik pemilu itu adalah teman dalam demokrasi. Jadi biasa saja ini sebuah kegiata untuk memberikan manfaat yang besar kepada masyarakat,” ujarnya.

Diketahui sebelumnyaBacapres Partai Perindo, Ganjar Pranowo dan Bacapres Koalisi Perubahan untuk Persatuan Anies Baswedan hadir di acara Talkshow ‘Hari Menjadi Manusia’. Kedua bacapres tersebut terlihat kompak menggunakan baju berwarna hitam.
"
https://blitar.inews.id/read/331024/anies-baswedan-silaturahmi-ke-ponpes-ndresmo-surabaya-ini-penjelasan-kakak-gus-baha,"Kamis, 10 Agustus 2023 | 08:20 WIB","Anies Baswedan Silaturahmi ke Ponpes Ndresmo Surabaya, Ini Penjelasan Kakak Gus Baha","Scan this QR or download app from:
SURABAYA,iNewsBlitar– Calon Presiden 2024Anies BaswedanKamis ini (10/8/2023) dijadwalkan bersilaturahmi ke Pondok Pesantren Islam At-Tauhid Sidoresmo atauPonpesNdresmo Surabaya Jawa Timur.

Dimotori KH Nasirul Mahasin atauGus Mahasin, kakak kandung KH Bahauddin Nursalim atauGus Baha, ratusan kiai dan gus serta para ulamaNUdi Jawa Timur menyambut kehadiranAniesdi Ponpes At-Tauhid.

Seperti apa profil Ponpes Islam At-Tauhid Ndresmo Surabaya yang akan dikunjungi Capres Anies Baswedan ini?.

Ponpes Islam At-Tauhid di Sidoresmo atau dikenal dengan Ponpes Ndresmo memiliki rekam jejak sejarah perjuangan kemerdekaan Indonesia, khususnya di Jawa Timur.

Pada masa pra kemerdekaan 1945, Ponpes Ndresmo menjadi markas para pejuang kemerdekaan, terutama laskar Hizbullah. Ponpes Ndresmo juga menjadi tempat berkumpulnya para kiai dan ulama dalam berhalaqah tentang kemajuan umat Islam Indonesia.

Moncernya nama Ponpes Ndresmo, di kancah perjuangan kemerdekaan tidak lepas dari peran KH Mas Ahmad Tholhah Bin Abdulloh Sattar. Kiai Mas Tholhah yang merupakan dzuriyah (keturunan) Ponpes Ndresmo merupakan pejuang Hizbullah yang ikut bergerilya bersama pasukan Panglima Besar Jenderal Soedirman.

Kiai Mas Tholhah yang lahir 12 Desember 1919 merupakan santri dan sekaligus pejuang. Aksinya yang berani membobol gudang senjata penjajah Belanda di Ngagel Surabaya membuat nama Kiai Mas Tholhah melegenda di kalangan pejuang kemerdekaan.

Menurut Gus Mahasin, ada sebanyak 200-an ulama di Jawa Timur yang menyambut kehadiran Anies Baswedan. Selain dari wilayah Surabaya, Sidoarjo, dan pantura (Tuban dan sekitarnya), hadir juga ulama dari wilayah Mataraman (eks Karsidenan Kediri).
Di antaranya Gus Robert dari Ponpes Al Falah Kediri, Ust Khoirul Amien Kecamatan Ngunut, Kabupaten Tulungagung, Kiai Baidowi Ponpes Al-Hikmah Mlaten Kauman dan Kiai Dimyati dari Kecamatan Rejotangan Kabupaten Tulungagung.
“Total ada sekitar 200-an ulama yang hadir,” kata Gus Mahasin yang juga Ketua Dewan Pembina lembagaSunni(Santri Untuk Negeri) kepada MPI Kamis (10/8/2024).
Kenapa Ponpes Islam At-Tauhid Ndresmo Surabaya yang dikunjungi? Gus Mahasin mengatakan, Ponpes Ndresmo memiliki nilai sejarah perjuangan kemerdekaan yang kuat.
Ponpes Ndresmo merupakan saksi sejarah santri, khususnya di Jawa Timur yang telah memberi sumbangan besar dalam perjuangan merebut kemerdekaan Indonesia dari penjajah.
“Intinya, Ponpes Ndresmo memiliki sejarah tempat berkumpulnya para ulama, santri yang sekaligus pejuang kemerdekaan,” terangnya.
Tidak hanya silaturahmi. Kehadiran Anies Baswedan di Ponpes Islam At-Tauhid juga disambut khataman Al-Quran dan Tirakat untuk keselamatan umat dan bangsa. Khataman dan tirakat bersama Anies Baswedan itu dipimpin langsung oleh pengasuh Ponpes Islam At-Tauhid KH Mas Mansur Tholhah.
Editor : Solichan Arif"
https://bandungraya.inews.id/read/329199/anies-baswedan-minta-anak-muda-jabar-sibukkan-diri-songsong-indonesia-emas-2045,"Sabtu, 05 Agustus 2023 | 17:54 WIB",Anies Baswedan Minta Anak Muda Jabar Sibukkan Diri Songsong Indonesia Emas 2045,"Scan this QR or download app from:
BANDUNG, iNewsBandungRaya.id- Bakal Calon Presiden (Bacapres) dari Koalisi Perubahan untuk Persatuan,Anies Baswedanmenitipkan sejumlah pesan kepada anak muda Jawa Barat dan pemerintah menyongsongIndonesia Emas 2045.
Pesan itu disampaikan Anies Baswedan usai berdiskusi dengan anak muda di Bandung, Sabtu (5/8/2023).
""Dari sisi anak mudanya, pada saat ini yuk kita isi waktu, bagi yang masih kuliah, belajar menjadi sibuk dengan bidang, minat sesuai dengan aspirasi masing-masing. Jangan waktunya longgar, sibuk. Apapun itu, tapi sibuk,"" kata Anies.
Meski begitu, Anies mengingatkan kesibukan anak muda ini tetap harus sesuai dengan bidang dan minatnya. Hal itu penting agar Indonesia Emas 2045 bisa terwujud.
""InsyaAllah dengan sibuk di bidangnya, minatnya, maka itu jadi bekal ke depan,"" ujar Anies.
Editor : Zhafran Pramoedya"
https://sragen.inews.id/read/299849/kunjungi-ponpes-nurul-huda-di-sragen-anies-baswedan-tauladani-kepemimpin-abah-syarif,"Selasa, 23 Mei 2023 | 18:29 WIB","Kunjungi Ponpes Nurul Huda di Sragen, Anies Baswedan Tauladani Kepemimpin Abah Syarif","Scan this QR or download app from:
SRAGEN, iNewsSragen.id-Calon Presiden,Anies BaswedanmengunjungiPondok Pesantren Nurul Huda, Sragen, Jawa Tengah yang terletak di DesaPlosorejo, Kecamatan Gondang, Selasa (23/5/2023) siang.
AniesBaswedan berkunjung selama 1,5 jam ke ponpes yang beralamat di Desa Plosorejo ini.
Kedatangan Anies disambut langsung oleh pimpinan PonpesNurul Huda,Abah SyarifHidayatullah.
Setibanya di Ponpes, Anies diajak naik motor trail dan naik bajaj mengelilingi kompleks pondok pesantren.
Anies mengatakan, ini merupakan kunjungan khususnya di sragen sebelum melanjutkan perjalanan menuju ponorogo, jawa timur.
Editor : Joko Piroso"
