url,tanggal,judul,isi
https://www.inews.id/news/nasional/gus-atok-santri-selalu-doakan-ganjar-tak-perlu-khawatir/2,"Sabtu, 16 Desember 2023 - 05:35:00 WIB","Gus Atok: Santri Selalu Doakan Ganjar, Tak Perlu Khawatir","Scan this QR or download app from:


""Baru pertama kali perjalanan politik saya keliling mengajak anak istri. Di dalam kita sudah menandatangani piagam perjuangan. Insya Allah itu ijab kobul yang tulus untuk kita berjuang bersama. Karena kita sedang mendengarkan keluh kesah dan realitas yang ada,"" ujarnya.
Berikut isi Piagam Perjuangan Ponpes Nurul Huda dan Ganjar:

Piagam perjuangan Nurul Huda kiai ustaz ustazah dan laju Indonesia memutuskan berkomitmen penuh berjuang bersama pasangan capres dan cawapresGanjar-Mahfudmewujudkan tridarma bagi pesantren, yaitu;
1. Memperjuangkan politik legislasi dan politik anggaran untuk memperkuat hadirnya vokasi atau kejuruan yang terintegrasi dengan industri nasional dan penyiapan lapangan kerja memastikan lulusan pesantren mendapatkan kesempatan yang sama dalam memperoleh pekerjaan yang layak dalam sektor industri.
2. Memperjuangkan politik legislasi dan politik anggaran untuk jaminan kesehatan santri, sesuai dengan prinsip sistem jaminan sosial nasional. Serta memperkuat dan mendampingi balai kesehatan masyarakat atau BKN di lingkup pesantren di antaranya terkait akreditasi dan kerja sama BKN dengan BPJS kesehatan.
3. Memperjuangkan politik legislasi dan politik anggaran terkait upah dan lima jaminan sosial untuk pengajar dan pendidik di pondok pesantren.
Editor: Donald Karouw"
https://www.inews.id/news/nasional/mengenal-pulau-injil-mansinam-lokasi-sejarah-peradaban-papua-yang-dikunjungi-ganjar-pranowo,"Selasa, 21 November 2023 - 11:34:00 WIB","Mengenal Pulau Injil Mansinam, Lokasi Sejarah Peradaban Papua yang Dikunjungi Ganjar Pranowo","Scan this QR or download app from:
JAKARTA, iNews.id-Ganjar Pranowo, Capres Nomor Urut 3, mengunjungi Pulau Injil Mansinam. Destinasi bersejarah di Papua ini menjadi saksi bisu perkembangan peradaban Papua.
Terletak di Teluk Doreh, pulau ini memegang peran penting sebagai tempat kedatangan Misi Injil pertama pada tahun 1855. Selama kunjungannya, Ganjar Pranowo tidak hanya menikmati keindahan alam yang memesona, tetapi juga menghormati dan menelusuri warisan sejarah serta perkembangan agama di Papua.


Calon Presiden yang berpasangan dengan Mahfud MD tersebut menjalani kunjungan khusus ke Manokwari, Papua Barat pada Senin (20/11/2023). Pukul 07.30 WIT, Ganjar Pranowo tiba di Bandara Rendani Manokwari.
Selanjutnya dirinya disambut dalam sebuah prosesi adat dan diarak menggunakan perahu mesin menujupulau MansinamDistrik Manokwari Timur.

Di pulau ini, Ganjar Pranowo menjelajahi sejumlah situs sejarah yang menjadi awal peradaban kekristenan di kalangan orang Papua. Selain itu, Ganjar juga mendapat doa dari pemuka agama setempat, menambah makna kunjungannya."
https://www.inews.id/travel/destinasi/mengenal-alang-penyimpan-padi-mirip-rumah-adat-toraja-tempat-yang-disambangi-ganjar-pranowo,"Senin, 27 November 2023 - 10:55:00 WIB","Mengenal Alang Penyimpan Padi Mirip Rumah Adat Toraja, Tempat yang Disambangi Ganjar Pranowo","Scan this QR or download app from:
JAKARTA, iNews.id -Calon presiden nomor urut tiga,Ganjar Pranowo, melanjutkan perjalanan safari politiknya keTana Toraja, Sulawesi Selatan, pada Sabtu (25/11/2023). Ribuan warga Kabupaten Tana Toraja, Sulawesi Selatan, tampak menyambut kedatangan Calon Presiden RI, Ganjar Pranowo, dengan penuh antusiasme.
Disambut dengan sangat hangat, Ganjar menyatakan kegembiraannya. Sambil merespons sambutan dengan memberikan salam dan berfoto bersama, Ganjar mengucapkan terima kasih kepada ribuan penduduk Tana Toraja.

""Terima kasih semuanya, sehat-sehat ya,"" kata Ganjar
Ganjar dijadwalkan untuk mengikuti sejumlah kegiatan di Sulsel hingga Minggu (26/11/2023). Beberapa kegiatan telah direncanakan untuk mengisi kunjungan Ganjar ke Toraja. Salah satunya adalah memberikan kuliah umum di Aula Kampus I, Universitas Kristen Indonesia (UKI) Toraja.

Dalam kuliah umum tersebut, Ganjar akan membahas tema 'Bonus Demografi Menuju Indonesia Emas 2045 (Peluang dan Tantangan)'.
Lumbung, Tempat Duduk Bangsawan

Berbicara tentang Toraja, tempat yang dikunjungi Calon Presiden Ganjar Pranowo, terdapat bangunan khas jika kita mengunjungi Toraja, yaitu Alang."
https://www.inews.id/news/nasional/mengenal-suku-kokoda-suku-yang-sambut-ganjar-pranowo-di-kota-sorong-papua/4,"Selasa, 21 November 2023 - 17:32:00 WIB","Mengenal Suku Kokoda, Suku yang Sambut Ganjar Pranowo di Kota Sorong Papua","Scan this QR or download app from:
Bahkan, saat merayakan hari besar agama, mereka saling membantu dalam pelaksanaannya tanpa memandang perbedaan keyakinan. Di wilayah tempat tinggal mereka terdapat 5 masjid, 2 mushola, dan 4 gereja.
Dalam bidang pendidikan, sebagian besar suku Kokoda memiliki keterbatasan, banyak yang tidak menyelesaikan pendidikan menengah atas. Mereka yang mencapai tingkat perguruan tinggi (S1) biasanya berasal dari kalangan pemuka agama.
Meskipun demikian, ada juga beberapa anggota masyarakat yang menyadari pentingnya pendidikan, terutama dalam konteks Islam, yang membangun yayasan pendidikan berbasis pesantren untuk generasi muda.
Organisasi Muhammadiyah turut serta dalam memberdayakan masyarakat suku Kokoda dengan mengajarkan keterampilan bertani, beternak, dan menjadi nelayan.
Kampung Warmon Kokoda di Kota Sorong dikenal sebagai ""Kampung Muhammadiyah"" karena organisasi ini membawa kemajuan ke wilayah tersebut."
https://www.inews.id/news/nasional/3-buku-karya-romo-magnis-suseno-pengajar-filsafat-yang-ditemui-oleh-ganjar-pranowo,"Jumat, 24 November 2023 - 16:31:00 WIB","3 Buku Karya Romo Magnis Suseno, Pengajar Filsafat yang Ditemui oleh Ganjar Pranowo","Scan this QR or download app from:
JAKARTA, iNews.id -Calon Presiden nomor urut 3,Ganjar Pranowo, baru-baru ini bertemu dengan Pengajar Filsafat dan Etika,Romo Magnis Suseno, di Sekolah Tinggi Filsafat Driyarkara, Jumat (24/11/2023).
Dalam pertemuan tersebut, Romo Magnis memberikan dua buku kepada Ganjar, yakni 'Etika Politik, Prinsip Moral dan Dasar Kenegaraan Modern' serta 'Iman Dalam Tantangan Apa Kita Masih Dapat Percaya pada yang di Seberang'.


Ganjar Pranowo mengungkapkan apresiasinya terhadap karya-karya Romo Magnis, menyebutnya sebagai ""buku legend"" yang hampir dibaca oleh semua orang karena berisikan nilai-nilai moral dan dasar kenegaraan.
Romo Magnis-Suseno, yang juga dikenal sebagai seorang imam Katolik, memiliki latar belakang yang kaya dalam misi karyanya di Indonesia sejak tahun 1961. Ia memulai karir pengajarannya di Sekolah Tinggi Filsafat Driyarkara pada 1969 dan sejak itu terlibat dalam pengembangan filsafat di Indonesia.

Melalui bukunya, ia telah menyampaikan pemikirannya tentang etika, filsafat politik, dan alam pikiran Jawa. Dengan lebih dari 700 karya populer dan ilmiah serta 44 buku, Romo Magnis telah memberikan kontribusi yang signifikan dalam memahami nilai-nilai budaya dan filsafat di Indonesia."
https://www.inews.id/news/nasional/ganjar-tak-ambil-pusing-soal-hasil-survei-tetap-fokus-serap-aspirasi-masyarakat/2,"Rabu, 27 Desember 2023 - 06:56:00 WIB","Ganjar Tak Ambil Pusing soal Hasil Survei, Tetap Fokus Serap Aspirasi Masyarakat","Scan this QR or download app from:


“Kita melihat Ganjar-Mahfud rebound, ya kita yakin rebound maka pada saatnya 14 Februari (2024) kita bisa unggul dari pasangan calon yang lain,” kata TGB.
Diketahui, Indikator merilis elektabilitas pasangan Prabowo-Gibran 46,7 persen, Ganjar-Mahfud 24,5 persen, serta Anies-Cak Imin 21 persen. Survei dilaksanakan terhadap 1.217 responden pada 23-24 Desember 2023, setelah debat cawapres perdana yang digelar KPU 22 Desember 2023.

Pemilihan sampel menggunakan metode random digit dialing (265 responden) dan double sampling (952 responden). Margin of error sekitar 2,9 persen dengan tingkat kepercayaan 95 persen.
Editor: Rizky Agustian"
https://www.inews.id/news/nasional/momen-alam-ganjar-main-futsal-bareng-alif-cepmek-hingga-dilan-bekasi/1,"Jumat, 15 Desember 2023 - 10:42:00 WIB",Momen Alam Ganjar Main Futsal Bareng Alif Cepmek hingga Dilan Bekasi,"Scan this QR or download app from:
JAKARTA, iNews.id- Muhammad ZinedineAlam Ganjar, putra Calon Presiden (Capres) nomor urut 3 Ganjar Pranowo, mengajak masyarakat yang tergabung dalam komunitasfutsalberolahraga di Estadio Futsal, Bekasi, Jawa Barat, Kamis (14/12/2023). Alam terlihat terampil memainkan si kulit bundar.
Tampak sejumlah TikTokers sepertiAlif CepmekhinggaDilan Bekasiikut bermain futsal bersama Alam.


Alam menilai fasilitas ruang publik penting disediakan pemerintah secara gratis untuk menunjang produktivitas dan kreativitas anak muda.
""Penting banget kalau misalkan pemerintah bisa menyediakan ruang publik secara gratis, bisa olahraga bareng. Tapi gak cuma futsal aja, bisa bulutangkis, tenis, basket dan lain sebagainya. Ditambah lagi ruang disinergikan dengan ruang publik yang mencakup anak muda, musik bahkan inkubasi bisnis, perlu ada fasilitas satu pintu seperti itu,"" kata Alam.

Apalagi, kata Alam, Indonesia memiliki potensi besar menjadi negara dengan industri olahraga maju di kemudian hari. Sebab, banyak masyarakat Indonesia yang antusias terhadap industri olahraga."
https://www.inews.id/news/nasional/mengenal-pulau-injil-mansinam-lokasi-sejarah-peradaban-papua-yang-dikunjungi-ganjar-pranowo/2,"Selasa, 21 November 2023 - 11:34:00 WIB","Mengenal Pulau Injil Mansinam, Lokasi Sejarah Peradaban Papua yang Dikunjungi Ganjar Pranowo","Scan this QR or download app from:
Dalam konteks kunjungan khusus ini, Ketua PAGAMA PB, Agustinus Matuti, mengungkapkan, ""Kegiatan ini merupakan kunjungan khusus atas koordinasi Badan Pimpinan Pusat (BPP) PAGAMA.""

Kunjungan Ganjar Pranowo di Manokwari diikuti dengan aman terkendali, mencakup periode dari kedatangan di Bandara Rendani hingga kepulangannya ke Sorong Papua Barat Daya sekitar pukul 12.00 WIT.
Terlepas dari kegiatan internal relawan, kunjungan tersebut membawa makna lebih dalam sebagai bentuk penghargaan terhadap sejarah dan kekayaan budaya Papua di Pulau Mansinam.

Dilansir dari laman Indonesia Kaya, Pulau Mansinam, yang terletak di Teluk Doreh, Manokwari, Papua Barat, tidak hanya menawarkan panorama alam yang sederhana dengan pohon kelapa dan bukit hijau, tetapi juga menjadi saksi sejarah yang mengubah peradaban di tanah Papua.
Pada 5 Februari 1855, misionaris Jerman Carl Wilhelm Ottouw dan Johann Gottlob Geissler mendarat di Mansinam, membawa bersama mereka kabar baik Injil. Tugas mereka tidak hanya sebatas menyebarkan ajaran Kristiani, tetapi juga mengajarkan budaya dan gaya hidup modern kepada masyarakat lokal yang pada saat itu masih primitif."
https://www.inews.id/lifestyle/seleb/ganjar-pranowo-pakai-topi-khas-rote-saat-hadiri-debat-cawapres-2023-ternyata-ini-maknanya,"Jumat, 22 Desember 2023 - 19:29:00 WIB","Ganjar Pranowo Pakai Topi Khas Rote saat Hadiri Debat Cawapres 2023, Ternyata Ini Maknanya","Scan this QR or download app from:
JAKARTA, iNews.id -Calon Presiden (Capres) nomor urut 3, Ganjar Pranowo tiba di Jakarta Convention Center (JCC) untuk menghadiri acara debat calon wakil presiden (cawapres) pada Jumat (22/12/2023). Pada momen itu, Ganjar memakai pakaian adat Rote Nusa Tenggara Timur (NTT).
Ganjar terlihat memakai kemeja putih dipadukan dengan selendang tenun dan kain tenun khas NTT. Menariknya, Ganjar juga menambahkan topi khas masyarakat Rote bernama Ti’ilangga. Topi tersebut terbuat dari anyaman daun lontar.


Sejarah Ti’ilangga
Nama Ti’ilangga diambil dari kata ti yang berarti pelindung dan langga yang memiliki arti kepala. Zaman dahulu, ti’ilangga ditemukan oleh seorang nelayan bernama Fifino Dulu dari daerah timur pulau.

Setelah berlayar dan menangkap kura-kura serta ikan pari, keduanya bergegas pulang ke rumah. Di pertengahan jalan, keduanya melihat pohon lontar dan berhenti sejenak. Mereka mengambil daun lontar untuk menutupi kepalanya. Kemudian dia menganyam daun lontar tersebut seperti bentuk motif cangkang kura-kura, bagian samping topi itu terlihat lebar seperti ikan pari.
Dahulu ti’ilangga hanya memiliki dua jenis, yaitu jenis ikan pari dan jenis kura-kura, namun kini jenisnya semakin banyak, seperti ti’ilangga do sela (jenistopi yang berdaun kasar), ti’ilangga do lutu (jenis topi yang berdaun halus), ti’ilanggaa’angguk (jenis topi dengan daun panjang yang menonjol), ti’I langga bebelak (jenis topi yang berbentuk rata pada bagian atas), ti’I langga bu’uhak (jenis topi yang berbentuk persegi), ti’I langga bu’ukoak (jenis topi dengan ujung belakangnya berbentuk bulu ayam), ti’I langga pisak (jenis topi dengan daun kasar yang digunakan dalam kehidupan sehari-hari), dan ti’ilangga musu (jenis topi dengan daun tegak yang hanya dipakai saat perang)."
https://www.inews.id/news/nasional/ketua-kpu-langgar-etik-ganjar-harusnya-ada-rasa-malu-dan-minta-maaf,"Selasa, 06 Februari 2024 - 14:37:00 WIB","Ketua KPU Langgar Etik, Ganjar: Harusnya Ada Rasa Malu dan Minta Maaf","Scan this QR or download app from:
BALIKPAPAN, iNews.id-Pelanggaran etikayang dilakukanKetua KPUHasyim Asy'ari dan pejabat lain dinilai Sekjen PDIP, Hasto Kristiyanto, sebagai beban pemilu. Calon Presiden (Capres) Nomor Urut 3Ganjar Pranowomengatakan seharusnya ada rasa malu dan permintaan maaf.
“Mestinya ada rasa malu, mestinya ada permintaan maaf. Saya tidak yakin mereka berani mengundurkan diri,” kata Ganjar usai kampanye akbar se-Kalimantan Timur di BSCC Dome, Balikpapan, Selasa (6/2/2024).


“Wong yang di MK mundur saja, dipecat saja, masih menggugat. Saya tidak tahu apakah negeri ini sudah betul-betul kehilangan etika dan moralnya, maka ini peringatan yang sangat keras dalam proses demokrasi,” kata dia.
Sebelumnya, Dewan Kehormatan Penyelenggara Pemilu (DKPP) memvonis Ketua Komisi Pemilihan Umum (KPU) Hasyim Asy'ari dan enam anggota lainnya melanggar kode etik karena menerima pendaftaran Gibran Rakabuming Raka sebagai calon wakil presiden. Hasyim Asy'ari dijatuhi sanksi berupa peringatan keras terakhir.

Selain Hasyim, anggota KPU lainnya, yakni Yulianto Sudrajat, August Mellaz, Betty Epsilon Idroos, Parsadaan Harahap, Idham Holik, dan M Afifuddin juga dijatuhi sanksi peringatan.
Hasyim bersama enam anggota lain KPU diadukan oleh Demas Brian Wicaksono dengan perkara Nomor 135-PKE-DKPP/XII/2023, Iman Munandar B Nomor 136-PKE-DKPP/XII/2023, PH Hariyanto Nomor 137-PKE-DKPP/XII/2023, dan Rumondang Damanik Nomor 141-PKE-DKPP/XII/2023.

Mahkamah Konstitusi (MK) juga belum lama ini disorot setelah Majelis Kehormatan MK (MKMK) memberhentikan Anwar Usman dari ketua MK karena dinyatakan melakukan pelanggaran berat terhadap kode etik hakim konstitusi dalam uji materi Perkara Nomor 90/PUU-XXI/2023 tentang syarat usia capres dan cawapres.
Editor: Rizky Agustian"
