url,tanggal,judul,isi
https://www.inews.id/news/nasional/usai-heboh-pakai-3-mic-saat-debat-cawapres-gibran-kembali-disorot-alat-apa-di-balik-bajunya/all,"Minggu, 24 Desember 2023 - 11:34:00 WIB","Usai Heboh Pakai 3 Mic saat Debat Cawapres, Gibran Kembali Disorot: Alat Apa di Balik Bajunya?","Scan this QR or download app from:
JAKARTA, iNews.id- Penampilan Calon Wakil Presiden (Cawapres) Nomor Urut 2Gibran Rakabuming Rakapadadebat cawapresyang digelar Komisi Pemilihan Umum (KPU), Jumat (22/12/2023) lalu, kembali disorot. Sebelumnya, Gibran disorot pakar telematika Roy Suryo yang mengkritik penggunaan 3microphoneyakni mic clip-on, hand-held, dan headset.
Sorotankali ini datang dari aktivis Tifauzia Tyassuma melalui akun X (sebelumnya dikenal Twitter) @DokterTifa, Minggu (24/12/2023). Dia mengunggah dua foto Gibran saat debat cawapres berlangsung.


Pada foto pertama, tampak bagian kemeja pada pinggang belakang Gibran membentuk tegas menyerupai kotak. Dokter Tifa menduga, ada alat yang terpasang pada pinggang wali kota Solo tersebut.
""Alat apa ini yang di balik bajunya dia? Apakah ada Ahli IT yg tahu ini apa?"" tulis @DokterTifa.

Sebagai pembanding, dia juga mengunggah foto lain yang turut menampilkan pinggang belakang Gibran. Dia menyebut, alat tersebut belum terpasang sebelum Gibran naik ke panggung debat cawapres.
""Ketika Samsul belum naik panggung alat ini belum ada. Apakah Gus @cakimiNOW dan Pak Mahfud juga dipasangi alat yg sama? Tolong yg tahu kasih pencerahan ya,"" tulisnya.

Hingga berita ini ditulis, cuitan Dokter Tifa telah dilihat 115.000 kali, disukai 1.000 kali, di-repost 352 kali, dan di-reply 569 kali.
Sejumlah netizen lain turut menyuarakan keheranan serupa Dokter Tifa.

""Weh..dokter Tifa emang jeli deh... Aku kemarin cuman menduga kalau akan ada dipasangi ""alat bisik"" yg menuntun jawaban si gibran ... Tapi cuman dugaan speti di film² james bond... Ternyata dokter Tifa lebih jeli...,"" tulis @nogob***.
""Pantas saja hanya mau debat di KPU tidak di forum publik apalagi debat mahasiswa,"" tulis @indra7***.

""Lain kali sebelum debat sebaik nya diperiksa phisik seperti pertandingan tinju untuk mencegah kecurangan,"" tulis @kkl988.
Sebelumnya, pengamat telematika Roy Suryo mengkritik Gibran Rakabuming Raka yang menggunakan 3 mic sekaligus dalam debat. Ketiganya yakni mic clip-on, hand-held dan head-set dalam debat Cawapres 2024
""Kemarin sdh saya duga, Utk menghindari CHEATING, Sebaiknya next KPU ADIL. Kenapa si No 2 ini sampai gunakan 3 (TIGA) MIC sekaligus: 1. Clip-on, 2. Hand-held & 3. Head-set ? Apa gunanya juga ada EARPHONE ? SIAPA yg bisa FEEDING ke Telinganya? Mengapa 2 Calon yg lain BEDA ? AMBYAR,"" tulis Roy Suryo di akun X @KRMTRoySuryo1 dikutip Sabtu (23/12/2023).
Editor: Rizky Agustian"
https://www.inews.id/news/nasional/luhut-umumkan-pilih-prabowo-gibran-di-pilpres-2024,"Sabtu, 03 Februari 2024 - 10:50:00 WIB",Luhut Umumkan Pilih Prabowo-Gibran di Pilpres 2024,"Scan this QR or download app from:
JAKARTA, iNews.id- Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves)Luhut Binsar Pandjaitanmenyatakan memilih Capres-Cawapres Nomor Urut 2 Prabowo Subianto dan Gibran Rakabuming Raka diPilpres 2024. Pernyataan itu disampaikan melalui unggahan pada akun Instagram @luhut.pandjaitan, Sabtu (3/2/2024).
Dia menilai paslon nomor urut 2 merupakan pasangan ideal untuk melanjutkan estafet kepemimpinan menuju Indonesia Emas 2045.


""Idealisme dan konsistensi dalam bersikap Pak Prabowo, serta keterwakilan anak muda dalam diri Mas Gibran, memantapkan saya untuk memilih pasangan ini pada 14 Februari 2024 nanti sebagai pelanjut tongkat estafet kepemimpinan yang akan membawa negeri ini menuju visi besar Indonesia Emas 2045,"" ujar Luhut dalam keterangan unggahan, dilihat Sabtu (3/2/2024).
Dia mengaku senang saat Prabowo memutuskan memilih Gibran sebagai cawapres. Menurutnya, Prabowo telah memberikan contoh yang baik untuk tidak memandang orang lain sebelah mata.

""Karena boleh jadi mereka punya kemampuan khusus yang selama ini tak terlihat karena tidak mendapat kesempatan,"" kata dia."
https://www.inews.id/news/nasional/prabowo-gibran-kompak-ucapkan-selamat-ultah-ke-megawati-semoga-panjang-umur-dan-sehat-selalu,"Selasa, 23 Januari 2024 - 19:13:00 WIB",Prabowo-Gibran Kompak Ucapkan Selamat Ultah ke Megawati: Semoga Panjang Umur dan Sehat Selalu,"Scan this QR or download app from:
JAKARTA, iNews.id -Menhan sekaligus Capres nomor urut 2Prabowo Subiantodan Cawapres Gibran Rakabuming Raka kompak mengucapkan selamatulang tahunkepada Ketua Umum PDIPMegawati Soekarnoputri. Presiden ke-5 RI itu ulang tahun tepat hari ini Selasa (23/1/2024).
""Semoga panjang umur dan sehat selalu,"" kata Prabowo dalam Instagramnya, Selasa (23/1).


Sementara itu, Gibran mengucapkan selamat ulang tahun kepada Megawati Soekarnoputri.
""Selamat ulang tahun ke-77 Presiden RI ke 5 Ibu Prof. Dr. (HC) Hj Megawati Soekarnoputri,"" kata Gibran.

Dia juga mendoakan Megawati sehat selalu dan panjang umur. ""Semoga panjang umur, sehat dan bahagia selalu,"" katanya yang mengunggah foto bersama Megawati.
Editor: Faieq Hidayat"
https://toraja.inews.id/read/373975/ganjar-gibran-dijadwalkan-ke-toraja-bps-gereja-toraja-tongkonan-sangulele-adalah-rumah-untuk-semua,"Kamis, 23 November 2023 | 09:29 WIB","Ganjar Gibran Dijadwalkan ke Toraja, BPS Gereja Toraja: Tongkonan Sangulele Adalah Rumah Untuk Semua","Scan this QR or download app from:
NASIONAL, iNews.id- Badan Pekerja Sinode (BPS) Gereja Toraja menyambut sukacita rencana kedatanganGanjar PranowodanGibran Rakabuming Rakadi Toraja.
Keduanya dijadwalkan akan berkunjung ke kantorBPS Gereja Toraja, Tongkonan Sangullele, Rantepao, Kabupaten Toraja Utara.
""Iya, saya mendapat kabar tentang hal ini. Jika tidak ada perubahan agenda waktu ya. Mereka berdua adalah putra-putra terbaik bangsa yang mencintai NKRI,"" ucap Ketua Umum BPS Gereja Toraja, Pendeta DR. Alfred YR Anggui, kepadaiNews.id
Lanjut, Ketum Alfred menyampaikan rencana penyambutan yang berlokasi di Tongkonan Sangullele.
""Tongkonan Sangullele adalah rumah bersama untuk semua dan akan jadi tempat bagi kita buat bercakap dan memberi kontribusi pemikiran kita bagi siapa pun yang ingin membangun bangsa, termasuk kehidupan masyarakat Toraja,"" sambungnya.
Dalam kesempatan tersebut, Ketum Alfred akan memperkenalkan keindahan Toraja yang sejuk dengan keberagaman dan toleransi.
Diketahui, Ganjar Parnowo dijadwalkan akan berkunjung ke Toraja pada hari Sabtu (25 November 2023) dengan agenda kuliah umum di UKI Toraja, Makale, Kabupaten Tana Toraja. Selanjutnya akan menuju Tongkonan Sangullele, Rantepao Toraja Utara.
Kemudian Gibran Rakabuming Raka akan dijawadkan berkunjung ke Toraja pada esok harinya, Minggu (26 November 2023) dengan beberapa agenda sebelum menuju Tongkonan Sangullele.
Editor : Jufri Tonapa"
https://blitar.inews.id/read/374754/relanu-deklarasi-di-blitar-selatan-untuk-kemenangan-prabowo-gibran,"Sabtu, 25 November 2023 | 01:40 WIB",Relanu Deklarasi di Blitar Selatan Untuk Kemenangan Prabowo-Gibran,"Scan this QR or download app from:
BLITAR,iNewsBlitar– Ratusan orang yang mengatasnamakanRelawanNusantara (Relanu) menggelardeklarasiuntuk pemenangan pasangan Capres CawapresPrabowo SubiantodanGibranRakabuming Raka.

Deklarasi Relanu berlangsung diBlitar Selatan, yakni di wilayah Kecamatan Kademangan Kabupaten Blitar Jawa Timur. Ratusan orang membentangkan spanduk sembari meneriakkan yel-yel Prabowo-Gibran menang.

“Deklarasi Relanu mengambil tempat di wilayah Blitar Selatan ini merupakan yang pertama di wilayahMataraman,” ujar Gus Makin selaku Koordinator Relanu wilayah Mataraman Jawa Timur Jumat (24/11/2023).

Deklarasi Relanu untuk Prabowo-Gibran di Blitar Selatan berlangsung meriah. Selain meneriakkan kemenanganPilpres 2024, ratusan relawan secara kompak memekikkan salamgemoy.

Gemoy merupakan sebutan kaum milenial untuk Capres Prabowo Subianto yang belum lama ini viral di media sosial. “Salam gemoy adalah sebutan untuk Pak Prabowo,” tutur Gus Makin yang juga pengasuh pondokpesantrendi wilayah Srengat.

Ratusan orang yang tergabung dalam barisan Relanu berasal dari berbagai kalangan. Di antara barisan massa relawan itu mayoritas terlihat kaum emak-emak. Tidak sedikit dari mereka dikenal sebagai tokoh masyarakat di lingkungan masing-masing.

Gus Makin mengungkapkan, Relanu untuk Prabowo-Gibran memiliki jaringan sosial yang berlapis-lapis. Di wilayah Mataraman Jawa Timur, simpul-simpul massa Relanu, kata dia sudah terbentuk lama.

Simpul-simpul massa penggerak itu tersebar hingga tingkat RT (Rukun Tetangga). Blitar Selatan yang secara historis dikenal sebagai basis merah, terpilih menjadi titik awal pergerakan pemenangan Prabowo-Gibran.

“Dan hari ini mesin politik Relanu mulai dipanasi, sebelum bulan Desember melakukan kanvasing door to door, ungkapnya.

Massa Relanu akan membumikan Program Asta Cita yang menjadi visi dan misi pasangan Prabowo-Gibran. Mulai dari Blitar Selatan Relanu akan terus mengampanyekan 8 Program Hasil Cepat paslon Prabowo-Gibran.

Di antaranya adalah memberi makan siang dan susu gratis di sekolah dan pesantren, serta bantuan gizi untuk anak balita dan ibu hamil.

Kemudian menganggarkan dana abadi pesantren, menaikkan gaji ASN (terutamaguru, dosen dan tenaga kesehatan), TNI/Polri dan Pejabat Negara, serta menjamin rumah murah dan sanitasi untuk masyarakat desa dan rakyat yang membutuhkan.

“Intinya melanjutkan program Presiden Joko Widodo (Jokowi) yang sudah berjalan dengan baik,” terangnya.

Menurut Gus Makin, dimulai dari wilayah Mataraman, yakni khususnya Blitar Selatan, Relanu untuk pemenangan paslon Prabowo-Gibran akan meluaskan deklarasi ke seluruh daerah di Jawa Timur.

Hingga kini dukungan dari berbagai pihak yang menyatakan ikut bergabung dengan barisan Relanu terus mengalir. Dukungan dari kantong-kantong suarasantrimaupun non santri juga terus menguat.

Melihat gerakan Relanu yang berlangsung massif, Gus Makin optimistis paslon Prabowo-Gibran akan mendulang suara besar di Provinsi Jawa Timur. Ia juga optimistis paslon Prabowo-Gibran akan menang besar.

“Kita optimis paslon Prabowo-Gibran akan memenangkan Pilpres 2024 dalam satu putaran,” pungkasnya.

Editor : Solichan Arif"
https://alor.inews.id/read/386049/tkd-prabowo-gibran-ntt-gelar-lomba-paduan-suara-natal-total-hadiah-jutaan-rupiah,"Sabtu, 23 Desember 2023 | 22:05 WIB","TKD Prabowo-Gibran NTT Gelar Lomba Paduan Suara Natal, Total Hadiah Jutaan Rupiah","Scan this QR or download app from:
KUPANG,iNewsAlor.id- Tim Kampanye Daerah (TKD) psangan calon presiden dan wakil presiden nomor urut 2 Prabowo Subiyanto-Gibran Rakabuming Raka, ProvinsiNTT, bakal mengadakanlombapaduan suaradalam rangka menyambut perayaanNatal25 Desember 2023. Total hadiah yang disiapkan mencapai puluhan jutaan rupiah untuk para peserta lomba.
Ketua TKD Prabowo-Gibran NTT, Emanuel Melkiades Laka Lena menyebut lomba paduan suara ini bakal digelar di seluruh gereja yang tersebar di wilayah NTT. Peserta lomba dapat membuat rekaman video dan dikirim melalui media sosial. Pihaknya akan menyiapkan hadiah menarik untuk para pemenang.“Kita buka kesempatan untuk seluruh warga NTT agar bisa mengirimkan video rekaman koor, baik di Malam Natal 24 Desember 2023 maupun di perayaan Natal pada tanggal 25 Dsember 2023 pagi,"" sebut Melki Laka Lena kepada wartawan di Kupang, Jumat (22/12/2023).Menurut Ketua DPD I Golkar NTT ini, video lomba yang direkam cukup satu, namun dianggap sebagai video terbaik dan layak untuk dilombakan. Video kreator pun akan mendapatkan hadiah.""Video yang direkam cukup satu, tetapi dianggap terbaik. Bagi yang dinilai sebagai tim koor atau paduan suara terbaik akan mendapatkan hadiah, dan orang yang rekam dan mengirim videopun akan dapat hadiah juga,"" jelansnya.Melki Laka Lena berharap rangkaian kegiatan ini dapat berjalan lancar, sehingga mempererat hubungan antara TKD Prabowo-Gibran dengan masyarakat NTT.Syarat dan Ketentuan: Peserta dari semua kalangan diundang untuk berpartisipasi. Jumlah anggota koor tidak dibatasi, namun kreator video dibatasi hanya satu orang.Video harus dibuat dalam format mp-4 resolusi HD minimal 720p, dengan durasi bebas. Penggunaan kamera hp atau kamera digital dalam format landscape.
Editor : Danny Manu"
https://www.inews.id/news/nasional/usai-heboh-pakai-3-mic-saat-debat-cawapres-gibran-kembali-disorot-alat-apa-di-balik-bajunya,"Minggu, 24 Desember 2023 - 11:34:00 WIB","Usai Heboh Pakai 3 Mic saat Debat Cawapres, Gibran Kembali Disorot: Alat Apa di Balik Bajunya?","Scan this QR or download app from:
JAKARTA, iNews.id- Penampilan Calon Wakil Presiden (Cawapres) Nomor Urut 2Gibran Rakabuming Rakapadadebat cawapresyang digelar Komisi Pemilihan Umum (KPU), Jumat (22/12/2023) lalu, kembali disorot. Sebelumnya, Gibran disorot pakar telematika Roy Suryo yang mengkritik penggunaan 3microphoneyakni mic clip-on, hand-held, dan headset.
Sorotankali ini datang dari aktivis Tifauzia Tyassuma melalui akun X (sebelumnya dikenal Twitter) @DokterTifa, Minggu (24/12/2023). Dia mengunggah dua foto Gibran saat debat cawapres berlangsung.


Pada foto pertama, tampak bagian kemeja pada pinggang belakang Gibran membentuk tegas menyerupai kotak. Dokter Tifa menduga, ada alat yang terpasang pada pinggang wali kota Solo tersebut.
""Alat apa ini yang di balik bajunya dia? Apakah ada Ahli IT yg tahu ini apa?"" tulis @DokterTifa.

Sebagai pembanding, dia juga mengunggah foto lain yang turut menampilkan pinggang belakang Gibran. Dia menyebut, alat tersebut belum terpasang sebelum Gibran naik ke panggung debat cawapres.
""Ketika Samsul belum naik panggung alat ini belum ada. Apakah Gus @cakimiNOW dan Pak Mahfud juga dipasangi alat yg sama? Tolong yg tahu kasih pencerahan ya,"" tulisnya.

Hingga berita ini ditulis, cuitan Dokter Tifa telah dilihat 115.000 kali, disukai 1.000 kali, di-repost 352 kali, dan di-reply 569 kali.
Sejumlah netizen lain turut menyuarakan keheranan serupa Dokter Tifa."
https://jatim.inews.id/infografis/bupati-gresik-yang-diusung-pdip-hadiri-deklarasi-prabowo-gibran-ikut-ikrar-angkat-2-jari,,,"Scan this QR or download app from:
Alamat yang anda masukkan salah, tidak tersedia atau sudah dihapus"
https://jatim.inews.id/berita/prabowo-minta-maaf-gibran-tidak-bisa-hadiri-dialog-publik-di-ums-ini-alasannya/2,"Jumat, 24 November 2023 - 20:14:00 WIB","Prabowo Minta Maaf Gibran Tidak Bisa Hadiri Dialog Publik di UMS, Ini Alasannya","Scan this QR or download app from:

Dia optimistis, program ini mampu menjadi perbaikan gizi yang berdampak pada peningkatan kualitas anak di Indonesia. ""Kita akan berantas stunting di Indonesia. Dengan pemberian makan dan susu ini mengakibatkan anak dan ibu menjadi kuat. Indonesia bisa menjadi juara,"" ucap Prabowo.
Dengan intervensi ke program ini, Prabowo yakin angka stunting bisa di bawah 10 persen serta lambat laun nol persen. ""Dengan langkah ini, kita menyiapkan SDM Indonesia di masa depan,"" ujarnya.
Prabowo memperkirakan, program makan siang dan susu ini menyedot anggaan sekitar 34 miliar dolar.
Diketahui, UM Surabaya menjadi tuan rumah uji publik Capres-Cawapres pasangan nomor urut 2 Prabowo-Gibran, Jumat (24/11/2023) di Gedung At-Tauhid Tower lantai 13.
Acara tersebut juga akan dihadiri Sekretaris Umum Pimpinan Pusat Muhammadiyah, Prof Dr Abdul Mu’ti dan beberapa panelis.
Editor: Kastolani Marzuki"
https://ttu.inews.id/read/388066/gibran-hadir-gavriel-novanto-ajak-warga-nonton-konser-indonesia-maju-di-kupang,"Jum'at, 29 Desember 2023 | 10:01 WIB","Gibran Hadir, Gavriel Novanto Ajak Warga Nonton Konser Indonesia Maju di Kupang","Scan this QR or download app from:
KUPANG,iNewsTTU.id--Pendiri ProGibranNTT,Gavriel Putranto Novantomengundang seluruh masyarakat Kupang untuk hadir dan memeriahkan acaraKonser Indonesia Majuyang akan diselenggarakan di Waterpark Kupang, hari ini Jumat (29/12/2023).

Beberapa artis ternama Ibu Kota, akan turut serta meramaikan acara tersebut. Tidak hanya itu, Konser Indonesia Maju akan dimeriahkan dengan penampilan dari berbagai seniman-seniman lokal NTT lainnya.
Konser Indonesia Maju diselenggarakan dalam rangka kunjungan Calon Wakil Presiden RI nomor urut 2, Gibran Rakabuming Raka yang diagendakan akan berkunjung ke Kota Kupang pada hari ini Jumat(29/12/2023). Dalam kunjungannya, Mas Gibran diperkirakan akan hadir dan berinteraksi dengan masyarakat secara langsung dalam kegiatan tersebut.
Selain hiburan musik, Konser Indonesia Maju akan menyuguhkan masyarakat dengan penampilan stand up comedy, serta kehadiran influencer yang akan menghibur masyarakat.
Tidak hanya menampilkan hiburan bagi masyarakat, Konser Indonesia Maju akan dimeriahkan dengan bazar UMKM dan juga pameran otomotif yang digerakan oleh generasi muda NTT yang terdapat di sekitar area konser.
Konser Indonesia Maju dapat dihadiri seluruh masyarakat untuk menikmati berbagai macam hiburan serta bertemu langsung denganCawapres GibranRakabuming Raka secara gratis. Pintu akan dibuka pada pukul 17.00 WITA hingga selesai.
Editor : Sefnat Besie"
