url,tanggal,judul,isi
https://www.inews.id/news/nasional/benarkah-jokowi-panik-dan-ofensif-ini-penjelasan-lengkap-erick-thohir/2,"Rabu, 06 Februari 2019 - 08:12:00 WIB",Benarkah Jokowi Panik dan Ofensif? Ini Penjelasan Lengkap Erick Thohir,"Scan this QR or download app from:
Maka, aneh bila disebut Jokowi-Ma'ruf panik. ""Intinya, kalau dikatakan Jokowi panik karena survei, jawabannya tidak,"" ucapnya.
Sementara soal terminologi ofensif, Erick mengaku pernah bicara Tim Jokowi-Ma'ruf sudah saatnya ofensif. Pernyataan itu disampaikan saat rapat koordinasi tim hukum TKN, yang dihadiri Yusril Ihza Mahendra.
Konteks ofensif dimaksud, Jokowi-Ma'ruf sering dilaporkan ke Bawaslu tanpa data akurat oleh pihak lawan. ""Jadi saya katakan, sudah selayaknya tim hukum kita ofensif melaporkan dengan fakta dan data,"" katanya.
Namun, kubu paslon 02 langsung memelintir ketika tim hukum Jokowi-Ma'ruf membuat laporan berdasarkan data dan fakta yang ditindaklanjuti secara serius oleh polisi dengan menyebut ada kriminalisasi. ""Mereka tak bisa membedakan kriminalisasi dengan penegakan atas fakta hukum. Ini perlu saya tegaskan supaya fair dulu ya,"" ucapnya.
Jokowi sendiri, dalam beberapa hari terakhir, sebenarnya hanya menyampaikan isi hati mengenai isu yang selama ini sebenarnya terbalik-balik. Jokowi selaku capres petahana dituduh melakukan kriminalisasi, malah yang terjadi sebenarnya Jokowi dizalimi."
https://www.inews.id/news/nasional/benarkah-jokowi-panik-dan-ofensif-ini-penjelasan-lengkap-erick-thohir/3,"Rabu, 06 Februari 2019 - 08:12:00 WIB",Benarkah Jokowi Panik dan Ofensif? Ini Penjelasan Lengkap Erick Thohir,"Scan this QR or download app from:
Misalnya, dicap sebagai antek asing, Partai Komunis Indonesia (PKI), antek aseng dan lain-lain. Semua penzaliman itu sudah dimulai sejak 2014 dengan terbitnya Obor Rakyat.
""Jadi kalau sekarang beliau menjawab, itu lumrah. Sebab kalau tak menjawab, nanti fitnah itu dianggap benar. Anehnya, ketika beliau menjawab, dikatakan beliau panik dan ketakutan. Justru beliau sedang menyampaikan data dan fakta, yang selama ini diputarbalikkan,"" katanya.
Dia menambahkan, yang dilakukan Jokowi sekarang bukan menyerang, namun menyampaikan data dan fakta. Semuanya dilakukan dengan hitungan cermat.
Fakta menunjukkan usai debat perdana Pilpres 2019 tidak memengaruhi pemilih militan yang sudah ada. Data pemilih Jokowi dari empat bulan lalu hingga usai debat pertama berada di angka 54 persen.
Pemilih Prabowo-Sandi di angka 31 persen. Sebanyak 82 persen pemilih menyatakan takkan mengubah lagi pilihannya."
https://www.inews.id/finance/makro/presiden-jokowi-sudah-tandatangani-pp-kenaikan-gaji-pns-2019,"Senin, 11 Maret 2019 - 20:50:00 WIB",Presiden Jokowi Sudah Tandatangani PP Kenaikan Gaji PNS 2019,"Scan this QR or download app from:
JAKARTA, iNews.id- Gaji pegawai negeri sipil (PNS) tahun ini dipastikan naik 5 persen. Kepastian ini diperoleh setelah Presiden Jokowi dikabarkan telah menandantangani aturan itu.
Menteri KeuanganSri Mulyani Indrawatimengatakan, kenaikangaji PNSsebenarnya sudah diatur dalam Undang-Undang APBN 2019. Namun, kebijakan itu memerlukan aturan teknis setingkat Peraturan Pemerintah (PP).

Sri Mulyani mengakui perumusan PP tersebut membutuhkan waktu yang cukup lama. Hal ini karena PP itu cukup detail mengatur soal kenaikan gaji PNS di bagian lampiran.
""Intinya dalam kenaikan gaji memang diatur dalam PP. Hanya memang karena PP-nya sangat tebal, menyangkut keputusan kenaikan 5 persennya itu,"" ujar Sri Mulyani, di Jakarta, Senin (11/3/2019).
Mantan direktur pelaksana Bank Dunia itu menjelaskan, pihaknya perlu melakukan perhitungan mengenai jumlah pegawai dan gaji di setiap kementerian dan lembaga. Yang jelas, kata dia, proses tersebut telah tuntas dan tinggal diberi nomor saja."
https://www.inews.id/finance/bisnis/bangun-kilang-minyak-tuban-jokowi-untuk-buka-lapangan-kerja,"Sabtu, 02 Februari 2019 - 13:52:00 WIB","Bangun Kilang Minyak Tuban, Jokowi: Untuk Buka Lapangan Kerja","Scan this QR or download app from:
TUBAN, iNews.id- Pemerintah gencar membangunkilang minyakdi sejumlah daerah. Pembangunan tersebut dinilai untuk membuka lapangan pekerjaan bagi masyarakat.
“Dengan adanya kilang kita ingin investasi itu membuka lapangan pekerjaan yang sebanyak-banyaknya, dan sekaligus tentu saja akan meningkatkan ekonomi daerah,” kata Presiden Joko Widodo (Jokowi) melalui keterangan tertulis, Sabtu (2/2/2019).


Presiden menjelaskan, pembangunan tersebut mencakup kilang baru dan upgrading kilang lama. Sejumlah daerah yang akan dibangun kilang di antaranya Tuban, Balikpapan, Bontang, Cilacap, dan Balongan. Di Tuban, PT Pertamina (Persero) akan menggandeng Rosneft, perusahaan migas asal Rusia.
“Kita ingin memilikirefinery, kilang minyak sendiri, yang sangat diperlukan untuk memenuhi kebutuhan bahan bakar minyak dalam negeri sehingga akan meningkatkan kemandirian dan kedaulatan energi Indonesia,"" ucap dia.

Soal adanya penolakan sebagian warga Tuban, Mantan Gubernur DKI Jakarta tersebut mengimbau supaya warga menyampaikan aspirasi kepada kepala daerah, baik bupati maupun gubernur.
“Yang penting dibicarakan kalau ada yang belum setuju, investasi itu untuk membuka lapangan pekerjaan,” ujar dia.
Kilang Minyak Tuban adalah proyek pembangunan kilang minyak baru dengan kapasitas produksi 300 ribu barel per hari. Dengan dibangunnya proyek, diharapkan dapat meningkatkan penyediaan BBM sehingga dapat menurunkan ketergantungan terhadap impor.
Editor: Rahmat Fiansyah"
https://www.inews.id/news/nasional/peluncuran-kapal-selam-produksi-pt-pal-indonesia-tunggu-jadwal-jokowi,"Rabu, 03 April 2019 - 12:33:00 WIB",Peluncuran Kapal Selam Produksi PT PAL Indonesia Tunggu Jadwal Jokowi,"Scan this QR or download app from:
SURABAYA, iNews.id-PT PALIndonesia memproduksikapal selamdalam negeri dan siap diluncurkan. Selain itu kapal selam juga sudah menjalani proses opsiting serta pemindahan kapal.
Plt Kepala Departemen Humas PT PAL Indonesia (Persero) Utario Esna Putra mengatakan, keberadaan kapal selam sudah bisa menyatu dengan air dan telah dilakukan proses pemindahan dari hanggar atau bengkel kapal selam menuju Dok Semarang yang berada di kawasan PT PAL Indonesia.


""Kami hanya menunggu jadwal kepastian dari Istana (Presiden Joko Widodo) untuk seremonial peluncuran, namun proses opsiting terus berlanjut,"" ujar Utario di Surabaya, Jawa Timur, Rabu (3/4/2019).
Dia menuturkan, usai peluncuran kapal selam masih memerlukan beberapa tes atau uji coba kembali untuk menyempurnakan beberapa bagian dalam proses pengerjaan kapal. Awalnya peluncuran kapal selam  dijadwalkan Maret 2019, namun terpaksa diundur dan direncanakan kembali pekan depan karena ada ketidaksesuaian.
Perakitan kapal selam di galangan PT PAL Indonesia yang berlokasi di Kawasan Tanjung Perak, Surabaya, setelah mendapat transfer teknologi dari Korea Selatan. Tiga kapal selam yang dipesan oleh TNI AL itu merupakan program pertama dari transfer teknologi antara PT PAL Indonesia dengan Korea Selatan.
Kapal selam pertama bernama KRI Nagapasa-403 dan telah diresmikan oleh Menteri Pertahanan Ryamizard Ryacudu pada 2 Agustus 2017. Saat ini telah memperkuat armada Indonesia dan kapal selam kedua KRI Ardadedali 404 juga telah diresmikan di Galangan Daewoo, Korea.
Editor: Kurnia Illahi"
https://www.inews.id/news/nasional/jaringan-pengusaha-muda-muhammadiyah-dukung-jokowi-maruf,"Kamis, 21 Maret 2019 - 22:42:00 WIB",Jaringan Pengusaha Muda Muhammadiyah Dukung Jokowi-Ma'ruf,"Scan this QR or download app from:
JAKARTA, iNews.id– Ketua Dewan PembinaJaringan Pengusaha Muda Muhammadiyah, Mukhaer Pakkanna, menyatakan dukungannya kepada pasangan capres-cawapres Jokowi–Ma’ruf diPilpres 2019. Dukungan itu dinyatakan Mukhaer saat menghadiri acara deklarasi untuk paslon 01 di Istora Senayan, Jakarta Pusat, Kamis (21/3/2019) malam.
Mukhaer menilai pemerintahan Jokowi sejak awal mendorong munculnya ekonomi kerakyatan. “Visi ekonomi Jokowi adalah kemandirian ekonomi yang menyejahterakan rakyat. Ada beberapa sektor strategis yang menjadi titik perhatian yaitu kedaulatan pangan yang menyejahterakan, kedaulatan energi berbasis kepentingan nasional, restorasi ekonomi maritim Indonesia, penguatan teknologi inovasi,” kata Mukhaer.


Selain itu, dia menilai kepuasan di bidang ekonomi yang cukup tinggi menjadi penanda bahwa pemerintah telah melakukan sesuatu yang dirasakan oleh masyarakat. “Pemerintah telah melakukan segala upaya agar perekonomi Indonesia tetap kuat dan bertahan di tengah gempuran global,” ujarnya.
Mukhaer mengakui persoalan ekonomi memang cukup sensitif jika disandingkan dengan urusan politik. Namun, kata dia, sampai saat ini masyarakat masih percaya pada Jokowi. “Rakyat masih berharap pemerintahan ini dapat dilanjutkan untuk mewujudkan visi dan misinya, sehingga kesejahteran benar-benar terwujud,” ucapnya.
Dalam acara itu, ratusan anggota Jaringan Pengusaha Muda Muhammadiyah mendeklarasikan mendukung Jokowi-Amin dan memberikan bantuan senilai Rp1 miliar dalam mengampanyekan program Gerai Usaha Melati, 1.000 startup, 1.000 BLK, dan Bank Mikro Pesantren.
Editor: Ahmad Islamy Jamil"
https://www.inews.id/finance/makro/jokowi-sediakan-rumah-subsidi-untuk-tukang-cukur-cicilan-rp800-000,"Sabtu, 19 Januari 2019 - 16:12:00 WIB","Jokowi Sediakan Rumah Subsidi untuk Tukang Cukur, Cicilan Rp800.000","Scan this QR or download app from:
GARUT, iNews.id- Pemerintah memberikan fasilitas perumahan subsidi untuk tukang cukur rambut yang tergabung dalam Persaudaraan Pencukur Rambut Garut (PPRG). Rumah yang dibangun di Desa Sukamukti, Kecamatan Banyuresmi, Garut itu mencapai 500 unit.
""Nanti di sini akan dibangun untuk saudara-saudara kita para pemangkas rambut, tukang cukur, yang direncanakan di lokasi ini nanti 500 unit rumah. Ini akan kita mulai terlebih dahulu 150 unit,"" kata Presiden Joko Widodo (Jokowi) di Garut, Jawa Barat, Sabtu (19/1/2019).

Presiden mengatakan pembangunan tersebut menjadi bagian dari program FLPP (Fasilitas Likuiditas Pembayaran Perumahan) Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) yang dibantu BTN.
Dengan begitu, kata dia, nanti di dalam harga rumah yang ditawarkan ada subsidi uang muka Rp4 juta, kemudian subsidi bunga 5 persen. ""Kami harapkan nanti harga jual rumah itu berada pada kisaran angka Rp130 juta. Cicilannya setiap bulan kurang lebih Rp800.000. Sangat murah,"" kata dia.
Mantan Gubernur DKI Jakarta itu menambahkan perumahan untuk komunitas pertama kali dibangun untuk komunitas tukang cukur di Garut.
""Ini akan kami mulai yang pertama untuk pembangunan rumah komunitas di Garut. Nantinya kami juga akan bangun di provinsi-provinsi yang lain untuk komunitas-komunitas yang berbeda,"" kata dia.
Editor: Rahmat Fiansyah"
https://www.inews.id/otomotif/motor/komentar-modifikator-motor-jokowi-soal-tampang-kawasaki-w175-terbaru,"Kamis, 17 Januari 2019 - 00:33:00 WIB",Komentar Modifikator Motor Jokowi soal Tampang Kawasaki W175 Terbaru,"Scan this QR or download app from:
JAKARTA, iNews.id- PTKawasakiMotor Indonesia (KMI) baru saja meluncurkan varian baru W175, yakni W175 Cafe. Motor ini terinspirasi gaya cafe racer yang semakin digemari di Indonesia.Bagaimana tampang motor ini di mata modifikator? Bicara desain, modifikator Katros Garage, Andi Akbar menjelaskan, mengacu pada budaya cafe racer asli, posisi duduk pengemudi motor ini lebih menunduk dan mesinnya punya tenaga besar.""Jika berkaca dari cafe racer versi Eropa, kebanyakan hasil dari restorasi motor lama yang dijadikan motor balap, sehingga posisi duduknya sedikit menunduk,"" kata Andi, saat berbincang ringan dengan iNews.id di Kemang, Jakarta Selatan, baru-baru ini.Pria yang memodifikasi motor Presiden Joko Widodo (Jokowi) ini menilai W175 Cafe hampir tidak mendekati gaya cafe racer. ""Saya juga bingung melihat motor ini apanya yang cafe racer,"" ujar Andi.
Baca:Perkuat Gaya Retro, Kawasaki W175 Dapat Varian CafeOrang yang akrab disapa Ateng ini menilai mungkin Kawasaki hanya ingin menambahkan gimmick, cafe racer-nya bisa dilihat dari visor depan.""Sejatinya, kalau hanya menambahkan visor depan, tidak membuat motor tersebut menjadi cafe racer. Jadi kalau menurut saya masih kurang. Sebenarnya kalau dibikin half fairing aja lebih oke,"" katanya.Namu, dari segi pemilihan warna, Ateng mengaku Kawasaki paling berani dengan membubuhkan warna seperti kuning, merah dan abu-abu. Namun untuk ubahan secara signifikan Ateng melihat masih mirip dengan model pendahulunya.""Coba visor depannya sedikit lebih besar, tidak usah sampai bawah tapi half saja, itu sudah terlihat cafe racer,"" ujar Andi.
Editor: Dani M Dahwilani"
https://www.inews.id/news/nasional/debat-capres-jokowi-kemeja-putih-prabowo-jas-hitam,"Minggu, 17 Februari 2019 - 19:53:00 WIB","Debat Capres: Jokowi Kemeja Putih, Prabowo Jas Hitam","Scan this QR or download app from:
JAKARTA, iNews.id– Capres nomor urut 01 Joko Widodo dan nomor urut 02Prabowo Subiantotelah datang di Hotel Sultan, Jakarta, Minggu (17/2/2019). Keduanya akan berhadapan di panggung debat kedua yang mengangkat tema energi dan pangan, infrastruktur, serta sumber daya alam dan lingkungan hidup.
Prabowo tiba lebih dulu. Seperti debat pertama, ketua umum Partai Gerindra itu datang mengenakan setelah jas lengkap. Penampilan formal ini persis seperti yang digunakan dalam surat suaraPilpres 2019.

Sebelum memasuki ruang tunggu, Prabowo menuturkan bagaimana untuk memajukan bangsa ini. Salah satunya dengan memanfaatkan ekonomi sepenuhnya untuk kepentingan rakyat.
""Kita ingin membangun ekonomi yang berdiri di atas kaki kita sendiri, tidak bergantug kepada bangsa asing,"" ujar Prabowo di Hotel Sultan, Jakarta, Minggu (17/2/2019).
Adapun PresidenJokowihadir dengan didampingi Ibu Negara Iriana Widodo. Mereka berangkat dari Istana Negara, Jakarta. Sebagaimana debat terdahulu, Jokowi juga mengenakan ‘seragam kebesarannya’ yakni kemeja putih yang lengannya digulung dipadu dengan celana hitam."
https://regional.inews.id/berita/presiden-jokowi-resmikan-rusunawa-universitas-muhammadiyah-gorontalo,"Minggu, 03 Maret 2019 - 22:30:00 WIB",Presiden Jokowi Resmikan Rusunawa Universitas Muhammadiyah Gorontalo,"Scan this QR or download app from:
GORONTALO, iNews.id- Presiden Joko Widodo (Jokowi) meresmikan Rumah Susun Sewa (Rusunawa) Asrama PutriUniversitas MuhammadiyahGorontalodi Kabupaten Gorontalo, Jumat (1/2/2019).
Usai peresmian,Presiden Jokowimeninjau Rusunawa tersebut hingga ke lantai dua. Setelah itu, Presiden menandatangani prasasti sebagai tanda diresmikannya Rusunawa yang memiliki empat lantai dan jumlah kamar sebanyak 50 unit tipe 24.

Presiden Jokowi mengatakan, fasilitas rusunawa diperlukan untuk mahasiswa sebagai bagian dari program pengembangan sumber daya manusia (SDM). “Pada tahun 2019 direncanakan pembangunan rusun sebanyak 300 tower,” kata Jokowi.
Menteri PUPR Basuki Hadimuljono mengatakan, pembangunan rusun disamping untuk pekerja, MBR (Masyarakat Berpenghasilan Rendah), TNI/Polri, juga diperuntukkan untuk mahasiswa dan santri.

Hal ini merupakan bentuk perhatian dan keseriusan pemerintah dalam penyediaan rumah dan penataan kawasan lingkungan pendidikan. ""Tahun 2018 lalu ada 275 tower rusun yang dibangun, 30 persennya merupakan rusun mahasiswa dan ponpes,"" kata Menteri Basuki.
Rusun yang diresmikan dibangun pada tahun 2018 dengan luas lahan 512 meter persegi dengan anggaran Rp14 miliar. Rusun telah dilengkapi fasilitas dasar yakni jaringan air bersih, sanitasi dan listrik. Selain itu setiap kamar juga telah disediakan meubelair, seperti lemari, meja, kursi, dan tempat tidur di masing-masing kamarnya.
Pada periode tahun 2015-2018, Kementerian PUPR telah membangun 10 Rusun dengan jumlah kamar 523 unit di Provinsi Gorontalo. Tahun 2015 dibangun 2 Rusun yakni Rusun Polres Pohuwato dan Polres Boalemo.
Tahun 2016, dibangun dua rusun yakni, Rusun Lanal Gorontalo dan Politeknik di Kabupaten Bone Bolango. Tahun 2017, 2 uni yakni Rusun MBR Kota Gorontalo dan Rusun Pekerja di Kabupaten Gorontalo.
Tahun 2018, sebanyak empat rusun yakni, rusun mahasiswi Unmuh Gorontalo, rusun masyarakat berpenghasilan rendah (MBR) Pemkab Gorontalo, rusun MBR Pemkab Gorontalo Utara dan Rusun MBR Pemkab Pohuwato.
Selain Menteri PUPR Basuki Hadimuljono, hadir pula Kepala Staf Kepresidenan Moeldoko, Menteri Pendidikan dan Kebudayaan Muhadjir Effendy, Menteri Pertanian Amran Sulaiman, dan Gubernur Gorontalo Rusli Habibie.
Editor: Kastolani Marzuki"
