url,tanggal,judul,isi
https://www.inews.id/news/nasional/debat-cawapres-tpn-mahfud-md-juara-gibran-kelihatan-menghafal-dan-normatif/2,"Sabtu, 23 Desember 2023 - 11:14:00 WIB","Debat Cawapres, TPN: Mahfud MD Juara, Gibran Kelihatan Menghafal dan Normatif","Scan this QR or download app from:

""Gibran dari raut wajah terlihat seperti orang yang menghafal, tidak murni dari hasil olah pikir dirinya. Begitupun dengan Cak Imin terlihat normatif bahkan banyak blundernya. Intinya Cak Imin juara tiga malam ini,"" katanya.

Dalam paparan visi misinya, Mahfud mengulas penegakan hukum penting buat memastikan investasi dan pembangunan yang berkelanjutan dan bermanfaat bagi rakyat.
Menurutnya salah satu hal yang mesti dilakukan supaya pertumbuhan ekonomi berjalan lancar dan bermanfaat bagi rakyat adalah dengan memberantas korupsi di segala lini.
Dalam debat ini, ketiga cawapres didampingi capres masing-masing antara lain Anies Baswedan, Prabowo Subianto dan Ganjar Pranowo. Debat ini melewati tiga segmen. Segmen pertama para cawapres menyampaikan visi, misi, program kerja oleh masing-masing cawapres.
Editor: Donald Karouw"
https://www.inews.id/travel/kuliner/mahfud-md-pulang-ke-madura-yuk-cicipi-kuliner-khasnya-yang-menggugah-selera/2,"Sabtu, 18 November 2023 - 15:29:00 WIB","Mahfud MD Pulang ke Madura, Yuk Cicipi Kuliner Khasnya yang Menggugah Selera!","Scan this QR or download app from:

Topak Ladeh merupakan makanan Madura yang biasanya disajikan pada perayaan Lebaran Idul Fitri. Bagi masyarakat Madura, Lebaran tanpa topak ladeh terasa kurang lengkap. Dalam bahasa Madura, ""topak"" berarti lontong, sehingga topak ladeh berarti lontong dengan ladeh. Topak ladeh adalah hidangan berkuah santan yang diisi dengan irisan daging dan telur.
Anda pasti sudah tidak asing dengan makanan yang satu ini, apa lagi kalau bukan sate Madura. Makanan Madura yang satu ini merupakan hidangan yang tentu sudah familiar di kalangan masyarakat Indonesia, bahkan telah menyebar luas ke berbagai daerah di Tanah Air.

Keistimewaan Sate Ayam Madura terletak pada bumbu kacang manis yang khas. Umumnya, hidangan ini disajikan dengan tambahan kecap, irisan cabe, dan bawang merah, memberikan paduan cita rasa yang unik dan lezat. Keunikan inilah yang membuat makanan khas kampung Mahfud MD ini menjadi favorit di berbagai lokasi, menjadikannya salah satu kuliner yang digemari di seluruh Indonesia.
Kaldu kokot adalah makanan khas Madura yang sangat terkenal. Kaldu kokot merupakan kuliner yang terbuat dari kaki sapi yang diolah menjadi kaldu kikil yang lezat. Masyarakat Madura menyebut kaldu kikil dengan sebutan kaldu kokot.
Dalam bahasa Madura, ""kokot"" berarti kikil. Setiap kabupaten di kampung Mahfud MD ini memiliki cara penyajian kaldu kokot yang berbeda-beda. Di Kabupaten Sumenep, kaldu kokot disajikan dicampur dengan kacang tanah yang telah diulek. Kaldu kokot menjadi hidangan favorit saat turnamen karapan sapi, bahkan turis mancanegara yang menonton acara tersebut ikut menikmati hidangan ini."
https://www.inews.id/news/nasional/momen-yenny-wahid-tebak-tebakan-dengan-mahfud-md-apa-persamaan-pak-mahfud-dan-warteg/all,"Jumat, 05 Januari 2024 - 15:43:00 WIB",Momen Yenny Wahid Tebak-tebakan dengan Mahfud MD: Apa Persamaan Pak Mahfud dan Warteg?,"Scan this QR or download app from:
JAKARTA, iNews.id- Momen kocak terjadi saat putri Presiden ke-4 Abdurahman Wahid atau Gus Dur, Zannuba Ariffah Chafsoh yang akrab disapaYenny Wahid, maintebak-tebakandengan Calon Wakil Presiden (Cawapres) Nomor Urut 3Mahfud MD. Dia bertanya persamaan Mahfud dengan warteg.
Dalam video yang diunggah akun Instagram @bestienya_mahfudmd Jumat (5/1/2024), momen itu terjadi saat dewan penasihat Tim Pemenangan Nasional (TPN)Ganjar-Mahfuditu duduk semeja dengan sang menko polhukam.


Selain keduanya, tampak pula Ketua Tim Koordinasi Relawan Pemenangan Pemilu (TKRPP) Ganjar-Mahfud Ahmad Basarah dan mantan Menteri Agama Lukman Hakim Saifuddin.
""Pak Mahfud, pak Mahfud tahu gak persamaan pak Mahfud MD dengan warteg?"" ucap Yenny Wahid.

Mimik muka Mahfud MD tampak berubah. Dia berpikir serius demi menjawab pertanyaan Yenny.
""Apa ya? Persamaannya? Pak Basarah tahu gak persamaan Mahfud dengan warteg,"" ujar Mahfud.

""Waduh, saya enggak tahu lagi, Mba Yenny,"" kata Ahmad Basarah.
Mahfud juga bertanya kepada Lukman Hakim. ""Pak Lukman, Pak Lukman,"" tanya Mahfud.

""Waduh, apa itu ya? Enggak paham saya,"" kata Lukman.
""Apa Mba Yenny (jawabannya)? apa itu?"" tanya Mahfud penasaran.

""Mau tahu Pak Mahfud? Karena Pak Mahfud itu sama seperti warteg, sederhana tapi berkualitas,"" kata Yenny Wahid sembari.
Jawaban Yenny itu disambut gelak tawa serta tepuk tangan Mahfud, Basarah dan Lukman.
""Mba @yennywahid bisa aja nih.. #mahfudmd #yennywahid #ganjarpranowo #ganjarmahfud2024 #ganjarmahfud #tebaktebakan #gombalanmaut,"" tulis keterangan unggahan pada akun @bestienya_mahfudmd.
Para netizen pun terhibur dengan candaan tersebut.
""Waduuhhhh, bener bu yenny, pak mahfud sederhana berkualitas cawapres idaman,"" tulis akun @aisyahhumaira.
""Seru nih, bu yenny setuju bnget bu, pak mahfud sangat berkualitas,"" tulis akun @m.bahri00.
""Pliiis receh banget gue gini aja ketawa tapi emang keren banget sih pak Mahfud,"" tulis @andiiarab28.
Editor: Rizky Agustian"
https://www.inews.id/news/nasional/mahfud-md-ajak-anak-muda-gunakan-hak-pilih-politik-tak-bisa-dihindari-siapa-pun/all,"Kamis, 07 Desember 2023 - 06:08:00 WIB",Mahfud MD Ajak Anak Muda Gunakan Hak Pilih: Politik Tak Bisa Dihindari Siapa pun,"Scan this QR or download app from:
JAKARTA, iNews.id- Calon wakil presiden (cawapres) yang diusung Partai Persatuan Indonesia (Perindo),Mahfud MD, mengajakanak mudauntuk menggunakanhak pilihdalamPemilu 2024. Menurutnya, tidak memilih atau golput bukanlah jalan keluar untuk membawa Indonesia lebih baik.
Pernyataan itu disampaikan Mahfud saat menghadiri acara diskusi di kawasan Jakarta Selatan, Rabu (6/12/2023) malam. Acara tersebut menghadirkan artis Raffi Ahmad sebagai panelis.


Semula, Raffi bertanya kepada Mahfud MD terkait cara agar anak muda melek politik dan menggunakan hak pilihnya. Sebab, kata dia saat ini anak muda apatis terhadap politik.
""Bagaimana supaya anak-anak gen Z supaya mereka tidak apatis? Apa gagasan-gagasan mungkin yang bisa membuat gen Z dan generasi milenial melek akan politik yang damai dan bisa menghargai ini semua?"" kata Raffi kepada Mahfud.

Mahfud menjawab dengan mengajak anak muda untuk menggunakan hak pilih dalam Pemilu 2024. Menurutnya, politik adalah sebuah keniscayaan.
""(Politik) tidak bisa dihindarkan oleh siapa pun, kalau Anda tidak ikut memilih akan menerima risiko dari ketidakmemilihan itu karena orang yang terpilih itu adalah mungkin orang yang tidak bisa membawa aspirasi Anda,"" tuturnya.

Namun, Mahfud tidak setuju dengan pernyataan Raffi Ahmad kalau anak muda apatis terhadap politik. Sebab, hal itu berbanding terbalik dengan fakta yang ditemukan saat mengunjungi perkampungan di daerah.
""Kalau ada pandangan bahwa seakan-akan anak muda apatis terhadap politik itu saya kira enggak, itu mungkin gejala di TikTok,"" ujarnya.

""Karena saya datang ke kampung-kampung dalam sebulan ini, wah anak muda semua yang ingin berpolitik itu. Menurut saya jauh lebih besar yang ingin dan tertarik untuk berpolitik anak muda ini dan memberikan suaranya,"" kata Mahfud.
Dia pun menekankan kepada siapa pun yang suka bermain media sosial untuk mengampanyekan penggunaan hak pilih dalam Pemilu 2024. Masa depan Indonesia adalah anak muda dan sebaliknya.

""Itu yang harus dibangun kesadaran kepada anak-anak muda, tidak ada yang bisa menghindar dari politik. Siapa yang menghindar dari politik akan menjadi korban politik. Oleh sebab itu tentukan pilihan dengan bertanggung jawab,"" katanya.
Editor: Rizky Agustian"
https://www.inews.id/news/nasional/mahfud-md-kemenangan-bukanlah-tujuan-akhir-melainkan-awal-dari-perjuangan,"Rabu, 07 Februari 2024 - 11:54:00 WIB","Mahfud MD: Kemenangan Bukanlah Tujuan Akhir, Melainkan Awal dari Perjuangan","Scan this QR or download app from:
JAKARTA, iNews.id –Calon Wakil Presiden (Cawapres) nomor urut 3,Mahfud MDmenegaskan bahwakemenanganPilpres 2024bukan akhir dari sebuah kompetisi. Tapi melainkan awal perjuangan yang lebih besar untuk rakyat Indonesia.
“Bersama Mas Ganjar, partai koalisi,TPN, TPD, dan terutama rakyat yang saya cintai, saya yakin kemenangan bukanlah tujuan akhir, melainkan awal dari perjuangan yang lebih besar lagi. Bersama, kita akan bergerak lebih cepat lagi untuk membawa Indonesia ke arah yang lebih baik,” ujar Mahfud melalui akun Instagram pribadinya @mohmahfudmd, Rabu (7/2/2024).


Pria asal Pamekasan, Madura, Jawa Timur itu menyatakan bahwa masa kampanye Pilpres 2024 akan segera berakhir pada Sabtu (10/2/2024). Setelah itu, akan masuk masa tenang sebagai persiapan untuk pelaksanaan Pilpres 2024, pada 14 Februari 2024.
Selama masa kampanye, Mahfud melakukan safari berkeliling Indonesia, melintasi kampung-kampung, dan berdialog dengan setiap masyarakat yang dijumpai. Dia mengaku, pertemuan dengan masyarakat selalu menimbulkan kesan kehangatan serta keberagaman rakyat yang menyentuh hati.

“Saya mengingat tangan-tangan yang saya genggam, cerita-cerita yang saya dengar, setiap harapan rakyat yang harus dibela, dan diperjuangkan,” kata Mahfud.
"
https://www.inews.id/news/nasional/mahfud-ungkap-ada-operasi-bungkam-kritik-kampus-ke-jokowi-diminta-bilang-pemilu-berjalan-baik,"Selasa, 06 Februari 2024 - 13:34:00 WIB","Mahfud Ungkap Ada Operasi Bungkam Kritik Kampus ke Jokowi, Diminta Bilang Pemilu Berjalan Baik","Scan this QR or download app from:
YOGYAKARTA, iNews.id- Calon Wakil Presiden (Cawapres) Nomor Urut 3Mahfud MDmengungkapkan adanya operasi untuk membungkamkritikperguruan tinggi ataukampusterhadap pemerintahan Presiden Joko Widodo (Jokowi). Menurutnya, para rektor diminta oknum tertentu menyatakan sikap bertolak belakang dengan kritik yang disampaikan paraguru besar, salah satunya menyebut Pemilu 2024 berjalan dengan baik.
Pernyataan itu disampaikan Mahfud dalam acara Tabrak Prof! di Koat Kopi, Yogyakarta, Senin (5/2/2024). Semula, dia menanggapi aspirasi yang disampaikan anak muda bernama Irsyad.


Irsyad merasa bangga karena kampus-kampus, terutama di Yogyakarta, sudah menunjukkan upaya penyelamatan demokrasi. Akan tetapi, dia mempertanyakan apakah pemerintah dan aparat penegak hukum mengintervensi upaya tersebut.
Menanggapi aspirasi pemuda tersebut, Mahfud menjelaskan kemungkinan intervensi bisa terjadi. Sejauh ini, kata dia, sudah ada 59 kampus yang telah menyatakan sikap.

“Karena sampai sore ini ada 59 perguruan tinggi yang terus mengalir ya, dan ini akan terus perguruan tinggi menyatakan sikap untuk mengawal pemilu dan munculnya pemerintahan yang beretika,” kata Mahfud.
Dia pun mengucapkan terima kasih kepada guru besar dan sivitas akademika UGM yang telah mengawali pernyataan sikap dan mengajak perguruan tinggi lain untuk melakukan tindakan serupa."
https://indramayu.inews.id/read/378295/arya-permana-graha-bidik-kemenangan-ganjar-mahfud-hingga-kursi-dpr-ri,"Senin, 04 Desember 2023 | 12:15 WIB",Arya Permana Graha Bidik Kemenangan Ganjar-Mahfud hingga Kursi DPR RI,"Scan this QR or download app from:
KUNINGAN,iNewsIndramayu.id–Caleg DPR RIDapilJabarX, Arya Permana Graha merasa yakin jika raihan suara pasangan Capres-Cawapres nomor urut 3 yakni Ganjar-Mahfud di Jawa Barat bakal optimal. Rasa optimis ini cukup tinggi, karena mesin partai terus bergerak dan bekerja maksimal.
Konsolidasi internal dariPPPdi Kabupaten Kuningan, Jawa Barat, juga makin gencar dilakukan. Bahkan saat masa kampanye sekarang, Senin (4/12), semua tim pemenangan dari masing-masing dapil tetap bergerak menemui masyarakat.
“Yang pasti, jika hari ini ada pernyataan dari masing-masing tim pemenangan Capres-Cawapres merasa optimis akan menang di Jawa Barat, maka kami tentu juga sama optimis menang di Jawa Barat. Nah soal strategi, kami sebagai tim pemenangan tentu punya formula masing-masing,” kata Arya Permana Graha yang menjabat pula Bendahara Umum DPP PPP.
Termasuk bagaimana meraih kemenangan di Kabupaten Kuningan, Ia selaku pituin Kuningan tentunya memiliki strategi tersendiri. Apalagi kini maju sebagai Caleg DPR RI Dapil Jabar X (Kuningan, Ciamis, Banjar, Pangandaran), sehingga akan optimal menggenjot suara partai maupun Capres-Cawapres Ganjar-Mahfud.
“Memang Jawa Barat ini menjadi magnet bagi semua kandidat Capres-Cawapres maupun tim pemenangan masing-masing. Sebab pemilih terbesar ada di Jawa Barat,” katanya.
Selain itu, lanjutnya, dari sisi geografis wilayah Jabar sebagai penyangga ibukota menjadi kawasan strategis, sehingga lebih mudah dijangkau saat konsolidasi. Jadi konsolidasi tidak terlalu memakan waktu yang panjang ketika berkeliling wilayah Jabar.
Kaitan dengan peluang PPP meraih kursi di DPR RI dari Dapil Jabar X, Ia merasa, jika berhitung dari pileg tahun lalu maka PPP masih sangat berpeluang mendapat 1 kursi di DPR RI.
“Jadi kita harus realistis ya, 1 kursi untuk target DPR RI. Karena potret pemilu terakhir di Pileg 2019, semua rata masing-masing mendapat 1 kursi dari 7 partai politik,” terangnya.
Melihat konstelasi politik saat ini, Ia berpendapat, bahwa persaingan untuk kursi DPR RI di Pileg 2024 tidak jauh berbeda dari Pileg 2019. Sehingga masing-masing partai politik masih di posisi dengan raihan 1 kursi.
“Ada 7 partai mendapatkan masing-masing 1 kursi, dan melihat perkembangan sekarang hitung-hitungan saya masih masing-masing 1 kursi. Jadi cukup sulit bukan saja bagi PPP, tapi juga untuk partai lain mendapatkan 2 kursi,” imbuhnya.
Saat ditanya daerah mana yang dinilai cukup alot meraih suara pemilih, Ia menyebut, apabila semua wilayah di Dapil Jabar X memiliki penerapan strategi masing-masing. Hanya yang paling dioptimalkan, yakni Kabupaten Kuningan karena sebagai tanah kelahiran.
“Saya tidak menyampaikan bahwa Ciamis, Banjar, Pangandaran itu alot, dan Kuningan itu lebih mudah. Ya karena memang dalam peta saya dan potensi yang sudah terukur, saya menyimpulkan bahwa potensi yang paling mungkin dioptimalkan adalah Kuningan. Maka inilah yang saya maksimalkan (Caleg DPR RI) kaitan dengan konsolidasi jaringan maupun elektoral,” pungkasnya.(*)
Editor : Tomi Indra Priyanto"
https://www.inews.id/news/nasional/ahok-akan-hadiri-kampanye-pamungkas-ganjar-mahfud-di-hajatan-rakyat-gbk-hari-ini/1,"Sabtu, 03 Februari 2024 - 06:38:00 WIB",Ahok Akan Hadiri Kampanye Pamungkas Ganjar-Mahfud di Hajatan Rakyat GBK Hari Ini,"Scan this QR or download app from:
JAKARTA, iNews.id-Basuki Tjahaja PurnamaaliasAhokakan ikut berkampanye bagi Capres-Cawapres Nomor Urut 3 Ganjar Pranowo dan Mahfud MD padaHajatan RakyatJakarta di Stadion Utama Gelora Bung Karno (GBK), Sabtu (3/2/2024). Pernyataan itu menyusul deklarasi dukungannya terhadapGanjar-Mahfudusai mengundurkan diri dari Komisaris Utama (Komut) PT Pertamina (Persero).
Pengunduran diri Ahok menjadi pengumuman resmi mantan Gubernur DKI Jakarta itu untuk menghilangkan kebingungan atau misinformasi di kalangan Ahokers terkait berita-berita hoaks yang beredar mengenai arah politiknya pada Pilpres 2024.


""Intinya agar para Ahokers tidak bingung arah politik saya kemana. Dengan ikut kampanye dukung Pak Ganjar dan Pak Mahfud, semua isu hoaks bahwa saya dukung pasangan lain langsung stop,"" kata Ahok di Jakarta, Jumat (2/2/2024).
Ahok juga memastikan akan hadir pada Hajatan Rakyat Jakarta yang menjadi   kampanye pamungkas Ganjar-Mahfud.

Kabar mengenai pengunduran diri Ahok dari Komut PT Pertamina disampaikan melalui unggahan di akun Instagram pribadinya, @basukibtp, pada Jumat (2/2/2024) malam. Dalam unggahan itu, Ahok yang memakai kemeja kotak berwarna biru hitam menunjukkan bukti tanda terima surat pengunduran dirinya yang ditujukan kepada Dewan Komisaris PT Pertamina.
Sedangkan pada halaman selanjutnya, Ahok mengunggah tanda penyerahan surat pengunduran diri dan laporan pertanggungjawaban sebagai Komut PT Pertamina kepada Menteri BUMN Erick Thohir, selaku pemegang saham. Adapun surat pengunduran diri yang ditujukan kepada Dewan Komisaris Pertamina dan Menteri BUMN itu tercatat pada Kamis (1/2/2024)."
https://www.inews.id/finance/bisnis/mahfud-md-janji-prioritaskan-pendidikan-gratis-hingga-kuliah,"Sabtu, 03 Februari 2024 - 11:23:00 WIB",Mahfud MD Janji Prioritaskan Pendidikan Gratis hingga Kuliah!,"Scan this QR or download app from:
JAKARTA, iNews.id -Cawapres nomor urut 3Mahfud MDberjanji akan  memprioritaskan pendidikan gratis hingga perguruan tinggi. Hal itu dilakukan untuk menyediakan 17 juta lapangan pekerjaan di Indonesia lewat program 1 keluarga miskin 1 sarjana.
Hal itu disampaikan Mahfud dalam acara Fun Walk Puncak Peringatan HUT Partai Hanura ke-17 di Jalan Kostal Area, Kabupaten Karimun, Kepulauan Riau (Kepri), Sabtu (3/2/2024).


""Kalau ada keluarga yang masih tertinggal di bidang ekonomi atau miskin, kami akan ambil satu keluarganya untuk disekolahkan sampai perguruan tinggi,"" ucap  Mahfud di atas panggung Fun Walk.
Menurut Mahfud, pendidikan gratis yang disediakan negara bekal pendorong agar lebih banyak lapangan pekerjaan dengan penghasilan layak untuk masyarakat Indonesia.

Dengan begitu, anggota keluarga prasejahtera yang mendapatkan program tersebut bisa memperbaiki perekonomian keluarga setelah berhasil lulus dari perguruan tinggi."
https://www.inews.id/news/nasional/ganjar-mahfud-safari-politik-keliling-pulau-jawa-hari-ini-tatap-muka-dengan-rakyat,"Rabu, 07 Februari 2024 - 07:49:00 WIB","Ganjar-Mahfud Safari Politik Keliling Pulau Jawa Hari Ini, Tatap Muka dengan Rakyat","Scan this QR or download app from:
JAKARTA, iNews.id– Capres-Cawapres Nomor Urut 3 yang didukung Partai Perindo, Ganjar Pranowo dan Mahfud MD kembali melanjutkansafari politikpada hari ke-72 kampanye Pilpres 2024, Rabu (7/2/2024). Keduanya akan berkeliling Pulau Jawa untuk bertatap muka dengan rakyat.
Berdasarkan informasi Tim MediaTPNGanjar-Mahfud, Ganjar dan Mahfud akan menggelar kampanye tatap muka di sejumlah wilayah di Jawa Tengah, Jawa Timur, dan Jakarta.


Ganjar secara marathon akan melakukan safari politik di Kabupaten Karanganyar, Kabupaten Grobogan, Kota Magelang, dan Kota Klaten.
Gubernur Jawa Tengah dua periode itu akan mengawali aktivitas dengan menghadiri deklarasi dukungan PP Polri Jawa Tengah di Kecamatan Colomadu, Kabupaten Karanganyar. Selanjutnya, Ganjar berdiskusi dengan sekitar 500 petani yang dilanjutkan  menghadiri Kampanye Akbar di Stadion Krida Bhakti Purwodadi, Kabupaten Grobogan.

Setelah berorasi politik di Stadion Krida Bhakti Purwodadi, Ganjar beserta rombongan akan mengunjungi pabrik yang memproduksi  jamu dan obat herbal modern, Sido Muncul, untuk berdialog dengan para buruh.
Ganjar kemudian bertolak menuju Desa Taman Agung, Kabupaten Magelang, untuk menghadiri Pesta Rakyat Saga Magelang di Lapangan Bola Taman Agung Magelang."
