url,tanggal,judul,isi
https://papua.inews.id/berita/15-kabupaten-di-papua-rawan-konflik-bersenjata-saat-pemilu,"Selasa, 12 Februari 2019 - 13:02:00 WIT",15 Kabupaten di Papua Rawan Konflik Bersenjata saat Pemilu,"Scan this QR or download app from:
JAYAPURA, iNews.id– PoldaPapuamemperkirakan ada 15 kabupaten dari 28 dan 1 kota di Provinsi Papua, rawan mengalami konflik bersenjata pada Pemilu nanti. Namun, Polri bersama TNI siap mengamankan jalannya pesta demokrasi itu.
Kapolda Papua Irjen Pol Martuani Sormin Siregar mengatakan, ke-15 kabupaten itu di antaranya Kabupaten Puncak, Puncak Jaya, Mimika, Intan Jaya, Nduga dan Jayawijaya. Dari 15 daerah tersebut, masih ada yang belum mempunyai kantor kepolisian resor (polres).

Di Kabupaten Nduga misalnya, hanya ada pos polisi. Belakangan statusnya baru ditingkatkan menjadi polsek dengan kekuatan 15 personel.Polda Papuamengalami penolakan di Nduga karena ada trauma saat operasi Mapenduma pada 1996 lalu.
“Harapannya hal ini bisa didengar oleh Pak Gubernur Papua dan jajarannya agar bisa membantu untuk penyediaan infrastrukturnya,” kata Kapolda dalam seminar nasional bertema Tantangan dan Harapan Pembangunan Infrastruktur, Energi, dan Pangan serta Lingkungan Hidup di Papua dan Papua Barat di Rektorat Universitas Cenderawasih Kota Jayapura, Selasa (12/2/2019).

Selain itu, ada kabupaten yang hingga kini jalannya roda pemerintahan dilakukan di luar daerah karena masih ada persoalan internal di lingkungannya. “Itu adalah Kabupaten Intan Jaya, ibu kota Sugapa, tapi jalannya pemerintahan di Nabire,” ujarnya.
Mantan Kapolda Papua Barat itu juga mengungkapkan, di Papua ada 15.000 tempat pemungutan suara (TPS) dengan 3 juta lebih daftar pemilih tetap (DPT) yang tersebar di 15.000 kampung/kelurahan, 500 distrik, dan 29 kabupaten/kota.
“Kami bersama TNI siap mengamankan jalannya pesta demokrasi ini, tentunya tetap membutuhkan dukungan semua pihak,” katanya.
Editor: Maria Christina"
https://www.inews.id/news/nasional/caleg-perindo-meyakini-menang-pemilu-2019-berbekal-program-ini,"Kamis, 04 April 2019 - 14:21:00 WIB",Caleg Perindo Meyakini Menang Pemilu 2019 Berbekal Program Ini,"Scan this QR or download app from:
JAKARTA, iNews.id–Partai Perindoterus mensosialisasikan program-program yang mendongkrak kehidupan masyarakat. Serangkaian program itu adalah UMKM, ambulans, gerobak binaan, bazar murah dan pengasapan (fogging) gratis guna mencegah demam berdarah.
Tujuan dari serangkaian aksi itu, tidak lain, adalah untuk memenangkanPemilu 2019. Calon anggota legislatif (caleg) Partai Perindo DPRD DKI Jakarta Dapil I Nomor Urut 1, Pahala Tua Sianturi meyakini serangkaian program partainya memberikan hasil positif.


""Khusus di wilayah saya, saat ini Perindo positif menang, karena program Partai Perindo dari UMKM, ambulan, gerobak, bazar murah, fogging gratis itu positif,"" katanya saat dikonfirmasi, di Jakarta, Kamis (4/4/2019).
Berbekal respons positif masyarakat itu, tidak heran jika Pahala meyakini Perindo dapat memenangi Pemilu 2019, khususnya untuk ibu kota Jakarta. Apalagi, dia mengaku, pihaknya sudah memetakan masyarakat di dapilnya untuk meraih hasil yang maksimal.

""Pemetaannya sudah sampai tingkat RT. Jadi dari kecamatan dulu kita petakan. Kayak saya di Jakarta Pusat delapan kecamatan. Kita petakan, baru kita bergerilya,"" tuturnya.
""Dari situ, kita masuk level RT. Kita tentukan program Partai Perindo. Kan ada sembilan yang harus diturunkan, dan programnya bagus, enggak meleset,"" tambahnya.

Jadi, Pahala mengatakan, komitmen Perindo jelas untuk membuat rakyat sejahtera melalui pembinaan, baik di UMKM maupun sejumlah program lainnya. ""Dengan begitu kita juga yakin bisa lolos PT,"" ujar ketua DPD Partai Perindo DKI Jakarta ini.
Editor: Djibril Muhammad"
https://www.inews.id/lifestyle/seleb/tinggal-di-australia-lusy-rahmawaty-turut-sukseskan-pemilu-indonesia,"Sabtu, 13 April 2019 - 12:32:00 WIB","Tinggal di Australia, Lusy Rahmawaty Turut Sukseskan Pemilu Indonesia","Scan this QR or download app from:
JAKARTA, iNews.id- Warga negara Indonesia yang tinggal di Australia hari ini telah mengikuti pemilihan umum. Tak ketinggalan pula, penyanyiLusy Rahmawatyyang turut menggunakan hak pilihnya
Dia datang ke kantor Konsulat Jendral Republik Indonesia di Australia untuk melakukan hak dan kewajiban sebagai warga negara Indonesia. Usai menyoblos, Lusy dan suaminya mengunggah foto dengan jari kelingking yang sudah dilumuri tinta.

""Buat warga negara Indonesia yg tinggal di Sydney-Australia, hari ini kami melakukan hak & kewajiban kami untuk melaksanan Pemilu 2019,"" tulisnya seperti dikutip dari akun Instagramnya, Sabtu (13/4/2019).

Lusy juga memberikan pesan kepada semua orang untuk menggunakan hak pilihnya. Terlebih bagi WNI yang bisa pulang ke Indonesia, bagi Lusy juga wajib untuk melakukan hak dan kewajibannya.
""For those whose lucky enough to do it back home... gunakan hak pilih kalian sebaik2nya,"" imbuhnya.
Seperti diketahui, Lusy hampir dua tahun menetap di Australia bersama anak-anaknya. Mereka tinggal di Malabar, New South Wales sejak Desember 2016 lalu.
Editor: Adhityo Fajar"
https://jateng.inews.id/foto/kpu-sosialisasikan-pemilu-2019-damai-dengan-gambar-mural,,KPU Sosialisasikan Pemilu 2019 Damai dengan Gambar Mural,"Scan this QR or download app from:
(ANTARA FOTO/R. Rekotomo)
PHOTO LAIN
SEMARANG, iNews.id- Seorang warga melintas di depanmuraltentang pemilu di kompleks Taman Budaya Raden Saleh (TBRS) Semarang, Jawa Tengah, Senin (4/3/2019).
Mural pemilu yang digagas olehKPUProvinsi Jawa Tengah itu bertujuan untuk mengajak masyarakat agar antusias dalam berpartisipasi pada pemilu yang akan digelar 17 April 2019.
(ANTARA FOTO/R. Rekotomo)
Editor : Yudistiro Pranoto
Follow Berita iNewsJateng diGoogle News
PHOTO TERKAIT
KOMENTAR
Video
Viral! Kapolsek Kendal Tertangkap Masuk Rumah Janda, Propam Turun Tangan
Multimedia |18 hari lalu
Heboh! Surat Ortu Dilarang Tuntut Jika Anak Keracunan Program Makan Gratis di Brebes Viral
Video |20 hari lalu
Unsoed Periksa Oknum Guru Besar Diduga Lecehkan Mahasiswi
Video |1 bln lalu
Jurnalis iNews Dibacok Dua Orang Tak Dikenal di Grobogan, Polisi Telusuri Identitas Pelaku
Video |1 bln lalu
Kenaikan PBB-P2 250 Persen Dibatalkan, Bupati Pati Minta Maaf kepada Warga
Video |2 bln lalu
Photo
1,2 Juta Petasan Hasil Razia Dimusnahkan Polresta Banyumas
Jalanan Dipenuhi Lumpur Bekas Erupsi Kawah Sileri Dieng Mulai Dibersihkan
Warung Sedekah Sediakan 200 Paket Makanan Gratis untuk Warga Kurang Mampu
Intip Keseharian Mantan Wali Kota Solo FX Rudy Jadi Tukang Las
Suasana Desa Kalipedes Tegal Pascabanjir Bandang
KOLOM
Gas Melon: Ketika Subsidi Tak Sampai, Harga Mencekik Emak-Emak!
Instruktur Berkualitas, Peserta Didik Naik Kelas
Persoalan Keamanan Data dan Upaya Perlindungannya"
https://sumut.inews.id/berita/coretan-vandalisme-ajakan-golput-di-pemilu-ramai-di-jalan-juanda-medan,"Senin, 04 Maret 2019 - 08:23:00 WIB",Coretan Vandalisme Ajakan Golput di Pemilu Ramai di Jalan Juanda Medan,"Scan this QR or download app from:
MEDAN, iNews.id– Warga KotaMedan, Sumatera Utara (Sumut), dikejutkan dengan aksivandalismedi sepanjang Jalan Juanda. Coretan-coretan tulisan berisi ajakan untukgolputdi Pemilihan Umum (Pemilu) 2019 itu terlihat sejak Minggu (3/3/2019).
Dari pantauan, sepanjang lintasan Jalan Juanda hingga persimpangan Jalan Polonia, Medan, dipenuhi coretan-coretan tulisan, mulai dari halte, pagar,alat peraga kampanye(APK), taman kota, dan tembok rumah warga.

Adapun tulisannya bervariasi, di antaranya, golput aktif coblos semua, “golput = coblos semua calon, golput saja, tolak dwifungsi ABRI, dan “2019 kena tipu parpol? bodoh sekali anda”.
Petugas Kepolisian Sektor (Polsek) Medan Kota langsung turun ke lokasi bersama jajaran Panwas Kecamatan Medan Maimun dan beberapa kepala lingkungan (kepling) setempat. Mereka kemudian menghapus dan membersihkan coretan-coretan provokatif itu.

Kanit Intel Polsek Medan Kota Dimpos Hutabarat mengatakan, mereka awalnya mendapatkan informasi dari masyarakat terhadap banyaknya coretan tulisan di sepanjang Jalan Juanda. Petugas kemudian langsung menindaklanjuti laporan warga.
“Kami turun ke lokasi dan menemukan coretan-coretan di sepanjang Jalan Juanda. Kami kemudian menghubungi Panwas Kecamatan Medan Maimun untuk berkordinasi terkait hal itu,” kata Dimpos saat dikonfirmasi, Senin (4/3/2019).
Sementara Ketua Panwas Kecamanan Medan Maimun Muh Yamin Nasution mengatakan, pihaknya bersama polisi dan kepling telah mengambil tindakan dengan membersihkan tulisan tersebut. Yamin juga mengimbau agar masyarakat jangan mudah terprovokasi dengan tulisan-tulisan ajakan golput.
“Ini adalah tindakan yang dilakukan orang yang tidak bertanggung jawab. Kondusivitas masyarakat di Kecamatan Medan Maimun akan terus terjaga hingga pemilu digelar,” katanya.
Editor: Maria Christina"
https://jatim.inews.id/berita/takut-dimanfaatkan-penghuni-yayasan-gck-jombang-dilarang-ikut-pemilu,"Kamis, 21 Maret 2019 - 21:30:00 WIB","Takut Dimanfaatkan, Penghuni Yayasan GCK Jombang Dilarang Ikut Pemilu","Scan this QR or download app from:
JOMBANG, iNews.id- Ratusan warga penghuni Yayasan Griya Cinta Kasih (GCK)Jombang, Jawa Timur dipastikan golput (tak menggunakan hak pilih) pada Pemilu 17 April mendatang. Pihak yayasan melarang mereka untuk ikut pemilu karena takut dimanfaatkan.
Pimpinan Yayasan Griya Cinta Kasih, Jamiin mengatakan, para penghuni yayasan adalah pasien penderita gangguan jiwa. Kendati sebagian di antara mereka telah sembuh (normal), mereka belum memiliki pengetahuan atau kemandirian dalam memilih.

Jamiian menyebutkan, jumlah penghuni yayasan Griya Cinta Kasih ada 200 orang. Dari jumlah itu, 40 persen di antaranya telah normal. Mereka sudah beraktivitas seperti biasa dan bergaul dengan masyarakat.
“Kalau ikut pemilu, kami khawatir mereka akan dimanfaatkan calon tertentu. Sebab, mereka ini belum memiliki kemandirian dalam memilih. Mereka juga tidak memiliki pengetahuan cukup tentang siapa calon yang akan dipilih,” katanya, Kamis (21/3/2019).
Pada kondisi seperti itu, para penghuni, lanjut Jamiin, akan menurut kepada siapa saja yang mengarahkan. “Begitu ada yang memerintah atau menunjukkan gambar calon yang akan dicoblos, mereka akan ikut,” ujarnya.
Karena itu, dia menilai, mengikutkan para penghuni dalam pesta demokrasi sangatlah rawan. Mereka bisa dimanfaatkan oleh pihak-pihak tertentu yang tidak bertanggung jawab. “Ini (mengikutkan penghuni dalam pemilu) bisa menjadi fitnah. Pihak yayasan bisa dituding memihak calon tertentu,” katanya.
Seperti diketahui, pada PKPU No.11/2018 tentang Penyusunan Daftar Pemilih, dinyatakan bahwa, penyandang disabilitas mental punya hak sama dengan warga lainnya. Mereka bisa menggunakan hak politiknya. Ikut dalam pencoblosan, kendati harus menyertakan surat keterangan dokter.
Editor: Kastolani Marzuki"
https://www.inews.id/multimedia/photo/brigade-hanura-siap-memperbesar-suara-partai-pada-pemilu-2019,,Brigade Hanura Siap Memperbesar Suara Partai pada Pemilu 2019,"CILEGON, iNews.id- Puluhan anggotaBrigade Hanuramengikuti Diklatsar Angkatan I tahun 2018 di Anyer, Banten, Selasa (13/11/2018).
Dalam sambutannya Ketua Umum Hanura Osman Sapta Odang yang disampaikan melalui Komandan Nasional Brigade Hanura Obrien Sitepu mengungkapkan, Brigade Hanura harus mampu menjadi kader militan untuk memperbesar perolehan suara partai pada Pemilu 2019.
Editor: Yudistiro Pranoto"
https://jateng.inews.id/berita/lewat-seni-barongan-bawaslu-kendal-ajak-warga-wujudkan-pemilu-bersih,"Minggu, 06 Januari 2019 - 12:44:00 WIB","Lewat Seni Barongan, Bawaslu Kendal Ajak Warga Wujudkan Pemilu Bersih","Scan this QR or download app from:
KENDAL, iNews.id- Badan Pengawas Pemilu (Bawaslu) KabupatenKendalmelakukan sosialisasi pengawasan pemilu melalui kesenian tradisional barongan diAlun-Alun Kendal, Minggu (6/1/2019).
Dipilihnya kesenian khas Kendal itu untuk memudahkan penyampaian pesan kepada masyarakat agar ikut serta mengawasi pemilu damai dan menolak politik uang.
Bawaslu mendatangkan dua singa barong untuk menarik warga yang sedang beraktivitas di sekitar alun-alun. Sambil menggelar seni barongan, sejumlah petugas Bawaslu membagikan stiker dan pamflet ke masyarakat.
Ketua Bawaslu Kendal, Odiliya Amy Wardayani mengatakan, sosialisi itu untuk mengajak masyarakat agar berperan aktif dalam pengawasan pemilu. Dalam sosialisasi itu, kata dia, sebanyak 2.668 buah alat peraga berupa stiker dan pamflet dibagikan kepada masyarakat di 20 kecamatan.
“Isinya (stiker dan pamflet) beragam dari ajakan agar masyarakar melapor ketika menemukan pelanggaran hingga himbauan untuk menolak politik uang,” kata dia.
Menurut Ody, melalui sosialisasi itu Bawaslu mengajak masyarakat agar tidak mudah terprovokasi dan tidak percaya pada berita hoaks, sehingga masyarakat harus cerdas bisa membedakan antara berita bohong dan berita sesungguhnya.
“Peran masyarakat dalam proses pengawasan sangat penting. Hal ini sesuai dengan motto Bawaslu bersama rakyat awasi pemilu, bersama Bawaslu tegakkan keadilan pemilu,” tandasnya.
Warga Cepiring, Orianah mengaku baru tahu kalau ada pelanggaran pemilu bisa di laporkan ke Bawaslu. “Dengan sosialisasi ini, saya tahu jenis pelanggaran kampaye salah satunya politik uang dilarang oleh undang-undang,” ucapnya.
Editor: Kastolani Marzuki"
https://www.inews.id/news/internasional/presiden-baru-kolombia-janji-satukan-warga-yang-terpecah-akibat-pemilu,"Rabu, 08 Agustus 2018 - 12:10:00 WIB",Presiden Baru Kolombia Janji Satukan Warga yang Terpecah akibat Pemilu,"Scan this QR or download app from:
BOGOTA, iNews.id- PresidenKolombiaterpilih, Ivan Duque (42), berjanji menyatukan kembali rakyatnya yang terpecah akibat pemilihan presiden (pilpres). Duque juga berkomitmen memperbaiki pertumbuhan ekonomi Kolumbia.
Politikus pendatang baru di partai konservatif ini memenangi pilpres pada Juni lalu dengan mengalahkan pesaingnya dari sayap kiri, Gustavo Petro. Pilpres diwarnai persaingan sengit yang mengakibatkan rakyat terpecah.

Dalam pidato pelantikannya, mantan pengacara ini berjanji melakukan perubahan untuk memberantas korupsi dan memperkuat ekonomi. Dia juga berkomitmen meninjau ulang perundingan damai dengan kelompok pemberontak Farc.
Sebelum menyepakati perdamaian, Farc merupakan kelompok pemberontak sayap kiri terbesar di Kolombia. Kelompok itu dibentuk pada 1964 dengan tujuan menggulingkan pemerintah dan mengukuhkan rezim Marxisme.
Presiden Kolombiasebelumnya, Juan Manuel Santos, telah meminta agar Duque menghormati kesepakatan damai itu, yang telah dinegosiasikan sejak 2016 lalu dan berhasil menyudahi konflik brutal selama lima dekade."
https://www.inews.id/multimedia/photo/superhero-ramaikan-karnaval-kampanye-damai-pemilu-2019,,Superhero Ramaikan Karnaval Kampanye Damai Pemilu 2019,"JAKARTA, iNews.id- Sejumlah peserta memakai kostumsuperheroala Marvel dan DC mengikutikarnavalkampanye damaipemilu 2019 di kawasan Jalan Merdeka Barat, Jakarta, Minggu (23/9/2018).
Karnaval yang diikuti oleh partai peserta pemilu 2019 ini bertujuan untuk mensosialisasikan kampanye anti politisisasi SARA, hoaks dan politik uang.
(Sindonews/Isra Triansyah)
Editor: Yudistiro Pranoto"
