url,tanggal,judul,isi
https://www.inews.id/news/megapolitan/warga-lebak-doakan-ganjar-menang-pilpres-2024-antusias-datangi-bazar-sembako-murah/2,"Senin, 01 Januari 2024 - 14:51:00 WIB","Warga Lebak Doakan Ganjar Menang Pilpres 2024, Antusias Datangi Bazar Sembako Murah","Scan this QR or download app from:

""Sebagai ibu rumah tangga terbantu dengan adanya program tebusan di bawah harga, yang mana saat ini kami secara ekonomi sangat minim,"" kata Sukanti.
Sukanti mengucapkan terima kasih atas program dari Ganjar-Mahfud, karena memahami kebutuhan rakyat, dan memberikan kontribusi nyata kepada masyarakat setempat.
""Resah banget harga beras naik melonjak, adanya program dari Bapak Ganjar dan Bapak Mahfud sangat berterima kasih, semoga terus berlanjut,"" kata Sukanti.
Editor: Reza Fajri"
https://www.inews.id/news/internasional/media-asing-lagi-lagi-soroti-isu-dugaan-campur-tangan-jokowi-di-pilpres-2024,"Rabu, 07 Februari 2024 - 12:24:00 WIB",Media Asing Lagi-Lagi Soroti Isu Dugaan Campur Tangan Jokowi di Pilpres 2024,"Scan this QR or download app from:
JAKARTA, iNews.id– Isu dugaan campur tangan Presiden Joko Widodo (Jokowi) diPilpres 2024kembali menuai sorotan media asing. Salah satunya mengangkat tentang protes yang mulai disuarakan banyak kalangan di dalam negeri, termasukmahasiswa.
Reutershari ini melansir kabar tentang ratusan mahasiswa Indonesia yang berencana melakukan aksi protes pada hari ini terhadap Jokowi atas dugaan intervensinya dalam Pemilu 14 Februari nanti.


“Hanya seminggu menjelang pemilu, sekitar 2.000 mahasiswa dari sejumlah universitas diperkirakan akan bergabung dalam aksi unjuk rasa di pusat ibu kota Jakarta, menyerukan Jokowi, sebutan populer untuk presiden tersebut, agar tetap netral dalam pemilu yang berlangsung sengit ini,” tulisReutersdalam berita bertajukIndonesian Students to Demand President Remain Neutral Ahead of Poll, Rabu (7/2/2024).
Menurut media itu, Jokowi memang belum secara eksplisit mendukung kandidat mana pun di Pilpres 2024. Namun dia telah kerap tampil secara luas bersama calon presiden nomor urut dua,Prabowo Subianto, yang notabene berpasangan dengan putra sulung sang presiden, Gibran Rakabuming Raka.

Jokowi juga menghadapi banyak tuduhan pelanggaran etika dan campur tangan dalam pemilu, terutama setelah Mahkamah Konstitusi mengubah aturan syarat wakil presiden pada Oktober, yang memungkinkan Gibran untuk mencalonkan diri."
https://www.inews.id/news/nasional/luhut-umumkan-pilih-prabowo-gibran-di-pilpres-2024,"Sabtu, 03 Februari 2024 - 10:50:00 WIB",Luhut Umumkan Pilih Prabowo-Gibran di Pilpres 2024,"Scan this QR or download app from:
JAKARTA, iNews.id- Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves)Luhut Binsar Pandjaitanmenyatakan memilih Capres-Cawapres Nomor Urut 2 Prabowo Subianto dan Gibran Rakabuming Raka diPilpres 2024. Pernyataan itu disampaikan melalui unggahan pada akun Instagram @luhut.pandjaitan, Sabtu (3/2/2024).
Dia menilai paslon nomor urut 2 merupakan pasangan ideal untuk melanjutkan estafet kepemimpinan menuju Indonesia Emas 2045.


""Idealisme dan konsistensi dalam bersikap Pak Prabowo, serta keterwakilan anak muda dalam diri Mas Gibran, memantapkan saya untuk memilih pasangan ini pada 14 Februari 2024 nanti sebagai pelanjut tongkat estafet kepemimpinan yang akan membawa negeri ini menuju visi besar Indonesia Emas 2045,"" ujar Luhut dalam keterangan unggahan, dilihat Sabtu (3/2/2024).
Dia mengaku senang saat Prabowo memutuskan memilih Gibran sebagai cawapres. Menurutnya, Prabowo telah memberikan contoh yang baik untuk tidak memandang orang lain sebelah mata.

""Karena boleh jadi mereka punya kemampuan khusus yang selama ini tak terlihat karena tidak mendapat kesempatan,"" kata dia."
https://www.inews.id/news/internasional/eks-pemain-ac-milan-george-weah-kalah-di-pilpres-liberia,"Sabtu, 18 November 2023 - 06:54:00 WIB",Eks Pemain AC Milan George Weah Kalah di Pilpres Liberia,"Scan this QR or download app from:
MONROVIA, iNews.id -PresidenLiberiaGeorge Weahmengakuikekalahandalampemilihan presiden. Tokoh oposisi Joseph Boakai akan menggantikan posisi presiden.
Boakai unggul dengan hampir semua suara yang dihitung. Mantan pemain AC Milan itu telah menelepon Boakai untuk mengucapkannya selamat.


""Ini adalah keindahan demokrasi,"" kata Sekretaris Presiden Liberia seperti dikutip dari Reuters, Sabtu (18/11/2023).
Juru Bicara Boakai, Amara Konneh, mengonfirmasi panggilan tersebut.

Boakai, yang berusia 78 tahun, mantan wakil presiden yang kalah dari Weah dalam pemilihan 2017, memimpin dengan 50,89 persen suara atas 49,11 persen suara Weah.
Penghitungan suara sudah mencapai 99,6 persen. Hasil final diharapkan dalam beberapa hari mendatang."
https://www.inews.id/news/nasional/ratusan-purnawirawan-tni-au-deklarasi-dukung-ganjar-mahfud-di-pilpres-2024,"Rabu, 07 Februari 2024 - 13:57:00 WIB",Ratusan Purnawirawan TNI AU Deklarasi Dukung Ganjar-Mahfud di Pilpres 2024,"Scan this QR or download app from:
JAKARTA, iNews.id -RatusanpurnawirawanTNI AUmenyatakan dukungan untuk Ganjar Pranowo dan Mahfud MD sebagai Presiden dan Wakil Presiden di Pilpres 2024. Mereka tergabung dalam Paguyuban Relawan Elang Indonesia Maju.
Ketua Relawan Elang Indonesia Maju, Marsekal Madya TNI (Purn) Dede Rusamsi mengungkapkan bahwa pihaknya konsisten memilih pemimpin dengan segudang pengalaman di pemerintahan. Dia juga menghindari sosok calon yang dipecat dari TNI dan pendampingnya kurang dalam etika dan perilaku.


""Kita tidak mau negara ini dipimpin oleh yang sudah dipecat dari TNI itu mutlak itu enggak bisa mutlak bagi kesepakatan kita. Apalagi calon wakilnya yang tidak memiliki baik etika secara hukum, prosesnya tidak betul dan juga etika perilakunya sendiri yang tidak cocok,"" kata Dede  di JW Marriott Hotel, Jakarta, Rabu (7/2/2024).
""Kita bandingkan dengan calon yang lain tentu saja kita lebih sangat pilih yaitu bapak Ganjar dan Prof Mahfud,"" sambungnya.

Selain itu, sosok Ganjar Pranowo dan Mahfud MD dimata Mantan Wakil Kepala Staf TNI AU ini adalah orang yang sangat konsisten, bersih, realistis dan tidak menjual janji. Keduanya memiliki pengalaman bekerja yang memumpuni diharapkan dapat memajukan bangsa Indonesia ke depan.
""Harapannya beliau (Ganjar-Mahfud) tetap konsisten seperti yang disampaikan saat ini. Saya yakin beliau berdua adalah orang yang sangat komit dan bertanggung jawab untuk menjaga Indonesia dan bangsa dan seluruh rakyatnya,"" tutur dia.
Editor: Faieq Hidayat"
https://www.inews.id/news/nasional/link-live-streaming-debat-kelima-pilpres-2024-malam-ini,"Minggu, 04 Februari 2024 - 10:13:00 WIB",Link Live Streaming Debat Kelima Pilpres 2024 Malam Ini,"Scan this QR or download app from:
JAKARTA, iNews.id-Link live streamingdebat kelimaPilpres 2024hari ini, Minggu (4/2/2024) malam.Debat capresini akan disiarkan langsung dari JCC, Jakarta Pusat.
Debat capres bisa disaksikan melalui live streaming. Kanal YouTube Official iNews menyiarkan secara langsung debat terakhir tersebut.


Tema debat hari ini yaitu Kesejahteraan Sosial, Kebudayaan, Pendidikan, Teknologi Informasi, Kesehatan, Ketenagakerjaan, Sumber Daya Manusia, dan Inklusi. Andromeda Mercury dan Dwi Anggia pun ditunjuk sebagai moderator debat.
Pertanyaan dalam debat ini disusun oleh 12 panelis, antara lain:

1. Prof. Dr. Aminuddin Syam, SKM, M.Kes, M.Med.Ed- Guru Besar Fakultas Kesehatan Masyarakat Universitas Hasanuddin- Ketua Umum perhimpunan sarjana dan profesional kesehatan Masyarakat Indonesia (Persakmi) Periode 2022-2026
2. Prof. Asep Saepudin Jahar, MA, Ph.D.- Rektor Universitas Islam Negeri Syarif Hidayatullah Jakarta 2023-2027

3. Bahruddin- Inisiator Komunitas Belajar Qaryah Thayyibah dan Anggota Badan Akreditasi Nasional Pendidikan Anak Usia Dini, Dasar dan Menengah (BAN POM).
4. Damar Juniarto, S.Sos- Akademisi di UPN Veteran Jakarta- Pendiri PIKAT Demokrasi dan Penasihat Southeast Asia Freedom of Expression Network (SAFEnet)

5. Prof. Emiritus PM Laksono Ph.D.- Guru Besar Antropolog, Fakultas Ilmu Budaya, Universitas Gadjah Mada
6. Imam Prasodjo- Sosiolog Universitas Indonesia.

7. Onno widodo Purbo.PhD.- Ahli Teknologi Informasi/Wakil Rektor institut Teknologi Tangerang Selatan
8. Dra. Reni Kusumowardhani M.PSI., Psikolog- Himpunan Psikologi Indonesia (HIMPSI).
9. Timboel Siregar, S.SI, SH, MM- Sekretaris Jenderal Organisasi Pekerja Seluruh Indonesia (OPSI).- Koordinator Advokasi BPIS Watch.
10. Tolhas Damanik, M.Ed- Penasihat Hak Disabilitas pada General Election Network for Disability Access (AGENDA)- Aktivis Disabilitas.
11. Drs. Tukiman Tarunasayoga MS, Ph.D.- Dosen Pascasarjana Program Penyuluhan Pembangunan Universitas Sebelas Maret Surakarta- Dosen Program Doktor Ilmu Lingkungan Universitas Katolik Soegijapranata Semarang
12. Prof. Vina Adriany, M.Ed, Ph.D.- Guru Besar di bidang PAUD dan Gender, Universitas Pendidikan Indonesia."
https://www.inews.id/news/nasional/2292-polisi-dikerahkan-kawal-debat-kelima-pilpres-2024,"Minggu, 04 Februari 2024 - 08:51:00 WIB",2.292 Polisi Dikerahkan Kawal Debat Kelima Pilpres 2024,"Scan this QR or download app from:
JAKARTA, iNews.id- Sebanyak 2.292polisidikerahkan untuk mengawaldebat kelimaPilpres 2024di Jakarta Convention Center (JCC), Senayan, Jakarta, Minggu (4/2/2024). Para personel merupakan gabungan dari Mabes Polri, Polda Metro Jaya, dan Polres Metro Jakarta Selatan.
“Sebanyak 2.292 personel dikerahkan untuk pengamanan debat (capres). Terdiri dari personel Mabes Polri, Polda Metro Jaya dan Polres Metro Jakarta Pusat,” kata Kabid Humas Polda Metro Jaya Kombes Ade Ary kepada wartawan, Minggu (4/2/2024).


Mantan Kapolres Jakarta Selatan itu mengimbau agar seluruh pihak untuk menciptakan situasi kamtibmas selama debat berlangsung agar kondusif.
“Menjaga barang-barang pribadi dan bersama-sama mewujudkan kamseltibcar lantas,” kata dia.

Sebagai informasi, debat Pilpres 2024 yang kelima atau terakhir akan digelar di Jakarta Convention Center (JCC) Senayan, Jakarta, Minggu (4/2/2024).
Adapun tema debat kali ini yaitu Kesejahteraan Sosial, Kebudayaan, Pendidikan, Teknologi Informasi, Kesehatan, Ketenagakerjaan, Sumber Daya Manusia, dan Inklusi.

Editor: Rizky Agustian"
https://www.inews.id/multimedia/infografis/infografis-putin-umumkan-maju-lagi-di-pilpres-rusia-2024,,Infografis Putin Umumkan Maju Lagi di Pilpres Rusia 2024,"MOSKOW, iNews.id – Presiden Rusia,Vladimir Putin, menyampaikan kepada para prajurit yang terlibat dalam konflik di Ukraina bahwa ia berencana untuk mencalonkan diri kembali dalam pemilihan presiden pada tahun 2024.
Putin menjadi presiden setelah Boris Yeltsin meninggalkan jabatan pada akhir tahun 1999. Sampai saat ini, ia telah menjabat sebagai kepala negara untuk periode yang lebih panjang daripada penguasa Rusia lainnya seperti Josef Stalin atau Leonid Brezhnev.
“Saya tidak akan menyembunyikan bahwa saya memiliki pemikiran yang berbeda pada waktu yang berbeda tetapi sekarang adalah waktunya untuk mengambil keputusan, Saya akan mencalonkan diri sebagai presiden.” kata Putin kepada Zhoga dan para prajurit Rusia lainnya yang mendapat penghargaan hari ini, di Georgievsky Hall, Istana Grand Kremlin.
Editor: Johan Jaelani"
https://www.inews.id/news/nasional/lsm-trinusa-deklarasi-dukung-ganjar-mahfud-md-di-pilpres-2024,"Selasa, 26 Desember 2023 - 19:17:00 WIB",LSM Trinusa Deklarasi Dukung Ganjar-Mahfud MD di Pilpres 2024,"Scan this QR or download app from:
JAKARTA, iNews.id -Lembaga Swadaya Masyarakat Triga Nusantara (LSM Trinusa) mendeklarasikan dukungan kepadaGanjar Pranowo-Mahfud MD. Dukungan dideklarasikan di Cikarang Utara,Kabupaten Bekasi, Selasa (26/12/2023).
""Trinusa siap menjadi garda terdepan untuk Capres-Cawapres nomor urut 3 Ganjar-Mahfud,"" ujar Ketua Trinusa, Rahmat Gunasin.


LSM yang berfokus kepada penegakan hukum ini menilai Ganjar-Mahfud sosok presiden dan wapres yang sempurna untuk rakyat Indonesia.
""Insya Allah Pak Ganjar dan Pak Mahfud menjadi presiden dan wakil presiden yang sempurna untuk rakyat Indonesia,"" ucapnya.

Sementara itu, Ketua Umum DPP Relawan Ganjar Nusantara (RGN), Darwanto, mengaku jauh-jauh datang dari Sumatera ke Pulau Jawa demi mengikuti deklarasi ini. Dirinya optimistis tim relawan dapat menenangkan Ganjar-Mahfud di wilayah Bekasi.
""Untuk memenangkan Bapak Ganjar, relawan Ganjar Nusantara sendiri kita sudah membentuk di semua DPC kecamatan ada 20 kecamatan,"" kata Darwanto.
Deklarasi turut dihadiri sejumlah tim relawan Ganjar-Mahfud serta tokoh ternama seperti Rieke Diah Pitaloka.
Editor: Reza Fajri"
https://www.inews.id/finance/bisnis/erick-thohir-ungkap-alasan-pertamina-tak-naikkan-harga-bbm-demi-pilpres,"Senin, 05 Februari 2024 - 08:37:00 WIB","Erick Thohir Ungkap Alasan Pertamina Tak Naikkan Harga BBM, demi Pilpres?","Scan this QR or download app from:
JAKARTA, iNews.id- PTPertaminatak menaikkan hargaBBMdi bulan Februari ini. Menteri BUMNErick Thohirpun menjelaskan alasannya.
Menurut Erick keputusan untuk tidak menaikkanharga BBMnon-subsidi dilakukan untuk untuk menjaga stabilitas dan daya beli masyarakat. Kenaikan BBM saat ini akan membuat inflasi naik dan daya beli masyarakat menurun.


Hal ini disampaikan Erick terkait dengan langkah Pertamina yang tidak menaikkan harga BBM nonsubsidi, di saat SPBU kompetitor di dalam negeri menaikkannya.
""Keputusan Pertamina tidak menaikkan harga BBM tentu baik untuk menjaga stabilitas dan juga daya beli masyarakat,” tutur Erick, Senin (5/2/2024).

Dijelaskannya, kenaikan BBM saat ini bisa memunculkan efek ganda pada perekonomian nasional. Kenaikan harga BBM akan menaikkan angka inflasi dan mengurangi daya beli masyarakat.
“Tentu ini bisa berdampak luas bagi perekonomian nasional,” kata dia.

Pertamina sebagai BUMN memiliki peran penting kepada masyarakat. Dia memastikan Pertamina juga sudah melakukan efisiensi dalam proses bisnisnya sehingga bisa menghasilkan BBM dengan harga terbaik.
Penjelasan Pengamat Energi terkait HargaBBM Pertamina.Klik di selanjutnya untuk membaca>>>>
"
