url,tanggal,judul,isi
https://www.inews.id/news/nasional/jokowi-makan-bakso-bareng-prabowo-di-magelang-ini-penjelasan-istana/2,"Selasa, 30 Januari 2024 - 19:15:00 WIB","Jokowi Makan Bakso Bareng Prabowo di Magelang, Ini Penjelasan Istana","Scan this QR or download app from:


Sebelumnya, Presiden Jokowi makan siang bersama Menhan Prabowo di Magelang, Jawa Tengah, Senin (29/1/2024). Keduanya menyantap bakso usai peresmian Graha Utama Akademi Militer (Akmil).
""Ya ini kan tadi baru ini kan baru saja saya dengan Pak Prabowo meresmikan graha utama di Akademi Militer Magelang. Setelah itu, makan bakso, sudah,"" kata Jokowi.
Jokowi mengaku hanya membicarakan bakso hingga kelapa muda dengan Prabowo saat makan siang tersebut.
Editor: Reza Fajri"
https://www.inews.id/news/nasional/luhut-umumkan-pilih-prabowo-gibran-di-pilpres-2024,"Sabtu, 03 Februari 2024 - 10:50:00 WIB",Luhut Umumkan Pilih Prabowo-Gibran di Pilpres 2024,"Scan this QR or download app from:
JAKARTA, iNews.id- Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves)Luhut Binsar Pandjaitanmenyatakan memilih Capres-Cawapres Nomor Urut 2 Prabowo Subianto dan Gibran Rakabuming Raka diPilpres 2024. Pernyataan itu disampaikan melalui unggahan pada akun Instagram @luhut.pandjaitan, Sabtu (3/2/2024).
Dia menilai paslon nomor urut 2 merupakan pasangan ideal untuk melanjutkan estafet kepemimpinan menuju Indonesia Emas 2045.


""Idealisme dan konsistensi dalam bersikap Pak Prabowo, serta keterwakilan anak muda dalam diri Mas Gibran, memantapkan saya untuk memilih pasangan ini pada 14 Februari 2024 nanti sebagai pelanjut tongkat estafet kepemimpinan yang akan membawa negeri ini menuju visi besar Indonesia Emas 2045,"" ujar Luhut dalam keterangan unggahan, dilihat Sabtu (3/2/2024).
Dia mengaku senang saat Prabowo memutuskan memilih Gibran sebagai cawapres. Menurutnya, Prabowo telah memberikan contoh yang baik untuk tidak memandang orang lain sebelah mata.

""Karena boleh jadi mereka punya kemampuan khusus yang selama ini tak terlihat karena tidak mendapat kesempatan,"" kata dia."
https://www.inews.id/news/nasional/prabowo-janji-bangun-3-juta-rumah-bagi-yang-belum-punya,"Minggu, 04 Februari 2024 - 20:21:00 WIB",Prabowo Janji Bangun 3 Juta Rumah Bagi yang Belum Punya,"Scan this QR or download app from:
JAKARTA, iNews.id- Capres nomor urut 2Prabowo Subiantoberjanji akan membangun 3 jutarumahbagi mereka yang belum memilikinya. Hal itu disampaikan dalam pemaparan visi-misidebat capresdi Jakarta Convention Center (JCC), Senayan, Minggu (4/2/2024).
""Kita akan membangun 3 juta rumah untuk mereka yang belum punya rumah,"" kata Prabowo.


Dia menjelaskan, sebanyak 1 juta rumah akan dibangun di wilayah perdesaan, 1 juta di pesisir, dan 1 juta lainnya di perkotaan.
Selain membangun 3 juta rumah, Prabowo berjanji menaikkan gajiguru, aparatur sipil negara (ASN), hingga anggota TNI dan Polri. Dia juga berjanji memberikan pelatihan-pelatihan untuk meningkatkan kompetensi guru.

""Kita yakin bahwa pendidikan strategis, kita harus memperbaiki gaji guru, termasuk gaji honorer, meningkatkan kompetensi guru, kita harus memberi pelatihan-pelatihan, penataran,"" ujarnya.
Menurut Prabowo, dengan peningkatan kualitas hidup para tenaga pendidikan, ASN, dan TNI-Polri, pelayanan kepada rakyat pun akan meningkat.

Editor: Anton Suhartono"
https://www.inews.id/news/nasional/prabowo-gibran-kompak-ucapkan-selamat-ultah-ke-megawati-semoga-panjang-umur-dan-sehat-selalu,"Selasa, 23 Januari 2024 - 19:13:00 WIB",Prabowo-Gibran Kompak Ucapkan Selamat Ultah ke Megawati: Semoga Panjang Umur dan Sehat Selalu,"Scan this QR or download app from:
JAKARTA, iNews.id -Menhan sekaligus Capres nomor urut 2Prabowo Subiantodan Cawapres Gibran Rakabuming Raka kompak mengucapkan selamatulang tahunkepada Ketua Umum PDIPMegawati Soekarnoputri. Presiden ke-5 RI itu ulang tahun tepat hari ini Selasa (23/1/2024).
""Semoga panjang umur dan sehat selalu,"" kata Prabowo dalam Instagramnya, Selasa (23/1).


Sementara itu, Gibran mengucapkan selamat ulang tahun kepada Megawati Soekarnoputri.
""Selamat ulang tahun ke-77 Presiden RI ke 5 Ibu Prof. Dr. (HC) Hj Megawati Soekarnoputri,"" kata Gibran.

Dia juga mendoakan Megawati sehat selalu dan panjang umur. ""Semoga panjang umur, sehat dan bahagia selalu,"" katanya yang mengunggah foto bersama Megawati.
Editor: Faieq Hidayat"
https://www.inews.id/news/nasional/momen-ganjar-rangkul-pendukung-prabowo-saat-bentangkan-spanduk-diajak-makan-bareng,"Selasa, 06 Februari 2024 - 14:17:00 WIB","Momen Ganjar Rangkul Pendukung Prabowo saat Bentangkan Spanduk, Diajak Makan Bareng","Scan this QR or download app from:
JAKARTA, iNews.id- Momen menarik terjadi saat Calon Presiden (Capres) Nomor Urut 3 yang didukung Partai Perindo,Ganjar Pranowo, berkunjung ke Balikpapan, Kalimantan Timur, Selasa (6/2/2024). Ganjar disambut pendukung Capres Nomor Urut 2 Prabowo Subianto dan Gibran Rakabuming Raka.
Dalam video yang dilihatiNews.id, Ganjar yang mengenakan kemeja putih tiba di salah satu rumah makan yang ada di Balikpapan. Setiba di sana, tampak dua orang membentangkan spanduk yang menampilkan wajah Prabowo-Gibran.


Bukannya marah dan baper, Ganjar malah menghampiri pendukung dari Prabowo-Gibran yang diketahui bernama Putra Nur (21) itu. Ganjar pun mengatakan, hal itu menunjukan pesan damai dan tidak perlu marah.
""Jangan digulung, nanti kamu dimarahin yang nyuruh lho. Ndak papa dibentangkan. Wah gambarnya bagus, yang bener biar kelihatan Pak Prabowonya. Ini tulisannya bagus, Bersama untuk Indonesia Maju,"" ucap Ganjar.

“Saya senang lho kampanye di sini disapa pendukungnya Pak Prabowo. Disambut oleh pendukungnya Pak Prabowo, inilah pesan damai dan tidak marah-marah,” kata Ganjar yang sempat berfoto denganpendukung Prabowo-Gibranitu.
Mantan Gubernur Jawa Tengah itu pun mengajak pendukung Prabowo-Gibran tersebut untuk makan siang bersama. Ajakan itu sempat ditolak lantaran Putra takut.

Ganjar pun tetap berusaha mengajak Putra yang sedang ketakutan.
“Ayo ikut makan, enggak dimarahin Pak Prabowo. Nanti kalau dimarahin aku yang ngomong, enggak apa-apa kok,” ujarnya."
https://www.inews.id/news/nasional/keluarga-korban-penculikan-aktivis-98-sesalkan-ucapan-budiman-sudjatmiko-tentang-prabowo,"Selasa, 12 Desember 2023 - 15:58:00 WIB",Keluarga Korban Penculikan Aktivis 98 Sesalkan Ucapan Budiman Sudjatmiko tentang Prabowo,"Scan this QR or download app from:
JAKARTA, iNews.id-Keluarga korbanpenculikanaktivis 98menyesalkan pernyataanBudiman Sudjatmiko, Ketua Dewan Pakar Tim Kampanye Nasional (TKN)PrabowoSubianto-Gibran Rakabuming Raka. Dalam pernyataan tersebut, Budiman menyebutkan Prabowo tidak memiliki bukti secara hukum sebagai kriminal.
Bahkan aktivis 98 ini menyebutkan Prabowo menjadi bagian dari demokrasi dalam 25 tahun terakhir.


Hal ini pun membuat Paian Siahaan salah satu keluarga korban penculikan aktivis 98 terkejut. Paian merupakan ayah dari Ucok Munadar Siahaan yang masuk daftar 13 aktivis hilang di era Soeharto.
""Saya sangat terkejut atas informasi ini, Budiman Sudjatmiko mengatakan pelanggaranHAMyang dilakukan Prabowo itu bukan pelanggaran tetapi tugas negara,"" ujar Paian saat konferensi pers Koalisi Masyarakat Sipil, Selasa (12/12/2023).

Menurut Paian, selama 25 tahun menunggu kepastian dan keberadaan anaknya tersebut. Dia sudah hampir berputus asa dengan kondisi yang terjadi. Meski sudah melaporkan kepada Komnas HAM, prosesnya tidak pernah berlanjut.
""Semenjak kami melakukan pencarian dan melapor itu kepada Komnas HAM. Komnas HAM telah melakukan penyelidikan, artinya Komnas HAM sebagai institusi yang dibuat negara untuk menyatakan sesuatu kasus adalah pelanggaran HAM,"" katanya.

""Setelah penyelidikan Komnas HAM dan diserahkan ke Kejaksaan Agung, memang sampai hari ini Kejagung belum melakukan penyidikan dan kasus itu sebenarnya sudah sampai bolak-balik antara Komnas HAM dengan Kejagung,"" ucapnya.
Paian menegaskan, pernyataan yang dibuat Budiman Sudjatmiko untuk menggiring generasi muda, khususnya gen Z yang tidak mengetahui sejarah tahun 1998. Bahkan menurutnya, pernyataan Budiman seakan membuat pengaruh yang tidak baik.

""Kita tidak tahu apa yang ada dibenaknya Budiman Sudjatmiko saat ini. Tetapi yang jelas dia menghilangkan atau coba mengelabui rakyat, terutama generasi muda yang saat ini katanya ada hampir 60 persen sebagai pemilik suara,"" katanya.
Seperempat abad atau sekitar 25 tahun dalam mencari keadilan. Paian mengaku dia hingga saat ini tidak menemukan titik terang tentang anaknya. Bahkan keluarga korban sempat menemui Presiden Jokowi, namun masih belum ada penyelesaian.
""Kami telah berjuang 25 tahun, memang sampai saat ini kami belum belum melihat ada titik terang. Kami juga dipanggil beberapa kali ke Istana dan Pak Jokowi berjanji untuk menyelesaikan ini, namun sampai saat ini belum pernah ada keputusan,"" ucapnya.
Kesulitan Mengurus Administrasi
Semenjak kehilangan putranya bernama Ucok Munadar Siahaan, Paian mengaku mengalami trauma yang begitu mendalam. Hal ini terjadi saat istrinya meninggal awal tahun. Dia bercerita mengalami kesulitan dalam mengurus administrasi saat istrinya meninggal.
"
https://pangandaran.inews.id/read/395725/relawan-binaan-toto-hutagalung-di-pangandaran-bubuhkan-tandatangan-dukung-prabowo-dan-iwan-bule,"Rabu, 17 Januari 2024 | 00:16 WIB",Relawan Binaan Toto Hutagalung di Pangandaran Bubuhkan Tandatangan Dukung Prabowo dan Iwan Bule,"Scan this QR or download app from:
PANGANDARAN,iNewsPangandaran.id- Relawan binaanToto Hutagalungdi Pangandaran berkomitmen untuk mendukung Prabowo - Gibran Rakabuming Raka menjadi Presiden RI ke-8 tahun 2024 danMochamad IriawanaliasIwan Bulemenjadi anggota DPR RI dari Dapil Jabar X.
Komitmen tersebut terlihat saat ratusan relawan dari 10 Kecamatan dibawah naungan Gerakan Masyarakat Bawah Indonesia (GMBI) beserta Perhimpunan Hotel dan Restoran Indonesia wilayah Pangandaran membubuhkan tandatangan.
Mereka mendukung Capres Nomor urut 2 dan Iwan Bule menjadi anggota DPR RI periode 2024-2029 di atas spanduk dan menyerahkan data calon pemilih.
Dalam sambutannya, Iwan Bule mengaku terharu atas dukungan nyata yang mengalir kepada dirinya dan pasangan Prabowo - Gibran dari masyarakat Pangandaran.
""Saya sangat terharu atas sambutan serta dukungan masyarakat dari 10 Kecamatan di Pangandaran. Ini sangat luar biasa,"" kata Iwan Bule, Selasa (16/1/2024).
Editor : Irfan Ramdiansyah"
https://blitar.inews.id/read/401557/gus-iqdam-di-depan-jamaah-st-beberkan-sosok-prabowo-saya-suka-gayanya,"Selasa, 30 Januari 2024 | 18:22 WIB",Gus Iqdam di Depan Jamaah ST Beberkan Sosok Prabowo: Saya Suka Gayanya,"Scan this QR or download app from:
BLITAR,iNewsBlitar-Gus Iqdammeminta seluruhjamaahSabilu Taubah(ST) untuk tidak ikut-ikutan sikap saling menjatuhkan pasangan capres cawapres yang sedang berkontestasi dalamPemilu 2024.
Dai kondang asal Kabupaten Blitar Jawa Timur itu sebelumnya mengaku prihatin dengan adanya sikap saling menghujat dan mengolok-olok antar pendukung calon presiden.
Dalam pengajian di PondokPesantrenMambaul Hikam II, Desa Karanggayam, Kecamatan Srengat, Kabupaten Blitar, Senin malam (29/1/2024), Gus Iqdam yang bernama lahirMuhammad Iqdam Kholidjuga menjelaskan alasannya mendukungPrabowo-GibrandalamPilpres 2024.
“Saya himbau seluruh jamaah Sabilu Taubah di seluruh dunia, tidak usah ikut menjatuhkan di antara pasangan presiden,” katanya.
Dalam pengajian yang ditayangkan secara langsung di media sosial itu, Gus Iqdam juga meminta seluruh jamaah untuk tidak golput pada pemilu mendatang. Menurutnya seluruh warga negara wajib menggunakan hak politiknya dengan memilih calon pemimpin yang baik.
“Kalau ada orang ataukyaimendukung salah satu calon (presiden), tidak masalah. Apa salahnya. Asal jangan menjatuhkan calon lainnya,” tegas Gus Iqdam.
Usai memberi pemahaman tersebut, Gus Iqdam lantas mengungkapkan kekagumannya kepada sosokPrabowo Subianto. “Kalau tidak percaya buktikan, saya itu suka dengan gayanya Pak Prabowo,” kata Gus Iqdam yang disambut tepuk tangan jamaahnya.
Menurutnya, sejak pertama kali mengikuti pemilihan presiden tahun 2009, Prabowo Subianto tidak pernah sekalipun menjatuhkan lawannya. Sikap itulah yang selayaknya ditiru oleh seluruh masyarakat, bahwa berjuang tidak harus dilakukan dengan menjatuhkan kehormatan lawan.
“Beliau ini suri tauladan, layak menjadi contoh anak-anak muda. Dihina diam saja,” tambahnya.
Gus Iqdam buru-buru menambahkan jika dirinya tidak sedang berkampanye. Ia juga menampik jika ada tuduhan yang menyebutkan dirinya telah menerima sesuatu dari calon presiden agar memberikan dukungan.
“Kalian ini berpikirnya selalu begitu saja (dapat apa). Saya itu sejak dulu sudah biasa tidak mendapat apa-apa. Tidak pernah berpikir dapat hadiah,” katanya.
Karena itu ia menegaskan tidak akan meminta atau menginstruksikan kepada jamaahnya untuk mendukung salah satu calon presiden. Mereka dibebaskan memilih siapa saja sesuai yang dikehendaki.
“Yang penting saya tidak memaksakan pilihan kepada orang lain. Jangan mau diadu domba,” pesannya.
Editor : Solichan Arif"
https://jatenginfo.inews.id/read/378584/didampingi-3-jenderal-kapolri-listyo-sigit-prabowo-sambangi-kantor-kpk-ada-apa,"Senin, 04 Desember 2023 | 23:56 WIB","Didampingi 3 Jenderal, Kapolri Listyo Sigit Prabowo Sambangi Kantor KPK, Ada Apa?","Scan this QR or download app from:
JAKARTA, iNewsJatenginfo.id-KapolriJenderalListyo Sigit Prabowoditemani tiga jenderal petinggi Polri menyambangi Kantor Komisi Pemberantasan Korupsi (KPK), Senin (4/12/2023) hari ini. Rencananya, Kapolri bakal menandatangani kerja sama antara KPK dan Polri.
Pantauan iNews, Kapolri tiba di Gedung Merah Putih KPK, Senin (4/12/2023) pukul 12.07 WIB. Kedatangannya disambut Ketua Sementara KPK Nawawi Pomolango.
Kapolri belum memberikan pernyataan apa pun terkait kunjungan tersebut. Dia hanya melambaikan tangan kepada awak media setiba di KPK.
Adapun ada tiga jenderal petinggi Polri yang ikut hadir menemani Kapolri, yakni Kabareskrim Polri Komjen Wahyu Widada, lalu Kadiv Humas Polri Irjen Sandi Nugroho dan Asisten Kapolri Bidang Sumber Data Manusia Polri Irjen Dedi Prasetyo.
Terpisah, Kabag Pemberitaan KPK Ali Fikri mengatakan, kedatangan pejabat utama Polri itu untuk penandatanganan kerja sama. Hal itu seperti yang dilakukan KPK dengan beberapa lembaga lainnya.
Editor : Iman Nurhayanto"
https://sumsel.inews.id/berita/jk-minta-prabowo-tiru-langkah-mahfud-mundur-ganjar-butuh-rasa-etika-dan-kemauan,"Jumat, 02 Februari 2024 - 18:06:00 WIB","JK Minta Prabowo Tiru Langkah Mahfud Mundur, Ganjar: Butuh Rasa, Etika dan Kemauan","Scan this QR or download app from:
PALEMBANG, iNews.id –Calon Presiden (Capres) 2024 nomor urut 03,Ganjar Pranowomenilai, butuh etika, kemauan serta rasa bagi seorang pejabat tinggi negara yang maju di Pilpres 2024 untuk mengundurkan diri dari jabatannya. Hal itu disampaikan Ganjar merespons pernyataan Wakil Presiden (Wapres) RI ke-10 dan 12 Jusuf Kalla (JK), agar Prabowo Subianto meniru langkahMahfud MDmengundurkan diri dari Kabinet Indonesia Maju (KIM).
“Itu butuh rasa, etika, dan kemauan. Kalau tidak, ya orang bisa melakukan dengan alasan bernaung di bawah regulasi,” ucap Ganjar di sela kampanye di Palembang, Sumatera Selatan (Sumsel), Jumat (2/2/2024).

Capres 2024 berambut putih itu mengingatkan, bahwa regulasi atau peraturan terkadang dalam suasana kebatinan masyarakat tidak selalu seperti yang diharapkan.
""Sehingga dibutuhkan etik, integriras, kepantasan dan kepatutan ketika seorang pejabat melakukan suatu tindakan,"" ucapnya.

Ganjar mengatakan, mundurnya Mahfud dari jabatannya Menteri Menko Polhukam di Kabinet Indonesia Maju sudah direncanakan dan dibicarakan dengannya sejak jauh hari.
""Keputusan Mahfud untuk mundur adalah contoh yang baik bagi para pejabat yang turut dalam kontestasi politik,"" katanya.
Editor: Nani Suherni"
