URL,Tanggal,Judul,Isi Berita
https://nasional.kompas.com/read/2024/01/17/05423871/diretasnya-instagram-mahfud-md,17 Januari 2024,Diretasnya Instagram Mahfud MD...,"Diretasnya Instagram Mahfud MD...
Tim Redaksi
JAKARTA, KOMPAS.com- Enam hari menjelang debat calon wakil presiden (cawapres), Instagram pribadi cawapres nomor urut 3 yang juga Menteri Koordinator bidang Politik Hukum dan KeamananMahfud MDmengalami peretasan.
Peretasan terhadap akun Instagram pribadi Mahfud @mohmahfudmd itu terjadi pada Selasa (16/1/2024) siang hingga sore.
Dampak dari peretasan itu, Instagram Mahfud menampilkan sebuah video sekelompok tentara Israel yang sedang bermain bola.
Unggahan tersebut juga disertakan keterangan berbahasa Ibrani yang dapat diterjemahkan sebagai berikut, ""Tuhan di atasku, siapa yang dapat mengontrol saya?""
Video yang diduga dilakukan oleh peretas itu berdurasi 12 detik. Pada akhir video, peretas juga meminta orang yang menontonnya membagikan video tersebut.
Video yang diunggah di akun Instagram Mahfud itu sudah ditonton hingga ratusan ribu warganet.
Tangkapan layar akun Instagram @mohmahfudmdAkun Instagram Mahfud MD kena hackJuru Bicara Tim Pemenangan Nasional (TPN) Ganjar-Mahfud, Chico Hakim, membenarkan bahwa Instagram Mahfud MD mengalami peretasan, Selasa sore.
""Intinya ini betul di-hack, dan semoga saja tidak adaposting-an lain yang menyesatkan sebelum akun ini bisa disetop,"" kata Chico kepada wartawan, Selasa.
TPN disebut langsung bergerak cepat menangani peretasan itu dengan cara menghubungi pihak Meta, perusahaan digital yang mengelola Instagram.
Sementara itu, Juru Kampanye Nasional (Jurkamnas) TPN Ganjar-Mahfud, Oktafiandi, meminta semua mengabaikan apa pun unggahan terkini dari Instagram Mahfud MD selama diretas.
""Instagram Prof Mahfud MD lagi di-hack, dan dalam proses untuk diambil alih oleh tim. Jika adaposting-an atau DM yang mengatas namakan Beliau mohon diabaikan sampai ada pemberitahuan kembali,"" tutur dia.
Baca juga:TPN: Instagram Mahfud MD Diretas
Wakil Direktur Eksekutif Konten dan Media Sosial TPN Ganjar-Mahfud, Eko Kuntadhi, menambahkan, pihaknya berharap peretasan tidak berkaitan dengan Pilpres 2024.
Kendati demikian, TPN disebut tetap menelusuri segala kemungkinan penyebab peretasan.
Apalagi, menurut pemantauan TPN, sejak beberapa hari terakhir performa Mahfud MD di media sosial lebih unggul dibanding cawapres lainnya.
""Prof Mahfud sedang menjadi sorotan. Kami pantau dari media sosial, dukungan publik kepada beliau bertambah secara organik menjelang debat keempat hari Minggu ini,"" ucap Eko dalam keterangan yang diterima.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/10/19/05171721/mahfud-md-takdir-yang-tertunda,19 Oktober 2023,"Mahfud MD, Takdir yang Tertunda","Mahfud MD, Takdir yang Tertunda
Antropolog, Dosen Fakultas Ilmu Budaya Universitas Jember
Antropolog, Dosen Fakultas Ilmu Budaya Universitas Jember
SETAHUNlalu, saya bertemu dengan Menko Polhukam Mahfud MD. Selaku Ketua Senat Universitas Jember bersama rektor, saya menemani Pak Menteri makan siang. Sesaat setelah Mahfud MD memberi kuliah umum di Universitas Jember.
Menteri yang selalu tampil bersahaja itu bercerita tentang “menit-menit terakhir” (last minute) menjelang pengumuman calon wakil presiden (cawapres) pada Pemilihan Presiden (Pilpres) 2019.
Saat itu namanya santer disebut-sebut sebagai cawapres Joko Widodo (Jokowi) yang hendak maju lagi pada Pilpres 2019.
Namun, takdirnya belum datang. Pendamping Jokowi ternyata bukan Mahfud, melainkan KH. Ma’ruf Amin. Secara berseloroh saya bilang, “Boleh jadi takdir yang tertunda, Prof.” Ahli hukum tata negara yang putra Madura itu hanya tersenyum tipis.
Dan, ternyata benar, takdir yang tertunda. Lima tahun kemudian takdir Mahfud MD tiba. Ia telah dipilih dan dideklarasikan oleh Ketua Umum Partai Demokrasi Indonesia Perjuangan (PDI-P), Megawati Soekarnoputri, sebagai cawapres mendampingi Ganjar Pranowo.
""Hari ini hari Rabu tanggal 18 Oktober 2023, saya dengan mantap, ini saya telah mengambil keputusan semuanya. Saya tunjukkan sebesar-besarnya bagi kepentingan rakyat bangsa dan negara. Karena itulah dengan mengucapkan bismillah hirohmanirrohim, maka calon wakil presiden yang dipilih oleh Partai Demokrasi Indonesia Perjuangan yang akan mendampingi Bapak Ganjar Pranowo adalah Bapak Profesor Doktor Mahfud MD,"" ucap Megawati (Kompas.com, 18/10/2023).
Tentu saja Megawati telah menelisik Mahfud MD dari berbagai sisi. Bukan sekadar dari sudut popularitasnya, melainkan juga kecocokan yang lain. Megawati biasa detail, istilah Jawa “njlimet”. Tak mau “grusa-grusu”.
Megawati tak mau melihat dari sudut popularitas seseorang saja. Politik bukan urusan popularitas. Politik berurusan dengan tanggung jawab publik.
Popularitas penting, tapi yang pertama dan utama adalah integritas. Apalagi berada pada situasi zaman yang sedang tidak baik-baik saja, zaman edan dalam perspektif Serat Kalatidha karya Ranggawarsita.
Mahfud MD bukan nama kaleng-kaleng. Kapabilitasnya sangat cocok sebagai cawapres, bahkan capres sekalipun. Megawati menyebutnya seorang intelektual yang mumpuni.
Dipasangkan dengan Ganjar Pranowo, mengingatkan kita pada dwitunggal Soekarno-Hatta. Bukan hanya tampilan luarnya, tapi juga tampilan dalamnya.
Bayangkan bila keduanya dipotret. Ganjar bersongkok tak berkacamata. Mahfud bersongkok selalu berkacamata.
Tentu saja tak sama dengan pasangan Soekarno-Hatta, tapi setipe. Tampilan luar ini, saya kira, juga merefleksikan tampilan dalamnya.
Herbert Feith, Indonesianis asal Australia, pernah melukiskan Bung Karno bertipe “solidarity maker”.
Bung Karno mempunyai sikap, pembawaan, dan kemampuan menggalang solidaritas orang-orang dari berbagai macam latar belakang untuk mencapai satu tujuan.
Model kepemimpinan dan komunikasinya spontanitas dan autentik. Suka berbicara ide-ide besar yang visioner. Cakap menggelorakan semangat.
Ganjar merepresentasikan tipe “solidarity maker”, setipe dengan Bung Karno. Spontanitasnya tinggi, autentik pula. Komunikasinya pun mengalir tanpa sekat, “gayeng”.
Ganjar tak kesulitan berkomunikasi dengan berbagai kalangan masyarakat. Ia juga bisa dibilang orator. Cara berbicaranya di depan umum menarik, meyakinkan, dan penuh optimisme. Semua itu menjadi modal kuat bagi Ganjar untuk menjadi “solidarity maker”.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2024/01/16/17024181/tpn-instagram-mahfud-md-diretas,16 Januari 2024,TPN: Instagram Mahfud MD Diretas,"TPN: Instagram Mahfud MD Diretas
Tim Redaksi
JAKARTA, KOMPAS.com- Juru Bicara Tim Pemenangan Nasional (TPN)Ganjar-Mahfud, Chico Hakim membenarkan bahwaInstagramdari calon wakil presiden nomor urut 3,Mahfud MDmengalami peretasan, Selasa (16/1/2024) sore.
Hingga berita ini dimuat, akun Instagram pribadi dari Mahfud masih diretas dengan menampilkan sebuah video sejumlah tentara luar negeri tengah bermain bola.
Dalam video itu juga tertulis keterangan berbahasa Ibrani.
""Intinya ini betul di-hack,dan semoga saja tidak adaposting-an lain yang menyesatkan sebelum akun ini bisa disetop,"" kata Chico kepada wartawan, Selasa.
Baca juga:Mahfud Usul Ubah Nama KPK jika Terpilih pada Pilpres 2024
TPN sedang menghubungi pihak Instagram yang merupakan bawahan dari media sosial Facebook, yaitu Meta.
Sementara itu, Juru Kampanye Nasional (Jurkamnas) TPN Ganjar-Mahfud, Oktafiandi meminta semua mengabaikan apa punposting-an terkini dari Instagram Mahfud MD selama diretas.
""Instagram Prof Mahfud MD lagi di-hack, dan dalam proses untuk diambil alih oleh tim. Jika adaposting-an atau DM yang mengatas namakan Beliau mohon di abaikan sampai ada pemberitahuan kembali,"" tutur dia.
Baca juga:Skandal Pegawai Lakukan KPK Pungli di Rutan, Mahfud: Tangkap Saja
Akun Instagram Mahfud menampilkan video berdurasi 12 detik yang diduga di-postingoleh peretas. Hingga kini, ada sekitar 463.000 yang melihat video tersebut.
Adapun keterangan dalam video tersebut berbahasa Ibrani yang artinya ""Tuhan Bersama Saya, Tidak Ada yang Bisa Mengontrol Saya"".














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/05/29/19594751/dukung-mahfud-md-basmi-korupsi,29 Mei 2023,Dukung Mahfud MD Basmi Korupsi,"Dukung Mahfud MD Basmi Korupsi
Penulis adalah pendiri Sanggar Pemelajaran Kemanusiaan.
Penulis adalah pendiri Sanggar Pemelajaran Kemanusiaan.
PADA1998, dengan penuh euphoria saya antusias menyambut kedatangan Orde Reformasi menggantikan Orde Baru.
Namun sejak awal secara intuitif saya merasakan beberapa kekeliruan hadir di tengah kebenaran Orde Reformasi yang menjelang awal abad XXI telah saya tuangkan secara tertulis pada buku “Kelirumologi Reformasi”.
Pada awalnya beberapa kekeliruan tersebut memang masih terasa samar-samar sebagai sekadar gejala simptomatis belaka tanpa kejelasan tentang apa sebenarnya sang penyakitnya sendiri.
Namun setelah 25 tahun berlalu, maka sang gejala yang semula terasa samar-samar itu lambat namun pasti berhasil menampakkan diri sebagai kenyataan faktual yang jelas secara tak terbantahkan tampak kejelasannya.
Primadona misproduksi terparah Orde Reformasi adalah pemerataankorupsi.
Perilaku buruk yang seharusnya dibasmi habis ternyata alih-alih hilang lenyap malah makin merajalela seperti penyakit kanker yang bermetastase liar dan buas merambah ke mana-mana tanpa terkendali akibat memang seolah tidak ada yang mau mengendalikannya.
Syukur Alhamdullilah, setelah 25 tahun berlalu, baru pada pertengahan 2023, tampil mantan Ketua MK yang kini diangkat menjadi Menko Polhukam setelah batal dicapreskan,Mahfud MDmulai turun-tangan untuk membenahi benang ruwet korupsi yang sudah terlanjur sangat ganas menggerogoti segenap sendi peradaban negeri kita tercinta ini.
Perjuangan Mahfud MD sungguh tidak ringan dan tidak mudah.Korupsiyang pada masa Orde Baru terbatas dilakukan oleh sekelompok penguasa tertentu saja ternyata pada masa Orde Reformasi malah terlanjur mengalami proses pemerataan ke segenap penjuru.
Orde Reformasi membiarkan proses pemerataan korupsi terjadi secara struktural serta sistematis masif merata sampai jenjang terbawah.
Orde Reformasi telah berhasil mendemokratisasikan korupsi sehingga siapa saja yang sedang memegang tampuk kekuasaan bisa kalau mau melakukan korupsi yang sudah menjadi kelaziman yang sudah sedemikian melazim sehingga sama sekali tidak terasa luar biasa bagi masyarakat Indonesia masa kini.
Tiada hari tanpa korupsi. Parakoruptorjuga cukup cerdas dalam mewujudkan korupsi secara berjemaah dengan membagi-bagi hasil korupsi kepada para sejawat serta para penegak hukum. Jurus bagi-bagi itu ampuh mengamankan para koruptor dari risiko dimejahijaukan.
Para koruptor telah berhasil menciptakan suasana saling terkait sehingga apabila dirinya ditangkap, maka secara efek-domino akan menyeret para penerima bagi-bagi hasil korupsi untuk ikut bertanggung-jawab.
Sementara secara politis korupsi juga dimanfaatkan sebagai senjata untuk melumpuhkan lawan politik dengan melaporkan lawan politik ke KPK yang seharusnya independen namun de facto dependent maka tunduk pada penguasa yang sedang berkuasa.
Ancaman dipolisikan juga ampuh untuk membungkam oposisi di negeri yang konon demokratis maka seharusnya memberikan kebebasan berbicara kepada rakyatnya.
Pendek kata Orde Reformasi telah berhasil membudidayakan korupsi menjadi penyakit gawat darurat yang ganas merusak segenap sendi peradaban negara dan bangsa Indonesia.
Maka sekarang telah tiba saatnya masyarakat madani Indonesia bangkit untuk mendukung perjuangan Mahfud MD membasmi korupsi yang mustahil berhasil jika dilakukan hanya oleh Mahfud MD seorang diri saja.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2024/02/14/06071131/mahfud-md-mengaku-sangat-tenang-jelang-pencoblosan,14 Februari 2024,Mahfud MD Mengaku Sangat Tenang Jelang Pencoblosan,"Mahfud MD Mengaku Sangat Tenang Jelang Pencoblosan
Tim Redaksi
SLEMAN, KOMPAS.com- Calon wakil presiden (cawapres) nomor urut 3Mahfud MDmengaku sangat tenang menjelang pencoblosan.
Hal ini tak lepas karena dia baru saja menunaikan ibadah umrah di Tanah Suci.
""Sangat tenang. Sejak kemarinlah, sejak habis kampanye itu, lalu saya ke Tanah Suci, di Tanah Suci saya mendapat pencerahan rohani, senang,"" ujar Mahfud usai menunaikan shalat subuh di Masjid Darul Ikram, Dukuh Sambilegi Lor, Kelurahan Maguwoharjo, Sleman, Daerah Istimewa Yogyakarta (DIY), Rabu (14/2/2024).
Baca juga:Mahfud Shalat Subuh Berjamaah Sebelum Mencoblos
Sebagai manusia, Mahfud menegaskan bahwa dia hanya bisa menjalani semua hal yang sudah diatur Tuhan.
Namun demikian, sebagai manusia pula, ia akan tetap berusaha keras menjalani apa pun yang digariskan Tuhan.
""Sudah jalani saja karena Tuhan sudah mengatur semuanya, tapi manusianya harus berusaha keras, saya termasuk yang akan berusaha keras,"" kata dia.
Di samping itu, Mahfud juga optimistis bahwa dia bersama calon presiden (capres) pasangannya, Ganjar Pranowo, dapat memenangi Pemilihan Presiden (Pilpres) 2024.
""Pokoknya optimistis menang,"" kata Mahfud.
Baca juga:Mahfud MD Optimistis Menangi Pilpres 2024
Mahfud juga angkat bicara perihal hasil survei sejumlah lembaga yang menyebut tingkat keterpilihan pasangan nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka berada di atas 50 persen.
Mahfud meyakini bahwa survei tersebut merupakan upaya penggiringan opini terhadap masyarakat.
Karena itu, ia optimistis dapat mematahkan hasil survei dengan kemenangannya bersama Ganjar.
""Saya yakin. Saya meyakini, masa ada survei 50 persen lebih untuk satu itu, menurut saya itu adalah upaya penggiringan. Kita buktikan hari ini bahwa itu tidak terjadi,"" tegas Mahfud.
Sebagai informasi, Mahfud akan mencoblos di Tempat Pemungutan Suara (TPS) 106 Sambilegi Lor, sekitar pukul 07.30 WIB. Lokasi TPS ini berjarak sekitar 200 meter dari rumah Mahfud.
Setelah menggunakan hak pilihnya, Mahfud akan terbang menuju Jakarta pada pukul 11.00 WIB.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://surabaya.kompas.com/read/2024/02/07/162537878/mahfud-md-pilih-yang-bisa-diberi-amanah,7 Februari 2024,Mahfud MD: Pilih yang Bisa Diberi Amanah,"Mahfud MD: Pilih yang Bisa Diberi Amanah
Tim Redaksi
MALANG, KOMPAS.com- Calon wakil presiden nomor urut 3Mahfud MDberkampanye di wilayah KabupatenMalang, Jawa Timur, Selasa (7/2/2024) siang.
Dalam agenda kampanye di Bonderland Waterfall, Kecamatan Pakisaji itu, ratusan pendukung dan relawan pasangan calon presiden dan wakil presiden nomor urut 3Ganjar-Mahfudhadir.
Pada kesempatan itu, Mahfud MD mengingatkan kepada pendukungnya supaya pemberian amplop dan sembako tidak menggoyahkan pilihannya.
""Apakah tidak boleh menerima amplop? Boleh. Menerima sembako juga boleh. Tetapi pada saat memilih, saudara tidak boleh terikat kepada amplop dan sembako itu,"" ungkapnya.
Baca juga:Bawaslu Putuskan Ridwan Kamil Tak Bersalah, TPD Ganjar-Mahfud: Ada Indikasi Intervensi
Mahfud mengajak pendukungnya untuk tetap memilih sesuai dengan hati nurani dan tidak takut diintimidasi.
""Kalau Anda ingin menjadi manusia yang mulia, tegakkan kebenaran, sesuai hati nurani, jangan takut diintimidasi,"" tegasnya.
Baca juga:Mahfud MD Janji Beri Pekerjaan dan Layanan Umum bagi Disabilitas di Tiap Desa
Mantan Ketua Mahkamah Konstitusi itu menegaskan bahwa pemilu adalah sarana untuk melaksanakan demokrasi. Sehingga harus memilih sesuai dengan kehendak hati nurani.
""Pilihlah wakil-wakil saudara di DPR, DPRD, DPD, presiden dan wakil presiden, yang menurut saudara bisa diberikan amanah,"" ujarnya.
Memilih pemimpin yang amanah, lanjut Mahfud, adalah dengan cara melihat rekam jejaknya dan catatan perjalanan hidup.
""Banyak yang berbicara, saya kalau menjadi presiden akan melindungi HAM. Tapi itu tidak masuk akal kalau dalam perjalanan hidupnya melanggar HAM,"" singgungnya.
""Penegakan hukum bagaimana mau dijalankan, kalau melanggar hukum. Lihat perjalanan hidupnya,"" imbuh Mahfud.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2024/02/02/09562551/jokowi-siapkan-keppres-pemberhentian-mahfud-md,2 Februari 2024,Jokowi Siapkan Keppres Pemberhentian Mahfud MD,"Jokowi Siapkan Keppres Pemberhentian Mahfud MD
Tim Redaksi
JAKARTA, KOMPAS.com- Presiden Joko Widodo mengatakan, keputusan presiden (keppres) pemberhentian Mahfud MD sebagai Menteri Koordinator Bidang Politik, Hukum dan Keamanan (Menko Polhukam) Kabinet Indonesia Maju sedang disiapkan.
Namun,Jokowibelum memastikan siapa kandidat menteri yang akan menggantikan posisi Mahfud sebagai Menko Polhukam.
""Ya kemarin sudah menyampaikan surat pengunduran diri kepada saya, dan pagi hari ini, pagi hari ini, keppres kita siapkan,"" ujar Jokowi di Pelabuhan Tanjung Priok, Jakarta Utara, Jumat (2/2/2024).
""(Penggantinya) belum, kan masih kemarin sore (pengunduran diri). Butuh sehari-dua hari tiga hari lah (untuk memastikan siapa yang menggantikan),"" kata dia.
Baca juga:Mundur dari Menko Polhukam, Mahfud MD: Saya Merasa Plong meski Ada Sedih...
Sementara itu, saat ditanya apakah nantinya akan langsung menunjuk Menko Polhukam definitif atau menugaskan menteri sementara (ad interim) terlebih dulu, Jokowi juga belum bisa memastikannya.
""Ya nanti dilihat (akan langsung definitif atau ad interim),"" kata dia.
Presiden pun memastikan kondisi kabinetnya saat ini tetap solid meski ada satu menteri mengundurkan diri.
Kepala Negara menegaskan, semua menteri tetap bekerja seperti biasa.
""Ya biasa-biasa saja enggak ada masalah, yang kerja ya kerja, yang kunjungan ke daerah, kunjungan ke daerah. Saya pun sama, saya rapat di Jakarta dan di daerah, kadang ada undangan seperti pagi hari ini Kongres XVI GP Ansor,"" kata Jokowi.
Baca juga:Mahfud Mundur dari Kabinet: Keputusan Etis atau Elektoral?
Sebelumnya pada Kamis (1/2/2024) sore, Mahfud MD bertemu dengan Presiden Jokowi di Istana Merdeka, Jakarta.
Pada pertemuan itu, Mahfud menyerahkan surat pengunduran diri sebagai Menko Polhukam.
Menurut keterangan Mahfud MD, pertemuannya dengan Presiden berlangsung lebih dari 10 menit dengan didampingi Menteri Sekretaris Negara (Mensesneg) Pratikno.















Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2024/01/31/20233051/momen-terakhir-mahfud-md-di-istana,31 Januari 2024,Momen Terakhir Mahfud MD di Istana...,"Momen Terakhir Mahfud MD di Istana...
Tim Redaksi
JAKARTA, KOMPAS.com- Menteri Koordinator Bidang Politik, Hukum dan Keamanan (Menko Polhukam)Mahfud MDmengumumkan akan mengajukan surat pengunduran diri kepada Presiden Joko Widodo.
Pengumuman itu disampaikannya pada Rabu (31/1/2024) sore di Lampung Tengah.
""Hari ini saya sudah membawa surat untuk Presiden, untuk disampaikan ke Presiden langsung tentang masa depan politik saya yang belakangan ini menjadi perbincangan publik, dan surat ini akan disampaikan begitu saya mendapat jadwal ketemu dengan Presiden,"" ujar Mahfud ketika berkunjung ke Lampung Tengah, dikutip dari Kompas TV, Rabu.
Baca juga:Mahfud Ingin Mundur Baik-baik dari Menteri Jokowi, Soroti soal Etika
Mahfud memutuskan mundur dari kabinet sehubungan dengan statusnya yang kini menjadi calon wakil presiden nomor urut 3.
Ia berharap langkahnya mundur bisa dicontoh oleh kandidat lain, agar tak menyalahgunakan kewenangan dan fasilitas negara untuk kampanye.
Momen terakhir Mahfud di Istana
Meski sudah lama berencana mundur, namun Mahfud masih aktif menjalankan tugasnya sebagai Menko Polhukam pada masa kampanye pilpres ini.
Pada 18 Januari 2024 lalu, Mahfud sempat menghadiri pembacaan sumpah dan janji hakim Mahkamah Konstitusi Asrul Sani di Istana.
Mahfud tampak menyalami satu per satu hakim MK yang hadir. Mereka antara lain, Suhartoyo, Saldi Isra dan para hakim MK, antara lain Anwar Usman, Arief Hidayat, Enny Nurbaningsih, Daniel Yusmic, Rasul Sani dan Guntur Hamzah.
Selain itu, Mahfud sempat menyapa dan bersalaman dengan Kapolri Jenderal Listyo Sigit Prabowo dan Panglima TNI Jenderal Agus Subiyanto.
Baca juga:Setelah Mahfud, Istana Tegaskan Belum Ada Menteri Lain Mundur dari Kabinet
Pantauan Kompas.com, selama berbincang dengan para koleganya tersebut Mahfud banyak tersenyum.
Mahfud juga menyapa para anggota Komisi Pengawas Persaingan Usaha (KPPU) yang dilantik oleh Presiden Joko Widodo pada hari tersebut.
Usai acara, Mahfud pun meladeni wawancara dengan media. Saat itu, ia sempat mengomentari isu Menteri Keuangan (Menkeu) Sri Mulyani yang disebut akan mundur dari kabinet.
""Enggak tahu saya (soal kabar Bu Sri Mulyani mundur). Saya enggak tahu. Enggak pernah bicara begitu dengan Bu Sri Mulyani,"" kata Mahfud.
Baca juga:Soal Mahfud Mundur, Ganjar Sebut untuk Mencegah Penggunaan Fasilitas Negara Saat Kampanye
Dalam kesempatan tersebut, Mahfud juga sempat memberikan penjelasan soal peretasan akun Instagram resminya.
Mantan Ketua MK itu pun memberikan pendapat mengenai tahapan Pilpres 2024 yang disebut banyak diwarnai ancaman dan intimidasi.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://money.kompas.com/read/2024/01/21/222009626/mahfud-md-sebut-pemerintahan-jokowi-banyak-impor,21 Januari 2024,Mahfud MD Sebut Pemerintahan Jokowi Banyak Impor,"Mahfud MD Sebut Pemerintahan Jokowi Banyak Impor
Tim Redaksi
JAKARTA, KOMPAS.com -Calon Wakil Presiden (Cawapres) Nomor Urut 3Mahfud MDtak menampik bahwa pemerintah saat ini banyak mengimpor beragam komoditas pangan.
Dia membeberkan berdasarkan data yang dimilikinya, pemerintahan Presiden Jokowi akan mengimpor kedelai, susu, gula hingga beras.
""Faktanya ini catatannya impor kedelai saja direncanakan akan masuk sebanyak 2 juta ton, susu sebanyak 280 juta ton, gula pasir 4 juta ton, beras 2,8 juta ton, dan daging sapi,” ujarnya dalam debat kedua Cawapres di Senayan JCC, Minggu (21/1/2024).
Baca juga:Debat Panas Gibran dan Mahfud MD soal Green Inflation
Padahal kataMahfudMD, dalam debat Pilpres 2019, Jokowi menjanjikan tidak akan impor pangan saat ditanya oleh Prabowo yang saat itu juga jadi calon presiden.
Berdasarkan data itu, dia bertanya ke calon wakil presiden nomor urut 2 Gibran Rakabuming Raka, bagaimana langkah yang akan ditempuh agar bisa menciptakan kemandirian pangan.
“Semakin banyak nih angkanya (impor pangan). Saya tanyakan posisi mas Gibran sebagai calon wakil presiden bagaimana konsep Trisakti Bung Karno tentang kemandirian pangan?,” tanya dia.
Ihwal itu, Gibran menjelaskan untuk menciptakan Indonesia bisa swasembada pangan, pihaknya akan melanjutkan programfood estate. Dia tak menampik ada beberapa food estate yang gagal. Namun di sisi lain, kata dia, ada juga food estate yang berhasil.
Baca juga:Mahfud MD Bangga, Orang Madura Jadi Pelopor Ekonomi Hijau
“Ada kok yang berhasil panen, misalnya di Kalteng itu sudah panen jagung, jagung, intinya jangan diberikan narasi-narasi yang menakutkan. Kita optimistis (berhasil),” ungkap Gibran.
Saat ini, pemerintah membuka rencana pengadaan impor di tahun 2024 ini untuk komoditas beras, bawang putih, dan kedelai.
Sedangkan khusus beras, pemerintah berencana akan mengimpor beras, sebanyak 2 juta ton.
Sementara kedelai dan bawang putih juga pasti akan diimpor lantaran Indonesia belum mampu produksinya sendiri. Namun untuk besaran kuotanya juga masih di bahas.
Baca juga:Mahfud MD Bangga, Orang Madura Jadi Pelopor Ekonomi Hijau
Di sisi lain pemerintah melalui Badan Pangan Nasional (Bapanas) menetapkan besaran stok pangan yang harus dimiliki pemerintah sampai akhir tahun 2024 nanti.
Hal itu ditetapkan dalam Keputusan Kepala Badan Pangan Nasional Nomor 379.1/TS.03.03/K/11/2023 tentang Jumlah, Standar Mutu, dan Harga Pembelian Pemerintah Dalam Rangka Penyelenggaraan Cadangan Pangan Pemerintah (CPP) Tahun 2024.
Berikut adalah rincian CPP selama 2024:
Baca juga:Selesaikan Masalah Tanah Adat, Mahfud MD Janji Tertibkan Birokrasi dan Aparat Hukum














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://money.kompas.com/read/2023/12/22/212435726/jurus-mahfud-md-dongkrak-ekspor-ri,22 Desember 2023,Jurus Mahfud MD Dongkrak Ekspor RI,"Jurus Mahfud MD Dongkrak Ekspor RI
Tim Redaksi

JAKARTA, KOMPAS.com- Calon wakil presiden (cawapres) nomor urut 3Mahfud MDmengatakan, ia dan capresnya, Ganjar Pranowo, memiliki tiga strategi mengoptimalkan pemanfaatan perjanjian perdagangan bebas untuk mendongkrak ekspor.
""Menurut saya untuk mengoptimalkan pemanfaatan perjanjian-perjanjian, saya dan Ganjar kebetulan sudah berdiskusi lama terkait hal ini. Sekurang-kurangnya ada 3 hal yang menjadi strategi kami,"" ujar Mahfud dalamdebat cawapresdi Jakarta Convention Center (JCC), Jumat (22/12/2023).
Baca juga:Muhaimin Mau Bangun 40 Kota Setara Jakarta, Mahfud MD: Saya Kaget, Apakah Bisa?
Pertama, Mahfud-Ganjar mengoptimalkan diplomasi dengan negara-negara lain melalui diplomasi dengan para duta besar di luar negeri.
""Menurut Pak Jokowi pada saat awal-awal kami dilantik, duta besar itu adalah duta ekonomi,"" kata dia.
Kedua, mereka akan mengintegrasikan perdagangan nasional agar sesuai dengan standar perdagangan global.
Dengan demikian, produk yang diproduksi di Indonesia bisa dengan mudah diekspor ke negara lain karena sudah memenuhi standar internasional
""Kita juga membuat regulasi di sini agar tidak, misalnya, upaya perdagangan kita lalu diblokir atau dicurangi oleh teman-teman kita sendiri, pelaku-pelaku ekonomi di dalam yang berintegrasi atau berkolusi dengan pejabat-pejabat publik,"" ujar Mahfud.
Baca juga:Mahfud Sindir Gibran soal IKN: Belum Ada Satu Pun Investor yang Masuk
Terakhir, mereka akan mengutamakan penguatan ekonomi nasional agar bisa tumbuh dan produktif. Dengan demikian, kualitas produk dalam negeri bisa mudah diterima negara lain.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
