URL,Tanggal,Judul,Isi Berita
https://regional.kompas.com/read/2023/10/24/14333361/mitigasi-pemilu-berdarah-2024,24 Oktober 2023,"Mitigasi ""Pemilu Berdarah"" 2024","Mitigasi ""Pemilu Berdarah"" 2024
Komisioner KPU Provinsi DKI Jakarta & Peminat Kajian Kepemiluan
Komisioner KPU Provinsi DKI Jakarta & Peminat Kajian Kepemiluan
MEMBACAkembali refleksi pemilu 2019, di mana 894 petugas pemilu meninggal dan 5.175 petugas jatuh sakit.
Ada kisah tentang pak Tommy petugas KPPS 19 Pacar Keling Surabaya meninggalkan putranya yang kini hidup tanpa orangtua.
Juga cerita tentang Pak Sapto Nugroho, Ketua Panitia Pemilihan Kecamatan (PPK) Tasikmadu, Karanganyar yang mengembuskan napas terakhirnya setelah perawatan seminggu di rumah sakit.
Di Jakarta Barat, seorang petugas pemilu meninggal di depan Panitia Pemungutan Suara (PPS) setelah mengantarkan kotak suara di kelurahan.
Di Jakarta Selatan, tempat penulis bertugas pada Pemilu 2019, terdapat delapan petugas pemilu yang menjadi korban jiwa.
Selama beberapa hari, penulis harus berkeliling mengebumikan petugas pemilu yang meninggal dunia.
Salah satunya rekan kerja penulis, ASN dari sekretariat KPU wafat satu bulan setelah pemungutan suara karena kelelahan dan riwayat penyakit jantung.
Pemilu 2019 dan narasi mereka yang ditinggalkan karena beban berat penyelenggaraan pemilu tak boleh lagi terjadi.
Jangan sampai juga kita mengikuti pandangan Joseph Stalin “satu kematian adalah tragedi; satu juta kematian adalah statistik."" Setiap nyawa “pahlawan demokrasi” yang dipertaruhkan adalah tragedi kemanusiaan yang harus dicegah terulang kembali!
Problemnya, undang-undang penyelenggaraan pemilu yang digunakan masih sama dengan pemilu 2019. Jumlah surat suara yang digunakan sama, pemilu juga diselenggarakan serentak antara pileg dan pilpres.
Syahdan, rencana KPU menerapkan metode penghitungan suara dua panel tidak disetujui Komisi II DPR. Dengan demikian, penyelenggaraanpemilu 2024akan menerapkan tata kelola yang relatif sama dengan pemilu 2019. Hal ini berpotensi terjadinya ""bloody"" pemilu terulang kembali.
PenyebabBloodyPemilu 2019
Kajian Kementerian Kesehatan (2019) menyebutkan, penyebab terbanyak kematian di Jawa Barat adalah gagal jantung dengan jumlah 24 jiwa dan di Jawa Timur 11 jiwa.
Penyebab terbanyak kematian di Jawa Tengah adalahinfarct myocard(serangan jantung) sebanyak tiga jiwa. Selain itu karena koma hepatikum, stroke, respiratory failure, hipertensi emergency, meningitis, sepsis, asma, diabetes melitus, gagal ginjal, TBC, kegagalan multi organ.
Masih menurut Kementerian Kesehatan, ada 11.239 petugas Pemilu yang sakit. Setidaknya ada sembilan jenis penyakit mereka, yakni Hipertensi Emergency, Diabetes, Asma, Dispepsia, Gastritis, infeksi saluran kemih, typoid, syncope, dan stroke.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/09/24/00150001/aturan-iklan-kampanye-pemilu-,24 September 2023,Aturan Iklan Kampanye Pemilu,"Aturan Iklan Kampanye Pemilu
Tim Redaksi
KOMPAS.com -Pasangan calon presiden dan calon wakil presiden, calon kepala daerah, serta calon legislatif bisa melakukan iklan di media massa saat masa kampanye.
Iklan kampanye pemilu dapat dilakukan oleh Peserta Pemilu di media massa cetak, dan Media Daring, Media Sosial, dan Lembaga Penyiaran baik dalam bentuk iklan komersial maupun iklan layanan untuk masyarakat.
Aturan Iklan kampanye pemilu diatur melalui Peraturan Komisi Pemilihan Umum (PKPU) nomor 15 tahun 2023 tentang kampanye pemilu dari pasal 39-45.
Baca juga:Bawaslu, KPU, Dewan Pers, dan KPI Bentuk Gugus Tugas Awasi Pemberitaan dan Iklan Kampanye Pemilu 2024
KPU dapat memfasilitasi penayangan iklan Kampanye Pemilu dalam bentuk iklan komersial atau iklan layanan masyarakat pada media massa cetak, media massa elektronik, dan/atau media daring.
Namun begitu biaya pembuatan desain dan materi iklan Kampanye Pemilu ditanggung oleh peserta pemilu.
KPU diminta memberikan kesempatan dan alokasi waktu yang sama kepada Peserta Pemilu sehingga tidak dibeda-bedakan.















Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/09/21/08000081/pemilu-bersih-tanpa-oligarki,21 September 2023,Pemilu Bersih Tanpa Oligarki,"Pemilu Bersih Tanpa Oligarki
Pemerhati masalah sosial. Bekerja sebagai pegawai negeri sipil sejak 1986 hingga 2016.
Pemerhati masalah sosial. Bekerja sebagai pegawai negeri sipil sejak 1986 hingga 2016.
OLIGARKIadalah sistem politik di mana sejumlah kecil individu kaya menguasai ekonomi negara secara signifikan.
Dalam upaya menambah dan mempertahankan kekayaannya,oligarkidi banyak negara, termasuk Indonesia, terdorong untuk memasuki dunia politik.
Caranya dengan memberikan modal kepada calon yang maju dalam pemilu atau terjun langsung menjadi politisi untuk bersaing dengan politisi asli.
Tentu saja tidak semua calon peserta pemilu didukung oligarki, banyak juga yang berhasil dengan upaya sendiri, tanpa mengeluarkan dana besar.
Oligarkipolitik tumbuh karena terdorong peluang terbuka karena besarnya biaya politik. Sementara tidak setiap politisi mampu membiayai aktivitas politik yang semakin banyak.
Sistem proporsional terbuka yang dianut negara menyebabkan para calon harus bersaing dengan calon separtai maupun dengan calon dari partai lain. Keterlibatan partai menjadi minimal, sebaliknya para calon harus super kreatif agar terpilih saat hari pencoblosan.
Biaya pencalonan (mahar politik), biaya kampanye untuk kompetisi yang ketat, dan pemberian uang pengganti suara (serangan fajar) menyebabkan calon-calon yang berdana banyak kemungkinan besar menjadi pemenang.
Oligarki ekonomi beralih menjadi oligarki politik saat pengusaha besar tertantang untuk berkompetisi dalam pemilu/pilkada. Selain untuk meningkatkan status sosialnya, kedudukan kepala daerah juga dapat menambah hartanya, dengan cara-cara legal dan ilegal yang umum dilakukan.
Regulasi yang tidak lengkap dan pengawasan serta penegakan hukum yang lemah menyebabkan tindakan politik ilegal ditengarai tumbuh subur di mana-mana.
Dampak pemilu yang penuh kecurangan terlihat dari adanya kepala-kepala daerah yang tertangkap tangan oleh KPK. Cukup banyak juga mantan kepala daerah sudah atau sedang menjalani hukuman.
Berita tentang operasi tangkap tangan (OTT) kepala daerah yang diduga korupsi seperti tidak pernah jeda.
Oligarki merugikan bangsa karena menghambat kemunculan politisi asli yang tidak memiliki dana untuk mengikuti prosedur pemilu secara formal, maupun secara nonformal yang ilegal, namun terpaksa dilakukan.
Termasuk dalam prosedur ilegal adalah menerima sumbangan di luar ketentuan yang ditetapkan peraturan. Seorang calon dalam pilkada juga dilarang memberikan uang atau barang kepada calon pemilih menjelang atau pada hari pencoblosan.
Namun tanpa uang, sulit untuk menang, karena permintaan untuk itu ada, khususnya di masyarakat yang tingkat ekonomi daerahnya rendah dan kesenjangan sosial tinggi, di samping pengawasan yang tidak efektif.
Politisi asli yang mengandalkan niat dan semangat saja bisa kecewa, karena kalah oleh muka-muka baru berbekal dana besar walau dari pinjaman.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/08/04/00150091/apa-saja-tahapan-pemilu-,4 Agustus 2023,Apa Saja Tahapan Pemilu?,"Apa Saja Tahapan Pemilu?
Tim Redaksi
KOMPAS.com -Pemilihan Umum (Pemilu) akan digelar pada tahun 2024. Ada sejumlah tahapan yang harus dilalui hingga pelantikan pemimpin yang terpilih.
Tahapan dalam pemilu sudah diatur dalam Pasal 3 Peraturan Komisi Pemilihan Umum (PKPU) nomor 3 tahun 2022 tentang Tahapan dan Jadwal Penyelenggaraan Pemilu tahun 2024.
Sesuai dengan pasal 3, berikut initahapan Pemilu2024:
Pasal 4 PKPU nomor 3 tahun 2022 mengatur jika Pemilu untuk memilih Presiden dan Wakil Presiden dilakukan putaran kedua, berikut tahapan penyelenggaraan Pemilu Presiden dan Wakil Presiden yang meliputi:
Baca juga:Jenis Surat Suara Pemilu 2024
Mengenai jadwal tahapan dalamPemilu 2024mendatang, KPU sudah mengaturnya.
Masyarakat bisa mengakses situs resmi Portal Publikasi Pemilu milik KPU (infopemilu.kpu.go.id), untuk mengetahui rincian jadwal dan tahapannya.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/04/10/07191691/pemilu-politisi-dan-negarawan,10 April 2023,"Pemilu, Politisi, dan Negarawan","Pemilu, Politisi, dan Negarawan
Doktor Komunikasi Universitas Padjadjaran (Unpad); Dosen Pascasarjana Universitas Pasundan (Unpas). Ketua Citarum Institute; Pengurus ICMI Orwil Jawa Barat, Perhumas Bandung, ISKI Jabar, dan Aspikom Jabar.
Doktor Komunikasi Universitas Padjadjaran (Unpad); Dosen Pascasarjana Universitas Pasundan (Unpas). Ketua Citarum Institute; Pengurus ICMI Orwil Jawa Barat, Perhumas Bandung, ISKI Jabar, dan Aspikom Jabar.
SAATini kegaduhan politik mulai terasa memasuki event kontestasi politik yang kurang dari setahun lagi. Kegaduhan ini berpotensi besar akan menguras energi bangsa.
Padahal, butuh kondusifitas dan kebersamaan dalam mengatasi beragam permasalahan bangsa. Kita juga belum sepenuhnya keluar dari pandemi Covid-19.
Pemilu akan dilaksanakan pada 14 Februari 2024 dan Pilkada serentak pada 27 November 2024. Namun, mekanisme rekrutmen politik yang ada lebih banyak melahirkan pemimpin berkarakterpolitisi, daripadanegarawan.
Masih terlihat jelas gambaran buram dinamika Politik Indonesia, merujuk formula komunikasi yang dirumuskan Harold Laswell, yaitu:Who gets What, When, and How(3 W + 1 H), politik adalah siapa, mendapatkan apa, kapan, dan bagaimana caranya.
Realitas Indonesia pascareformasi memperlihatkan pemilihan umum legislatif dan eksekutif dari pusat hingga daerah yang pernah diselenggarakan sebagai perwujudan demokrasi masih langka melahirkan pemimpin yang negarawan untuk memimpin masyarakat dan bangsa menghadapi masa depan.
Indonesia hingga saat ini miskin pemimpin yang berjiwa negarawan, tapi surplus politisi.
Meski mekanisme demokrasi belum menghasilkan pemimpin yang diharapkan, setidaknya sedikit lebih baik daripada tidak ada mekanisme demokrasi.
Semoga seiring meningkatnya kualitas literasi politik masyarakat kedepan, diharapkan akan melahirkan politisi negarawan yang berkualitas.
Praktik demokrasi Indonesia pascareformasi telah membuka ruang-ruang ekspresi, partisipasi dan konstestasi politik yang luas bagi masyarakat. Kontestasi politik yang juga menumbuh suburkan politik pencitraan.
Saat ini komunikasi politik bagaikan “sebuah salon pencitraan” yang mengurusmake up, bedak dan gincu yang digunakan untuk merebut posisi kepemimpinan politik. Dan semuanya membutuhkan biaya politik yang besar.
Maraknya “politisi salon”, merupakan cermin menguatnya kerja-kerja sistem kapitalisme yang sejalan dengan demokrasi liberal.
Celakanya, sistem “demokrasi-kapitalistik” di negeri kita berjalan di tengah langkanya etika dan norma politik.
Sehingga aktualitas demokrasi politik Indonesia dirayakan dengan ekspresi dangkal dan saling menyerang, bagaikan pesta keramaian yang miskin substansi dan komitmen.
Dinamika politik kita dipadati tontonan hingar-bingar, bahkan agama sering dijadikan komodifikasi yang efektif dalam meningkatkan citra aktornya.
Ekspresi demokrasi dan kebangsaan yang dangkal dan menyerang seperti itulah yang dulu dikhawatirkan oleh Bung Karno.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://money.kompas.com/read/2024/01/29/120535626/kondisi-ekonomi-tertolong-pemilu,29 Januari 2024,Kondisi Ekonomi Tertolong Pemilu,"Kondisi Ekonomi Tertolong Pemilu
Wakil Ketua Badan Anggaran DPR-RI
Wakil Ketua Badan Anggaran DPR-RI
SENTILANPresiden Jokowi yang disampaikan pada acara Pertemuan Tahunan Bank Indonesia (PTBI) pada akhir 2023, menjadi sinyal kuat bahwa kondisi ekonomi Indonesia sedang tidak dalam kondisi baik-baik saja.
Kondisi ini tercermin dari mulai keringnyalikuiditasdalam perekonomian Indonesia. Jumlah uang yang terkumpul di lembaga keuangan tidak bergerak dan memicu aktivitas ekonomi produktif.
Kondisi mengeringnya likuiditas dalam perekonomian menjadi pertanda bahwa bidang moneter sedang mengalami masalah besar.
Oleh karena itu, tidak salah jika kegundahan presiden disampaikan dalam acara Bank Indonesia yang bertanggung jawab secara langsung terhadap kondisi moneter di Indonesia.
Riakan masalah di bidang moneter sudah mulai terlihat sejak pertengahan 2023 dan belum kunjung membaik sampai tulisan ini dibuat.
Walaupun semua variabel keuangan menunjukkan indikasi yang baik dan cukup (ample), pada kenyataannya indikator-indikator dalam sistem keuangan tersebut belum mampu menggerakkan roda perekonomian ke kondisi optimalnya.
Bahkan pada Triwulan III 2023, pertumbuhan ekonomi Indonesia mengalami perlambatan menjadi 4,94 persen dari sebelumnya 5,17 persen pada Triwulan II 2023. Kondisi ini tentunya akan menjauhkan pertumbuhan ekonomi Indonesia 2023 dari targetnya.
Melihat dinamika dan arus di permukaan, kondisi dankebijakan moneterdalam perekonomian Indonesia tampak relatif baik-baik saja. Kebijakan moneter tampak efektif dan mampu menjaga stabilitas nilai tukar dan inflasi dengan cukup baik.
Namun, ketika kita menyelami sedikit lebih dalam, ketenangan yang nampak di permukaan tersebut sedikit berlainan dengan roda perekonomian yang sedang berjalan.
Kebijakan Bank Indonesia yang dinilai efektif malah dirasa relatif memberikan ekses negatif terhadap likuiditas perekonomian yang menghambat kinerja perekonomian secara keseluruhan.
Kebijakan moneter yang dibuat Bank Indonesia secara langsung telah menyerap likuiditas perekonomian yang cukup besar dan menghambat kinerja sektor riil yang menciptakan lapangan kerja dan meningkatkan pendapatan masyarakat.
Berbagai kebijakan moneter yang dibuat Bank Indonesia, mulai dari kebijakan suku bunga sampai dengan penciptaan instrumen kebijakan moneter, telah mengubah ritme, tatanan, dan stabilitas perekonomian nasional.
Target pertumbuhan ekonomi pascapandemi yang diharapkan tinggi, ternyata tidak mampu bergerak sesuai harapan karena kurang selarasnya kebijakan moneter dengan kebijakan fiskal dan sektor riil.
Kenaikan suku bunga acuan yang dibuat Bank Indonesia telah berhasil menarik minat lembaga keuangan dan masyarakat untuk menyimpan dananya di instrumen kebijakan moneter.
Kondisi ini menyebabkan tertahannya laju pertumbuhan ekonomi yang diharapkan tinggi tadi.
Dana yang terserap ke dalam instrumen kebijakan moneter jika tidak dikelola dengan baik akan berpotensi menjadi sumber penyakit yang menggerogoti kesehatan ekonomi nasional.
Terkumpulnya dana lembaga keuangan dan masyarakat ke dalam instrumen kebijakan moneter bisa berpotensi mengakibatkan kekeringan likuiditas di dalam perekonomian walaupun jumlah dana yang terdapat di dalam sistem keuangan sangat berlimpah.
Lembaga perbankan, investor, dan masyarakat umum cenderung lebih memilih menanamkan dananya di instrumen kebijakan moneter alih-alih menyalurkannya ke sektor riil sehingga berlimpahnya dana di sektor keuangan tidak mengalir ke sektor riil.
Hal ini terjadi selain karena imbal hasil yang cukup tinggi, risiko yang terkandung dalam instrumen moneter juga jauh lebih rendah.
Dengan daya tarik tersebut, maka wajar jika lembaga keuangan tidak menyalurkan dana yang dihimpunnya menjadi fasilitas kredit untuk investasi dan konsumsi.
Kondisi ini yang menjadikan sektor industri relatif tidak bergerak dan terus terjebak ke dalam kubangan deindustrialisasi.
Selain itu, argumentasi yang digunakan Bank Indonesia dalam menaikkan suku bunga acuan rasa-rasanya agak kurang pas.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://money.kompas.com/read/2023/10/02/074535226/ekonomika-pemilu-2024,2 Oktober 2023,Ekonomika Pemilu 2024,"Ekonomika Pemilu 2024
Dosen Universitas Gadjah Mada, Yogyakarta. Ketua Departemen Ekonomi dan Bisnis, Sekolah Vokasi UGM. Ketua Bidang Organisasi, Ikatan Sarjana Ekonomi Indonesia
Dosen Universitas Gadjah Mada, Yogyakarta. Ketua Departemen Ekonomi dan Bisnis, Sekolah Vokasi UGM. Ketua Bidang Organisasi, Ikatan Sarjana Ekonomi Indonesia
KETIKAIndonesia bersiap menghadapi pesta demokrasi 2024, masyarakat dan dunia usaha di seluruh negeri memperhatikan potensi dampaknya, khususnya kelanjutan program ekonomi dan investasi.
Pertanyaannya, apakah perubahan pemimpin politik tersebut akan berdampak signifikan terhadap prospek bisnis dan investasi?
Memahami dampak pemilu ini penting bagi para pemimpin bisnis yang ingin menavigasi lingkungan politik yang terus berkembang dan memanfaatkan peluang sambil memitigasi potensi tantangan dalam pasar Indonesia yang dinamis.
Lanskap politik di Indonesia berada di titik puncak perubahan signifikan menjelang tahun 2024. Negara ini akan menyelenggarakan pemilu gabungan untuk pemilihan umum (Pemilu) dan pemilihan kepala daerah (Pilkada) untuk pertama kalinya pada tahun yang sama.
Pemilu yang dijadwalkan pada 14 Februari 2024 akan mencakup pemilihan Presiden dan Wakil Presiden, Anggota Dewan Perwakilan Rakyat (DPR), Dewan Perwakilan Daerah (DPD),Dewan Perwakilan Rakyat Daerah (DPRD) provinsi dan kabupaten/kota.
Apabila Pemilu Presiden terjadi putaran kedua, maka akan dijadwalkan pada Rabu, 26 Juni 2024.
Pilkada akan dilaksanakan pada 27 November 2024, untuk memilih gubernur, wakil gubernur, bupati, wakil bupati, wali kota, dan wakil wali kota seluruh Indonesia.
Indonesia adalah salah satu negara demokrasi terbesar di dunia yang berhasil menyelenggarakan lima pemilihan presiden langsung.
Rekam jejak ini cukup menunjukkan kemampuan Indonesia menjaga stabilitas politik dan sosial selama pemilu, serta meyakinkan investor mengenai keamanan dan keselamatan selama proses pemilu.
Meskipun pemerintah Indonesia masih optimistis terhadap iklim investasi pada 2024, investor mempertanyakan program para capres terhadap beberapa warisan kebijakan Presiden Joko Widodo, misalnya proyek-proyek strategis nasional dan Ibu Kota Nusantara (IKN).
Investasi yang tergolong proyek strategi nasional menjadi sorotan para capres mengenai beban yang harus ditanggung kedepannya.
Proyek yang menjadi sorotan adalah Kereta Api Cepat Bandung-Jakarta, MRT Jakarta, LRT Jabodetabek, Bandara Kertajaya, jalan Tol di luar Jawa dan lainnya.
Demikian juga mengenai program kontroversial “Hilirisasi” sektor pertambangan atau kemandirian pangan.
Pertanyaannya lebih kepada bagaimana beban-beban keuangan dan investasi proyek-proyek tersebut dapat ditanggulangi dan apakah akan menjadi beban fiskal di kemudian hari?
Proyek-proyek nasional yang besar nilai investasinya memang dibutuhkan, tetapi mahal, dan belum tentufeasiblesecara komersial. Belum lagi rawan dengan penyimpangan oleh para perencana dan pelaksananya.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2024/02/01/08530011/pemilu-harus-menyehatkan-demokrasi,1 Februari 2024,Pemilu Harus Menyehatkan Demokrasi,"Pemilu Harus Menyehatkan Demokrasi
Peneliti dan Penulis
Peneliti dan Penulis
PEMILUsemakin dekat, dunia maya pun kian riuh rendah. Alhasil, media sosial (medsos) kini dicap biang keributan.
Serangan personal,bully online, dan perang opini merajalela di beranda digital. Platform X (dulu Twitter), barangkali, jawara dalam hal ini.
Di sana, debat kusir tanpa henti, saling hujat dan ejekan menjadi tontonan harian. Platform lain pun tak jauh berbeda. Facebook, Instagram, bahkan LinkedIn, yang bercita-cita sebagai ruang profesional, tak luput dari drama.
Dari sinilah muncul anggapan bahwa platform medsos memang diciptakan untuk memicu kehebohan. Memang benar, algoritma dirancang untuk memaksimalkan ""engagement"", mengutamakan luapan emosi ketimbang perbincangan reflektif dan rasional.
Konten sensasional, penuh ""bumbu"" kontroversi, jelas lebih laku ketimbang diskusi intelektual mendalam. Bahkan ada yang menyebut, medsos tak ubahnya mesin perang psikologis, memancing amarah dan adu domba demi klik dan keuntungan.
Masalah medsos lebih dalam dari sekadar keserakahan dalam pemanfaatan teknologi canggih. Medsos, pada dasarnya, adalah gejala (a symptom), bukan penyebab (a cause).
Kegaduhan yang merajalela di dunia maya hanyalah cerminan dari keadaan masyarakat kita yang sesungguhnya (Bylund, 2024).
Dengan kata lain, dinamika media sosial bukanlah penyebab utamademokrasiyang sakit, melainkan gejala dari dukungan masyarakat terhadap ideologi demokrasi.
Artinya, cara media sosial berfungsi atau karakteristiknya yang kian kontroversial adalah hasil dari penerimaan secara luas dalam masyarakat terhadap ideologi demokrasi.
Betapa tidak, demokrasi menganjurkan pluralitas opini dan kebebasan berbicara. Media sosial, sebagai platform yang memungkinkan berbagai suara diungkapkan, dapat mencerminkan nilai-nilai ini dan terkadang menciptakan lingkungan yang penuh dengan beragam pandangan.
Demokrasisebagai sistem memang telah berevolusi. Dari sistem pemilihan perwakilan di masa Athena kuno, kini menjadi ""one man, one vote"" ala negara kesejahteraan (welfare states) Barat. Namun, di tataran ideologis, terjadi penyimpangan.
Egalitarianisme, yang awalnya menekankan hak asasi individu menjadi cita-cita kesetaraan absolut. Ketimpangan ekonomi, perbedaan pendapat, bahkan kesuksesan individu kini dipandang sebagai anomali yang harus dihapus.
Inilah tantangan demokrasi modern dalam menyeimbangkan sistem dengan ideologi. Demokrasi sebagai sistem harus menjunjung tinggi kebebasan individu dan supremasi hukum, sementara demokrasi sebagai ideologi sering kali tergoda untuk menggunakan kekuasaan mayoritas untuk memaksakan kesetaraan dalam segala hal, yang dapat menggerus hak-hak individu dan melemahkan tatanan hukum (Chair, 2024).
Dampaknya, di ruang digital yang mendewakan keramaian, suara para pakar tak lagi ditakar berdasarkan keahlian, melainkan jumlah pengikut. Kedalaman dialog dan diskusi hilang ditelan teriakan mayoritas.
Siapa pun yang berani melontarkan opini kontra arus berpotensi dicap pengkhianat atau musuh. Diskusi sehat digantikan oleh penggiringan opini secara masif, di mana kebenaran ditentukan oleh kekuatan suara, bukan logika dan argumen.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/08/08/00300031/jadwal-pemilu-2024,8 Agustus 2023,Jadwal Pemilu 2024,"Jadwal Pemilu 2024
Tim Redaksi














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
https://nasional.kompas.com/read/2023/11/29/15334721/pemilu-dalam-dinamika-geopolitik,29 November 2023,Pemilu Dalam Dinamika Geopolitik,"Pemilu Dalam Dinamika Geopolitik
Dewan Pakar Bidang Geopolitik dan Geostrategi BPIP RI.
Dewan Pakar Bidang Geopolitik dan Geostrategi BPIP RI.
INDONESIAsebagai negara demokratis terbesar di dunia, menyelenggarakan pemilihan umum (Pemilu) secara berkala untuk menentukan arah politiknya, termasuk pada momentumPemilu 2024yang sudah memasuki babak kampanye.
Maka momentum Pemilu tidak hanya mencerminkan dinamika internal negara, tetapi juga memiliki dampak signifikan dalam konteksgeopolitikregional dan global.
Dengan demikian, Pemilu menciptakan momentum penting dalam hubungan bilateral dengan negara-negara mitra. Pemilu menjadi panggung utama di mana warga Indonesia mengartikulasikan keinginan politik mereka, sementara dunia memperhatikan pergeseran politik dan kebijakan yang mungkin terjadi.
Kandidat terpilih membentuk kebijakan luar negeri yang dapat memengaruhi dinamika geopolitik di kawasan.
Keterlibatan dan pandangan calon terhadap isu-isu global seperti perdagangan, keamanan, dan perubahan iklim dapat membentuk citra Indonesia di mata komunitas internasional.
Pemilu di Indonesia bukan hanya peristiwa nasional, tetapi juga fenomena geopolitik yang memiliki implikasi global.
Momentum ini memberikan kesempatan bagi Indonesia untuk memperkuat posisinya dalam dinamika geopolitik regional, dan memainkan peran yang lebih aktif dalam membentuk tata dunia.
Oleh karena itu, perhatian dan partisipasi aktif dari semua pihak, baik dalam maupun luar negeri, menjadi kunci untuk memastikan bahwa proses demokrasi di Indonesia berjalan dengan baik, serta memberikan dampak positif bagi stabilitas dan perkembangan di tingkat global.
Dalam konteks geopolitik regional, hasil Pemilu di Indonesia memiliki dampak pada keamanan dan stabilitas kawasan Asia Tenggara.
Indonesia, sebagai negara dengan populasi terbesar dan kekuatan ekonomi di kawasan, memiliki peran sentral dalam mengatasi isu-isu seperti ketegangan maritim, migrasi, dan keamanan regional.
Pemilu memiliki peran sentral dalam dinamika geopolitik Indonesia, memberikan landasan untuk transformasi politik yang mendalam menuju masa depan yang lebih dinamis dan berkembang.
Pemilu bukan sekadar proses penentuan kekuasaan, tetapi juga refleksi dari pergeseran geopolitik yang terjadi di tingkat regional maupun global.
Dalam konteks ini, pemilihan umum di Indonesia bukan hanya suatu ritual demokrasi, tetapi juga menjadi instrumen vital dalam membentuk arah kebijakan luar negeri, stabilitas regional, dan peran Indonesia dalam tatanan global.
Pemilu menjadi wahana untuk merepresentasikan keanekaragaman masyarakat Indonesia, menciptakan legitimasi politik yang diperlukan untuk membangun fondasi kebijakan luar negeri yang kuat.
Dalam menghadapi dinamika geopolitik yang terus berubah, maka pemilih wajib berperan sebagai kekuatan pengubah, mengarahkan pemimpin yang akan membawa Indonesia bersaing dalam tatanan global yang penuh tantangan.
Momen Pemilu menciptakan peluang bagi partai politik dan kandidat untuk menyusun visi masa depan yang sejalan dengan kebutuhan masyarakat dan dinamika geopolitik.
Dalam lingkup geopolitik, hasil Pemilu Indonesia tidak hanya memengaruhi kebijakan domestik, tetapi juga menciptakan dampak pada hubungan bilateral dan regional.
Pentingnya partisipasi masyarakat dalam Pemilu tidak hanya sebatas hak demokratis, tetapi juga sebagai pernyataan keinginan kolektif untuk melibatkan diri dalam perubahan geopolitik.














Copyright 2008 - 2025 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
