Tanggal;Judul;URL;Isi Berita
14 Mar 2023 20:11;Survei PWS:GanjarPranowoPaling Difavoritkan Jadi Wakil Prabowo untuk Pilpres 2024;https://www.liputan6.com/news/read/5233145/survei-pws-ganjar-pranowo-paling-difavoritkan-jadi-wakil-prabowo-untuk-pilpres-2024;"Liputan6.com, Jakarta -
Lembaga survei Political Weather Stations (PWS) merilis hasil survei terbarunya, soal simulasi pasangan calon presiden
(capres)
dan calon wakil presiden (cawapres) yang difavoritkan publik.
Hasilnya, pasangan Prabowo Subianto-
Ganjar Pranowo
menjadi yang paling banyak dipilih dan berpotensi besar membuat pemilihan presiden (Pilpres) 2024 cukup satu putaran.
“Pasangan Prabowo-Ganjar bahkan jauh lebih difavoritkan publik daripada pasangan Ganjar Pranowo-Erick Thohir yang akhir-akhir ini banyak dibicarakan,” tulis Peneliti Senior PWS, Sharazani MA dalam keterangan diterima, Selasa (14/3/2023).
Advertisement
Sharazani menjelaskan, dalam survei kali ini PWS membuat beberapa simulasi pasangan capres-cawapres. Pertama-tama dibuat simulasi siapakah cawapres yang dinilai cocok mendampingi tiga capres papan atas yakni
Prabowo Subianto
, Ganjar dan Anies. Kemudian PWS membuat simulasi apabila capres diikuti tiga pasang kandidat.
“Kami bertanya siapakah yang menjadi favorit publik. Selain itu PWS juga membuat analisis secara cross-tabulation untuk mengetahui kemana arah dukungan partai-partai politik terhadap tiga pasangan capres-cawapres yang disimulasikan PWS,” urai dia.
Hasilnya, dari dari sejumlah nama yang diajukan oleh PWS kepada responden dan menanyakan kepada mereka siapakah yang paling cocok menjadi wakil dari pendamping Prabowo Subianto, sebanyak 24,5% publik menyebut nama Ganjar Pranowo. Setelah itu muncul nama Ridwan Kamil (15,6%), Sandiaga Uno (12,8%), Erick Thohir (11,2%) dan Khofifah (10,1%).
“Ketua Umum PKB Muhaimin Iskandar dan politisi senior PDI Perjuangan Puan Maharani hanya disebut oleh kurang 2% responden,” tutur Sharazani."
14 Mar 2023 16:04;Bantu Korban Banjir Rob di Demak,GanjarPranowoKucurkan Rp 1,6 Miliar;https://www.liputan6.com/news/read/4624562/bantu-korban-banjir-rob-di-demak-ganjar-pranowo-kucurkan-rp-16-miliar;"Liputan6.com, Jakarta
Gubernur Jawa Tengah
Ganjar Pranowo
, menggelontorkan bantuan sosial stimulan pembangunan rumah bagi korban bencana rob di Desa Bedono, Kecamatan Sayung, Kabupaten Demak. Bantuan senilai Rp1,6 miliar itu untuk pembangunan rumah dengan sistem Rumah Unggul Sistem Panel Instan atau Ruspin. Bantuan tersebut ditujukan bagi warga yang terdampak banjir rob.
""Ruspin ini coba kita selesaikan, yang pertama ini kan area rob, jadi adaptasi masyarakat mesti dilakukan. Selama ini yang dilakukan penimbunan karena area ini area land subsidence,"" kata Ganjar usai meninjau bantuan Ruspin di Desa Bedono, Selasa (14/3/2023).
BACA JUGA:
Hasto dapat Amnesti dari Prabowo, PDIP Tepis Spekulasi Intervensi Politik
BACA JUGA:
Hasto Kristiyanto Divonis 3,5 Tahun Penjara, Ketua PDIP Ganjar Pranowo Nilai Hakim Bijaksana
Baca Juga
Hasto Kembali Jadi Sekjen, PDIP Segera Daftarkan Kepengurusan ke Kemenkum
Ganjar Pastikan PDIP Tetap Buka Komunikasi dengan Pemerintah Pusat Meski Hasto Kembali Jadi Sekjen
Ini Alasan Hasto Kembali Ditunjuk jadi Sekjen PDIP
Diketahui, program penanganan rumah terdampak rob dari Pemprov Jawa Tengah di Kabupaten Demak yang menggunakan APBD Provinsi 2022 sebanyak 39 unit dan menggunakan APBD Provinsi 2023 sebanyak 33 unit.
Advertisement
Sementara untuk perbaikan kualitas rumah, Pemprov Jawa Tengah membantu perbaikan 26 unit di tahun 2022 dan 303 unit di 2023.
Ganjar memaparkan, konsep Ruspin mengandalkan pondasi yang dibuat lebih tinggi 1,5 meter dari permukaan air. Hal itu sebagai alternatif dari cara menimbun atau menguruk permukaan rumah yang biasa dilakukan warga.
Untuk harga bantuan rumah Ruspin dari Pemerintah Provinsi Jawa Tengah senilai Rp50 juta per unit.
""Kami dari Pemprov membantu ruspin harganya Rp50 juta, itu kit bantu untuk mereka yang tidak mampu terus dibuatkan dengan ruspin dan itu bisa dikerjakan dalam waktu satu hari dirakit,"" papar Ganjar.
Lebih lanjut, salah satu warga Desa Bedono penerima bantuan Ruspin bernama Rohmi, menceritakan rumahnya hancur akibat rob yang melanda Desa Bedono pada tahun 2022 kemarin.
Dia pun sempat tidak memiliki tempat tinggal selama beberapa hari, sebelum akhirnya mendapatkan bantuan Ruspin.
""Sebelum dapat bantuan rumahnya di sebelah sana, terus terkena abrasi, jadi tidak bisa dihuni. Sekarang ini dapat tempat di sini langsung dapat bantuan seperti ini,"" tutur Rohmi.
Ibu rumah tangga berusia 36 tahun itu menjelaskan, kondisi Ruspin yang ditinggalinya bersama suami dan satun orang anaknya tersebut terasa nyaman untuk ditinggali."
14 Mar 2023 09:02;Infografis Wacana Duet Prabowo Subianto danGanjarPranowodi Pilpres 2024;https://www.liputan6.com/news/read/5232157/infografis-wacana-duet-prabowo-subianto-dan-ganjar-pranowo-di-pilpres-2024;"Liputan6.com, Jakarta -
Dua tokoh yang mempunyai elektabilitas tinggi bertemu. Menteri Pertahanan Prabowo Subianto dan Gubernur Jawa Tengah Ganjar Pranowo tampil bersama saat mendampingi Presiden Joko Widodo atau
Jokowi
dalam agenda panen raya di Desa Lejer, Kecamatan Ambal, Kabupaten Kebumen, Kamis 9 Maret 2023.
Dari rangkaian foto yang dibagikan Sekretariat Presiden, ketiga tokoh itu tampak menghampiri para petani yang siap memanen padi. Di sela-sela panen raya, Presiden Jokowi
selfie
atau swafoto bersama
Prabowo Subianto
dan Ganjar Pranowo.
BACA JUGA:
Infografis Kucuran Dana Rp 200 Triliun untuk Bank BUMN
BACA JUGA:
Infografis 8 Paket Ekonomi Baru Ala Prabowo
BACA JUGA:
Infografis Jejak Kopda FH dalam Kasus Pembunuhan Kepala Cabang Bank
Advertisement
Baca Juga
Jokowi Buka Suara Soal Isu Jodohkan Ganjar dan Prabowo saat Momentum Panen Raya di Kebumen
Muncul Wacana Duet Maut Prabowo-Ganjar, Hasto Tegaskan Capres PDI-P dari Kader Sendiri
Gerindra Wacanakan Duet Prabowo-Ganjar di Pilpres 2024, PKB Ingatkan 2 Syarat
Foto yang dibagikan Sekretariat Presiden itu kemudian menguatkan wacana duet Prabowo dan Ganjar di Pemilu Presiden atau
Pilpres 2024
. Beragam tanggapan pun datang dari kalangan partai politik atau parpol, termasuk sejumlah pengamat.
Terkait hal itu, pihak istana menjelaskan alasan Presiden Jokowi mengajak Prabowo Subianto saat blusukan ke Jawa Tengah atau Jateng.
Prabowo
diajak Jokowi, karena juga punya agenda kerja di Magelang.
Menurut Deputi Bidang Protokol, Pers, dan Media
Sekretariat Presiden
, Bey Triadi Machmudin, Presiden Jokowi juga ingin Prabowo melihat langsung masalah yang dihadapi petani.
""Presiden ingin agar Pak Prabowo memahami masalah-masalah di lapangan yang dihadapi petani. Hal ini perlu diketahui Pak Prabowo mengingat Beliau juga diberi tugas menangani
Food Estate
(Program Pengembangan Pangan) di Kalimantan Tengah,""
Bey Triadi Machmudin
menjelaskan.
Adapun
Gubernur Ganjar Pranowo
menjelaskan, saat itu dia mendampingi Presiden Jokowi melihat panen padi. Sebab, Jokowi perhatian terhadap harga gabah yang mulai turun, hal itu berdampak untung kepada petani.
""Itu di balik cerita foto,"" kata politikus Partai Demokrasi Indonesia Perjuangan atau
PDIP
tersebut.
Bagaimana hasil 4 suvei terbaru elektabilitas duet Prabowo Subianto dan Ganjar Pranowo? Bagaimana pula ragam tanggapan wacana duet Prabowo-Ganjar di Pilpres 2024? Simak dalam rangkaian
Infografis
berikut ini:"
14 Mar 2023 00:00;HEADLINE: Wacana Duet Prabowo Subianto danGanjarPranowodi Pilpres 2024, Prediksinya?;https://www.liputan6.com/news/read/5231894/headline-wacana-duet-prabowo-subianto-dan-ganjar-pranowo-di-pilpres-2024-prediksinya;"Liputan6.com, Jakarta -
Wacana duet Ketua Umum (Ketum) Partai Gerindra
Prabowo Subianto
dan Gubernur Jawa Tengah Ganjar Pranowo mencuat dan ramai diperbincangkan publik setelah keduanya menunjukkan keakrabannya saat mendampingi Presiden Joko Widodo (Jokowi) di Jawa Tengah.
Berdasarkan foto yang dibagikan Sekretariat Presiden, Kamis 9 Maret 2023, keakraban itu terjadi saat
Jokowi
meninjau lokasi panen raya padi di Desa Lajer, Kecamatan Ambal, Kabupaten Kebumen, Provinsi Jawa Tengah.
BACA JUGA:
Era Prabowo, BI Telah Pangkas Suku Bunga 6 Kali
BACA JUGA:
Erick Thohir Jadi Menpora, Begini Kiprahnya Saat Menjabat Menteri BUMN
BACA JUGA:
Berseragam Lengkap Ahmad Dofiri Tiba di Istana Di Tengah Isu Reshuffle Kabinet Prabowo
BACA JUGA:
Prabowo Lantik Sarah Sadiqa Jadi Kepala LKPP, Ini Profilnya
Baca Juga
Prabowo Beri Gelar Jenderal Kehormatan ke Djamari Chaniago dan Ahmad Dofiri
Kata-Kata Pertama Erick Thohir Resmi Dilantik Prabowo Jabat Menpora Tinggalkan BUMN
Momen Prabowo Resmi Lantik Erick Thohir Jadi Menpora
Ketiganya bahkan sempat melakukan swafoto bersama dengan para petani di areal persawahan. Raut wajah para petani pun senang saat berfoto bersama mereka. Namun sesekali mereka juga nampak terlihat berbicara serius.
Advertisement
Momen keakraban tersebut, lantas kemudian memantik berbagai tafsir soal kedekatan antara Prabowo Subianto dengan
Ganjar Pranowo
, Tak sedikit yang beranggapan bahwa hal itu juga berkaitan dengan proses politik untuk menuju Pemilu 2024 mendatang.
Peneliti Senior Populi Center, Usep S Ahyar berpandangan bahwa momentum keakraban antara Prabowo Subianto dan Ganjar Pranowo bersama Presiden Jokowi menjadi pertanda untuk Pemilu 2024.
Menurut Usep, momentum tersebut bisa dibaca sebagai kode keras Jokowi untuk menyandingkan Prabowo Subianto dengan Ganjar Pranowo untuk menjadi pasangan pada
Pilpres 2024
mendatang.
""Seperti yang kita ketahui, dalam berbagai kesempatan, Pak Jokowi selalu memberikan isyarat atau kode-kode politik terhadap Ganjar dan Prabowo. Jadi saya kira, hal ini juga bisa kita baca sebagai kode keras Jokowi terhadap Ganjar, bahwa Ganjar bisa dipasangkan dengan Prabowo,"" kata Usep kepada
Liputan6.com
, Senin (13/3/2023).
Hal itu, kata Usep, juga dapat dimaknai sebagai sinyal antisipasi atau kode Jokowi bahwa Ganjar apabila tidak dicalonkan oleh PDIP, bisa dipasangkan dengan Prabowo sebagai Calon Wakil Presiden (Cawapres).
""Ganjar apabila tidak dicalonkan oleh PDIP, Ganjar bisa dicalonkan oleh partai lain salah satunya dengan Prabowo ini, maka saya kira PDIP akan rugi jika tidak menyalonkan Ganjar,"" ujarnya.
Adapun terkait komposisi keduanya, Usep menilai baik Prabowo maupun Ganjar memiliki kans yang sama untuk menjadi Calon Presiden (Capres) maupun Calon Wakil Presiden (Cawapres) jika diduetkan, hal itu tergantung bagaimana sikap partai masing-masing khususnya sikap PDIP terhadap Ganjar sendiri.
""Jika keduanya benar dipasangkan, Ganjar bisa saja jadi Capres apabila PDIP yang mengusung, karena PDIP memiliki posisi tawar yang lebih tinggi. Namun, jika Gerindra yang mengusung maka itu sebaliknya, Prabowo-lah yang memiliki posisi tawar yang tinggi walaupun elektabilitas Ganjar lebih tinggi,"" kata dia.
Usep menuturkan, tidak menutup kemungkinan juga bahwa Prabowo bisa menjadi Cawapres dari Ganjar. Mengingat, dalam praktiknya Prabowo sendiri memiliki pengalaman sebagai Cawapres Megawati di masa lampau, pun juga menjadi menteri di Kabinet Jokowi saat ini.
""Secara logis pak Prabowo dalam praktiknya saat ini, beliau menjabat sebagai menteri saja mau apalagi jika sebagai
Cawapres
, ditambah di masa lalu dia juga pernah menjadi Cawapresnya ibu Mega, jadi kemungkinan itu pastinya ada,"" Usep menandaskan."
13 Mar 2023 12:58;Haul ke-34 Kakek MertuaGanjarPranowo, PBNU Kenang Perjuangan Mbah Hisyam;https://www.liputan6.com/news/read/5231954/haul-ke-34-kakek-mertua-ganjar-pranowo-pbnu-kenang-perjuangan-mbah-hisyam;"Liputan6.com, Jakarta -
KH Hisyam Abdul Karim
atau lebih dikenal Mbah Hisyam, mungkin bukan sosok ulama terkenal. Namun sejarah mencatat, Kakek Mertua Gubernur Jawa Tengah
Ganjar Pranowo
itu turut andil dari warga Nahdhliyin pada masa perjuangan kemerdekaan Bangsa Indonesia.
Mendirikan Pondok Pesantren Roudlotus Sukawarah Sholichin Sholichat pada tahun 1929, Mbah Hisyam tak sekadar dakwah, namun menjadikan pesantren sebagai tempat pengaderan para pejuang.
BACA JUGA:
Para Tokoh Agama dan Ormas Keagamaan Siap Bantu Prabowo Tenangkan Umat Pasca Demo
BACA JUGA:
Muhammadiyah: Persatuan dan Keutuhan Bangsa Perlu Kita Jaga Bersama
Baca Juga
Gus Ipul Tak akan Halangi KPK Periksa Kader PBNU Jika Terbelit Kasus Korupsi Kuota Haji
KPK Bicara Peluang Periksa Ketum PBNU Dalami Kasus Korupsi Kuota Haji
PBNU Klarifikasi soal Syaiful Bahri: Bukan Staf Aktif, Hanya Anak Buah Eks Stafsus Menag Yaqut
Selain mengaji, sebagian dari santri juga dibekali ilmu-ilmu lain seperti baris-berbaris, belajar huruf morse dan juga pertolongan pertama saat kecelakaan.
Advertisement
Ulil Abshar Abdala atau Gus Ulil mengatakan, ketokohan Mbah Hisyam ini harus diteladani. Jawa Tengah, menurutnya, beruntung memiliki sosok kiai seperti Mbah Hisyam.
""Mbah Hisyam ini kiai sepuh di kawasan Banyumas, pondoknya berdiri tahun 1929, tiga tahun setelah NU berdiri. Kiai yang luar biasa dedikasinya kepada ilmu, pada tradisi pesantren dan karena orang-orang seperti beliau, Indonesia bisa menjadi negara seperti ini,” kata Ulil usai mengisi acara haul.
Putra menantu dari KH Mustofa Bisri atau Gus Mus itu, menyebut Mbah Hisyam merupkan sosok kiai yang memungkinkan terwujudnya negara Indonesia. Mbah Hisyam, kata Ulil, adalah orang-orang tersembunyi.
""Kalau tidak ada orang-orang seperti Mbah Hisyam, yang ikhlas, yang bekerja untuk mendidik umat tanpa mengharap sedikitpun balasan dari siapapun, itulah yang membuat negara kita seperti ini,” tutur Ulil.
Haul ini, lanjut Ulil, penting dilakukan untuk memberikan penghormatan bagi Mbah Hisyam lantaran jasanya masih jarang diketahui. Ulil menyebut, perjuangan Mbah Hisyam layak dijadikan teladan dan inspirasi bagi banyak orang.
""Inilah yang namanya KH Hisyam bin Abdul Karim yang dihauli hari ini ke-34 di Desa Kalijaran Purbalingga. Saya senang sekali mewakili PBNU hadir hari ini untuk menghadiri haul beliau semoga ya tabarrukan, ngalap berkah atau meminta berkah kepada orang-orang saleh seperti ini,” ucapnya."
13 Mar 2023 10:30;Sebut Ada Oknum yang Mengatasnamakan Dirinya untuk Minta Bantuan Donasi keGanjarPranowo;https://www.liputan6.com/showbiz/read/5231369/melanie-subono-sebut-ada-oknum-yang-mengatasnamakan-dirinya-untuk-minta-bantuan-donasi-ke-ganjar-pranowo;"Liputan6.com, Jakarta
Melanie Subono selama ini diketahui memang cukup aktif di kegiatan-kegiatan sosial dan kemanusiaan. Melanie Subono memiliki gerakan sosial,
Rumah Harapan Melanie
.
Sayangnya, kebaikan
Melanie Subono
itu malah dimanfaatkan oleh orang-orang tidak bertanggung jawab untuk mencari keuntungan pribadi. Melalui unggahan di Instagram, Melanie Subono mengumumkan bahwa ada yang mengatasnamakan dirinya untuk meminta donasi kepada orang-orang.
Salah satu yang menjadi targetnya adalah Gubernur Jawa Tengah,
Ganjar Pranowo
.
Advertisement
""Gengs , gw MINTA TOLONG dong, sebarin ini. Semalam gw di japri sama mas @ganjar_pranowo , yang crosscek ke gue karna di hubungi oleh yang mengatas namakan GUE dan @rumahharapanmelanie,"" tulis
Melanie Subono
pada Senin (13/3/2023).
Baca Juga
Melanie Subono Rasakan Sakit Selama 23 Tahun: Gue Hancur Tiap Kali Orang Pamer
Melanie Subono Ceritakan Penyebab Tubuhnya Mudah Dihinggapi Tumor
Melanie Subono Tetap Berterima Kasih kepada Lesti Kejora Meskipun Akhirnya Laporan Kasus KDRT Dicabut"
13 Mar 2023 10:02;Survei IPO:GanjarPranowoTak Terkalahkan Saat Duet dengan Erick Thohir;https://www.liputan6.com/news/read/2563238/survei-ipo-ganjar-pranowo-tak-terkalahkan-saat-duet-dengan-erick-thohir;"Liputan6.com, Jakarta -
Nama Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir konsisten berada di tiga besar bursa calon wakil presiden (Cawapres) 2024. Elektabilitas
Erick Thohir
yang tinggi dinilai mampu mendongkrak kemenangan calon presiden (Capres) yang dipasangkan dengannya.
Hal ini terlihat dari hasil simulai Pilpres 2024 yang digelar lembaga survei Indonesia Political Opinion (IPO), di mana
Ganjar Pranowo
tak terkalahkan saat berpasangan dengan Erick Thohir. Sementara ketika berpasangan dengan kandidat cawapres lain, suara Ganjar merosot.
BACA JUGA:
Erick Thohir Tiba di Istana di Tengah Isu Reshuffle, Senyum Ditanya Jadi Menpora
BACA JUGA:
Profil Erick Thohir, Menpora Baru Sekaligus Ketum PSSI yang Gencar Naturalisasi
Baca Juga
Kata-Kata Pertama Erick Thohir Resmi Dilantik Prabowo Jabat Menpora Tinggalkan BUMN
Momen Prabowo Resmi Lantik Erick Thohir Jadi Menpora
Erick Thohir Jadi Menpora, Begini Kiprahnya Saat Menjabat Menteri BUMN
“Erick Thohir akan cukup baik memperkuat siapa pun yang akan dipasangkan,” kata Direktur Eksekutif IPO Dedi Kurnia Syah kepada wartawan, Jakarta, Senin (13/3/2023).
Advertisement
Dalam simulasi pilpres IPO, pasangan kepala daerah dan menteri ini berhasil menjadi pilihan utama masyarakat. Seperti halnya ketika Ganjar-Erick berhadapan dengan duet Prabowo Subianto-Muhaimin Iskandar serta Airlangga Hartarto-Ridwan Kamil.
Ganjar-Erick menempati posisi pertama dengan elektabilitas sebesar 36,8 persen. Sedangkan pesaingnya yakni Prabowo-Muhaimin hanya memiliki elektabilitas sebesar 31,5 persen, dan Airlangga-Ridwan 19,4 persen.
Kondisi berbeda terlihat ketika Ganjar dipasangkan dengan Airlangga atau Puan. Ketika orang nomor satu di Jawa Tengah tersebut dipasangkan dengan Airlangga ataupun Puan, justru terjadi penurunan elektabilitas.
Elektabilitas duet
Ganjar
-Airlangga hanya berada di angka 28,9 persen. Sedangkan ketika dipasangkan dengan Puan, elektabilitasnya menurun jauh hingga di angka 21,9 persen."
12 Mar 2023 22:27;GanjarPranowoUmumkan Mudik Gratis bagi Warga Jateng yang Ada di Jabodetabek, Pendaftaran;https://www.liputan6.com/health/read/5231122/ganjar-pranowo-umumkan-mudik-gratis-bagi-warga-jateng-yang-ada-di-jabodetabek-pendaftaran-mulai-13-maret-2023;"Liputan6.com, Jakarta -
Terkait persiapan
mudik Lebaran 2023
, sejumlah pihak mengadakan mudik gratis bagi masyarakat dengan syarat tertentu, tak terkecuali Pemerintah Provinsi Jawa Tengah.
Pemprov Jawa Tengah menyediakan faslitas
mudik gratis
bagi warganya yang berada di Jakarta, Bogor, Depok, Tangerang, dan Bekasi (Jabodetabek). Pendaftarannya sendiri dibuka esok hari, Senin, 13 Maret 2023.
Informasi mengenai mudik gratis ini juga dicuitkan oleh Gubernur Jawa Tengah
Ganjar Pranowo
melalui akun Twitter pribadinya @ganjarpranowo.
Advertisement
""Sedulur-sedulurku warga Jawa Tengah yang ada di Jabodetabek, sudah persiapan mudik belum? Ikut MUDIK GRATIS yuk,"" cuitnya, Minggu, 12 Maret 2023.
Ganjar menyebut, syarat bagi warga Jawa Tengah yang berada di Jabodetabek yang hendak mendaftar program tersebut yakni harus memiliki KTP Jateng atau kelahiran provinsi tersebut.
Diketahui,
program mudik gratis
dengan bus bantuan Gubernur Jateng, Bupati/Wali Kota, dan Bank Jateng ini memiliki jadwal pemberangkatan pada 17 April 2023 dari Museum Purna Bhakti Pertiwi TMII Jakarta Timur.
Daftar Tujuan Mudik di Jateng
Adapun tujuan keberangkatan ke sejumlah titik di Jawa Tengah yakni:
Solo Raya (Klaten, Wonogiri, Sukoharjo, Surakarta, Boyolali, Sragen, Karanganyar)
Semarang (Kendal, Demak, Grobogan, Salatiga, Kota/Kab Semarang)
Banyumas (Purbalingga, Cilacap, Banjarnegara, Banyumas)
Kedu (Purworejo, Kota/Kab Magelang, Kebumen, Temanggung, Wonosobo)
Pati (Jepara, Kudus, Pati, Rembang, Blora)
Pekalongan (Kota/Kab Pekalongan, Kota/Kab Tegal, Brebes, Pemalang, Batang)"
12 Mar 2023 12:35;Unggul, Erick Thohir Pasangan Terbaik DampingiGanjarPranowodi Pilpres 2024 Versi IPO;https://www.liputan6.com/pemilu/read/2636184/selalu-unggul-erick-thohir-pasangan-terbaik-dampingi-ganjar-pranowo-di-pilpres-2024-versi-ipo;"Liputan6.com, Jakarta -
Menteri BUMN Erick Thohir menjadi kandidat calon wakil presiden (cawapres) terbaik bagi Gubernur Jawa Tengah
Ganjar Pranowo
di Pemilihan Presiden (Pilpres) 2024 mendatang versi survei Indonesia Political Opinion (IPO).
BACA JUGA:
Erick Thohir Tiba di Istana di Tengah Isu Reshuffle, Senyum Ditanya Jadi Menpora
BACA JUGA:
Profil Erick Thohir, Menpora Baru Sekaligus Ketum PSSI yang Gencar Naturalisasi
Baca Juga
Kata-Kata Pertama Erick Thohir Resmi Dilantik Prabowo Jabat Menpora Tinggalkan BUMN
Momen Prabowo Resmi Lantik Erick Thohir Jadi Menpora
Erick Thohir Jadi Menpora, Begini Kiprahnya Saat Menjabat Menteri BUMN
Pasalnya, Ganjar mampu mengalahkan para pesaingnya ketika berpasangan dengan Erick Thohir.
Advertisement
""Ketika dipasangkan, duet
Ganjar-Erick
berhasil menang dalam simulasi Pilpres 2024 versi IPO. Duet kepala daerah dan menteri memiliki elektabilitas tertinggi di angka 36,8 persen,"" kata Direktur Eksekutif IPO, Dedi Kurnia Syah dalam keterangan tertulis.
Sedangkan pesaingnya yakni pasangan Prabowo Subianto – Muhaimin Iskandar dan Airlangga Hartarto – Ridwan Kamil berada di posisi kedua dan ketiga. Pasangan tersebut masing-masing hanya mendapatkan elektabilitas sebesar 31,5 persen dan 19,4 persen.
Kemudian sisanya yakni 12,3 persen memutuskan tidak menjawab atau tidak tahu.
Penurunan elektabilitas terjadi ketika Ganjar dipasangkan dengan kandidat lain. Seperti halnya ketika Ganjar dipasangkan dengan Airlangga. Duet kepala daerah dan ketum partai ini harus puas dengan elektabilitas hanya sebesar 28,9 persen.
Tak hanya itu, ketika Ganjar dipasangkan dengan putri mahkota PDI Perjuangan yakni Puan Maharani pun terjadi penurunan elektabilitas. Bahkan penurunan elektabilitas terjadi sangat signifikan dan duet tersebut harus puas di posisi ketiga.
Berdasarkan temuan IPO, duet Ganjar-Puan berada di posisi ketiga dan harus puas dengan angka elektabilitas sebesar 21,9 persen.
Karenanya,
Erick Thohir
menjadi pasangan terbaik untuk disandingkan dengan Ganjar jika ingin memenangkan Pilpres 2024 mendatang."
12 Mar 2023 12:21;Relawan ProGib Dukung Prabowo Subianto-GanjarPranowoJadi Capres dan Cawapres Pemilu 2024;https://www.liputan6.com/news/read/4882601/relawan-progib-dukung-prabowo-subianto-ganjar-pranowo-jadi-capres-dan-cawapres-pemilu-2024;"Liputan6.com, Jakarta -
Sekelompok masyarakat menyampaikan dukungannya kepada Prabowo Subianto dan Ganjar Pranowo untuk maju sebagai Calon Presiden (Capres) dan Calon Wakil Presiden (Cawapres) dalam Pemilihan Umum atau
Pemilu 2024
.
Kelompok masyarakat yang tergabung dalam Relawan
Prabowo
-Ganjar Indonesia Bersatu (ProGib) untuk Indonesia Berkelanjutan itu berpandangan bahwa, Ketua Umum Partai Gerindra dan Gubernur Jawa Tengah tersebut merupakan pasangan ideal untuk melanjutkan kepemimpinan nasional Indonesia.
Baca Juga
RUU Pemilu: Muncul Wacana Pemisahan Pileg dan Pilpres, Begini Bocoran Skemanya
""Bapak
Prabowo Subianto
dan Bapak
Ganjar Pranowo
adalah dua negarawan yang layak untuk memimpin Negara Indonesia pasca-kepemimpinan Presiden Joko Widodo (Jokowi),"" ujar penanggung jawab acara Rembuk Rakyat Priangan Timur untuk Indonesia yang Berkelanjutan Asep Sumpena kepada wartawan yang disampaikan melalui keterangan tertulis, Minggu (12/3/2023).
Advertisement
Dia menilai, Prabowo dan Ganjar adalah sosok kedepankan visi-misi dan pemikiran yang bisa membuat Bangsa Indonesia jauh lebih baik lagi. Asep menyebut, mereka juga diyakini calon pemimpin yang mampu merawat persatuan dan kesatuan Indonesia.
""Kedua tokoh tersebut merupakan pemimpin yang anti-politik identitas yang merusak sendi-sendi kehidupan berbangsa dan bernegara,"" ucap dia.
Lebih lanjut, Asep menyatakan, Prabowo dan Ganjar telah memiliki segudang pengalaman dan prestasi untuk menjadi penerus pemimpin di Indonesia. Sebab itu, kata dia, ProGiB berharap, mereka berdua maju dalam kontestasi pesta demokrasi lima tahunan tersebut.
""Maka dengan ini kami atas nama ProGIB Relawan Prabowo-Ganjar Indonesia Bersatu meminta kepada Bapak Prabowo Subianto dan Bapak Ganjar Pranowo untuk bersatu dan berpasangan pada Pemilu 2024 sebagai pasangan calon Presiden dan calon Wakil Presiden Republik Indonesia, menuju Indonesia yang berkelanjutan, Indonesia maju, jaya dan sejahtera,"" papar Asep."
