Tanggal;Judul;URL;Isi Berita
13 Mar 2023 10:00;Jadi Venue Final Piala Dunia, Ketum PSSI Erick Thohir AjakGibranCek Stadion Manahan;https://www.liputan6.com/regional/read/5230879/bakal-jadi-venue-final-piala-dunia-ketum-pssi-erick-thohir-ajak-gibran-cek-stadion-manahan;"Liputan6.com, Solo -
Ketua Umum (Ketum) PSSI Erick Thohir mengecek kesiapan Stadion Manahan, Solo sebagai salah satu
venue
untuk menggelar pertandingan
Piala Dunia U-20 2023
.
Rencananya stadion tersebut bakal menjadi venue untuk pertandingan final dan penutupan Piala Dunia U-20.
BACA JUGA:
Hasil Pertandingan Jerman vs Irlandia Utara: Wirtz Persembahkan Gol Spektakuler, Panser Menang 3-1
BACA JUGA:
Hasil Pertandingan Turki vs Spanyol: Tuan Rumah Dibantai 0-6, Mikel Merino Jadi Pahlawan dengan Tiga Gol
BACA JUGA:
Bicara Masa Depan Argentina Tanpa Lionel Messi: Tak Ada Penerus, Tak Tergantikan!
Baca Juga
Daftar Lengkap Negara yang Sudah Lolos ke Piala Dunia 2026: Uzbekistan dan Yordania Cetak Sejarah
Florian Wirtz Man of the Match Jerman vs Irlandia Utara
Mikel Merino Man of the Match Turki vs Spanyol
Erick Thohir yang juga Menteri BUMN meninjau
Stadion Manahan Solo
bersama dengan Menteri Pemuda dan Olaharga (Menpora) Zainudin Amali, Wakil Ketua PSSI Ratu Tisha, Direktur Utama PLN Darmawan Prasojo dan Wali Kota Solo Gibran Rakabuming Raka. Mereka tiba di stadion kebanggaan warga Solo itu sekitar pukul 09.10 WIB.
Advertisement
Selanjutnya
Ketua Umum PSSI Erick Thohir
dan rombongan naik mobil listrik keliling untuk mengecek renovasi Stadion Manahan. Renovasi itu meliputi pembongkaran gerbang pintu masuk kawasan stadion."
12 Mar 2023 00:05;SBY-AHY Selebrasi di Solo, Jokowi-GibranNikmati Konser Deep Purple;https://www.liputan6.com/news/read/5230567/sby-ahy-selebrasi-di-solo-jokowi-gibran-nikmati-konser-deep-purple;"Liputan6.com, Jakarta -
Kota Solo, Jawa Tengah terasa padat dan ramai pada Jumat (10/3/2023) malam. Ada dua kegiatan melibatkan massa dalam jumlah besar yang masing-masing dihadiri oleh Presiden Joko Widodo (Jokowi) dan Presiden ke-6 RI Susilo Bambang Yudhoyono (
SBY
).
Jokowi didampingi putranya yang juga Wali Kota Solo, Gibran Rakabuming Raka menonton konser musik rock Deep Purple di Edutorium Universitas Muhammadiyah Surakarta (UMS).
BACA JUGA:
SBY soal Demo Berhari-hari: Sadarkan Kita Harus Jaga Dialog dan Kebersamaan
BACA JUGA:
Diperjuangkan Sejak Era SBY, Ini Alasan RUU Perampasan Aset Selalu Mandek di DPR
Baca Juga
Menkeu Purbaya Bandingkan Perbedaan Ekonomi Era SBY, Jokowi, dan Prabowo
AHY Ungkap Isi Pembicaraan SBY dan Gibran saat Bertemu di Cikeas
HUT ke-24 Partai Demokrat, DPD Jakarta Pastikan Kader Kawal Pembangunan
Sedangkan SBY didampingi putranya yang juga Ketua Umum (Ketum) Partai Demokrat Agus Harimurti Yudhoyono (
AHY
) menyaksikan pertandingan bola voli Proliga di GOR Sritex, Kota Solo.
Advertisement
""SBY, AHY, Boediono, supporter dan ribuan masyarakat Solo yang memadati GOR Sritex, melakukan selebrasi setelah LavAni memenangkan pertandingan panjang lima set dan skor akhir 3:2,"" kata Deputi Balitbang DPP Partai Demokrat Syahrial Nasution, Sabtu (11/3/2023).
Sementara itu,
Jokowi
bersama Gibran dan sejumlah pejabat nasional dan daerah Jawa Tengah juga mengikuti selebrasi di acara konser Deep Purple yang dihadiri ribuan penonton.
Syahrial melanjutkan, SBY masih akan melakukan beberapa kegiatan di Kota Solo hingga pertandingan Proliga Minggu (12/3/2023) mendatang. LavAni akan berhadapan dengan STIN BIN dalam pertandingan final.
Begitu pula AHY masih akan mendampingi SBY menyaksikan laga akhir final four di GOR Sritex,
Solo
.
Hari ini, Sabtu (11/3/2023), kata Syahrial, SBY direncanakan menghadiri festival kuliner Solo. Kegiatan itu menyajikan makanan jajanan khas tanah air dari berbagai daerah.
""Meski Wali Kota Solo
Gibran
Rakabuming Raka sempat diberitakan akan sowan kepada SBY dan AHY, hingga kini belum ada konfirmasi kapan kegiatan tersebut dilakukan,"" kata Syahrial.
Reporter: Muhammad Genantan Saputra
Merdeka.com"
08 Mar 2023 16:02;Koleksi Mobil dan Motor Wali Kota SoloGibranRakabuming Raka, Termurah Rp 5 Juta;https://www.liputan6.com/otomotif/read/5227016/mengintip-koleksi-mobil-dan-motor-wali-kota-solo-gibran-rakabuming-raka-termurah-rp-5-juta;"Liputan6.com, Jakarta -
Wali Kota Solo
Gibran Rakabuming Raka
rupanya memiliki kekayaan fantastis. Berdasarkan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) tahun 2022, Gibran memiliki total harta sekitar Rp26 miliar. Kekayaan Gibran didomimasi oleh tanah dan bangunan, alat transportasi dan lainnya.
Berikut daftar sumber kekayaan
Gibran
berdasarkan data LHKPN:
BACA JUGA:
Wapres Gibran Dorong Santri Melek Teknologi AI dan Coding
BACA JUGA:
Momen Seru Gibran Panen Lobster Ditemani Selvi
Baca Juga
Wapres Gibran Sambangi Keluarga Korban Banjir Bandang Bali, Sampaikan Belasungkawa
Jokowi: Pihak yang Persoalkan Ijazah Pasti Ada yang Back Up
Wapres Gibran Bertemu SBY, Jokowi: Bagus Biar Dapat Wejangan
Tanah dan Bangunan:
Tanah dan bangunan seluas 500 m²/300m² di Kota Solo senilai Rp6 miliar
Tanah dan bangunan seluas 2.000 m²/2.000m² di Sragen senilai Rp2,6 miliar
Tanah dan bangunan seluas 2000 m2/2000 m2 di Sragen senilai Rp2,6 miliar
Tanah dan bangunan seluas 112 m2/112 m2 di Kota Solo senilai Rp1,5 miliar
Tanah seluas 113 m2 di Kota Solo senilai Rp700 juta
Tanah seluas 896 m2 di Kota Solo senilai Rp1,747 miliar
Tanah seluas 1124 m2 di Kota Solo senilai Rp2,191 miliar.
Total Rp17,339 miliar. Semua tanah dan bangunan itu diperoleh hasil sendiri.
Advertisement
Daftar Motor dan Mobil
Sepeda motor Honda Scoopy tahun 2015 senilai Rp7 juta
Sepeda motor Honda CB-125 Tahun 1974 Rp5 juta
Sepeda motor Royal Enfield Tahun 2017 Rp40 juta
Mobil
Toyota Avanza Tahun 2016 Rp90 juta
Mobil Toyota Avanza Tahun 2012 Rp60 juta
Mobil Isuzu Panther Tahun 2012 Rp70 juta
Mobil Daihatsu Grand Max Tahun 2015 Rp60 juta
Mobil Mitsubishi Pajero Sport Tahun 2016 Rp350 juta.
Total nominal harta mobil dan motor sebesar Rp 682 juta. Semua kendaraan tersebut diperoleh hasil sendiri. Berdasarkan data tersebut, Gibran rupanya memiliki ketertarikan dengan
motor
klasik atau motor bergaya klasik. Hal ini bisa dilihat dari Honda CB-125 lansiran 1974 dan juga Royal Enfield lansiran 2017.
Selain itu, kekayaan Gibran juga bersumber dari benda bergerak lainnya senilai Rp 260 juta. Kemudian kas dan setara kas Rp3,1 juta. Harta lainnya senilai Rp5,5 juta. Subtotal harta kekayaan Gibran sebesar Rp 26,021 miliar."
08 Mar 2023 15:30;GibranRakabuming Heran Lihat Berita Bapak-Bapak Pemalak Ngaku Jadi Anak Angkat Presiden Jokowi;https://www.liputan6.com/showbiz/read/5227338/gibran-rakabuming-heran-lihat-berita-bapak-bapak-pemalak-ngaku-jadi-anak-angkat-presiden-jokowi-kaesang-itu-kakak-kita-mas;"Liputan6.com, Jakarta
Interaksi kocak antara
Gibran Rakabuming
Raka dengan sang adik, Kaesang Pangarep, kembali mewarnai jagat media sosial. Yang
viral
baru-baru ini, adalah tanggapan keduanya mengenai pemberitaan
Liputan6
.
Yakni, soal bapak-bapak pemalak rokok di sebuah minimarket yang mengaku-ngaku sebagai seorang polisi, hingga anak angkat Presiden Joko Widodo atau
Jokowi
.
Tangkapan layar berita video ini langsung dibagikan Wali Kota Solo di akun Twitter miliknya, pada 5 maret 2023.
Advertisement
“Saha eta?”
tulisnya.
Cuitan singkat ini langsung disambar oleh sang adik,
Kaesang Pangarep
.
Baca Juga
Alasan Gibran Rakabuming Pilih Follow Akun Amien Rais Daripada Jokowi: Ingin Berguru dan Minta Masukan
Viral Gibran Rakabuming Mendadak Follow Akun Amien Rais, Ngaku Ngefans Sampai Terbawa Mimpi
Warganet Ajak Kaesang Kontribusi ke Solo, Gibran Bela Sang Adik"
08 Mar 2023 10:36;GibranRakabuming Pilih Follow Akun Amien Rais Daripada Jokowi: Ingin Berguru dan Minta Masukan;https://www.liputan6.com/showbiz/read/5227155/alasan-gibran-rakabuming-pilih-follow-akun-amien-rais-daripada-jokowi-ingin-berguru-dan-minta-masukan;"Liputan6.com, Jakarta
Gibran Rakabuming
pekan ini bikin geger jagat maya lantaran lebih pilih mengikuti akun Instragram dan Twitter Amien Rais ketimbang ayahnya sendiri, Presiden Jokowi.
Akun Twitter dan Instagram terverifikasi Gibran hanya mengikuti satu akun, yakni Amien Rais, yang selama ini rajin mengkritisi kebijakan maupun kinerja pemerintahan
Jokowi
.
BACA JUGA:
Viral Isu Kebobolan Rekening Rp 70 Miliar, Simak Fakta dari BCA
BACA JUGA:
Penjelasan Manajemen BCA Terkait Isu Dugaan RDN Investasi Dibobol
BACA JUGA:
7 Potret Sudut Rumah Mewah Gen Halilintar, Gelar Syukuran Maulid Nabi 2025
Kepada jurnalis, ayah Jan Ethes mengaku mengidolakan
Amien Rais
sejak lama. Saking
ngefans
, Gibran Rakabuming sampai mimpi bertemu Ketua Majelis Syuro Partai Ummat itu.
Advertisement
Baca Juga
Viral Gibran Rakabuming Mendadak Follow Akun Amien Rais, Ngaku Ngefans Sampai Terbawa Mimpi
Gibran Rakabuming Dapat Gelar Bangsawan Kanjeng Pangeran Haryo dari Adipati Puro Mangkunegaran Solo
Gibran Rakabuming Sebut Tragedi Kanjuruhan PR Erick Thohir Setelah Jadi Ketua PSSI
Andai bisa bertemu Amien Rais, apa yang akan dilakukannya? “Minta masukan-masukan dari beliau,” katanya, kami lansir dari video interviu di kanal YouTube
Berita Surakarta
, Selasa (7/3/2023)."
08 Mar 2023 09:48;ViralGibranRakabuming Mendadak Follow Akun Amien Rais, Ngaku Ngefans Sampai Terbawa Mimpi;https://www.liputan6.com/showbiz/read/5227039/viral-gibran-rakabuming-mendadak-follow-akun-amien-rais-ngaku-ngefans-sampai-terbawa-mimpi;"Liputan6.com, Jakarta
Di medsos,
Gibran Rakabuming
tidak mengikuti akun siapapun. Pekan ini, mendadak ia mengikuti akun seseorang. Mohon maaf, bukan akun medsos Presiden Jokowi.
Gibran Rakabuming malah mengikuti akun Twitter dan Instagram
Amien Rais
, yang selama ini dikenal vokal mengkritisi kinerja maupun gaya pemerintahan Joko Widodo.
BACA JUGA:
Viral Isu Kebobolan Rekening Rp 70 Miliar, Simak Fakta dari BCA
BACA JUGA:
Penjelasan Manajemen BCA Terkait Isu Dugaan RDN Investasi Dibobol
BACA JUGA:
7 Potret Sudut Rumah Mewah Gen Halilintar, Gelar Syukuran Maulid Nabi 2025
“Ya memang. Instagram juga kok satu
following
-nya,” ungkap putra sulung
Jokowi
, kami lansir dari video interviu di kanal YouTube
Berita Surakarta
, Selasa (7/3/2023).
Advertisement
Baca Juga
Gibran Rakabuming Dapat Gelar Bangsawan Kanjeng Pangeran Haryo dari Adipati Puro Mangkunegaran Solo
Gibran Rakabuming Sebut Tragedi Kanjuruhan PR Erick Thohir Setelah Jadi Ketua PSSI
Erick Thohir Jadi Ketua Umum PSSI, Gibran Rakabuming Sorot Rekam Jejaknya Pegang Klub Bola Luar Negeri
Sejumlah spekulasi bermunculan. Banyak yang menyebut, aksi Gibran Rakabuming ini merupakan sindiran politik menjelang pesta demokrasi yang akan digelar 2024."
05 Mar 2023 14:36;Warganet Ajak Kaesang Kontribusi ke Solo,GibranBela Sang Adik;https://www.liputan6.com/news/read/5224548/warganet-ajak-kaesang-kontribusi-ke-solo-gibran-bela-sang-adik;"Liputan6.com, Jakarta -
Wali Kota Solo, Gibran Rakabuming Raka membela sang adik Kaesang Pangarep saat
warganet
menyebut nama Kaesang soal kontribusi.
""Ayo Mas Kaesang mulai berkontribusi..yg ringan ringan dulu,”
tulis akun @renoxxxxx pada Minggu pagi, 5 Maret 2023.
BACA JUGA:
Influencer Ayu Widyaningrum Raih Gelar Kehormatan dari Keraton Kasunanan Solo: Ini Amanat Bagi Saya
BACA JUGA:
Rekomendasi 10 Kuliner Legendaris Solo yang Masih Eksis Sampai Sekarang
BACA JUGA:
Tangis Pecah, Remaja Peserta Demo di Solo Sungkem ke Orang Tua
BACA JUGA:
Polisi Buka Suara Terkait Kabar Pengemudi Ojol di Solo Diduga Kena Peluru Karet
Baca Juga
Leak hingga Pocong Meriahkan Rangkaian Borobudur Marathon di Kampung Jokowi
Sopir Bank di Wonogiri Bawa Kabur Rp10 Miliar, Sempat Curhat Gaji Tak Cukup Beli Susu Anak
3 Remaja Ditangkap Gara-gara Bawa Bom Molotov saat Demo di Solo
Melalui media sosial Twitter, Gibran pun merespons unggahan warganet tersebut.
Advertisement
“Dia sudah byk berkontribusi membesarkan @persisoffical yg dulunya busuk,”
tulis
Gibran
melalui akun twitter resminya @gibran_tweet.
Kemudian dibalas @renoxxxxx
“Wah mantap..lanjutkan..inget pesan saya mengabdi dan berkarya membangun karsa tanpa noda & cela untuk Indonesia kita,”
tulis dia.
Di media sosial juga warganet ada yang menyebutkan pernyataan Gibran yang keras.
“Dulu busuk?Wah, ini statement keras, eh. Nanti ada yg terbakar jenggotnya,lho bro?
tulis @antxxxxxxxx
Gibran Rakabuming Raka
pun merespons cuitan tersebut.
“Ya udah. Dulu bagus bgt, profesional, juara liga, pemain sejahtera,”
tulis Gibran."
04 Mar 2023 04:33;GibranRakabuming Jawab Usulan Warganet Masuk Sekolah Jam 5 Pagi di Solo;https://www.liputan6.com/lifestyle/read/5223744/gibran-rakabuming-jawab-usulan-warganet-masuk-sekolah-jam-5-pagi-di-solo;"Liputan6.com, Jakarta -
Kebijakan Gubernur
NTT
(Nusa Tenggara Timur) Viktor Bungtilu Laiskodat terkait masuk
sekolah jam 5 pagi
mengundang banyak polemik dan komentar.  Meski banyak yang kontra dengan kebijakan tersebut, wacana masuk sekolah pukul 5 pagi ternyata sempat menyinggung Kota Solo, Jawa Tengah.
Ada usulan yang datang dari warganet pengguna Twiter @rambutanhitam, tentang kebijakan Gubernur NTT tersebut jika diterapkan di Kota
Solo
. Menurut dia, jika aturan itu benar-benar dilakukan di Solo bisa memajukan UMKM.
""
Mungkin kalo di Solo diterapkan masuk sekolah jam 5 seperti di NTT bisa menjadi strategi untuk memajukan umkm sarapan lho mas @gibran_tweet, misal bubur ayam, nasi liwet, soto dan lain-lain
,” tulis dia pada Jumat, 3 Maret 2023.
Advertisement
Baca Juga
Curhat Ibu-ibu NTT Soal Sekolah Jam 5 Pagi: Bisa Bikin Darah Rendah dan Suami Jadi Duda
Sekolah Jam 5 Pagi, Guru Besar FKUI Ingatkan Anak Kurang Tidur Bisa Sulit Konsentrasi
Alasan Gibran Rakabuming Diberi Gelar Bangsawan oleh Mangkunegara X
Wali Kota Solo,
Gibran Rakabuming
Raka ternyata membaca unggahan tersebut. Ia pun langsung menanggapi usulan sekolah masuk jam 5.00 pagi diterapkan di daerahnya. Menurut Gibran, justru dengan kebijakan tersebut, anak-anak sekolah tidak sempat untuk sarapan.
""
Yang ada malah anak2 ke sekolah gak sempat sarapan
,” katanya lewat akun Twitter miliknya, @gibran_tweet.
Cuitan itu pun mendapat beragam tanggapan dari warganet. Sebagian besar tetap menentang kebijakan
masuk sekolah
jam 5 pagi. Ada juga yang membayangkan bila kebijakan itu diterapkan saat bulan puasa.
""
Maksudnya si pengusul ini mungkin sekolah sediakan makan, beli penjual bubur, liwet, soto dan lain lain. Itu sekolah jadi bazar makanan setiap hari,
UMKM
meningkat, anak anak jadi mesin pendorong ekonomi. Ga usah pikirkan pinter apa engga
,"" komentar seorang warganet."
03 Mar 2023 06:05;GibranWajibkan Pemilik Mobil di Solo Punya Garasi, Berikut Kumpulan Contoh Unik yang Bisa;https://www.liputan6.com/otomotif/read/5222632/gibran-wajibkan-pemilik-mobil-di-solo-punya-garasi-berikut-kumpulan-contoh-unik-yang-bisa-menginspirasi;"Liputan6.com, Jakarta -
Wali Kota Surakarta
Gibran
Rakabuming Raka mulai melakukan sosialisasi soal peraturan warga yang mempunyai mobil harus memiliki garasi. Dilansir Antara, Kamis (2/3/2023), Gibran menyebutkan bahwa ketentuan itu tertuang dalam Peraturan Daerah Nomor 10 Tahun 2022 tentang Penyelenggaraan Perhubungan. Dalam perda yang mengatur kewajiban memiliki garasi itu tertuang dalam Pasal 88.
Tentu tidak mudah untuk tiba-tiba membuat
garasi mobil
di halaman rumah, karena ada beragam hal yang harus dipertimbangkan. Salah satunya ketersediaan lahan kosong untuk dijadikan garasi.
Jika tidak ada lahan yang memadai, ternyata banyak cara untuk menyimpan mobil di dalam rumah. Mulai dari mengosongkan ruang tamu dan membuat parkiran khusus, membuat parkiran bertingkat, memodifikasi pagar, hingga menyimpan mobil di atap layaknya heliport atau pangkalan helikopter.
Advertisement
Berikut kumpulan potret
garasi
mobil unik yang tak akan pernah terbayangkan sebelumnya dilansir dari berbagai sumber."
02 Mar 2023 16:01;AlasanGibranRakabuming Diberi Gelar Bangsawan oleh Mangkunegara X;https://www.liputan6.com/lifestyle/read/5222158/alasan-gibran-rakabuming-diberi-gelar-bangsawan-oleh-mangkunegara-x;"Liputan6.com, Jakarta
Wali kota Solo,
Gibran Rakabuming
Raka memperoleh gelar kebangsawanan yaitu Kanjeng Pangeran Haryo (KPH) dari Mangkunegara X di Pura Mangkunegaran, Kota Solo, Jawa Tengah, Rabu 1 Maret 2023. Momen pemberian gelar diserahkan kepada Gibran Rakabuming Raka, usai peringatan hari kenaikan takhta atau disebut Tingalan Wiyosan Jumenengan Dalem Ingkang Jumeneng KGPAA Mangkunegara X.
Gibran diketahui hadir dalam acara Tingalan Wiyosan Jumenengan Sampeyan Dalem Ingkang Jumeneng K.G.P.A.A Mangkunegoro X yang pertama untuk peringatan kenaikan takhta ke-1 Mangkunegara X. Pada acara tersebut KGPPA Mangkunegoro X menganugerahi Gibran gelar Kanjeng Pangeran Haryo (KPH).
BACA JUGA:
Wapres Gibran Sambangi Keluarga Korban Banjir Bandang Bali, Sampaikan Belasungkawa
BACA JUGA:
Jokowi: Pihak yang Persoalkan Ijazah Pasti Ada yang Back Up
BACA JUGA:
Wapres Gibran Bertemu SBY, Jokowi: Bagus Biar Dapat Wejangan
Advertisement
Baca Juga
VIDEO: Peringatan Naik Tahta MN X, Gibran Rakabuming Raka Dapat Gelar dari Pura Mangkunegaran
Diberi Gelar Kanjeng Pangeran Haryo oleh Mangkunegara X, Gibran Rakabuming Siap Terima Perintah Selanjutnya
Gibran Rakabuming Dapat Gelar Bangsawan Kanjeng Pangeran Haryo dari Adipati Puro Mangkunegaran Solo
Mengenai alasan
pemberian gelar bangsawan
, merupakan bagian dari tradisi yang dilakukan saat kenaikan takhta atau Tingalan Wiyosan Jumenengan. Tak hanya Gibran saja yang mendapat gelar bangsawan dari
Mangkunegara X
, tapi ada sejumlah tokoh lainnya.
Mengutip dari laman Kemendikbud, Kamis (2/3/2023), Tingalan Dalem Jumenengan harus dilakukan dalam rangka perayaan ulang tahun penobatan raja oleh empat kerajaan yang merupakan keturunan dari Dinasti Mataram, yaitu Kasunanan Surakarta Hadiningrat, Kasultanan Ngayogyakarta Hadiningrat, Kadipaten Mangkunegaran di Surakarta, dan Kadipaten Pakualaman di Yogyakarta. Pelaksanaan prosesi Tingalan Dalem Jumenengan diadakan pada setiap tahun, yakni pada setiap tanggal 2 di bulan Ruwah dalam kalender Jawa.
Tata Cara Mendapatkan Gelar Bangsawan dari Mangkunegara X
Untuk meramaikan rangkaian acara prosesi adat Tingalan Dalem Jumenengan, biasanya memang dilangsungkan sejumlah kegiatan lain. Beberapa di antaranya diselenggarakan dalam satu hari sebelum puncak acara Tingalan Dalem Jumenengan digelar, termasuk pemberian
gelar bangsawan
."
