Tanggal;Judul;URL;Isi Berita
14 Mar 2023 21:32;Asik, THR PNS Segera DiumumkanJokowi;https://www.liputan6.com/bisnis/read/5233213/asik-thr-pns-segera-diumumkan-jokowi;"Liputan6.com, Jakarta
Menteri Keuangan Sri Mulyani Indrawati optimis pertumbuhan ekonomi pada kuartal I-2023 bisa tumbuh 5,0 persen sampai 5,3 persen. Salah satu pemicunya karena ada momentum bulan puasa pada akhir bulan Maret hingga pencairan
THR PNS
.
“Kita berharap di kuartal I juga 5,0 persen. Kita lihat dalam 1,5 bulan ke depan karena kita masuk lebaran ini juga akan memberikan efek musiman yang positif,” kata Sri Mulyani di Kementerian Keuangan, Selasa (14/3).
Tak hanya itu, pembayaran tunjangan hari raya (
THR
) juga akan memberikan dampak positif pada pertumbuhan ekonomi. Sri Mulyani pun menyebut dalam waktu dekat Presiden akan mengumumkan kabar baik tersebut.
Advertisement
“Nanti juga Presiden akan mengumumkan terkait THR dalam beberapa minggu kedepan. Ini juga akan memberikan dampak positif terhadap gross,” katanya
Pertumbuhan Ekonomi
Sri Mulyani berharap pertumbuhan ekonomi tersebut juga diikuti dengan tingkat inflasi yang terjaga di level 3,6 persen (yoy). Mengingat per Februari 2023 tingkat inflasi 0,16 persen (mtm) dan  pertumbuhan konsumsi menyumbang andil 5,47 persen.
“Kita cukup bagus grossnya untuk kuartal I tadi. Kita berharap masih mendekati 5 persen terutama didorong konsumsi yang kuat,” katanya.
Di sisi lain, kinerja ekspor juga perlu diwaspadai karena level pertumbuhannya cukup tinggi. “Tapi dari level grossnya dua-duanya koreksi juga biasanya net eksportnya juga akan baik,” kata
Sri Mulyani
."
14 Mar 2023 19:46;AHY Kritisi Program Food Estate PemerintahJokowi: Grusa-grusu dan Kurang Perhitungan;https://www.liputan6.com/news/read/5233130/ahy-kritisi-program-food-estate-pemerintah-jokowi-grusa-grusu-dan-kurang-perhitungan;"Liputan6.com, Jakarta -
Ketua Umum Partai Demokrat
Agus Harimurti Yudhoyono (AHY)
mengkritisi kelanjutan program food estate Presiden Joko Widodo
(Jokowi)
. AHY mengkritik program tersebut karena menggunakan anggaran besar tetapi mengabaikan faktor ekologi dan sosial.
""Apa kabar program Food Estate? Banyak akademisi pertanian dan aktivis lingkungan mengkritik kebijakan
Food Estate
ini. Program yang hanya mengandalkan ekstensifikasi lahan saja; tapi dinilai mengabaikan faktor ekologi dan sosial,"" ujar AHY saat menyampaikan pidato politik di Tennis Indoor Senayan, Jakarta, Selasa (14/3/2023).
BACA JUGA:
AHY Lapor Kereta Anjlok di Sidang Kabinet, Ini Pesan Penting Prabowo
Baca Juga
AHY Ditunjuk Jadi Dewan Pengarah Badan Otorita Pengelola Pantai Utara Jawa, Ini Tugasnya
Inovasi Pengelolaan Sampah Madiun Diapresiasi AHY, Layak Jadi Role Model Nasional
5 Gaya Memukau Almira Yudhoyono Pakai Dress Brokat Floral di Pesta Ultah ke-17
AHY mengatakan program pemerintah ini tidak berjalan dengan baik dan digarap grasa-grusu. Tidak dilakukan dengan perhitungan yang baik.
Advertisement
""Kita mencermati, tata kelola pemerintahan saat ini tidak berjalan dengan baik. Banyak program pemerintah yang dilakukan grusa grusu, terburu-buru dan kurang perhitungan. Contohnya, alokasi anggaran triliunan rupiah untuk pengembangan kawasan pangan berskala luas,"" ujarnya.
Food Estate yang digarap Menhan Prabowo Subianto itu dinilai sebagai program kedaulatan pangan yang tidak berorientasi kepada pemberdayaan masyarakat. Dan tidak mengindahkan aspek lingkungan serta tradisi masyarakat lokal.
""Kedaulatan pangan seharusnya berorientasi pada pemberdayaan dan pelibatan masyarakat. Serta, mengindahkan aspek keseimbangan lingkungan, keberlanjutan dan tradisi masyarakat lokal. Ini mengacu kepada mazhab ekonomi Demokrat, yakni
sustainable growth with equity
; Pertumbuhan ekonomi yang berkeadilan dan berkelanjutan, yang tetap menjaga keseimbangan alam,"" ujar AHY."
14 Mar 2023 18:15;JokowiResmi Jadi Pemilih, KPU: Pemilu 2024 Tetap Berjalan Sesuai Agenda;https://www.liputan6.com/news/read/5233030/jokowi-resmi-jadi-pemilih-kpu-pemilu-2024-tetap-berjalan-sesuai-agenda;"Liputan6.com, Jakarta -
Ketua Komisi Pemilihan Umum
(KPU)
Hasyim Asy'ari memastikan bahwa Pemilu 2024 tetap berjalan sesuai jadwal yang ditetapkan, usai Presiden Joko Widodo atau
Jokowi
resmi terdaftar menjadi pemilih Pemilu 2024.
Adapun Presiden Jokowi mengikuti proses pencocokan dan pemilihan data pemilih (coklit)
Pemilu 2024
di Istana Kepresidenan Jakarta, Selasa (14/3/2023). Hasyim menyebut hal ini menjadi simbol bahwa Pemilu 2024 tetap digelar pada Februari 2024.
BACA JUGA:
Cek Fakta: Tidak Benar di Video Ini Sri Mulyani Sowan ke Solo Usai Reshuffle Kabinet
BACA JUGA:
Curhatan Jokowi 3 Kali Dorong RUU Perampasan Aset, Tapi Tak Ditindaklanjuti DPR
Baca Juga
Cek Fakta: Hoaks Artikel Nadiem Makarim Sebut Ia Menjadi Tersangka karena Ulah Jokowi dan Luhut
KPU Bantah Rahasiakan Dokumen Capres-Cawapres Buntut Isu Ijazah Palsu Jokowi-Gibran
Tak Hanya Prabowo Pemerintah Jokowi Juga Pernah Putar Video Capaian Kinerja di Bioskop, Ini Bedanya
""Ya saya kira ini simbolik bahwa Pak Joko Widodo sebagai WNI dan kebetulan Presiden berpartisipasi aktif dalam kegiatan pemilu, terutama dalam bentuk ikut dalam pencocokan penelitian data pemilih 2024,"" kata Ketua KPU Hasyim Asy'ari di Kompleks Istana Kepresidenan Jakarta, Selasa (14/3/2023).
Advertisement
""Ini menunjukkan simbol bahwa Pemilu 2024 tetap berjalan sesuai agenda dan ini rangkaian dari tahapan pemilu di antaranya pemutakhiran data pemilih,"" sambungnya.
Komisioner KPU Betty Idroos juga menekankan bahwa tahapan Pemilu 2024 tetap berjalan, ditengah proses banding atas putusan PN Jakarta Pusat soal penundaan Pemilu. KPU, kata dia, telah menyerahkan memori banding atas putusan PN Jakarta Pusat.
""Sekarang memori banding, sudah kita masukkan. Kita tunggu saja. Kita tunggu kapan dilakukan. Yang penting memori banding sudah masuk, sudah kami plenokan,"" jelas Betty."
14 Mar 2023 17:13;JokowiResmi Terdaftar Sebagai Pemilih di Pemilu 2024;https://www.liputan6.com/news/read/5232945/jokowi-resmi-terdaftar-sebagai-pemilih-di-pemilu-2024;"Liputan6.com, Jakarta -
Presiden Joko Widodo atau
Jokowi
melakukan proses pencocokan dan penelitian (coklit) data pemilih Pemilu 2024, yang digelar Komisi Pemlihan Umum (KPU) di Istana Kepresidenan Jakarta, Selasa (14/3/2023). Dengan begitu, Jokowi dan Iriana resmi terdaftar sebagai
pemilih
Pemilu 2024.
""Ini adalah bukti saya dan Bu Iriana terdaftar sebagai pemilih di Pemilu 2024,"" kata Jokowi saat mengikuti proses coklit di Istana Kepresidenan Jakarta, Selasa (14/3/2023).
BACA JUGA:
Cek Fakta: Tidak Benar di Video Ini Sri Mulyani Sowan ke Solo Usai Reshuffle Kabinet
BACA JUGA:
Curhatan Jokowi 3 Kali Dorong RUU Perampasan Aset, Tapi Tak Ditindaklanjuti DPR
Baca Juga
Cek Fakta: Hoaks Artikel Nadiem Makarim Sebut Ia Menjadi Tersangka karena Ulah Jokowi dan Luhut
KPU Bantah Rahasiakan Dokumen Capres-Cawapres Buntut Isu Ijazah Palsu Jokowi-Gibran
Tak Hanya Prabowo Pemerintah Jokowi Juga Pernah Putar Video Capaian Kinerja di Bioskop, Ini Bedanya
Dia pun mengimbau masyarakat untuk mengecek apakah namanya dan keluarga sudah terdaftar sebagai pemilih di
Pemilu 2024
. Jokowi menyebut masyarakat dapat mengeceknya di situs resmi KPU.
Advertisement
""Apabila belum terdaftar segera mendaftarkan ke KPU setempat,"" ujarnya.
Sementara itu, Ketua KPU Hasyim Asy'ari menyampaikan bahwa proses coklit data pemilih Pemilu 2024 berakhir pada Selasa hari ini. Oleh sebab itu, petugas coklit bersama KPU mendatangi Jokowi untuk melakukan proses coklit.
""Jadi kegiatan pencocokan dan penelitian data pemilih ini dilakukan terhitung mulai 12 Februari sampai dengan 14 Maret 2023 baik untuk data pemilih di dalam maupun di luar negeri,"" jelas Hasyim di Kompleks Istana Kepresidenan Jakarta.
Dia menjelaskan proses coklit ini untuk memuktahirkan data pemilih yang ada dalam daftar pemilih sementara. Hal ini untuk memastikan penulisan nama, NIK, domisili sudah sesuai dengan alokasi Tempat Pemungutan Suara (TPS).
""Sehingga pada hari ini tadi coklit dengan Bapak Joko Widodo dan Bu
Iriana Jokowi
dalam rangka untuk memastikan nama beliau berdua sudah ada di data pemilih dan mencocokkan apakah nama alamat dan alokasi TPS-nya sudah sesuai,"" tuturnya."
14 Mar 2023 15:12;Airlangga Hartarto Sodorkan 3 Nama Calon Menpora Pengganti Zainudin Amali ke PresidenJokowi;https://www.liputan6.com/news/read/5232791/airlangga-hartarto-sodorkan-3-nama-calon-menpora-pengganti-zainudin-amali-ke-presiden-jokowi;"Liputan6.com, Jakarta
Ketua Umum Partai Golkar
Airlangga Hartarto
telah memberikan tiga nama calon Menteri Pemuda dan Olahraga (Menpora) yang akan menggantikan
Zainudin Amali
ke Presiden Joko Widodo (Jokowi).
Hal itu diungkapkan Sekretaris Jenderal (Sekjen) Partai Golkar, Lodewijk Freidrich Paulus kepada wartawan di kompleks Parlemen, Senayan, Jakarta, Selasa (14/3/2023). Selanjutnya, kata Lodewijk, nama-nama yang disodorkan itu akan dipilih oleh
Presiden Jokowi
.
BACA JUGA:
Momen Tawa Menko Airlangga, Purbaya Tepok Jidat: Dia Sudah Pusing, Aduh!
BACA JUGA:
Program Magang Fresh Graduate Bergaji Rp3,3 Juta Bakal Dimulai, Simak Waktunya
Baca Juga
Fokus Urus Ekonomi, Prabowo Rapat Intensif dengan Airlangga dan Menteri Lain
Pemerintah Dorong AI Jadi Mesin Baru Ekonomi Kreatif Indonesia
Program Magang Nasional Terbuka bagi Perusahaan Swasta dan BUMN
""
Calon Menpora
sudah, Ketua Umum kita sudah berikan ke Presiden. Kita tinggal tunggu Presiden pilih yang mana dari tiga calon yang diusulkan,"" kata Lodewijk.
Advertisement
Meski begitu, Lodewijk mengaku tidak tahu pasti siapa saja tiga nama yang disodorkan Airlangga ke Presiden Jokowi. Namun, dia menyebut, tiga nama tersebut tak jauh berbeda dari yang beredar di publik.
Diketahui, tiga nama yang beredar di publik yakni, Ilham Permana, Dito Ariotedjo, dan Puteri Anetta Komaruddin. Dari tiga nama itu, Golkar kini menyerahkan sepenuhnya kepada Presiden, sebab Presiden pasti memiliki kriteria sendiri untuk menempatkan orang di posisi Menpora.
""Tidak jauh dari nama-nama yang beredar, karena katakan masing-masing inginkan banyak tuh, ketua umum menyeleksi tiga yang disampaikan ke Presiden sesuai menyampaikan berdasarkan seleranya dia kan, padahal Presiden juga punya kriteria,"" kata Lodewijk.
Lebih lanjut, Lodewijk mengungkap sedikit kriteria terhadap calon Menpora yang baru. Pastinya, Menpora baru harus memiliki kemampuan mengurus bidang pemuda dan olahraga.
Artinya, sosok Menpora baru harus memiliki akses ke dua bidang tersebut. Terlebih Indonesia akan menjadi tuan rumah Piala Dunia U-20.
""Nah, itu dari pemuda dan olahraga
gitu
loh,
ngurusi
pemuda siapa yang punya ke situ, apa kriteria itu. Pak Jokowi yang tahu kita enggak tahu,"" ujar Lodewijk."
14 Mar 2023 14:53;Sekjen Golkar: Airlangga Sudah Sodorkan 3 Nama Calon Menpora Pengganti Zainudin Amali keJokowi;https://www.liputan6.com/news/read/5232770/sekjen-golkar-airlangga-sudah-sodorkan-3-nama-calon-menpora-pengganti-zainudin-amali-ke-jokowi;"Liputan6.com, Jakarta -
Sekretaris Jenderal (Sekjen) Partai Golkar, Lodewijk Freidrich Paulus menyatakan, Ketua Umum Partai Golkar
Airlangga Hartarto
sudah menyodorkan tiga nama calon Menteri Pemuda dan Olahraga (Menpora) pengganti
Zainudin Amali
ke Presiden Joko Widodo.
""Calon
Menpora
sudah ketua umum kita sudah berikan ke Presiden. Kita tinggal tunggu Presiden milih yang mana dari tiga calon yang diusulkan,"" kata Lodewijk di kompleks parlemen Senayan, Selasa (14/3/2023).
BACA JUGA:
Momen Tawa Menko Airlangga, Purbaya Tepok Jidat: Dia Sudah Pusing, Aduh!
BACA JUGA:
Program Magang Fresh Graduate Bergaji Rp3,3 Juta Bakal Dimulai, Simak Waktunya
Baca Juga
Fokus Urus Ekonomi, Prabowo Rapat Intensif dengan Airlangga dan Menteri Lain
Pemerintah Dorong AI Jadi Mesin Baru Ekonomi Kreatif Indonesia
Program Magang Nasional Terbuka bagi Perusahaan Swasta dan BUMN
Namun, Lodewijk enggan membeberkan siapa saja tiga nama yang disodorkan Airlangga ke Presiden Jokowi. Ia hanya menyebut tiga nama itu tak jauh berbeda dari yang beredar di publik.
Advertisement
Adapun tiga nama yang santer beredar adalah Ilham Permana, Dito Ariotedjo, dan Puteri Anetta Komaruddin.
""Tidak jauh dari nama-nama yang beredar, karena katakan masing-masing inginkan banyak tuh, ketua umum menyeleksi tiga yang disampaikan ke presiden sesuai menyampaikan berdasarkan seleranya dia kan, presiden juga punya kriteria,"" kata dia.
Menurut Lodewijk, Menpora baru harus memiliki kemampuan dalaM bidang pemuda dan olahraga. Apalagi? Indonesia akan menjadi tuan rumah Piala Dunia U-20."
14 Mar 2023 12:42;Ini Dia MenteriJokowiyang Asyik Nonton Konser Blackpink;https://www.liputan6.com/showbiz/read/5232554/ini-dia-menteri-jokowi-yang-asyik-nonton-konser-blackpink;"Liputan6.com, Jakarta
Gemuruh
konser Blackpink
di Stadion Utama Gelora Bung Karno memang sudah berakhir. Semburat “pink ocean” pun telah surut setelah lampu konser yang dihelat pada 11-12 Maret 2023 kemarin kembali menyala.
Namun, sisa-sisa gegap gempita penampilan Jisoo, Rose, Lisa, serta Jennie Blackpink masih terasa hingga kini. Terutama, bagi para penonton yang menyaksikan langsung penampilan kuartet dari YG Entertainment ini, yang masih terlihat membagikan aksi panggung
Blackpink
ke media sosial.
BACA JUGA:
Potret Lisa Blackpink Tampil Memukau di Emmy Awards 2025, Disebut Mirip Glinda Wicked
BACA JUGA:
Rose BLACKPINK Berseri-seri dengan Gaun Kuning Mentega di MTV VMAs 2025
BACA JUGA:
Santainya Lisa BLACKPINK Tenteng Tas Hermes Birkin Langka Seharga Rp5 Miliar
Salah satunya bukan orang main-main. Ia adalah Yanti K. Isfandiary, istri dari Airlangga Hartanto, Menteri Koordinator Bidang Perekonomian Indonesia periode 2019-2024 pada Kabinet Indonesia Maju Presiden Jokowi.
Advertisement
Melalui unggahan bertanggal 12 dan 13 Maret 2023 di Instagram, Ia membagi momen foto dan rekaman video konser bertajuk
Born Pink
ini. Tak datang sendirian, ia hadir bersama sang suami.
Baca Juga
Kumpulan Momen Bilqis Anak Ayu Ting Ting Di-notice Blackpink Berkali-kali dalam Konser Born Pink di GBK
Rose Blackpink Alami Malfungsi Gaun Saat Konser Born Pink di GBK, Tetap Tampil Profesional
Cerita 2 Fanboy Blackpink Antusias Nonton Konser Born Pink di GBK, Sampai Bolos Kerja Saat War Tiket"
14 Mar 2023 12:30;Dukung ASEAN Summit 2023,JokowiResmikan Jalan Akses Labuan Bajo-Golo Mori;https://www.liputan6.com/bisnis/read/5232582/dukung-asean-summit-2023-jokowi-resmikan-jalan-akses-labuan-bajo-golo-mori;"Liputan6.com, Jakarta
Jalan Akses Labuan Bajo-Golo Mori di Kabupaten Manggarai Barat, Nusa Tenggara Timur (NTT) diresmikan. Peresmian dilakukan oleh Jokowi jelang pelaksanaan
ASEAN Summit 2023
di Labuan Bajo.
Presiden
Jokowi
mengatakan, pembangunan jalan akses Labuan Bajo-Golo Mori bertujuan untuk meningkatkan konektivitas dalam rangka pengembangan Destinasi Pariwisata Super Prioritas (DPSP) Labuan Bajo.
""Sehingga kawasan antara Labuan Bajo dengan Golo Mori nantinya dapat berkembang dengan baik serta pengembangan Labuan Bajo akan semakin terdukung oleh fasilitas jalan yang kita bangun,"" kata Presiden Jokowi dalam acara penandatanganan prasasti di Km 16 Jalan Akses
Labuan Bajo
-Golo Mori, NTT, Selasa (14/3/2023).
Advertisement
Pembangunan Jalan Akses Labuan Bajo-Golo Mori juga mendukung akses Kawasan Ekonomi Khusus (KEK) Tana Mori yang berada tidak jauh dari Desa Golo Mori. Lokasi tersebut nantinya digunakan untuk retreat para leaders saat ASEAN Summit 2023 pada 9-11 Mei 2023.
Anggaran Rp 481 Miliar
Akses Labuan Bajo-Golo Mori mulai dibangun pada April 2022 dengan anggaran APBN senilai Rp 481 miliar. Pembangunan jalan ini sepanjang 25 km terbagi menjadi 5 segmen, yakni Labuan Bajo-Simpang Nalis sepanjang 6,15 km, Simpang Nalis-Simpang Kenari sepanjang 6,50 km, Simpang Kenari-Warloka sepanjang 5,10 km, Warloka-Tanamori sepanjang 4,25 km, dan peningkatan jalan menuju Desa Golo Mori sepanjang 3 km.
Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono menyatakan, peningkatan aksesibilitas serta infrastruktur jaringan jalan/jembatan ini untuk memberikan kenyamanan dan keselamatan bagi para pengguna.
""Dulu ruas menuju Desa Golo Mori merupakan jalan tanah dan berbatu dengan jarak tempuh 3 jam. Sekarang cukup ditempuh dalam 30 menit dari Kota Labuan Bajo, dengan pemandangan yang sangat indah,"" terang
Menteri PUPR
."
14 Mar 2023 10:51;Jokowi: Semua Negara Anggota ASEAN Hadiri KTT di Labuan Bajo Mei 2023;https://www.liputan6.com/news/read/5232459/jokowi-semua-negara-anggota-asean-hadiri-ktt-di-labuan-bajo-mei-2023;"Liputan6.com, Jakarta
Presiden Joko Widodo atau
Jokowi
memastikan semua negara anggota ASEAN akan menghadiri Konferensi Tingkat Tinggi (KTT)
ASEAN
Summit 2023 di
Labuan Bajo
, Nusa Tenggara Timur (NTT). Adapun KTT akan digelar pada Mei 2023 mendatang.
""Ya semua anggota ASEAN hadir,"" ujar Jokowi usai meninjau kesiapan fasilitas untuk KTT ASEAN Summit 2023 di
Labuan Bajo
, Selasa (14/3/2023).
BACA JUGA:
Cek Fakta: Tidak Benar di Video Ini Sri Mulyani Sowan ke Solo Usai Reshuffle Kabinet
BACA JUGA:
Curhatan Jokowi 3 Kali Dorong RUU Perampasan Aset, Tapi Tak Ditindaklanjuti DPR
Baca Juga
Cek Fakta: Hoaks Artikel Nadiem Makarim Sebut Ia Menjadi Tersangka karena Ulah Jokowi dan Luhut
KPU Bantah Rahasiakan Dokumen Capres-Cawapres Buntut Isu Ijazah Palsu Jokowi-Gibran
Tak Hanya Prabowo Pemerintah Jokowi Juga Pernah Putar Video Capaian Kinerja di Bioskop, Ini Bedanya
Menurut dia, sejumlah
venue
yang akan digunakan untuk penyelenggaraan ASEAN Summit 2023 sudah siap untuk digunakan. Pemerintah akan mempercantik
venue
-
venue
tersebut untuk menyambut para pemimpin negara dan delegasi.
Advertisement
""Saya melihat beberapa
venue
sudah siap semuanya, tinggal sentuhan sedikit-sedikit,"" ucapnya.
Jokowi menyampaikan KTT ASEAN Summit 2023 juga akan digunakan untuk mempromosikan Labuan Bajo sebagai salah satu destinasi wisata super prioritas. Terlebih, Labuan Bajo memiliki pemandangan yang indah dan bagus untuk wisatawan.
""Di Gulo Mori ini bagus, kita lihat di Labuan Bajo juga bagus. Saya kira semuanya di tengok kanan, tengok kiri semuanya bagus dan indah ya,"" tutur Jokowi.
Dalam KTT ASEAN yang berlangsung di Kamboja pada 13 November 2022, Indonesia mendapatkan mandat untuk memegang Chairmanship ASEAN 2023. Dengan menjadi ketua ASEAN ini maka di tahun ini Indonesia menjadi tuan rumah KTT Asean Summit 2023.
Presiden Joko Widodo atau Jokowi pun memutuskan bahwa KTT ASEAN Summit 2023 akan dilaksanakan di Labuan Bajo, Nusa Tenggara Timur, (NTT). KTT ASEAN Summit 2023 ini akan dilaksanakan pada Mei mendatang.
Salah satu alasan Presiden Jokowi menunjuk Labuan Bajo sebagai tuan rumah KTT ASEAN Summit 2023 adalah untuk memulihkan industri pariwisata di Indonesia Timur pasca diterpa pandemi Covid-19.
""Bapak Presiden sudah memutuskan Labuan Bajo untuk pelaksanaan ASEAN Summit,"" kata Menteri BUMN, Erick Thohir di ICE BSD City, Tangerang, Banten, Sabtu (14/1/2023)."
14 Mar 2023 10:48;Jokowi: Venue ASEAN Summit 2023 di Labuan Bajo Sudah Siap, Tinggal Sentuhan Sedikit;https://www.liputan6.com/news/read/5232457/jokowi-venue-asean-summit-2023-di-labuan-bajo-sudah-siap-tinggal-sentuhan-sedikit;"Liputan6.com, Jakarta -
Presiden Joko Widodo atau Jokowi meninjau langsung kesiapan fasilitas untuk KTT ASEAN Summit 2023 di Labuan Bajo, Provinsi Nusa Tenggara Timur (NTT), Selasa (14/3/2023).
Jokowi
memastikan beberapa venue sudah siap digunakan untuk ASEAN Summit di Labuan Bajo pada Mei 2023.
""Ini kita ingin memastikan persiapan untuk
ASEAN Summit
di bulan Mei. Saya melihat beberapa venue sudah siap semuanya. Tinggal sentuhan sedikit-sedikit,"" kata Jokowi usai peninjauan sebagaimana disiarkan di Youtube Sekretariat Presiden, Selasa (14/3/2023).
BACA JUGA:
Cek Fakta: Tidak Benar di Video Ini Sri Mulyani Sowan ke Solo Usai Reshuffle Kabinet
BACA JUGA:
Curhatan Jokowi 3 Kali Dorong RUU Perampasan Aset, Tapi Tak Ditindaklanjuti DPR
Baca Juga
Cek Fakta: Hoaks Artikel Nadiem Makarim Sebut Ia Menjadi Tersangka karena Ulah Jokowi dan Luhut
KPU Bantah Rahasiakan Dokumen Capres-Cawapres Buntut Isu Ijazah Palsu Jokowi-Gibran
Tak Hanya Prabowo Pemerintah Jokowi Juga Pernah Putar Video Capaian Kinerja di Bioskop, Ini Bedanya
Menurut Jokowi, penyelenggaraan
ASEAN Summit 2023
ini juga sekaligus untuk ajang promosi Labuan Bajo sebagai destinasi wisata super prioritas. Salah satunya yakni, Desa Golo Mori yang memiliki pemandangan yang bagus dan indah.
Advertisement
""Yang paling penting ini nanti juga kita ingin mempromosikan juga Labuan Bajo sebagai destinasi super prioritas,"" ujarnya.
""Di Golo Mori ini bagus, kita lihat yang di
Labuan Bajo
juga bagus saya kira. Ya semuanya ditengok kanan, tengok kiri, semuanya bagus dan indah,"" sambung Jokowi.
Dalam KTT ASEAN yang berlangsung di Kamboja pada 13 November 2022, Indonesia mendapatkan mandat untuk memegang Chairmanship ASEAN 2023. Dengan menjadi Ketua ASEAN ini, maka di tahun ini pula Indonesia menjadi tuan rumah KTT ASEAN Summit 2023.
Presiden Joko Widodo atau Jokowi pun memutuskan bahwa KTT ASEAN Summit 2023 akan dilaksanakan di Labuan Bajo, Nusa Tenggara Timur, (NTT).
KTT ASEAN Summit 2023
ini akan dilaksanakan pada Mei mendatang."
