Tanggal;Judul;URL;Isi Berita
03 Mei 2018 08:16;Ma'rufAminSebut MUI Mengakomodasi Semua Umat, Bukan Hanya Partai Islam;https://www.liputan6.com/news/read/3498528/maruf-amin-sebut-mui-mengakomodasi-semua-umat-bukan-hanya-partai-islam;"Liputan6.com, Jakarta -
Ketua Majelis Ulama Indonesia (MUI)
Ma'ruf Amin
menegaskan, MUI mempunyai tugas melakukan penguatan umat muslim dari tindakan yang melemahkan umat. Namun, bukan berarti MUI hanya mengakomodasi kepentingan umat muslim saja.
Menurut
Ma'ruf Amin
, MUI sering disalahpahami ketika bertemu dengan partai-partai politik yang tidak berbasis Islam. Padahal, kata dia, MUI dapat mengakamodasi semua partai karena setiap partai tersebut ada umat Islam di dalamnya.
BACA JUGA:
Milad ke-50 MUI, Ma'ruf Amin Minta Ulama Jaga Umat dari Perpecahan dan Perselisihan
Baca Juga
Prabowo Sambangi Kediaman Ma’ruf Amin, Cium Tangan Lalu Diskusi Bahas Pembangunan RI
Ma’ruf Amin Dukung Muhammadiyah Dirikan Bank Syariah
Kenangan Terakhir JK dan Ma'ruf Amin Iringi Suryadharma Ali ke Peristirahatan Terakhir
""Kadang orang suka salah paham, ketika MUI diundang PPP, di sana ada umat. Ketika saya diundang PDIP, saya juga datang karena di sana ada umat. Ketika MUI diundang oleh partai yang tidak berbasis Islam, karena di sana ada umat, dan umat itu ada dimana-mana,"" ujar Ma'ruf dalam pidatonya di kantor MUI, Jalan Proklamasi, Jakarta Pusat, Rabu 2 Mei 2018.
Advertisement
Ma'ruf menambahkan, dalam membantu masyarakat, MUI tidak memandang orang itu muslim atau nonmuslim. Dalam menolong orang-orang yang dilanda kelaparan dan kemiskinan, kata dia, MUI tak bisa membedakan umat.
""Bahkan ketika ada suatu masalah yang MUI harus melayani, seperti mengatasi kemiskinan, orang kelaparan, hal itu tidak hanya muslim saja,"" ucapnya.
Ma'ruf Amin
mengingatkan bahwa MUI punya tanggung jawab dalam penguatan kebangsaan dan kenegaraan sebagai implementasi empat pilar.
Reporter: Ahda Bayhaqi
Sumber: Merdeka.com
Saksikan Video Pilihan di Bawah Ini:"
13 Jun 2018 04:09;Ma'rufAmin: Kunjungan Yahya Staquf ke Israel Jangan Dikaitkan dengan PBNU;https://www.liputan6.com/news/read/3558965/maruf-amin-kunjungan-yahya-staquf-ke-israel-jangan-dikaitkan-dengan-pbnu;"Liputan6.com, Jakarta -
Kunjungan Katib Aam Pengurus Besar Nahdlatul Ualam (PBNU),
Yahya Cholil Staquf
, dalam acara American Jewish Committee (AJC) Global Forum, Minggu 10 Juni 2018, di Yerusalem, menuai polemik di Tanah Air.
Ketua MUI Maruf Amin menyampaikan, kunjungan tokoh Nahdlatul Ulama (NU) itu tidak mendapatkan dukungan dari MUI. Termasuk juga dari PBNU sendiri.
BACA JUGA:
Milad ke-50 MUI, Ma'ruf Amin Minta Ulama Jaga Umat dari Perpecahan dan Perselisihan
BACA JUGA:
Ma’ruf Amin Buka Harlah ke-27 PKB: Kami Akan Terus Bersama Prabowo
Baca Juga
Prabowo Sambangi Kediaman Ma’ruf Amin, Cium Tangan Lalu Diskusi Bahas Pembangunan RI
Ma’ruf Amin Dukung Muhammadiyah Dirikan Bank Syariah
Kenangan Terakhir JK dan Ma'ruf Amin Iringi Suryadharma Ali ke Peristirahatan Terakhir
Ma'ruf menegaskan MUI konsisten membela Palestina dan mendukung sikap pemerintah Indonesia yang tegas menyatakan bahwa Yerusalem merupakan ibu kota Palestina. Sebagaimana yang juga diserukan seluruh negara yang tergabung dalam Organisasi Kerjasama Islam (OKI).
Advertisement
""Masalah Cholil itu tidak ada kaitannya dengan MUI. Jangankan dengan MUI, dengan PBNU saja tidak. Karena itu kita tidak memberikan, mendukung oleh saudara Yahya Staquf,"" tutur Maruf Amin di Kantor MUI, Jalan Proklamasi, Menteng, Jakarta Pusat, Selasa (12/6/2018).
Menurut Ma'ruf Amin, ada atau tidaknya manfaat dari langkah
Yahya Staquf
itu dapat dilihat nantinya. Terlebih, Kementerian Luar Negeri (Kemenlu) sendiri telah mengupayakan usaha perdamaian Palestina.
""Apakah itu memperlancar upaya-upaya Kemenlu dalam rangka mengupayakan perdamaian dengan tetap menjaga agar Palestine menjadi negara yang merdeka, berdaulat, atau justru mengganggu. Nanti akan dilihat. Tetapi sebenarnya diplomasi yang kita inginkan tetap melalui Kemenlu secara resmi,"" jelas dia."
17 Jul 2018 11:19;Mahfud MD danMa'rufAminMasuk Bursa Cawapres, Mana yang Dipilih PBNU ?;https://www.liputan6.com/news/read/3591254/mahfud-md-dan-maruf-amin-masuk-bursa-cawapres-mana-yang-dipilih-pbnu;"Liputan6.com, Jakarta -
Rais Aam Nahdratul Ulama (NU) KH Ma'ruf Amin dan Mantan Ketua MK Mahfud MD masuk dalam daftar calon wakil presiden pendamping
Jokowi
di Pilpres 2019.
Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Said Aqil Siradj mengatakan siapapun cawapres yang dipilih Jokowi pasti sudah melalui pertimbangan yang matang.
Namun, Said Aqil mengaku akan mendukung jika Jokowi memilih Ma'ruf Amin sebagai cawapres. ""Siapapun oke. Haknya Pak
Jokowi
. Pasti kalau diajak KH Maaruf jadi wakilnya, pasti saya dukung,"" ucap Said, di Kantor PBNU, Jakarta Pusat, Senin, 16 Juli 2018.
Advertisement
Namun Said juga memiliki penilaian sendiri terhadap Mahfud MD yang juga mempunyai identitas sebagai kader NU.
Said menilai, bagus jika Mahfud MD bersanding dengan Jokowi dalam Pilpres 2019 nanti. Menurut dia, Mahfud MD dianggap sudah berpengalaman dan memiliki riwayat yang bersih.
""Ya. Bagus. Pengalamannya sudah pasti. Bersih. Terkenal ahli hukum tata negara dan kepercayaan Gusdur dulunya,"" tandas Said Aqil.
Saksikan video pilihan di bawah ini:"
17 Agu 2018 18:00;MobilMa'rufAminHanya Dua, tapi Nilainya Lebih Besar dibanding Koleksi Kendaraan Jokowi;https://www.liputan6.com/otomotif/read/3621424/mobil-maruf-amin-hanya-dua-tapi-nilainya-lebih-besar-dibanding-koleksi-kendaraan-jokowi;"Liputan6.com, Jakarta-
Tak hanya calon
presiden
, calon wakil presiden yang mendaftar ke Komisi Pemilihan Umum (KPU) juga wajib memberikan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) kepada Pemberantasan Korupsi (KPK).
Hal ini pula dilakukan cawapres Ma'ruf Amin, di mana harta kekayaan ketua MUI tersebut mencapai  Rp 11.645.550.894 per 15 Agustus 2018. Demikian menurut laman elhkpn.kpk.go.id.
Advertisement
Baca Juga
Deretan Mobil Kepresidenan dari Sukarno hingga Jokowi
Honda Forza Laris Manis, Ini Respons Yamaha Indonesia
Deretan Mobil Karya Anak Bangsa
Dari jumlah tersebut, harta tidak bergerak milik Ma'ruf Amin berupa tanah dan bangunan yang nilanya mencapai  Rp 6.978.500.000.
Sedangkan harta bergerak seperti kendaraan bermotor ternyata cuma ada dua unit, dengan nilai sebesar Rp 1.627.900.000.
Akan tetapi, meski hanya berjumlah dua unit, nilai kendaraan Ma'ruf Amin ternyata lebih tinggi dibanding
Presiden
Joko Widodo yang tercatat Rp 1.083.500.000.
Adapun kendaraan yang dimiliki Ma'ruf Amin antara lain satu unit Toyota Alphard (2018) dan satu unit Toyota Fortuner (2017)
* Update Terkini
Asian Games 2018
Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia
di Sini
."
16 Agu 2018 18:29;Pantun Bamsoet:Ma'rufAminIbarat Kelapa, Tak Muda tapi Banyak Saripati;https://www.liputan6.com/pemilu/read/3620948/pantun-bamsoet-maruf-amin-ibarat-kelapa-tak-muda-tapi-banyak-saripati;"Liputan6.com, Jakarta -
Ketua DPR RI Bambang Soesatyo, yang kerap disapa
Bamsoet
, memuji Presiden Joko Widodo atau Jokowi dalam pantun yang dibacakan sebelum menutup sidang paripurna hari ini. Dia menilai Jokowi tanggap akan bencana alam yang terjadi di Indonesia.
""Pak Jokowi peka bencana, pergi ke Lombok
nginap
di tenda,"" ujar
Bamsoet
dalam pantunnya, di Gedung DPR RI, Jakarta Selatan, Kamis (16/8/2018).
Baca Juga
Ketum IMI Bamsoet Apresiasi Indonesia Art Motoring 2025, Sebut Mobil Klasik Jadi Kekuatan Ekonomi Kreatif
Ketua Umum IMI Bamsoet Gaet Komunitas Influencer Otomotif untuk Angkat Pariwisata Nasional
Ketum IMI Bamsoet Dukung Volkswagen Beetle Club Gelar 1st International Beetle Battle di Malaysia
Kemudian, dia melanjutkan pantunnya dengan memuji Ma’ruf Amin, yang merupakan bakal calon wakil presiden Jokowi untuk Pilpres 2019. Ini terkait dengan usia Ma’ruf yang tidak muda lagi dan kerap dipertanyakan.
Advertisement
""Kiai Ma’ruf ibarat buah kelapa, tidak muda tapi banyak saripatinya,"" sebut
Bamsoet
.
* Update Terkini
Asian Games 2018
Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia
di Sini
.
Saksikan video pilihan di bawah ini:"
16 Agu 2018 18:02;Djarot Saiful: Ahok Tak Masuk Tim Kampanye Jokowi-Ma'rufAmin;https://www.liputan6.com/pemilu/read/3620915/djarot-saiful-ahok-tak-masuk-tim-kampanye-jokowi-maruf-amin;"Liputan6.com, Jakarta -
Mantan Gubernur DKI Jakarta Basuki Tjahaja Purnama atau
Ahok
mendukung penuh pencalonan Jokowi-Ma'ruf Amin di Pilpres 2019. Hal ini disampaikan Ahok kepada Djarot Saiful Hidayat dalam perbincangan di Mako Brimob Depok, Jumat (16/8/2018).
Kendati mendukung pasangan petahana itu, Djarot mengatakan bahwa Ahok tak masuk dalam tim kampanye Jokowi-Ma'ruf Amin.
BACA JUGA:
Djarot Sebut Hasto & Tom Lembong Korban Kriminalisasi: Banyak Kasus Korupsi Segede Gajah, Lewat!
Baca Juga
Djarot PDIP Kritik Vonis Hasto Kristiyanto: Kalau Mau Fair, Tangkaplah Harun Masiku
Djarot PDIP di Peringatan Kudatuli: Dulu Kita Menghantam KKN, Sekarang Balik Lagi
Blak-blakan Djarot soal Persiapan Kongres PDIP
""Kalau itu (sebagai tim kampanye) kita tidak,
Ahok
kasih
support
walaupun tidak masuk sebagai tim kampanye, tidak harus di panggung gitu ya,"" kata Djarot di Gedung Filatelli Jakarta Pusat, Kamis (16/8/2018).
Advertisement
Berbeda dengan Ahok, Djarot mengaku akan masuk dalam tim pemenangan Jokowi-Ma'ruf Amin meski tak masuk dalam struktur. Dia mengaku akan lebih fokus dalam Pileg.
""Saya otomatis, orang Ketua DPP Partai (PDIP). Mungkin saya nggak masuk dalam tim kampanye untuk Pilpres ya, karena kami fokus pada pileg,"" ujar
Ahok
.
* Update Terkini
Asian Games 2018
Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia
di Sini
."
16 Agu 2018 17:27;Ahok Ingin TemuiMa'rufAminSaat Keluar Penjara Nanti;https://www.liputan6.com/news/read/3620865/ahok-ingin-temui-maruf-amin-saat-keluar-penjara-nanti;"Liputan6.com, Jakarta -
Djarot Saiful Hidayat menyebut Basuki Tjahaja Purnama atau
Ahok
mendukung pasangan Jokowi-Ma'ruf Amin dalam Pilpres 2019. Bahkan, Ahok disebut ingin menemui Ma'ruf Amin saat bebas dari Rutan Mako Brimob.
""(Kita) ngobrol masalah pencalonan yang Pak Jokowi sama Pak Maaruf Amin. Kita tahu seperti apa dulu kan, tapi dia bilang apa gapapa mas ya bagus, kita akan bantu. Nanti kalau saya keluar, saya (
Ahok
) mau ketemu sama Maaruf Amin,"" ujar Djarot di Gedung Filatelli Jakarta Pusat, Kamis (16/8/2018).
BACA JUGA:
Djarot Sebut Hasto & Tom Lembong Korban Kriminalisasi: Banyak Kasus Korupsi Segede Gajah, Lewat!
Baca Juga
Djarot PDIP Kritik Vonis Hasto Kristiyanto: Kalau Mau Fair, Tangkaplah Harun Masiku
Djarot PDIP di Peringatan Kudatuli: Dulu Kita Menghantam KKN, Sekarang Balik Lagi
Blak-blakan Djarot soal Persiapan Kongres PDIP
Hal itu disampaikan Ahok kepada Djarot di Rutan Mako Brimob, Jumat 10 Agustus 2018. Kepada Djarot,
Ahok
menyampaikan bahwa dirinya tak memiliki masalah pribadi dengan Ketua MUI itu.
Advertisement
""Soalnya mereka nggak ada Apa-Apa kasusnya juga selesai, nggak ada masalah. Apa yang dilakukan Pak Jokowi harus dilanjutin bos, dukungan penuh ya,"" ujar Djarot.
* Update Terkini
Asian Games 2018
Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia
di Sini
."
16 Agu 2018 16:53;Tiba di Tanah Suci,Ma'rufAminEnggan Bicara soal Cawapres;https://www.liputan6.com/islami/read/3620750/tiba-di-tanah-suci-maruf-amin-enggan-bicara-soal-cawapres;"Liputan6.com, Jakarta -
Bakal calon wakil presiden KH
Ma'ruf Amin
fokus untuk ibadah haji. Oleh karena itu, dia enggan berkomentar banyak mengenai isu-isu terkini, termasuk konstelasi politik di Tanah Air.
Ma'ruf yang akan maju mendamping Joko Widodo atau Jokowi di Pilpres 2019 ini tiba di Jeddah, Arab Saudi, pada Rabu, 15 Agustus 2018 waktu Arab Saudi (WAS). Menurut sejumlah ajudannya,
Ma'ruf
tidak berkenan diwawancarai hingga selesai ibadah haji.
Ketua Umum Majelis Ulama Indonesia (MUI) itu tiba di Tanah Suci menggunakan penerbangan komersial dari Jakarta atau tidak bersama kloter haji. Dia mendarat sekitar pukul 14.00 WAS (waktu Arab Saudi) dan melewati terminal kedatangan komersial atau tidak melalui terminal yang biasa dipakai rombongan haji.
Advertisement
Dia datang ditemani sejumlah anggota keluarga yang menyertainya. Saat tiba, Rais Aam Pengurus Besar Nahdlatul Ulama (PBNU) itu disambut Duta Besar Indonesia untuk Arab Saudi Agus Maftuh Abegebriel dan Konjen RI di Jeddah Hery Saripudin.
Hery mendoakan
Ma'ruf Amin
dapat terus bugar dalam menjalani setiap rangkaian ibadah haji, dan begitu juga dengan seluruh jemaah calon haji Indonesia.
""Kita doakan beliau dan semua jemaah haji dari Indonesia tetap sehat selama melaksanakan rangkaian proses ibadah haji,"" kata Hery seperti dilansir
Antara
, Kamis (16/8/2018)
* Update Terkini
Asian Games 2018
Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia
di Sini
.
Saksikan Video Pilihan di Bawah Ini:"
16 Agu 2018 15:52;Lapor LHKPN Agustus 2018, HartaMa'rufAminRp 11,6 Miliar;https://www.liputan6.com/pemilu/read/3620738/lapor-lhkpn-agustus-2018-harta-maruf-amin-rp-116-miliar;"Liputan6.com, Jakarta -
Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) milik Ma'ruf Amin sudah dirilis Komisi Pemberantasan Korupsi (KPK). Harta bakal calon wakil presiden (cawapres) Joko Widodo atau Jokowi itu sebesar Rp 11.645.550.894.
Harta kekayaan tersebut merupakan data terbaru yang dilaporkan pada Selasa 14 Agustus 2018.
BACA JUGA:
Milad ke-50 MUI, Ma'ruf Amin Minta Ulama Jaga Umat dari Perpecahan dan Perselisihan
BACA JUGA:
Ma’ruf Amin Buka Harlah ke-27 PKB: Kami Akan Terus Bersama Prabowo
Baca Juga
Prabowo Sambangi Kediaman Ma’ruf Amin, Cium Tangan Lalu Diskusi Bahas Pembangunan RI
Ma’ruf Amin Dukung Muhammadiyah Dirikan Bank Syariah
Kenangan Terakhir JK dan Ma'ruf Amin Iringi Suryadharma Ali ke Peristirahatan Terakhir
Berdasarkan laman elhkpn.kpk.go.id,
Ma'ruf Amin
tercatat memiliki harta tidak bergerak berupa tanah dan bangunan yang tersebar di kawasan Jakarta Utara dan Depok, Jawa Barat senilai Rp 6.978.500.000.
Advertisement
Sedangkan untuk harta bergerak, Ma'ruf tercatat memiliki satu unit mobil Toyota Alphard dan satu unit mobil Toyota Fortuner, dengan nilai sebesar Rp 1.627.900.000.
Ketua Majelis Ulama Indonesia (MUI) ini juga memiliki harta bergerak lainnya senilai Rp 226.000.000.
Ma'ruf Amin juga tercatat memiliki kas dan setara kas lainnya sebesar Rp 3.470.735.325. Dia juga tercatat memiliki utang sebesar Rp 657.584.431. Total harta kekayaan
Ma'ruf Amin
sebesar Rp 11.645.550.894.
* Update Terkini
Asian Games 2018
Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia
di Sini
.
Saksikan video pilihan di bawah ini:"
16 Agu 2018 14:28;Tifatul Sembiring: Jangan HujatMa'rufAmin;https://www.liputan6.com/pemilu/read/3620639/tifatul-sembiring-jangan-hujat-maruf-amin;"Liputan6.com, Jakarta -
Anggota Majelis Syuro PKS, Tifatul Sembiring meminta semua pihak agar tidak menghujat bakal calon wakil presiden
Ma'ruf Amin
. Menurutnya, Ma'ruf merupakan ulama besar. Karena itu dia menganggap tak sepantasnya jika Rais Aam PBNU tersebut dihujat.
""Saya imbau kepada semua pihak jangan menghujat ulama. Pak Kiai Ma'ruf Amin itu ulama besar,"" ujar Tifatul, di Gedung DPR RI, Jakarta Selatan, Kamis (16/8/2018).
BACA JUGA:
PKS Umumkan Susunan Dewan Syariah Pusat 2025-2030, Ini Daftar Lengkapnya
BACA JUGA:
PKS Temui Prabowo di Istana, Bahas Apa?
Baca Juga
PKS Harap Indonesia Jadi Garda Terdepan Hentikan Agresi Israel, Kumpulkan Dukungan Global
Doa Bersama untuk Affan di Depok Diwarnai Pembagian Nasi Kotak Bergambar Politikus PKS
Posisi Wamenaker Kosong, PKS Tegaskan Tak Ajukan Nama
Ini terkait jabatan yang dimiliki
Ma'ruf Amin
saat ini, di tengah pencalonannya sebagai bakal calon wakil presiden pendamping Joko Widodo dalam Pilpres 2019.
Advertisement
Hal itu kemudian menjadi pro dan kontra di tengah masyarakat. Ma'ruf sendiri saat ini merupakan Rais Aam PBNU dan Ketum MUI.
Dia menilai memang tindakan yang baik jika
Ma'ruf Amin
dapat mundur agar tak ada kepentingan yang tercampur aduk. Namun dia menyanggah jika ada yang mendesak Ma'ruf untuk copot dari jabatan yang saat ini diembannya.
""Saya rasa enggak ada yang mendesak. Tapi bagus ya kalau dicalonkan bagus, kalau menurut saya pribadi ya, bagus mundur supaya tidak tercampur ini,"" ujar Tifatul.
* Update Terkini
Asian Games 2018
Mulai dari Jadwal Pertandingan, Perolehan Medali hingga Informasi Terbaru dari Arena Pesta Olahraga Terbesar Asia
di Sini
."
