Tanggal;Judul;URL;Isi Berita
15 Mei 2018 14:04;Kerusuhan MewarnaiPemiluLokal di India, 12 Orang Tewas;https://www.liputan6.com/global/read/3525835/kerusuhan-mewarnai-pemilu-lokal-di-india-12-orang-tewas;"Liputan6.com, New Delhi -
Setidaknya 12 orang dilaporkan tewas dan puluhan lainnya terluka dalam sebuah bentrokan sengit antarkelompok pendukung kandidat pemilu
panchayat
(dewan daerah) di negara bagian Bengal Barat,
India
.
Kisruh yang terjadi pada Senin, 14 Mei 2018, melibatkan beberapa serangan brutal, intimidasi terhadap para pemilih, dan perusakan bilik-bilik suara yang terjadi di beberapa lokasi.
BACA JUGA:
6 Anggota TNI AD Satgas Maleo Kopassus Diserang Massa saat Kerusuhan Yalimo, 3 Orang Luka Berat
BACA JUGA:
Presiden Prabowo Tak Akan Bentuk TGPF Demo Rusuh Agustus 2025
BACA JUGA:
Dilaporkan Hilang saat Demo Rusuh di Jakarta, Bima Ditemukan Jualan Mainan di Malang
Dikutip dari
BBC
pada Selasa (15/5/2018), partai yang berkuasa di India, Partai Bharatiya Janata (BJP), menuduh Partai Kongres Trinamool (TMC) yang memiliki pengaruh besar di Bengal Barat, telah menghasut kekerasan untuk mengganggu pemungutan suara.
Advertisement
TMC membantah tuduhan itu dan mengatakan laporan tersebut terlalu dibesar-besarkan, sehingga memicu salah persepsi di tengah masyarakat
India
.
Baca Juga
Penyebab Mengapa Kanker Lebih Banyak Menyerang Wanita di India Masih Misterius
FOTO: Bikin Resah Warga, Macan Tutul Liar Ditangkap di India
Tragis, Gadis 16 Tahun di India Tewas Dibakar Hidup-Hidup Usai Diperkosa
Menurut Parth Chatterjee dari Kongres Trinamool, di luar kisruh yang terjadi di beberapa lokasi, pemilu
panchayat
telah berlangsung dengan lancar.
Namun, beberapa analis menyebut bahwa pemilu
panchayat
kali ini dinilai sebagai yang terburuk dalam beberapa tahun terakhir di negara bagian Bengal Barat.
""Kami telah beberapa kali menerima informasi korban tewas akibat kekerasan pada pemilu
panchayat
, yang terjadi di sebagian besar wilayah negara bagian,"" kata Surajit Kar Purakayasth, kepala polisi Bengal Barat.
""Kami sedang menyelidiki lebih lanjut apa penyebab, dan seberapa besar dampak kerugiannya,"" lanjut Surajit.
Menanggapi hal tersebut, pemerintah
India
telah memerintahkan polisi dan militer di negara bagian Bengal Barat untuk tetap siaga mengawal seluruh proses pemilu
panchayat
.
Simak video pilihan berikut:"
15 Mei 2018 09:08;MK Minta Penggugat UUPemiluPertajam Tuntutan;https://www.liputan6.com/news/read/3525650/mk-minta-penggugat-uu-pemilu-pertajam-tuntutan;"Liputan6.com, Jakarta
Mahkamah Konstitusi (MK) menggelar sidang pendahuluan gugatan uji materi Undang-Undang Nomor 7 Tahun 2017 tentang
Pemilihan Umum
. Sidang dipimpin Hakim Panel Wahiduddin Adams, kemudian anggotanya Saldi Isra, dan I Dewa Gede Palguna, Senin 14 Mei 2018.
Adapun yang diuji salah satunya mengenai frasa presiden atau wakil presiden, serta frasa selama 2 (dua) kali masa jabatan dalam jabatan yang sama.
Perkara dengan nomor 36/PUU-XVI/2018, diajukan oleh seorang warga negara bernama Muhammad Hafidz, Perkumpulan Rakyat Proletar untuk Konstitusi (Perak), serta Federasi Serikat Pekerja Singaperbangsa (FSPS), yang mempermasalahkan Pasal 169 huruf n, Pasal 270 dan Pasal 227 huruf i.
Advertisement
Dalam persidangan, salah satu kuasa hukumnya, Dorel Armil, menyampaikan, pemohon I yakni Muhammad Hafidz, memiliki legal standing, karena berpartisipasi memenangkan Jusuf Kalla atau JK sebagai cawapres periode 2014.
Sedangkan, pemohon II dan III, merupakan organisasi yang memiliki badan hukum, sehingga juga memiliki legal standing.
""Pemohon I juga telah ikut berpartisipasi dalam memenangkan Jusuf Kalla sebagai Wakil Presiden melalui pemilihnya, untuk memilih Jokowi pada Pemilu Presiden dan Wakil Presiden Tahun 2014, sebagai bagian yang tidak terpisahkan dari hak Pemohon I untuk juga dipilih. Dalam hal ini termasuk dipilih secara potensial sebagai Presiden dan Wakil Presiden di masa yang akan datang. Sehingga hak konstitusional tersebut memang diberikan oleh Pasal 28D ayat (3) UUD 1945 dan Pasal 7,"" ucap Dorel di persidangan, Jakarta, Senin.
Dia menuturkan, pemohon menyadari calon Presiden dan Wakil Presiden diusung oleh partai politik atau gabungan partai
politik
.
""Akan tetapi harapan pemohon untuk dapat kembali mengusung Pasangan Calon Presiden Jokowi dan Wakil Presiden Petahana, Jusuf Kalla, yang memiliki komitmen dan kerja nyata dalam penciptaan lapangan kerja berkelanjutan, dapat terhalangi dengan pembatasan masa jabatan presiden dan wakil presiden, sebagaimana dimaksud dalam norma Pasal 169 huruf n dan Pasal 270, Pasal 227 huruf i Undang-Undang Pemilu,"" jelas Dorel.
Sementara itu, kuasa hukum pemohon yang lain, Dewi Kemala Mirza Andalus, menyatakan, Frasa presiden atau wakil presiden pada Pasal 169 huruf n dan Pasal 227 huruf i Undang-Undang Pemilu, haruslah dinyatakan konstitusional bersyarat dengan Pasal 7 Undang-Undang Dasar Tahun 1945.
Menurut dia, alasan mendasar, lantaran kata 'dan' dalam frasa tersebut memberikan makna, jabatan dua kali baik Presiden maupun Wakil Presiden, itu dilakukan dalam periode yang sama. Berbeda, masih kata Dewi, dengan rumusan norma dalam Pasal 169 huruf n dan Pasal 227 huruf i Undang-Undang Pemilu yang menggunakan kata 'atau'.
""Dengan demikian, frasa Presiden atau Wakil Presiden pada Pasal pada Pasal 169 huruf n dan pasal 227 huruf i Undang-Undang Pemilu, haruslah dinyatakan bertentangan dengan Pasal 7 Undang-Undang Dasar Tahun 1945. Dan karenanya tidak memiliki kekuatan hukum mengikat sepanjang tidak dimaknai Presiden dan Wakil Presiden,"" jelasnya.
Dewi juga memandang, keberadaan pasal tersebut, membuat tidak tegasnya aturan. Menurut dia, ini dapat memberikan keragu-raguan, serta mengakibatkan ketidakpastian hukum apabila dipersandingkan dalam Pasal 7 Undang-Undang Dasar Tahun 1945 sepanjang frasa dan sesudahnya dapat dipilih kembali yang bermakna 'berturut-turut'.
""Maka guna meniadakan keragu-raguan dan untuk memberikan kepastian hukum atas masa jabatan Presiden dan Wakil Presiden, menjadi relevan apabila pembatasan masa jabatan Presiden dan Wakil Presiden, sebagaimana dimaksud dalam frasa selama dua kali masa
jabatan
dalam jabatan yang sama, dalam Pasal 169 huruf n dan Pasal 227 huruf i Undang-Undang Pemilu, sepanjang tidak dimaknai 'tidak berturut-turut,' ungkap Dewi."
14 Mei 2018 09:09;Dukung Najib Razak dalamPemiluMalaysia, Bos AirAsia Minta Maaf;https://www.liputan6.com/global/read/3524045/dukung-najib-razak-dalam-pemilu-malaysia-bos-airasia-minta-maaf;"Liputan6.com, Kuala Lumpur -
Bos maskapai AirAsia Tony Fernandes pada hari Minggu, 13 Mei 2018, melalui sebuah video, meminta maaf karena mendukung
Najib Razak
dan Barisan Nasional dalam pemilu ke-14 Malaysia pada 9 Mei 2018. Ia mengklaim berada ""di bawah tekanan"" dari pemerintahan sebelumnya.
Seperti dikutip dari
Channel News Asia,
Senin (14/5/2018), Fernandes muncul dalam sebuah video yang dilansir
Free Malaysia Today
di situs berbagi video pada 6 Mei 2018, di mana ia memuji pemerintah
Najib Razak
atas kesuksesan AirAsia.
""Saya percaya bahwa perdana menteri mengutamakan rakyat dan memungkinkan AirAsia tumbuh meski terdapat perlawanan dari seluruh tempat,"" ujarnya dalam video tersebut.
Advertisement
Dalam video minta maaf berdurasi tujuh menit yang diunggahnya di Facebook, Fernandes mengatakan, ia merasa langkahnya (mendukung Najib) ""akan menenangkan pemerintah"". Menurutnya, pemerintah telah menekannya terkait dengan kebijakan AirAsia yang menyediakan penerbangan tambahan bagi warga Malaysia di luar negeri agar dapat kembali ke negara mereka untuk menggunakan hak suara dalam pemilu.
Pada 7 Mei 2018,
Najib Razak
pernah mengunggah foto dirinya menaiki pesawat AirAsia dari kota Kinabalu ke Kuala Lumpur. Pada pesawat itu terdapat tulisan
Make My Country Greater
atau ""Hebatkan Negaraku"", yang merupakan slogan kampanye Najib Razak.
""Bodohnya saya yang merasa dengan membuat video --yang menurut saya cukup netral dan faktual-- dan (membubuhkan slogan) di pesawat dari kota Kinabalu akan menenangkan pemerintah serta melindungi para pekerja AirAsia dan yang terpenting, memungkinkan lebih dari 80 juta orang terbang setiap tahunnya dengan tarif rendah,"" ujar Fernandes.
""Saya tertekuk di bawah tekanan kuat. Itu tidak benar, saya akan menyesalinya selamanya.
""Sekali lagi, saya minta maaf ... atas rasa sakit dan luka yang saya timbulkan"".
Sebelumnya, AirAsia telah mengumumkan 120 penerbangan dengan harga yang lebih rendah dibanding biasanya, terutama untuk pemilu. Menurut Fernandes, maskapainya dapat mengangkut 26.000 penumpang untuk pulang ke kampung mereka dan menggunakan hak suaranya.
Baca Juga
Kemenangan Mahathir Mohamad dalam Pemilu Malaysia Torehkan Sejarah
Mahathir Mohamad Sah Jadi Perdana Menteri ke-7 Malaysia
Terpilih Sebagai PM Malaysia, Mahathir Mohamad Banjir Ucapan Selamat
""Saya tidak tahu itu tidak populer ... tapi saya merasa sebagai maskapai penerbangan kami harus melayani rakyat,"" kata dia.
""Dalam waktu 24 jam, kami telah dipanggil oleh Komisi Penerbangan Malaysia dan diminta untuk membatalkan semua penerbangan itu.""
Banyak netizen mengkritik Fernandes atas apa yang mereka lihat sebagai dukungan terbuka terhadap Barisan Nasional dan Najib Razak.
Foto-foto di dalam pesawat yang dinaiki
Najib Razak
menunjukkan awak kabin mengenakan seragam biru (warna Barisan Nasional) sebagai ganti seragam merah mereka.
Saksikan video pilihan berikut ini:"
13 Mei 2018 09:12;Irak GelarPemiluPerdana Setelah Menang dari ISIS;https://www.liputan6.com/global/read/3523321/irak-gelar-pemilu-perdana-setelah-menang-dari-isis;"Baghdad - Pemilu kembali digelar di
Irak
. Ini merupakan pesta demokrasi pertama di negeri itu, setelah pemerintah menyatakan kemenangan terhadap organisasi teroris yang menyebut diri sebagai ISIS pada akhir tahun lalu.
Seperti dikutip dari
DW
, Minggu (13/5/2018), tempat pemberian suara dibuka di seluruh penjuru
Irak
pada Sabtu 12 Mei waktu setempat.
Pemilu diadakan saat Irak masih bergeliat untuk membangun negara setelah perang melawan ISIS selama empat tahun. Pendudukan militan itu menyebabkan sejumlah kota luluh-lantak.
Advertisement
Pemerintah Berusaha Cegah Manipulasi
Sekitar 7.000 calon dari sejumlah partai politik mengincar kursi di parlemen yang berjumlah 329.
Pemberian suara dilakukan secara elektronis di TPS sebagai langkah untuk menekan manipulasi sebaik mungkin. Jumlah suara resmi akan diumumkan sekitar 48 jam setelah waktu pemberian suara berakhir.
Dalam pemilu, Perdana Menteri Haider al Abadi harus menghadapi saingan kuat, yaitu pendahulunya, Nouri al Maliki. Selain itu, ia juga harus berkompetisi melawan Hadi al Amiri, yang mengepalai aliansi Fatah. Amiri dulu pernah menjabat menteri transpotasi dan komandan pasukan Syiah, Badr, yang berhubungan erat dengan Iran.
""Saya akan memberi tanda X pada kertas suara""
Jamal Mowasawi seorang pria 61 tahun yang berprofesi jadi penjagal mengatakan, ""Saya akan ikut pemilu, tapi akan memberi tanda X. Tidak ada keamanan, tidak ada pekerjaan, tidak ada pelayanan. Para calon hanya ingin menambah tebal sakunya, bukan menolong rakyat.""
Hazem al-Hassan, seorang penjual ikan berusia 50 tahun di Baghdad mengatakan, ""Wajah-wajahnya sama, programnya juga. Abadi adalah yang terbaik dari yang terburuk. Setidaknya saat ia memerintah kita terbebas dari ISIS.""
Pemerintah Berusaha Cegah Manipulasi
Sekitar 7.000 calon dari sejumlah partai politik mengincar kursi di parlemen yang berjumlah 329.
Pemberian suara dilakukan secara elektronis di TPS sebagai langkah untuk menekan manipulasi sebaik mungkin. Jumlah suara resmi akan diumumkan sekitar 48 jam setelah waktu pemberian suara berakhir.
Dalam Pemilu
Irak
kali ini, Perdana Menteri Haider al Abadi harus menghadapi saingan kuat, yaitu pendahulunya, Nouri al Maliki. Selain itu, ia juga harus berkompetisi melawan Hadi al Amiri, yang mengepalai aliansi Fatah. Amiri dulu pernah menjabat menteri transpotasi dan komandan pasukan Syiah, Badr, yang berhubungan erat dengan Iran.
Isu-isu mendasar dalam Pemilu
Irak
kali ini adalah: negara terus bergumul menghadapi kemerosotan ekonomi yang sebagian disulut jatuhnya harga minyak global, korupsi, divisi sektarian dan ketidakstabilan selama bertahun-tahun.
Negosiasi untuk membentuk pemerintahan kemungkinan akan berlangsung berbulan-bulan, karena sejumlah partai politik berusaha meracik koalisi agar mampu menduduki sebagian besar kursi di parlemen.
Saksikan videonya berikut ini:"
12 Mei 2018 20:51;PKPI Target Raih 5 Persen Suara diPemilu2019;https://www.liputan6.com/news/read/3523214/pkpi-target-raih-5-persen-suara-di-pemilu-2019;"Liputan6.com, Jakarta
Partai Keadilan dan Persatuan Indonesia (
PKPI
) menargetkan perolehan suara sebesar 5 persen di Pemilu 2019. Sekjen PKPI Imam Anshori Saleh mengungkapkan, pihaknya realistis dan tidak mau muluk-muluk soal target.
""Jika berhasil memperoleh 5 persen suara nasional itu sudah cukup bagus,"" ungkap Imam kepada
Liputan6.com
, Sabtu (12/5/2018).
Dia menyatakan, pembicaraan mengenai strategi meraih target tersebut akan dilakukan dalam Kongres Luar Biasa (KLB)
PKPI
pada 13-14 Mei 2018.
Advertisement
""(Di KLB) Kami akan bicara soal strategi dan target capaian dalam Pemilu 2019,"" katanya.
PKPI akan menggelar KLB di Jakarta pada Minggu besok. Selain membahas agenda politik 2019, PKPI akan mencari figur ketua umum baru menggantikan AM Hendropriyono yang mundur.
PKPI
Sempat dinyatakan tidak lolos pemilu 2019 oleh KPU. Namun, partai ini memenangkan gugatan di Pengadilan Tata Usaha Negara (PTUN) dan akhirnya berhak menjadi salah satu peserta pemilu dengan nomor urut 20.
Saksikan video pilihan di bawah ini:"
12 Mei 2018 13:28;Kepopuleran Rhoma Irama Jadi Modal PAN diPemilu2019;https://www.liputan6.com/news/read/3522901/kepopuleran-rhoma-irama-jadi-modal-pan-di-pemilu-2019;"Liputan6.com, Jakarta
Partai Islam Damai dan Aman (
Idaman
) resmi mendeklarasikan diri bergabung dengan Partai Amanat Nasional (PAN), Sabtu (12/5/2018). Deklarasi ditandai dengan pemukulan 12 gendang oleh Ketua Umum PAN Zulkifli Hasan, Ketua Umum Partai Idaman Rhoma Irama, Wakil Ketua Umum PAN Hanafi Rais, dan lainnya.
Zulkifli Hasan mengaku bahagia atas bergabungnya Partai Idaman ke partainya. Dia menyebut kepopuleran Rhoma Irama di akar rumput menjadi modal penting bagi PAN dan Idaman menggalang masyarakat.
BACA JUGA:
Melly Goeslaw hingga Rhoma Irama, 6 Artis Ini Berdukacita Setelah Acil Bimbo Meninggal Dunia
BACA JUGA:
Konser Dangdut Dangdutan Ayu Ting Ting Sukses Digelar, Hadirkan Andre Taulany Hingga Rhoma Irama
Baca Juga
Penyanyi Singapura Syahiran Rohajat Meniti Karier di Indonesia, Terinspiasi Rhoma Irama dan Repvblik
Rhoma Irama Minta Prabowo Segera Laksanakan Aspirasi Rakyat, Ingatkan DPR Jangan Hedon
Rhoma Irama Jadi Imam Salat Jumat Pestapora 2025, Bahas Pentingnya Memaafkan dan Mendoakan
""Itu penting. Tapi, lebih penting dari apa pun itu adalah kepercayaan yakni kepercayaan Partai Idaman, kepercayaan legenda musik Indonesia, memilih gabung
PAN
itulah yang tidak ternilai,"" kata Zulkifli dalam acara deklarasi di Kuningan Jakarta Selatan, Sabtu (12/5/2018).
Advertisement
Ketua MPR RI itu menegaskan bahwa pihaknya tidak ada transaksi apa pun dalam menerima kehadiran Partai Idaman ke partainya. Menurut dia, transaksinya adalah visi yang sama dalam membela rakyat, dan umat.
""Tidak ada transaksi apa pun. Tapi, keikhlasan dan ketulusan semata-mata untuk Indonesia yang lebih baik. Jadi, tidak ada biaya sama sekali. Kami tidak bicara, sudah terbukti, koalisi bersama
PAN
tidak ada transaksional,"" ujar pria yang akrab disapa Zulhas itu."
12 Mei 2018 06:48;KJRI Istanbul Jadi Tuan Rumah Sosialisasi 11 PanitiaPemiludi Luar Negeri;https://www.liputan6.com/global/read/3522522/kjri-istanbul-jadi-tuan-rumah-sosialisasi-11-panitia-pemilu-di-luar-negeri;"Liputan6.com, Istanbul -
Konsulat Jenderal RI Istanbul menjadi tuan rumah bagi acara ""Sosialisasi dan Bimbingan Teknis (Bimtek) Panitia Pemilihan Luar Negeri (PPLN) dan Data Pemilih Luar Negeri Pemilihan Umum Tahun 2019"" yang diselenggarakan oleh Komisi Pemilihan Umum (KPU) bagi 11 penyelenggara
pemilu
luar negeri atau PPLN.
Acara Bimtek tersebut dihadiri oleh 58 peserta dari berbagai instansi dan PPLN, yakni KPU, Pokja
Pemilu
Luar Negeri Kemlu, dan 11 PPLN dari Istanbul selaku tuan rumah, Ankara, Amman, Baghdad, Beirut, Damaskus, Islamabad, Khartoum, Manama, Nairobi, dan Tashkent.
BACA JUGA:
Indonesia Kirim Tim Esports MLBB dan Valorant ke CAEC 2025, Optimistis Bawa Pulang Gelar Juara
BACA JUGA:
Impor Karbondioksida ke Indonesia Harus Terdaftar
Baca Juga
Motorola Resmi Rilis Moto Pad 60 Pro di Indonesia, Harga Mulai Rp 6 Jutaan
Studi Ungkap Warga Indonesia Sering Tunda Berobat demi Keluarga dan Biaya
ZTE, MyRepublic, dan MetaX Kolaborasi Sediakan 90 Live TV Channels di Indonesia
Dalam acara Bimtek tersebut, Narasumber utama Komisioner KPU RI Evi Novida Ginting Manik terutama menyampaikan bahwa, ""Anggota PPLN saat bertugas di luar negeri hendaknya selalu berkoordinasi dengan Panitia Pengawas Pemilu setempat mengenai pendataan pemilih yang dilakukan oleh PPLN dan mekanisme pemutakhirannya.""
Advertisement
""Serta tidak kalah penting juga mengoptimalisasi upaya sosialisasi yang dilakukan dalam menjangkau masyarakat Indonesia di wilayahnya,"" lanjut Evi, seperti dikutip dari rilis KJRI Istanbul yang dimuat
Liputan6.com
(12/5/2018).
Muhammad K. Koba, Kepala Biro Umum Kementerian Luar Negeri selaku Narasumber juga menggarisbawahi bahwa Kemlu dan setiap Perwakilan RI siap mendukung misi KPU mensukseskan Pemilu Serentak 2019.
Tidak kalah pentingnya, ia juga berpesan bahwa setiap Anggota PPLN harus senantiasa menunjukkan sikap yang tekun dan teliti, berintegritas, dapat dipercaya (akuntabel) serta menjaga netralitas dalam menjalankan tugasnya sebagai penyelenggara
pemilu
.
Saksikan juga video pilihan berikut ini:"
10 Mei 2018 13:32;Najib Razak Terima HasilPemiluMalaysia, tapi...;https://www.liputan6.com/global/read/3520926/najib-razak-terima-hasil-pemilu-malaysia-tapi;"Liputan6.com, Kuala Lumpur -
Malaysia
menyambut era baru. Sepanjang hari kemarin, rakyat Malaysia dihadapkan pada salah satu pertempuran sengit di papan catur politik dalam negeri mereka.
Hasilnya, sungguh di luar dugaan. Belum pernah terjadi dalam sejarah Negeri Jiran, koalisi Barisan Nasional yang telah berkuasa sejak kemerdekaan
Malaysia
tahun 1957 dikalahkan.
BACA JUGA:
Mahathir Mohamad Kritik Malaysia Manut Saja Kena Tarif Impor Trump 19%
Di bawah kepemimpinan Mahathir Mohamad (92), oposisi Pakatan Harapan muncul sebagai pemenang pemilu Malaysia dengan perolehan mayoritas kursi parlemen.
Advertisement
Hasil penghitungan resmi yang dilansir
BBC
menunjukkan bahwa oposisi Pakatan Harapan berhasil mengamankan 113 dari 222 kursi parlemen yang diperebutkan. Jumlah tersebut cukup untuk bisa membentuk pemerintahan.
Kekalahan koalisi Barisan Nasional yang dipimpin Najib Razak (64) digambarkan sangat pahit. Karena dalam dua hari ke depan, partai utama di koalisi Barisan Nasional, United Malays National Organisation (UMNO) akan memperingati hari ulang tahun ke-72 dan 62 tahun berkuasa di pemerintahan.
Baca Juga
Kemenangan Mahathir Mohamad dalam Pemilu Malaysia Torehkan Sejarah
Rayakan Kemenangan Atas Nazi, Rusia Pamer Rudal dan Jet Tempur Baru
Menang, Mahathir Mohamad Kembali Jadi PM Malaysia di Usia 92 Tahun
Alih-alih berpesta, Najib kini justru harus mengakui kekalahannya.
""Saya menerima putusan rakyat,"" ujar Najib, seperti dilansir
Channel News Asia,
Kamis (10/5/2018), dalam pidato konsesinya di markas koalisi Barisan Nasional.
Najib digambarkan cukup tenang saat mengakui kekalahannya.
""Kami sudah melakukan yang terbaik. Kami bangga dengan apa yang sudah kami torehkan,"" tutur Najib, merujuk pada apa yang diklaimnya sebagai prestasi di bawah pemerintahannya selama sembilan tahun.
Najib mengklaim berhasil meningkatkan taraf hidup rakyat
Malaysia
, menciptakan lebih dari tiga juta lapangan pekerjaan, dan memacu perekonomian negara.
Saksikan video terkait pemilu Malaysia berikut ini:"
10 Mei 2018 12:03;Kemenangan Mahathir Mohamad dalamPemiluMalaysia Torehkan Sejarah;https://www.liputan6.com/global/read/3520865/kemenangan-mahathir-mohamad-dalam-pemilu-malaysia-torehkan-sejarah;"Liputan6.com, Kuala Lumpur -
Pasca-kemenangan mengejutkan dalam pemilu
Malaysia
2018, Mahathir Mohamad (92), mencatat sejarah sebagai pemimpin terpilih tertua di dunia, dan kelak ketika dilantik ia juga akan menjadi perdana menteri tertua di dunia.
Fakta penting lainnya terkait dengan pemilu
Malaysia
, yakni oposisi berhasil menumbangkan koalisi Barisan Nasional (BN) untuk pertama kalinya sejak kemerdekaan negara itu pada tahun 1957.
BACA JUGA:
China Pamer Senjata Canggih di Hadapan Para Pemimpin Dunia, Termasuk Prabowo
BACA JUGA:
Anwar Ibrahim Ajak Masyarakat Dunia Desak Israel Akhiri Kekejaman di Palestina
BACA JUGA:
Malaysia Gelar Doa Bersama untuk Rakyat Palestina di Dataran Merdeka
Seperti dikutip dari
BBC,
Kamis (10/5/2018), Mahathir yang memimpin Malaysia selama 22 tahun sebelum akhirnya pensiun pada 2003, kembali ke panggung politik untuk menantang mantan anak didiknya yang juga perdana menteri Malaysia saat ini, Najib Razak.
Advertisement
Najib tengah berada di pusaran skandal korupsi 1MDB.
1MDB adalah lembaga investasi yang didirikan pemerintah Negeri Jiran untuk memberikan manfaat pada rakyatnya. Gagasannya, 1MDB akan berinvestasi dalam sejumlah proyek di seluruh dunia, kemudian keuntungannya akan dikembalikan pada rakyat
Malaysia
.
Namun, dalam praktiknya, organisasi ini dituduh telah menyedot dana negara ke rekening pribadi PM Najib dan orang-orang dekatnya.
Baca Juga
Menang, Mahathir Mohamad Kembali Jadi PM Malaysia di Usia 92 Tahun
Koalisi Pimpinan Mahathir Mohamad Unggul Sementara di Pemilu Malaysia, Menang?
Pemilu Malaysia 2018, Politikus Dihantui Teror Telepon Berantai
Kini, Amerika Serikat dan sejumlah negara lainnya tengah menyelidiki dugaan penggelapan dan pencucian uang lintas batas terkait 1MDB.
Dalam upayanya melawan Najib, Mahathir menegaskan bahwa koalisi yang dipimpinnya ""akan memulihkan supremasi hukum"".
Hingga saat ini, Najib belum mengomentari respons atas kemenangan Mahathir.
Hasil penghitungan resmi menunjukkan bahwa oposisi Pakatan Harapan berhasil mengamankan 113 dari 222 kursi parlemen yang diperebutkan. Jumlah tersebut cukup untuk bisa membentuk pemerintahan.
Ketika mendeklarasikan kemenangannya di Kuala Lumpur, Mahathir mengatakan bahwa koalisinya mengamankan ""tidak hanya beberapa suara, tidak hanya beberapa kursi, melainkan mayoritas yang sangat substansial"".
Mahathir berharap, pelantikannya akan berlangsung pada hari Kamis dan akan ada libur selama dua hari.
""Tapi tidak akan ada libur bagi para pemenang.""
Para pendukung oposisi semalam tumpah ruah ke jalan-jalan untuk merayakan kemenangan.
""Saya merasa bahwa dengan perubahan ini kita mungkin dapat melihat sesuatu yang lebih baik di masa depan,"" kata Suva Selvan, seorang dokter berusia 48 tahun, kepada
AFP.
""Harapan kami untuk masa depan adalah pemerintahan yang lebih baik, adil, bebas dan bersatu.""
Saksikan video terkait pemilu Malaysia berikut ini:"
10 Mei 2018 02:53;Koalisi Pimpinan Mahathir Mohamad Unggul Sementara diPemiluMalaysia, Menang?;https://www.liputan6.com/global/read/3520659/koalisi-pimpinan-mahathir-mohamad-unggul-sementara-di-pemilu-malaysia-menang;"Liputan6.com, Kuala Lumpur -
Najib Razak menghadapi lawan kuat dalam
Pemilu Malaysia 2018
. Seterunya itu adalah Mahathir Mohamad, mantan mentornya sendiri. Hasil perhitungan sementara bahkan menunjukkan, kubu oposisi Pakatan Harapan unggul sementara dari Barisan Nasional yang kini berkuasa.
Seperti dikutip dari
Al Jazeera
, Kamis (10/5/2018) Komisi Pemilu menyebut, dari 176 kursi parlemen yang telah dihitung, Pakatan Harapan mendapatkan 90 kursi, sementara Barisan Nasional 69. Total, ada 222 kursi yang diperebutkam dua kubu serta partai-partai lainnya.
Meski perhitungan masih dilakukan alias belum final, Mahathir Mohamad yakin benar, koalisi yang dipimpinnya akan berjaya. Agar bisa dinyatakan sebagai pemenang, Pakatan Harapan harus mendapatkan 112 kursi di parlemen.
Advertisement
""Tampaknya kami telah mencapai angka itu. Perolehan Barisan Nasional jauh lebih sedikit,"" kata Mahathir. ""Tak mungkin mereka bisa menyusul.""
Hingga berita ini diturunkan, belum ada respons yang diberikan pihak Barisan Nasional -- yang memerintah Malaysia selama 60 tahun terakhir.
Para jurnalis berbondong-bondong menuju ke markas UMNO, partai kunci dalam koalisi Barisan Nasional. Namun,
Najib Razak
tak muncul. Para pewarta bahkan diminta angkat kaki.
Najib Razak, yang telah memerintah Malaysia selama hampir 10 tahun, sebagai perdana menteri, dijadwalkan akan menyampaikan pidato ke media pada pukul 11.00 waktu setempat.
Pemilu Malaysia 2018  adalah yang paling seru dan imbang dalam sejarah Malaya. Mahathir yang kini berusia 92 tahun bangkit dari masa pensiunnya untuk menghadapi mantan anak didiknya, Najib Razak, yang belakangan dikaitkan dengan kasus mega-korupsi 1MDB.
Sebelumnya, Mahathir menuduh Komisi Pemilihan sengaja menunda bahkan merahasiakan hasil perhitungan suara.
""Diduga ada beberapa tindakan menyimpang yang dilakukan untuk menggagalkan kehendak rakyat,"" kata Mahathir dalam konferensi pers yang digelar sesaat sebelum tengah malam.
Namun, pihak komisi membantah prasangka itu. Mereka berdalih tak bisa mengumumkan hasil pemilu sebelum melewati proses validasi.
""Saya berharap orang-orang dapat bersabar. Kami akan mencoba yang terbaik untuk mendapatkan informasi dari seluruh negeri,"" kata Ketua Komisi Pemilihan Malaysia Mohamed Hashim Abdullah.
""Tentu saja, semua partai bisa mengklaim kemenangan, tapi...tolong tunggu.""
Saksikan video menarik berikut ini:"
