Tanggal;Judul;URL;Isi Berita
14 Mar 2023 20:11;Survei PWS: Ganjar Pranowo Paling Difavoritkan Jadi Wakil Prabowo untukPilpres2024;https://www.liputan6.com/news/read/5233145/survei-pws-ganjar-pranowo-paling-difavoritkan-jadi-wakil-prabowo-untuk-pilpres-2024;"Liputan6.com, Jakarta -
Lembaga survei Political Weather Stations (PWS) merilis hasil survei terbarunya, soal simulasi pasangan calon presiden
(capres)
dan calon wakil presiden (cawapres) yang difavoritkan publik.
Hasilnya, pasangan Prabowo Subianto-
Ganjar Pranowo
menjadi yang paling banyak dipilih dan berpotensi besar membuat pemilihan presiden (Pilpres) 2024 cukup satu putaran.
“Pasangan Prabowo-Ganjar bahkan jauh lebih difavoritkan publik daripada pasangan Ganjar Pranowo-Erick Thohir yang akhir-akhir ini banyak dibicarakan,” tulis Peneliti Senior PWS, Sharazani MA dalam keterangan diterima, Selasa (14/3/2023).
Advertisement
Sharazani menjelaskan, dalam survei kali ini PWS membuat beberapa simulasi pasangan capres-cawapres. Pertama-tama dibuat simulasi siapakah cawapres yang dinilai cocok mendampingi tiga capres papan atas yakni
Prabowo Subianto
, Ganjar dan Anies. Kemudian PWS membuat simulasi apabila capres diikuti tiga pasang kandidat.
“Kami bertanya siapakah yang menjadi favorit publik. Selain itu PWS juga membuat analisis secara cross-tabulation untuk mengetahui kemana arah dukungan partai-partai politik terhadap tiga pasangan capres-cawapres yang disimulasikan PWS,” urai dia.
Hasilnya, dari dari sejumlah nama yang diajukan oleh PWS kepada responden dan menanyakan kepada mereka siapakah yang paling cocok menjadi wakil dari pendamping Prabowo Subianto, sebanyak 24,5% publik menyebut nama Ganjar Pranowo. Setelah itu muncul nama Ridwan Kamil (15,6%), Sandiaga Uno (12,8%), Erick Thohir (11,2%) dan Khofifah (10,1%).
“Ketua Umum PKB Muhaimin Iskandar dan politisi senior PDI Perjuangan Puan Maharani hanya disebut oleh kurang 2% responden,” tutur Sharazani."
14 Mar 2023 17:04;Erick Thohir Dinilai Membawa Kontribusi Elektoral untuk Ganjar diPilpres2024;https://www.liputan6.com/news/read/5233009/erick-thohir-dinilai-membawa-kontribusi-elektoral-untuk-ganjar-di-pilpres-2024;"Liputan6.com, Jakarta -
Menteri BUMN Erick Thohir dinilai oleh Direktur Eksekutif Indonesia Political Opinion (IPO) Dedi Kurnia Syah memiliki modal kuat untuk diusung sebagai calon wakil presiden (cawapres) di pemilihan presiden atau
Pilpres 2024
mendatang. Pasalnya, modal kuat menteri terbaik dan andalan Presiden Joko Widodo (Jokowi) ini mampu menguatkan elektabilitas yang dimiliki oleh pasangannya.
Pasangan ini termasuk calon presiden (capres) potensial yakni Gubernur Jawa Tengah (Jateng) Ganjar Pranowo. Hal ini terbukti dari hasil survei terbaru yang dikeluarkan oleh IPO.
BACA JUGA:
Erick Thohir Resmi Sertijab Menpora RI
BACA JUGA:
Top 3 Berita Bola: Piala Presiden 2026 Takkan Melibatkan Klub-Klub BRI Super League
Baca Juga
Kata-Kata Dito Ariotedjo usai Serahkan Jabatan Menpora RI ke Erick Thohir
Usai Sertijab Menpora, Erick Thohir Jamin Bakal Adil ke Semua Cabor
Kata Anggota Komisi VI DPR Herman Khaeron soal Kabar Kementerian BUMN Bakal Dihapus dan Ganti jadi Badan
“
Erick Thohir
akan cukup baik memperkuat siapa pun yang akan dipasangkan,” terang Dedi di Jakarta, Selasa (14/3/2023).
Advertisement
Hasil survei menunjukkan duet Ganjar Pranowo – Erick Thohir mampu unggul dari para pesaingnya dan keluar menjadi juara di simulasi Pilpres 2024. Duet kepala daerah dan menteri tersebut mampu mengungguli pasangan lainnya yakni duet Prabowo Subianto – Muhaimin Iskandar dan Airlangga Hartarto – Ridwan Kamil.
Dari hasil survei IPO duet Ganjar Pranowo – Erick Thohir mendapatkan elektabilitas sebesar 36,8 persen. Sedangkan pesaingnya hanya memiliki elektabilitas sebesar 31,5 persen dan 19,4 persen.
Berbeda ketika Ganjar Pranowo dipasangkan dengan sosok lainnya seperti Ketum Golkar Airlangga Hartarto dan Ketua DPR RI Puan Maharani. Ketika orang nomor satu di Jawa Tengah (Jateng) Tersebut dipasangkan dengan Airlangga ataupun Puan, justru terjadi penurunan elektabilitas.
Di mana elektabilitas
Ganjar Pranowo
– Airlangga hanya di angka 28,9 persen. Sedangkan ketika dipasangkan dengan Puan, elektabilitasnya menurun jauh yakni hingga angka 21,9 persen."
14 Mar 2023 16:25;Relawan Jawara Prabowo-Sandi 2019 Alih Dukung Erick Thohir Maju diPilpres2024;https://www.liputan6.com/pemilu/read/5232902/relawan-jawara-prabowo-sandi-2019-alih-dukung-erick-thohir-maju-di-pilpres-2024;"Liputan6.com, Jakarta -
Ratusan
Relawan Jawara
Prabowo-Sandi 2019 Provinsi Banten resmi mendeklarasikan dukungan kepada Menteri BUMN Erick Thohir untuk maju pada Pilpres 2024. Erick Thohir dinilai sosok yang mampu menjadi harapan baru pendorong kemajuan bangsa ke depan.
“Kami Jawara Prabowo-Sandi 2019 Banten berikrar memberikan dukungan kepada Bapak Erick Thohir, agar berkenan maju pada
Pilpres 2024
,"" kata eks Relawan Jawara Prabowo-Sandi 2019 Abdurrahman, Selasa (14/3/2023).
Dia mengatakan dukungan penuh bakal diberikan relawan kepada
Erick Thohir
untuk ikut bertarung pada Pilpres mendatang. Erick Thohir menjadi sosok yang tepat lantaran punya kerja cepat.
Advertisement
""Sosok pemimpin seperti ini hanya kita temukan pada sosok Bapak Erick Thohir,"" jelas Abdurrahman.
Setiap tugas yang diamanahkan, dia mengatakan, mampu dengan baik dituntaskan Erick Thohir. Terlebih Erick Thohir selalu mengedepankan kepentingan masyarakat secara untuk mewujudkan kemaslahatan bersama.
""Kita dan masyarakat di seluruh Indonesia, khususnya Banten, membutuhkan pemimpin yang mampu bekerja cepat untuk rakyat,"" ucap Abdurrahman."
14 Mar 2023 13:10;Wacana Duet Prabowo-Ganjar diPilpres, Gerindra: Itu Hadir karena Ada Dorongan Masyarakat;https://www.liputan6.com/news/read/5232625/wacana-duet-prabowo-ganjar-di-pilpres-gerindra-itu-hadir-karena-ada-dorongan-masyarakat;"Liputan6.com, Jakarta -
Wakil Ketua Umum Partai Gerindra Budi Djiwandowo menyatakan wacana duet
Prabowo
Subianto-Ganjar Pranowo hadir karena ada dorongan dari masyarakat.
“Itu kan terjadi karena pembicaraan
masyarakat
juga. Minggu lalu ada kunjugan bareng,” kata Budi dalam keterangannya, Selasa (14/3/2023).
BACA JUGA:
Reshuffle Prabowo: Daftar Lengkap Menteri dan Wamen Baru, Erick Thohir Menpora
BACA JUGA:
Reaksi Menko Polkam Jenderal TNI Djamari Ditanya Pergantian Kapolri Listyo
Baca Juga
Di balik Pemberian Jenderal Kehormatan Djamari & Dofiri: Prabowo Mendengar Banyak Sumber
Jadi Kepala KSP, Qodari Beberkan Target yang Ingin Dicapainya
Istana Jelaskan soal Badan Komunikasi Pemerintah, Pengganti dari PCO
Budi menyebut pihaknya masih harus melihat perkembangan politik ke depan sebelum memutuskan pasangan calon capres-cawapres.
Advertisement
“Ya kita akan lihat ke depan itu nanti seperti apa, kan pendaftaran
capres
cawapres itu akan final pas mereka mendaftarkan ke KPU,” kata Budi.
Budi menegaskan, saat ini pihaknya komitmen untuk bekerjasama dengan PKB.
“Kerja sama politik itu saya ingatkan kembali bahwa mengenai capres dan cawapres itu akan ditentukan oleh Pak Prabowo dan pak muhaimin iskandar. Saya rasa Pak Muhaimin iskandar adalah calon terkuat untuk menjadi pendamping Pak Prabowo,” kata dia."
14 Mar 2023 09:02;Infografis Wacana Duet Prabowo Subianto dan Ganjar Pranowo diPilpres2024;https://www.liputan6.com/news/read/5232157/infografis-wacana-duet-prabowo-subianto-dan-ganjar-pranowo-di-pilpres-2024;"Liputan6.com, Jakarta -
Dua tokoh yang mempunyai elektabilitas tinggi bertemu. Menteri Pertahanan Prabowo Subianto dan Gubernur Jawa Tengah Ganjar Pranowo tampil bersama saat mendampingi Presiden Joko Widodo atau
Jokowi
dalam agenda panen raya di Desa Lejer, Kecamatan Ambal, Kabupaten Kebumen, Kamis 9 Maret 2023.
Dari rangkaian foto yang dibagikan Sekretariat Presiden, ketiga tokoh itu tampak menghampiri para petani yang siap memanen padi. Di sela-sela panen raya, Presiden Jokowi
selfie
atau swafoto bersama
Prabowo Subianto
dan Ganjar Pranowo.
BACA JUGA:
Infografis Daftar Reshuffle Menteri dan Wamen Baru Kabinet Merah Putih
BACA JUGA:
Infografis Kucuran Dana Rp 200 Triliun untuk Bank BUMN
BACA JUGA:
Infografis 8 Paket Ekonomi Baru Ala Prabowo
Advertisement
Baca Juga
Jokowi Buka Suara Soal Isu Jodohkan Ganjar dan Prabowo saat Momentum Panen Raya di Kebumen
Muncul Wacana Duet Maut Prabowo-Ganjar, Hasto Tegaskan Capres PDI-P dari Kader Sendiri
Gerindra Wacanakan Duet Prabowo-Ganjar di Pilpres 2024, PKB Ingatkan 2 Syarat
Foto yang dibagikan Sekretariat Presiden itu kemudian menguatkan wacana duet Prabowo dan Ganjar di Pemilu Presiden atau
Pilpres 2024
. Beragam tanggapan pun datang dari kalangan partai politik atau parpol, termasuk sejumlah pengamat.
Terkait hal itu, pihak istana menjelaskan alasan Presiden Jokowi mengajak Prabowo Subianto saat blusukan ke Jawa Tengah atau Jateng.
Prabowo
diajak Jokowi, karena juga punya agenda kerja di Magelang.
Menurut Deputi Bidang Protokol, Pers, dan Media
Sekretariat Presiden
, Bey Triadi Machmudin, Presiden Jokowi juga ingin Prabowo melihat langsung masalah yang dihadapi petani.
""Presiden ingin agar Pak Prabowo memahami masalah-masalah di lapangan yang dihadapi petani. Hal ini perlu diketahui Pak Prabowo mengingat Beliau juga diberi tugas menangani
Food Estate
(Program Pengembangan Pangan) di Kalimantan Tengah,""
Bey Triadi Machmudin
menjelaskan.
Adapun
Gubernur Ganjar Pranowo
menjelaskan, saat itu dia mendampingi Presiden Jokowi melihat panen padi. Sebab, Jokowi perhatian terhadap harga gabah yang mulai turun, hal itu berdampak untung kepada petani.
""Itu di balik cerita foto,"" kata politikus Partai Demokrasi Indonesia Perjuangan atau
PDIP
tersebut.
Bagaimana hasil 4 suvei terbaru elektabilitas duet Prabowo Subianto dan Ganjar Pranowo? Bagaimana pula ragam tanggapan wacana duet Prabowo-Ganjar di Pilpres 2024? Simak dalam rangkaian
Infografis
berikut ini:"
14 Mar 2023 00:00;HEADLINE: Wacana Duet Prabowo Subianto dan Ganjar Pranowo diPilpres2024, Prediksinya?;https://www.liputan6.com/news/read/5231894/headline-wacana-duet-prabowo-subianto-dan-ganjar-pranowo-di-pilpres-2024-prediksinya;"Liputan6.com, Jakarta -
Wacana duet Ketua Umum (Ketum) Partai Gerindra
Prabowo Subianto
dan Gubernur Jawa Tengah Ganjar Pranowo mencuat dan ramai diperbincangkan publik setelah keduanya menunjukkan keakrabannya saat mendampingi Presiden Joko Widodo (Jokowi) di Jawa Tengah.
Berdasarkan foto yang dibagikan Sekretariat Presiden, Kamis 9 Maret 2023, keakraban itu terjadi saat
Jokowi
meninjau lokasi panen raya padi di Desa Lajer, Kecamatan Ambal, Kabupaten Kebumen, Provinsi Jawa Tengah.
BACA JUGA:
Jadi Kepala KSP, Qodari Beberkan Target yang Ingin Dicapainya
BACA JUGA:
Mensesneg Beberkan Beban Berat Erick Thohir Jadi Menpora dan Target dari Prabowo
BACA JUGA:
Istana Jelaskan soal Badan Komunikasi Pemerintah, Pengganti dari PCO
BACA JUGA:
Reshuffle Prabowo: Daftar Lengkap Menteri dan Wamen Baru, Erick Thohir Menpora
Baca Juga
Di balik Pemberian Jenderal Kehormatan Djamari & Dofiri: Prabowo Mendengar Banyak Sumber
ISDS Ungkap Kedekatan Prabowo dan Djamari Chaniago, Singgung Senioritas Militer
Pilihan Tepat Presiden Prabowo: Erick Thohir Angkat Derajat Pemuda dan Olahraga
Ketiganya bahkan sempat melakukan swafoto bersama dengan para petani di areal persawahan. Raut wajah para petani pun senang saat berfoto bersama mereka. Namun sesekali mereka juga nampak terlihat berbicara serius.
Advertisement
Momen keakraban tersebut, lantas kemudian memantik berbagai tafsir soal kedekatan antara Prabowo Subianto dengan
Ganjar Pranowo
, Tak sedikit yang beranggapan bahwa hal itu juga berkaitan dengan proses politik untuk menuju Pemilu 2024 mendatang.
Peneliti Senior Populi Center, Usep S Ahyar berpandangan bahwa momentum keakraban antara Prabowo Subianto dan Ganjar Pranowo bersama Presiden Jokowi menjadi pertanda untuk Pemilu 2024.
Menurut Usep, momentum tersebut bisa dibaca sebagai kode keras Jokowi untuk menyandingkan Prabowo Subianto dengan Ganjar Pranowo untuk menjadi pasangan pada
Pilpres 2024
mendatang.
""Seperti yang kita ketahui, dalam berbagai kesempatan, Pak Jokowi selalu memberikan isyarat atau kode-kode politik terhadap Ganjar dan Prabowo. Jadi saya kira, hal ini juga bisa kita baca sebagai kode keras Jokowi terhadap Ganjar, bahwa Ganjar bisa dipasangkan dengan Prabowo,"" kata Usep kepada
Liputan6.com
, Senin (13/3/2023).
Hal itu, kata Usep, juga dapat dimaknai sebagai sinyal antisipasi atau kode Jokowi bahwa Ganjar apabila tidak dicalonkan oleh PDIP, bisa dipasangkan dengan Prabowo sebagai Calon Wakil Presiden (Cawapres).
""Ganjar apabila tidak dicalonkan oleh PDIP, Ganjar bisa dicalonkan oleh partai lain salah satunya dengan Prabowo ini, maka saya kira PDIP akan rugi jika tidak menyalonkan Ganjar,"" ujarnya.
Adapun terkait komposisi keduanya, Usep menilai baik Prabowo maupun Ganjar memiliki kans yang sama untuk menjadi Calon Presiden (Capres) maupun Calon Wakil Presiden (Cawapres) jika diduetkan, hal itu tergantung bagaimana sikap partai masing-masing khususnya sikap PDIP terhadap Ganjar sendiri.
""Jika keduanya benar dipasangkan, Ganjar bisa saja jadi Capres apabila PDIP yang mengusung, karena PDIP memiliki posisi tawar yang lebih tinggi. Namun, jika Gerindra yang mengusung maka itu sebaliknya, Prabowo-lah yang memiliki posisi tawar yang tinggi walaupun elektabilitas Ganjar lebih tinggi,"" kata dia.
Usep menuturkan, tidak menutup kemungkinan juga bahwa Prabowo bisa menjadi Cawapres dari Ganjar. Mengingat, dalam praktiknya Prabowo sendiri memiliki pengalaman sebagai Cawapres Megawati di masa lampau, pun juga menjadi menteri di Kabinet Jokowi saat ini.
""Secara logis pak Prabowo dalam praktiknya saat ini, beliau menjabat sebagai menteri saja mau apalagi jika sebagai
Cawapres
, ditambah di masa lalu dia juga pernah menjadi Cawapresnya ibu Mega, jadi kemungkinan itu pastinya ada,"" Usep menandaskan."
13 Mar 2023 19:33;Kamil Tegaskan Tak MajuPilpres2024:  Saya Taat Aturan Partai Golkar Dukung Pak Airlangga;https://www.liputan6.com/news/read/5232008/ridwan-kamil-tegaskan-tak-maju-pilpres-2024-saya-taat-aturan-partai-golkar-dukung-pak-airlangga;"Liputan6.com, Jakarta
Gubernur Jawa Barat Ridwan Kamil mengatakan dirinya mendukung penuh Ketua Umum (Ketum) Partai Golkar
Airlangga Hartarto
maju sebagai calon presiden (capres) di pemilihan presiden (Pilpres) 2024. Ini disampaikan Ridwan Kamil meski mendapati dirinya juga unggul di beberapa lembaga survei.
Hal ini disampaikan Ridwan Kamil ditemui usai menjadi narasumber dalam  kegiatan kuliah umum bertajuk Kepemimpinan Transformatif yang Berbasis Karya di
Golkar
Institute, Palmerah, Jakarta Barat, Senin (13/3/2023).
BACA JUGA:
Lisa Mariana Akui Terima Uang dari Ridwan Kamil: Tapi Saya Tidak Tahu Aliran Itu dari Bank BJB
BACA JUGA:
Sambil Genggam Tangan Seorang Pria, Lisa Mariana Penuhi Panggilan Bareskrim Polri
Baca Juga
KPK Respons Potensi Lisa Mariana Jadi Tersangka Usai Akui Terima Uang dari RK Diduga dari Kasus BJB
Ridwan Kamil Tolak Permintaan Lisa Mariana Tes DNA Ulang di Singapura, Beri Alasan Ini
Ngotot Ada Kemiripan, Lisa Mariana Tantang Ridwan Kamil Berani Tes DNA Ulang
""Kalau sudah urusan Pilpres, ikuti yang sudah diputuskan oleh rumah saya yang baru Partai Golkar yaitu pak Airlangga. Saya mendukung Pak Airlangga sebagai Capres Golkar,"" kata Ridwan Kamil.
Advertisement
""Bahwa survei saya ada yang dikutip di mana-mana tidak bisa dihindari tapi saya taat pada aturan yang ada di rumah baru saya Partai Golkar,"" sambung dia.
Perihal patuh aturan Partai Golkar tersebut, dia pun mengaku telah berkomunikasi secara langsung dengan
Airlangga
. Selain itu, pria yang akrab disapa Kang Emil ini menilai Partai Golkar sebagai salah satu partai politik terkuat di tanah air.
""Iya sama saya bilang Pak Airlangga saya dukung, saya ke sini alasan tiga tadi ya melakukan partai karena punya tiga nilai, satu kontestasi, dua pelayan publik, Golkar kuat juga dan ini yang paling karena Golkar punya Golkar Institute,"" kata dia.
Oleh sebab itu, RK menyatakan bakal berfokus pada pemilihan kepala daerah (Pilkada) Jawa Barat (Jabar) untuk pemilihan gubernur (Pilgub) Jabar 2024 mendatang.
""Tapi yang pasti fokus pada yang paling ada di depan mata yaitu Pilgub Jabar di periode kedua,"" kata
Ridwan Kamil
."
13 Mar 2023 15:45;Gerindra Wacanakan Duet Prabowo-Ganjar diPilpres2024, PKB Ingatkan 2 Syarat;https://www.liputan6.com/news/read/5231811/gerindra-wacanakan-duet-prabowo-ganjar-di-pilpres-2024-pkb-ingatkan-2-syarat;"Liputan6.com, Jakarta
Partai Kebangkitan Bangsa (
PKB
) menyatakan belum menerima secara resmi wacana Partai
Gerindra
menduetkan
Prabowo-Ganjar
pada Pilpres 2024.
Sebelumnya, Wakil Ketua Dewan Pembina Gerindra Hashim Djojohadikusumo membuka peluang Gubernur Jawa Tengah menjadi calon wakil presiden dari Ketua Umum Gerindra Prabowo Subianto. Peluang duet Prabowo dan Ganjar terbuka asal posisi calon presiden untuk Prabowo.
BACA JUGA:
Gempar Indonesia Harap Gerindra Tolak Pengunduran Diri Rahayu Saraswati dari DPR: Dia Suara Generasi Muda di Parlemen
BACA JUGA:
Prabowo Pastikan Bakal Ada 165 Sekolah Rakyat Lagi yang Akan Diresmikan: Insyaallah Oktober
Baca Juga
Kelakar Pigai Teriak Bikin DPR Meriah, Ngaku Kader Gerindra Tapi Kok Enggak Punya KTA?
Ida Fauziyah Dukung Rahayu Saraswati Tetap di DPR: Dia Aktif Perangi Perdagangan Manusia
Gerindra Sebut Tak Ada yang Salah Kinerja Pemerintah Diputar di Bioskop: Video Itu Bagus
PKB melihat wacana duet Prabowo-Ganjar hanya opsi-opsi yang ditawarkan dalam dinamika politik jelang
Pilpres 2024
.
Advertisement
""Sampai hari ini opsi yang disampaikan Pak Hashim belum secara resmi disampaikan ke Gus Muhaimin,"" ujar Wasekjen PKB Syaiful Huda kepada wartawan, Senin (13/3/2023).
PKB menyoroti syarat Prabowo diduetkan dengan Ganjar yaitu, Prabowo harus sebagai calon presiden, dan harus disepakati oleh Ketua Umum PKB Muhaimin Iskandar. Sehingga duet Prabowo-Ganjar belum final.
""Artinya, kalau dua syarat ini tidak bisa terpenuhi, ya bubar dengan sendirinya,"" kata Huda.
Untuk syarat Prabowo sebagai calon presiden, Huda mengatakan, Menteri Pertahanan itu harus negosiasi dengan Ganjar. Sebab, politikus PDIP itu selama ini digadang-gadang sebagai calon presiden.
Syarat kedua, lanjut Huda, harus ada persetujuan Cak Imin. Dalam konteks pencapresan, PKB memiliki keputusan dalam Muktamar untuk mendorong Cak Imin maju sebagai calon presiden atau calon wakil presiden di Pilpres 2024.
""Bagi kami, ketika mendorong koalisi PKB Gerindra, syaratnya ini bagian dari skenario PKB untuk mencapres dan mencawapreskan Cak Imin. Tentu tidak mudah itu. Kompromikan dua syarat yang disampaikan Pak Hashim, masih butuh waktu lah,"" ujar Huda.
Namun, Huda yakin, pada waktunya Prabowo dan Cak Imin akan membahas pencalonan presiden dari koalisi Gerindra-PKB. Termasuk peluang duet Prabowo-Ganjar akan dibahas satu meja.
""Secara resmi belum disampaikan dalam satu meja dengan Pak Prabowo dan Gus Muhaimin. Tapi kita hormati opsi-opsi itu dan hasilnya kembali kepada keputusan beliau,"" ujar Huda."
12 Mar 2023 18:47;Cak Imin Bertemu dengan Prabowo, Didoakan MenangPilpres2024;https://www.liputan6.com/news/read/5231034/cak-imin-bertemu-dengan-prabowo-didoakan-menang-pilpres-2024;"Liputan6.com, Jakarta -
Ketua Umum Partai Gerindra Prabowo Subianto dan Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar atau Cak Imin bertemu di pernikahan putra dari ulama kharismatik dan tokoh Nahdlatul Ulama di Jawa Timur, KH Agoes Ali Masyhuri.
Cak Imin
mengaku turut dijodohkan dengan Prabowo untuk maju di Pilpres 2024 oleh pengasuh Ponpes Bumi Shalawat, Sidoarjo, Jawa Timur tersebut.
""Kyai Agoes Ali Masyhuri, karena kecerdasan beliau dan langkah beliau yang selalu lincah, banyak orang memanggil beliau dengan Gus Ali. Hari ini beliau menikahkan putra terakhir Gus Burhan dan mengundang saya dan Pak
Prabowo
,"" ujar Cak Imin melalui akun Instagramnya, Minggu (12/3).
BACA JUGA:
Sekjen PKB Raih Gelar Doktor, Cak Imin Beri Pesan Khusus
BACA JUGA:
Cak Imin: Beda Pendapat Wajar, Asal Jangan Mudah Terpecah
Baca Juga
Farida Farichah Dilantik Jadi Wamen, Cak Imin Girang PKB Dapat Tambahan Kursi
Cak Imin: PKB Lahir dari Rakyat, Maka Setiap Perjuangan Harus Berpihak ke Rakyat
Karding Diisukan Dicopot Prabowo Imbas Main Domino, Cak Imin: Saya Enggak Tahu
""Sejak awal beliau berpesan harus datang karena akan menikahkan 2 pasangan. Ternyata pasangan yang kedua yang dimaksud adalah Pak Prabowo dan saya,"" jelasnya.
Advertisement
Menurut Cak Imin, Gus Ali yakin duetnya dengan
Prabowo Subianto
bisa menang di Pilpres 2024. Gus Ali juga akan bergerak memenangkan duet Prabowo-Cak Imin.
""Kepada Pak Prabowo dan saya, Gus Ali meyakinkan bahwa duet ini akan menang Pilpres 2024, bahkan beliau yang akan bergerak sendiri usaha lahiriyah maupun batiniyah,"" kata Cak Imin.
Cak Imin juga dititipkan pesan bahwa koalisi PKB dan Gerindra akan membawa kebaikan untuk bangsa. Ia yakin koalisi ini bisa menang di
Pilpres 2024
.
""Beliau meyakinkan kepada kita bahwa PKB dan Gerindra akan maslahah untuk umat dan bangsa,"" kata Wakil Ketua DPR RI ini.
""Di Pesantren Bumi Sholawat ini kami didoakan khusus untuk menang 2024,"" tandas Cak Imin."
12 Mar 2023 12:35;Selalu Unggul, Erick Thohir Pasangan Terbaik Dampingi Ganjar Pranowo diPilpres2024 Versi IPO;https://www.liputan6.com/pemilu/read/2636184/selalu-unggul-erick-thohir-pasangan-terbaik-dampingi-ganjar-pranowo-di-pilpres-2024-versi-ipo;"Liputan6.com, Jakarta -
Menteri BUMN Erick Thohir menjadi kandidat calon wakil presiden (cawapres) terbaik bagi Gubernur Jawa Tengah
Ganjar Pranowo
di Pemilihan Presiden (Pilpres) 2024 mendatang versi survei Indonesia Political Opinion (IPO).
BACA JUGA:
Erick Thohir Resmi Sertijab Menpora RI
BACA JUGA:
Top 3 Berita Bola: Piala Presiden 2026 Takkan Melibatkan Klub-Klub BRI Super League
Baca Juga
Kata-Kata Dito Ariotedjo usai Serahkan Jabatan Menpora RI ke Erick Thohir
Usai Sertijab Menpora, Erick Thohir Jamin Bakal Adil ke Semua Cabor
Kata Anggota Komisi VI DPR Herman Khaeron soal Kabar Kementerian BUMN Bakal Dihapus dan Ganti jadi Badan
Pasalnya, Ganjar mampu mengalahkan para pesaingnya ketika berpasangan dengan Erick Thohir.
Advertisement
""Ketika dipasangkan, duet
Ganjar-Erick
berhasil menang dalam simulasi Pilpres 2024 versi IPO. Duet kepala daerah dan menteri memiliki elektabilitas tertinggi di angka 36,8 persen,"" kata Direktur Eksekutif IPO, Dedi Kurnia Syah dalam keterangan tertulis.
Sedangkan pesaingnya yakni pasangan Prabowo Subianto – Muhaimin Iskandar dan Airlangga Hartarto – Ridwan Kamil berada di posisi kedua dan ketiga. Pasangan tersebut masing-masing hanya mendapatkan elektabilitas sebesar 31,5 persen dan 19,4 persen.
Kemudian sisanya yakni 12,3 persen memutuskan tidak menjawab atau tidak tahu.
Penurunan elektabilitas terjadi ketika Ganjar dipasangkan dengan kandidat lain. Seperti halnya ketika Ganjar dipasangkan dengan Airlangga. Duet kepala daerah dan ketum partai ini harus puas dengan elektabilitas hanya sebesar 28,9 persen.
Tak hanya itu, ketika Ganjar dipasangkan dengan putri mahkota PDI Perjuangan yakni Puan Maharani pun terjadi penurunan elektabilitas. Bahkan penurunan elektabilitas terjadi sangat signifikan dan duet tersebut harus puas di posisi ketiga.
Berdasarkan temuan IPO, duet Ganjar-Puan berada di posisi ketiga dan harus puas dengan angka elektabilitas sebesar 21,9 persen.
Karenanya,
Erick Thohir
menjadi pasangan terbaik untuk disandingkan dengan Ganjar jika ingin memenangkan Pilpres 2024 mendatang."
