Tanggal;Judul;URL;Isi Berita
17 Mei 2018 13:42;SandiagaMinta RT Perhatikan Warga yang Baru Pulang dari Suriah;https://www.liputan6.com/news/read/3528806/sandiaga-minta-rt-perhatikan-warga-yang-baru-pulang-dari-suriah;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta
Sandiaga Uno
mengatakan pemprov tengah memperbarui data-data warga DKI Jakarta. Data-data itu termasuk data warga yang baru saja kembali dari Suriah.
""Data-data yang paling kita tunggu yaitu data warga yang baru pulang dari Suriah,"" kata Sandiaga di Balai Kota Jakarta, Kamis (17/5/2018).
Baca Juga
Janji Manis Trump ke Suriah Berubah Jadi Tarif Tertinggi di Dunia, Ini Kisahnya
Sandiaga meminta Ketua RT, RW, dan Lembaga Masyarakat Kelurahan (LMK) untuk mengawasi atau memberi perhatian khusus pergerakan warga yang baru pulang dari Suriah. Ini guna meningkatkan kewaspadaan usai rangkaian teror di Depok, Surabaya, Sidoarjo dan Riau.
Advertisement
""Harus diberikan perhatian khusus tanpa mendiskriminasi,"" ucap
Sandiaga Uno
.
Pemprov DKI tengah menyandingkan data-data penduduk DKI dengan data yang dimiliki kepolisian. Selain itu, pemprov akan melengkapi data-data di Dukcapil dan Jakarta Smart City, dengan
face recognation
.
""Ini untuk memastikan wilayah ter-
update
dengan data-data terbaru agar dapat dianalisis sehingga kita ada pola
predictive policy
,"" kata
Sandiaga Uno
."
17 Mei 2018 13:20;Lepas Saham Perusahaan Bir,Sandiaga: Kita Ingin Deviden Halalan Toyiban;https://www.liputan6.com/news/read/3528746/lepas-saham-perusahaan-bir-sandiaga-kita-ingin-deviden-halalan-toyiban;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta Sandiaga Uno menanggapi pernyataan Ketua DPRD DKI Prasetio Edi Marsudi yang menyayangkan Pemprov menjual saham di perusahaan
bir
PT Delta Jakarta tanpa pembahasan sebelumnya. Menurut Sandiaga, Pemprov DKI ingin mendapat deviden atau pendapatan yang halal.
""Kita ingin tentunya kita mendapatkan deviden yang
halalan toyiban
,"" kata Sandiaga di Balai Kota Jakarta, Kamis (17/5/2018).
Baca Juga
Cuma Minum Bir Selama Sebulan, Pria di Thailand Ditemukan Tewas
Viral Ada Bagi-Bagi Bir Gratis Acara Lari di Bandung, Ini Kata Wali Kota Farhan
Menurut Sandiaga, meski PT Delta selalu menyetor deviden puluhan miliar, pemasukan itu masih di bawah target.
Advertisement
""Saya ingin bicara sama Pak Pras (Prasetio Edi Marsudi). Tapi Pak Pras belum ada
diteleponin
enggak masuk-masuk. Saya ingin jelaskan bahwa deviden yang diterima terakhir Rp 38 miliar, sedangkan nilai yang saya bidik di atas 1 triliun. Perlu waktu sekitar 50 tahun untuk kita mencapai angka 1 triliun itu,"" Sandi menjelaskan.
Dengan melepas 26,25 persen saham PT Delta, maka baik perusahaan bir tersebut maupun DKI mendapat keuntungan. Pertama perusahaan
bir
itu dapat melakukan ekspansi.
""Kita sampaikan kejelasan dengan ini mereka bisa ekspansi dan menciptakan lapangan kerja itu,"" kata Sandi.
Sedangkan, Pemprov DKI mendapat dana segar Rp 1 triliun dari penjualan saham perusahaan
bir
dan dana itu akan digunakan untuk membangun sekitar 60 sekolah dan membuka lapangan kerja.
""Bisa langsung dirasakan masyarakat. Kalau di atas Rp 1 triliun itu bisa membangun 60 gedung sekolah atau melakukan rehab 60 gedung sekolah, bisa membangun 1 atau 2 sekolah taraf internasional, bisa membuka lapangan kerja dengan menghasilkan lokasi menampung PKL, kalau kita lihat
skybridge
Rp 25 miliar, bisa membangun berapa
skybridge
itu,"" Sandiaga menandaskan.
Saksikan video pilihan di bawah ini:"
17 Mei 2018 12:13;SandiagaLuncurkan Aplikasi Parkir Online LAPAKO, Apa Itu?;https://www.liputan6.com/news/read/3528650/sandiaga-luncurkan-aplikasi-parkir-online-lapako-apa-itu;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta,
Sandiaga Uno
meluncurkan aplikasi parkir
online
di Taman Ayodya, Kebayoran Baru, Jakarta Selatan.
Semula, nama aplikasi itu adalah Bung Japar (Jasa Parkir) namun, akhirnya diubah menjadi LAPAKO atau layanan parkir online.
Sandiaga
menyebut aplikasi itu dapat menciptakan lapangan pekerjaan.
Baca Juga
Dishub DKI Luncurkan Sistem Booking Parkir On Street Melalui JakParkir
""Pertama ingin kita ciptakan lapangan pekerjaan, kemudian ingin ubah perilaku masyarakat mulai tertib dalam perparkiran. Bagaimana kita menggabungkan teknologi dan digital,"" kata Sandiaga di Balai Kota Jakarta, Kamis (17/5/2018).
Advertisement
Sandiaga
menambahkan, dalam uji coba aplikasi
online
itu, bisa meningkatkan pedapatan hingga 129 persen dalam satu koridor jalan. Sebab, dengan adanya aplikasi maka tingkat kepatuhan masyarakat juga akan meningkat.
""Dari uji coba naik 129 persen menggunakan aplikasi digital. Kita harapkan ini jadi satu sejarah baru dari sistem perparkiran kita,"" imbuhnya."
17 Mei 2018 11:53;SandiagaMinta RT-RW Hidupkan Siskamling dan Cek Kos-kosan;https://www.liputan6.com/news/read/3528604/sandiaga-minta-rt-rw-hidupkan-siskamling-dan-cek-kos-kosan;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta
Sandiaga
Uno meminta masyarakat menghidupkan kembali sistem keamanan lingkungan (Siskamling). Siskamling dinilai Sandiaga perlu untuk mengantisipasi teror yang belakangan terjadi di Indonesia.
""Kita harapkan warga lebih memperhatikan sekeliling untuk memastikan bahwa situasinya aman dan kondusif,"" kata
Sandiaga
di Balai Kota Jakarta, Kamis (17/5/2018).
BACA JUGA:
Dirjen Bina Adwil Kemendagri Tinjau Langsung Siskamling di Semarang
Baca Juga
Dorong Pemulihan Pasca Unjuk Rasa, Kemendagri Aktifkan Siskamling di Kota Malang
Yogyakarta Kondusif, Kemendagri Puji Peran Budaya dan Gotong Royong Warga
Bobby Nasution Siap Aktifkan Siskamling, Jaga Kondusivitas di Sumut
Selain itu, Sandi juga meminta para RT, RW, dan Lembaga Masyarakat Kelurahan (LMK) untuk memperhatikan penghuni indekos di sekitar lingkungan masing-masing. Bila ada yang mencurigakan, RT, RW, dan LMK wajib melaporkan.
Advertisement
""Pak RT, RW wajib lapor dan mengecek latar belakang penghuni. Sekarang kita juga lagi lengkapi data-data kita yang di Dukcapil dan Jakarta Smart City, dengan face recognation,"" ungkapnya.
Data-data warga dan pendatang di Jakarta, menurut Sandi sudah disandingkan dengan data dari kepolisian.""Ini untuk mengupdate data dan antisipasi,"" pungkas
Sandiaga
.
Saksikan video pilihan di bawah ini:"
16 Mei 2018 12:29;SandiagaPastikan Stok Bahan Pokok di Jakarta Aman Selama Ramadan;https://www.liputan6.com/news/read/3527329/sandiaga-pastikan-stok-bahan-pokok-di-jakarta-aman-selama-ramadan;"Liputan6.com, Jakarta - D
Wakil Gubernur DKI Jakarta
Sandiaga Uno
memastikan stok pangan selama Ramadan di Jakarta aman. Hal itu diungkapkan Sandi usai meninjau langsung gudang beras Cipinang, Jakarta Timur.
""Kawan-kawan lihat sendiri stok beras 41.447 ton. Bisa dipastikan aman untuk Ramadan. Targetnya 3.000 ton per hari. Tapi kemarin sempat 4.500 ton,"" kata
Sandiaga Uno
di Cipinang, Rabu (16/5/2018).
BACA JUGA:
Doa Buka Puasa Sunnah Sesuai Ajaran Rasulullah SAW: Lengkap dengan Arab, Latin, dan Keutamaannya
BACA JUGA:
Hukum Keluar Madzi dengan Sengaja Saat Berpuasa, Apakah Membatalkan? Simak Penjelasannya
Baca Juga
Panduan Doa Bilal Tarawih Beserta Bacaan Arab, Latin, dan Artinya
Doa Kirim Kubur untuk Orang Tua yang Sudah Meninggal Dunia, Ketahui Keutamaannya
Tujuan-Tujuan Puasa Wajib dalam Islam, Tak Sekadar Tahan Lapar dan Haus
Sandi mengatakan, Pemprov DKI memerintahkan agar harga eceran terjaga. Sandi menyebut patokan harga eceran tertinggi bukan sebuah imbauan, melainkan perintah.
Advertisement
""Harga ini kita perintahkan aja, kita kunci. Saya kan dulu pedagang juga, baru imbauan, margin
naikin dikit
dah. Tapi ini perintah. Kalau Bapak sisir dan
price taging
, kita sampaikan kita fungsinya menjalankan perintah,"" ungkap
Sandiaga Uno
."
15 Mei 2018 11:12;SandiagaLarang Ormas Sweeping Saat Ramadan;https://www.liputan6.com/news/read/3525798/sandiaga-larang-ormas-sweeping-saat-ramadan;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta Sandiaga Uno melarang ormas melakukan
sweeping
di tempat makan dan hiburan saat
Ramadan
.
""Tidak boleh
sweeping
. Tegas aja. Tidak boleh
sweeping
. Itu bukan tugasnya ormas,"" kata Sandi di kawasan Sawah Besar, Jakarta Pusat, Selasa (15/5/2018).
BACA JUGA:
Jakarta Tuan Rumah Kejuaraan Dunia Reparasi CPU, Sandiaga: Ciptakan Ekosistem Mandiri
Baca Juga
Berdayakan Emak-Emak di Pulau Pramuka, Sandiaga Gelar Pelatihan
Sandiaga: Kepemimpinan Visioner Harus Beri Dampak Nyata
Pelatihan Baking Buka Lapangan Kerja, Sandiaga: Perempuan Berdaya, Keluarga Sejahtera
Menurut Sandi, tugas ormas bukan penyisiran, melainkan mendorong masyarakat meningkatkan takwa selama
Ramadan
.
Advertisement
""Ormas gunanya mendorong masyarakat untuk memasuki bulan suci
Ramadan
untuk meningkatkan ketakwaan. Urusan lain-lain bagiannya aparat,"" katanya.
Selain itu, Sandi mengimbau agar tak ada lagi
sahur on the road
di jalanan Ibu Kota.
""Kita juga imbau jangan lagi ada
sahur on the road
yang konvoi-konvoi. Itu mengganggu ketertiban masyarakat. Kalau mau berbagi silakan berbagi dengan tentunya ada basis dan tempat ibadah,"" imbuh Sandiaga.
Sebelumnya, Sandiaga mengatakan selama bulan Ramadan Pemprov akan mengadakan buka bersama dengan masyarakat. Bedanya, tahun ini tidak akan ada rebutan makanan, melainkan warga duduk dan akan dilayani seperti masjid di Mekah dan Madinah.
Saksikan video pilihan di bawah ini:"
15 Mei 2018 07:14;4 Penyebab Harga Komoditas Naik Jelang Ramadan MenurutSandiaga;https://www.liputan6.com/news/read/3525573/4-penyebab-harga-komoditas-naik-jelang-ramadan-menurut-sandiaga;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta
Sandiaga
Uno membeberkan penyebab kenaikan harga komoditas pangan yang kerap terjadi menjelang Ramadan.
Sandiaga
menyebut setidaknya ada empat faktor yang memengaruhi. Pertama, distribusi terganggu. Kedua, dolar dan rupiahnya bergejolak. Ketiga, masih merebaknya spekulasi.
""Tapi spekulasi ini sudah semakin tereliminasi karena ada Satgas,"" ujar dia Senin (14/5/2018).
Advertisement
Faktor keempat, kata Sandi, adalah perubahan iklim. ""Kalau ada iklim yang berubah itu harus antisipasi.
Supply
dan
demand
harga akan bergejolak,"" ujar dia.
Sandi mengatakan, Pemrov memfokuskan pemantauan terhadap beberapa komoditas pangan yang rentan mengalami lonjakan harga pada Ramadan nanti.
""Kita memantau karena ada gejolak rupiah dan dolar jadi yang akan berdampak adalah telur ayam, daging ayam, dan kemungkinan kedelai. Keledai itu nanti kita lihat produk turunannya, yaitu tempe dan tahu,"" ujar
Sandiaga
."
11 Mei 2018 09:53;Sandiaga: Aksi 115 untuk Persatukan Umat;https://www.liputan6.com/news/read/3521612/sandiaga-aksi-115-untuk-persatukan-umat;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta Sandiaga Uno sempat mendatangi Monas untuk menyapa peserta
aksi 115
. Sandiaga menyebut, aksi bela Palestina ini sebagai ajang mempersatukan umat.
""Ini adalah aksi mempersatukan menurut saya. Karena Palestina ini hampir sepakatlah kita semua. Bahkan dari jaman Bung Karno kita sepakat kalau kita harus memberikan perhatian lebih dan solidaritas kesetiakawanan kepada Palestina dan kita dukung Palestina bisa setara dengan bangsa lain,"" kata Sandi di Balai Kota Jakarta, Jumat (11/5/2018).
BACA JUGA:
Jakarta Tuan Rumah Kejuaraan Dunia Reparasi CPU, Sandiaga: Ciptakan Ekosistem Mandiri
BACA JUGA:
Kolaborasi Komunitas Madura, Sandiaga: Cetak Wirausaha Muda Melalui Barista
Baca Juga
Berdayakan Emak-Emak di Pulau Pramuka, Sandiaga Gelar Pelatihan
Sandiaga: Kepemimpinan Visioner Harus Beri Dampak Nyata
Pelatihan Baking Buka Lapangan Kerja, Sandiaga: Perempuan Berdaya, Keluarga Sejahtera
Menurut Sandi, pelaksanaan
aksi 115
ini sangat kondusif. Bahkan, aksi itu turut meningkatkan roda ekonomi dengan munculnya para pedagang.
Advertisement
""Kondusif dan saya liat ada beberapa jualan syal, kerudung, sajadah juga, atribut Palestina, atribut yang berkenaan dengan aksi ini tentu dengan damai menyerukan setop kekerasan di Palestina,"" katanya.
Sandi mengatakan, ada 2.100 anggota Satpol PP DKI yang dikerahkan untuk mengamankan
aksi 115
. Ia pun meminta warga tetap menjaga ketertiban.
""Kelihatannya kondusif dan kita harapkan ini bisa jadi sebuah statment yang jelas bahwa Indonesia dan Jakarta mendukung perdamaian dunia. Untuk itu kita harapkan ada kegiatan ekonomi di sekitarnya,"" tandas Sandi."
10 Mei 2018 03:22;Mako Brimob Rusuh,SandiagaAkan Koordinasi Polda untuk Keamanan Jakarta;https://www.liputan6.com/news/read/3520626/mako-brimob-rusuh-sandiaga-akan-koordinasi-polda-untuk-keamanan-jakarta;"Liputan6.com, Jakarta -
Wakil Gubernur DKI Jakarta Sandiaga Uno menanggapi kerusuhan di Mako Brimob, Kelapa Dua, Depok, Jawa Barat. Dalam kejadian itu, 6 orang meninggal dunia.
Menurut Sandi, Pemprov DKI akan segera berkoordinasi dengan pihak kepolisian, khususnya dengan Polda Metro Jaya. Karena lokasi kejadian yang berdekatan dengan ibu kota Jakarta.
BACA JUGA:
Jakarta Tuan Rumah Kejuaraan Dunia Reparasi CPU, Sandiaga: Ciptakan Ekosistem Mandiri
BACA JUGA:
Kolaborasi Komunitas Madura, Sandiaga: Cetak Wirausaha Muda Melalui Barista
Baca Juga
Berdayakan Emak-Emak di Pulau Pramuka, Sandiaga Gelar Pelatihan
Sandiaga: Kepemimpinan Visioner Harus Beri Dampak Nyata
Pelatihan Baking Buka Lapangan Kerja, Sandiaga: Perempuan Berdaya, Keluarga Sejahtera
""Paktis berseberangan yang berhimpitan dengan Jakarta, jadi nanti kita akan koordinasi dengan pihak kepolisian tentunya dengan Pak Kapolda. Segera ini akan dan terus berlangsung,"" ucap Sandiaga di Balai Kota DKI, Jakarta Pusat, Rabu (9/5/2018).
Advertisement
Sandiaga juga menyampaikan ucapan Wakil presiden Jusuf Kalla kepadanya, bahwa situasi terakhir di dalam Mako Brimob masih keadaan genting. Meskipun dari luar keadaan telah terlihat terkendali. Karena itu, kata dia, aparat berada dalam keadaan siaga sangat tinggi.
""Pak JK sampaikan kepada saya secara spesifik tentang situasi terakhir di Mako Brimob dan kami harus menyiapkan diri, bahwa situasi sampai sekarang walaupun terkendali dari luar tapi masih dalam keadaan Genting. Jadi semua aparat dalam Siaga tingkat kesiagaan yang sangat tinggi,"" katanya.
Orang nomor dua di DKI ini pun mengharapkan masyarakat Jakarta untuk bisa berpartisipasi aktif dan melaporkannya kepada aparat, jika merasa ada hal yang mencurigakan.
""Jangan sampai kita menganggap bahwa ini informasi yang tidak perlu dishare tapi harus dishare dan disampaikan kepada aparat. Peran serta masyarakat untuk menjaga keamanan dan ketertiban sangat sangatlah penting,"" ujarnya."
10 Mei 2018 01:30;SandiagaUngkap Sinyal Kuat PAN Gabung Koalisi Gerindra-PKS;https://www.liputan6.com/news/read/3520610/sandiaga-ungkap-sinyal-kuat-pan-gabung-koalisi-gerindra-pks;"Liputan6.com, Jakarta -
Wakil Ketua Dewan Pembina Gerindra,
Sandiaga
Uno mengungkapkan adanya sinyal kuat Partai Amanat Nasional (PAN) untuk bergabung dengan koalisi Gerindra-PKS.
Karena belum adanya keputusan,
Sandiaga
pun tidak ingin mendahului atas pembicaraan koalisi yang masih dalam tahap awal itu.
BACA JUGA:
PKS Umumkan Susunan Dewan Syariah Pusat 2025-2030, Ini Daftar Lengkapnya
Baca Juga
PKS Harap Indonesia Jadi Garda Terdepan Hentikan Agresi Israel, Kumpulkan Dukungan Global
Doa Bersama untuk Affan di Depok Diwarnai Pembagian Nasi Kotak Bergambar Politikus PKS
Posisi Wamenaker Kosong, PKS Tegaskan Tak Ajukan Nama
""Ini sinyal kuat. Akan ada tahapan-tahapan berikutnya. Jadi yang penting kita adalah menentukan,"" ungkap Sandiaga di Balai Kota DKI, Jakarta Pusat, Rabu (9/5/2018).
Advertisement
Sandiaga menambahkan, hampir setiap hari partainya bertemu pihak dari PAN. Contohnya kemarin, hari ini, dan juga rencananya besok pertemuan itu akan berlangsung.
""Besok akan
launching
, Pak Drajat akan memberikan
keynote address
di sekretariat bersama. Kita tunggu bahwa dia punya analisa ekonomi dan apa yang kita tawarkan nanti mengenai lapangan pekerjaan,"" kata dia.
Menurut Sandiaga, kegiatan besok merupakan kegiatan pertama PAN akan berpartisipasi di sekretariat bersama Gerindra-PKS. Dia pun menyatakan, partainya terus membangun komunikasi dengan partai berlambang matahari tersebut.
""Alhamdulillah kami terus membangun komunikasi dengan PAN, besok itu adalah event pertama di mana PAN akan berpartisipasi di sekretariat bersama, jadi kita akan fokuskan dalam membangun platform ekonomi dan lapangan kerja akan menjadi fokus dari sekretariat bersama,"" pungkas
Sandiaga
.
Saksikan Video Pilihan Berikut Ini:"
